timestamp,event,device
0,enter,TABLE
254,quit,TABLE
528,enter,TABLE
598,quit,TABLE
598,enter,SCREEN
660,quit,SCREEN
1216,enter,SCREEN
2233,quit,SCREEN
2345,enter,SCREEN
2406,quit,SCREEN
2466,enter,SCREEN
6256,quit,SCREEN
6316,enter,SCREEN
6382,quit,SCREEN
6603,enter,TABLE
6880,quit,TABLE
7431,enter,SCREEN
7935,quit,SCREEN
8049,enter,SCREEN
8772,quit,SCREEN
8829,enter,SCREEN
9444,quit,SCREEN
9502,enter,SCREEN
10401,quit,SCREEN
10597,enter,TABLE
10918,quit,TABLE
11079,enter,SCREEN
11365,quit,SCREEN
11408,enter,TABLE
12349,grasp,BLOCK
13357,quit,TABLE
13462,enter,SCREEN
13988,quit,SCREEN
14407,enter,TABLE
15873,quit,TABLE
15928,enter,TABLE
15976,quit,TABLE
15977,enter,SCREEN
16239,quit,SCREEN
16338,enter,SCREEN
16779,quit,SCREEN
16939,enter,TABLE
17843,quit,TABLE
17931,enter,TABLE
18080,release,BLOCK
18140,quit,TABLE
