timestamp,event,device
0,enter,TABLE
365,quit,TABLE
412,enter,TABLE
506,quit,TABLE
766,enter,SCREEN
863,quit,SCREEN
917,enter,SCREEN
1286,quit,SCREEN
1546,enter,TABLE
1652,quit,TABLE
2747,enter,SCREEN
2909,quit,SCREEN
2967,enter,SCREEN
4052,quit,SCREEN
4053,enter,TABLE
4139,quit,TABLE
4185,enter,TABLE
5661,grasp,BLOCK
6590,quit,TABLE
6752,enter,SCREEN
7137,quit,SCREEN
7138,enter,TABLE
7193,quit,TABLE
7194,enter,SCREEN
7402,quit,SCREEN
7532,enter,TABLE
9228,release,BLOCK
9288,quit,TABLE
