timestamp,event,device
0,enter,TABLE
2388,quit,TABLE
2442,enter,TABLE
2558,quit,TABLE
2614,enter,SCREEN
2724,quit,SCREEN
2837,enter,SCREEN
3247,quit,SCREEN
3309,enter,SCREEN
3429,quit,SCREEN
3552,enter,SCREEN
3613,quit,SCREEN
3741,enter,SCREEN
4095,quit,SCREEN
4234,enter,TABLE
4516,quit,TABLE
4793,enter,TABLE
5236,quit,TABLE
5368,enter,TABLE
5475,quit,TABLE
5475,enter,SCREEN
5654,quit,SCREEN
5716,enter,SCREEN
5843,quit,SCREEN
6031,enter,SCREEN
6210,quit,SCREEN
6332,enter,SCREEN
6593,quit,SCREEN
6725,enter,SCREEN
6835,quit,SCREEN
6883,enter,TABLE
7994,quit,TABLE
8151,enter,SCREEN
8259,quit,SCREEN
8422,grasp,BLOCK
8477,enter,SCREEN
8751,quit,SCREEN
8805,enter,SCREEN
9020,quit,SCREEN
9073,enter,SCREEN
9351,quit,SCREEN
9624,enter,SCREEN
9853,quit,SCREEN
9908,enter,SCREEN
10028,quit,SCREEN
10319,enter,TABLE
12065,release,BLOCK
12125,quit,TABLE
