timestamp,event,device
0,enter,TABLE
550,quit,TABLE
797,enter,TABLE
895,quit,TABLE
896,enter,SCREEN
954,quit,SCREEN
955,enter,TABLE
1123,quit,TABLE
1124,enter,SCREEN
1182,quit,SCREEN
1183,enter,TABLE
1305,quit,TABLE
1306,enter,SCREEN
1362,quit,SCREEN
1363,enter,TABLE
1418,quit,TABLE
1419,enter,SCREEN
1480,quit,SCREEN
1481,enter,TABLE
1537,quit,TABLE
1538,enter,SCREEN
1657,quit,SCREEN
1716,enter,TABLE
1822,quit,TABLE
1874,enter,TABLE
2159,quit,TABLE
2329,enter,SCREEN
2598,quit,SCREEN
2647,enter,TABLE
2804,grasp,BLOCK
3256,quit,TABLE
3389,enter,TABLE
4958,release,BLOCK
5018,quit,TABLE
