timestamp,event,device
65,enter,TABLE
133,quit,TABLE
313,enter,SCREEN
547,quit,SCREEN
1014,enter,SCREEN
1121,quit,SCREEN
1668,enter,SCREEN
2398,quit,SCREEN
3555,enter,TABLE
4145,quit,TABLE
4390,enter,TABLE
4463,quit,TABLE
4768,enter,SCREEN
5045,quit,SCREEN
5836,enter,SCREEN
6361,quit,SCREEN
6526,enter,TABLE
7820,quit,TABLE
9642,enter,TABLE
10717,quit,TABLE
11798,enter,SCREEN
12390,quit,SCREEN
12904,enter,SCREEN
13767,quit,SCREEN
15072,enter,TABLE
15151,quit,TABLE
15548,enter,SCREEN
15627,quit,SCREEN
15744,enter,SCREEN
15823,quit,SCREEN
15981,enter,SCREEN
16063,quit,SCREEN
16591,enter,TABLE
17073,quit,TABLE
17073,enter,SCREEN
17109,quit,SCREEN
17110,enter,TABLE
17318,quit,TABLE
17456,enter,TABLE
17536,grasp,BLOCK
20247,release,BLOCK
20307,quit,TABLE
