row,non_zero_column
0,[]
1,[]
2,[]
3,[]
4,[255]
5,[]
6,[248]
7,[]
8,[78]
9,[]
10,"[33, 66]"
11,[]
12,[]
13,"[97, 104]"
14,[]
15,[21]
16,[28]
17,[153]
18,[149]
19,[]
20,[114]
21,[]
22,[]
23,[236]
24,"[9, 216]"
25,[]
26,[]
27,[]
28,[]
29,[13]
30,"[36, 107]"
31,[]
32,[]
33,[15]
34,[]
35,[228]
36,[6]
37,[41]
38,[]
39,[]
40,[]
41,"[38, 224]"
42,[]
43,"[197, 222]"
44,[220]
45,"[187, 219]"
46,[183]
47,[]
48,[]
49,[]
50,[48]
51,[]
52,[]
53,[21]
54,[]
55,[]
56,[]
57,[]
58,[]
59,[108]
60,[113]
61,[30]
62,"[236, 241]"
63,[109]
64,[]
65,[112]
66,[180]
67,[108]
68,[]
69,"[103, 143]"
70,[]
71,[141]
72,"[27, 139]"
73,[]
74,[221]
75,[]
76,[]
77,[]
78,[251]
79,[]
80,"[201, 292]"
81,[]
82,"[136, 232]"
83,[]
84,[290]
85,[]
86,[15]
87,[171]
88,[287]
89,[]
90,[]
91,[163]
92,[]
93,[]
94,[211]
95,[]
96,[]
97,[185]
98,[]
99,[104]
100,[281]
101,[179]
102,"[151, 157]"
103,[]
104,"[165, 167]"
105,[277]
106,"[119, 169]"
107,"[160, 276]"
108,[163]
109,"[141, 276]"
110,[]
111,"[173, 183, 276]"
112,[6]
113,[]
114,[]
115,[277]
116,[]
117,"[265, 279]"
118,[]
119,[]
120,[4]
121,[212]
122,[]
123,[]
124,[]
125,[264]
126,[]
127,"[119, 283]"
128,[]
129,[260]
130,[]
131,[271]
132,[]
133,[256]
134,[]
135,[142]
136,[253]
137,[319]
138,[]
139,[247]
140,[245]
141,[78]
142,[62]
143,[369]
144,[]
145,[]
146,[67]
147,[369]
148,[]
149,[]
150,"[156, 308]"
151,[]
152,[]
153,[]
154,[]
155,"[157, 182]"
156,[]
157,[313]
158,[]
159,[]
160,[]
161,[]
162,"[34, 168]"
163,[352]
164,[]
165,[320]
166,[]
167,[]
168,[]
169,[]
170,[]
171,[]
172,[351]
173,[]
174,[]
175,[100]
176,[]
177,[]
178,"[334, 350]"
179,[]
180,[]
181,[]
182,[]
183,[348]
184,[]
185,[185]
186,[]
187,[]
188,[]
189,[]
190,[344]
191,"[72, 247]"
192,[]
193,"[132, 346, 348]"
194,[]
195,[270]
196,[350]
197,[350]
198,[350]
199,"[71, 125]"
200,[]
201,[]
202,[]
203,[130]
204,[50]
205,[]
206,[]
207,[]
208,[64]
209,[]
210,"[50, 51, 244]"
211,[]
212,[]
213,[]
214,[]
215,[]
216,[]
217,[]
218,[]
219,[]
220,[]
221,[]
222,[92]
223,[]
224,[]
225,[]
226,[89]
227,[]
228,[]
229,[]
230,[]
231,[]
232,[]
233,[]
234,[]
235,[]
