timestamp,event,device
133,enter,SCREEN
570,quit,SCREEN
645,enter,SCREEN
2107,quit,SCREEN
2849,enter,SCREEN
3120,quit,SCREEN
3349,enter,SCREEN
4436,quit,SCREEN
4472,enter,SCREEN
4581,quit,SCREEN
4694,enter,SCREEN
4894,quit,SCREEN
4975,enter,SCREEN
5137,quit,SCREEN
6028,enter,SCREEN
6933,quit,SCREEN
6975,enter,SCREEN
7061,quit,SCREEN
7306,enter,SCREEN
7869,quit,SCREEN
8073,enter,SCREEN
8984,quit,SCREEN
9356,enter,SCREEN
9433,quit,SCREEN
9591,enter,SCREEN
9671,quit,SCREEN
9710,enter,SCREEN
9787,quit,SCREEN
10248,enter,SCREEN
11164,quit,SCREEN
11243,enter,SCREEN
13719,quit,SCREEN
14416,enter,SCREEN
14569,quit,SCREEN
16283,enter,TABLE
16359,quit,TABLE
16433,enter,TABLE
16511,quit,TABLE
17120,enter,TABLE
17263,quit,TABLE
17643,enter,TABLE
18030,quit,TABLE
18149,enter,TABLE
18385,quit,TABLE
18632,enter,SCREEN
21152,quit,SCREEN
21249,enter,SCREEN
21835,quit,SCREEN
22075,enter,SCREEN
22171,quit,SCREEN
22217,enter,SCREEN
23819,quit,SCREEN
23864,enter,SCREEN
24316,quit,SCREEN
24686,enter,SCREEN
24861,quit,SCREEN
25240,enter,SCREEN
25388,quit,SCREEN
25433,enter,SCREEN
26175,quit,SCREEN
26314,enter,SCREEN
27346,quit,SCREEN
27633,enter,TABLE
27985,quit,TABLE
28219,enter,SCREEN
28727,quit,SCREEN
28945,enter,TABLE
29070,quit,TABLE
29112,enter,TABLE
29249,quit,TABLE
29440,enter,TABLE
29578,grasp,BLOCK
32408,quit,TABLE
32746,release,BLOCK
