row,non_zero_column
0,[]
1,[]
2,[]
3,[105]
4,[]
5,[]
6,[]
7,[]
8,[]
9,[]
10,[]
11,[]
12,[84]
13,[]
14,[106]
15,[]
16,[]
17,[]
18,[]
19,[]
20,[]
21,[]
22,"[190, 266]"
23,[]
24,[]
25,[98]
26,[]
27,"[98, 242]"
28,"[94, 97]"
29,[100]
30,[]
31,[94]
32,[]
33,[98]
34,[]
35,[]
36,[92]
37,[281]
38,[]
39,[]
40,[]
41,[101]
42,[]
43,[103]
44,[171]
45,[191]
46,[]
47,[]
48,[]
49,[83]
50,[83]
51,[212]
52,[]
53,"[94, 245]"
54,[]
55,[]
56,"[81, 182]"
57,[]
58,[]
59,[]
60,[]
61,[]
62,[]
63,[]
64,[]
65,[]
66,[]
67,[]
68,[]
69,[]
70,[]
71,[126]
72,"[88, 316]"
73,[]
74,[]
75,[]
76,[]
77,[]
78,"[89, 374]"
79,[]
80,[]
81,[]
82,[]
83,[]
84,[212]
85,[]
86,[]
87,[]
88,[307]
89,[]
90,[298]
91,[]
92,[]
93,[133]
94,[]
95,[]
96,[101]
97,"[138, 234, 239]"
98,[]
99,[]
100,[]
101,[]
102,[]
103,"[227, 305]"
104,[248]
105,[237]
106,[304]
107,[]
108,"[228, 240]"
109,[129]
110,[252]
111,[254]
112,"[241, 243]"
113,"[127, 341]"
114,[128]
115,[]
116,[250]
117,[]
118,[]
119,[270]
120,[]
121,[]
122,[]
123,[]
124,[343]
125,[]
126,[]
127,[271]
128,[]
129,[]
130,[]
131,[]
132,[]
133,[275]
134,[]
135,[]
136,[]
137,[]
138,[]
139,[]
140,[]
141,[]
142,[]
143,[273]
144,[]
145,[150]
146,[]
147,[329]
148,[157]
149,[]
150,[]
151,[]
152,[]
153,[]
154,[]
155,[]
156,[]
157,[359]
158,[]
159,[]
160,[]
161,[]
162,[129]
163,[149]
164,[]
165,[]
166,[]
167,[343]
168,[]
169,[]
170,[]
171,[]
172,[228]
173,[]
174,[]
175,[]
176,[]
177,[]
178,[]
179,[]
180,[]
181,[]
182,[]
183,[]
184,[]
185,[234]
186,[]
187,[]
188,[]
189,[]
190,[]
191,[]
192,[252]
193,[]
194,[]
195,[]
196,[249]
197,[]
198,[]
199,[]
200,[]
201,[]
202,[]
203,[]
204,[]
205,[]
206,[]
207,[]
208,[]
209,[]
210,[]
211,[]
212,[]
213,[]
214,[]
215,[]
216,[]
217,[]
218,[294]
219,[285]
220,[]
221,[]
222,[]
223,[]
224,[]
225,[301]
226,[]
227,[]
228,[]
229,[]
230,[]
231,[]
232,[296]
233,[]
234,[]
235,[]
236,[210]
237,[]
238,[]
239,[366]
240,[218]
241,[]
242,[]
243,[]
244,[]
245,[]
246,[]
247,[]
248,[]
249,[]
250,[244]
251,[]
252,[]
253,[]
254,[]
255,[]
256,[]
257,[]
258,[]
259,[]
260,[]
261,[252]
262,[]
263,[]
264,[]
265,[]
266,[]
267,[]
268,[]
269,[]
270,[]
271,[]
272,[143]
273,[]
274,[]
275,[117]
276,[]
277,[]
278,[]
279,[]
280,[]
281,[]
282,[]
283,[]
284,[]
285,[109]
286,[]
287,[]
288,[]
289,[]
290,[]
291,[]
292,[]
293,[]
294,[]
295,[]
296,[]
297,[]
298,[]
299,[]
300,[]
301,[]
302,[]
303,[]
304,[]
305,[]
306,[]
307,[]
308,[]
309,[]
310,[]
311,[]
312,[]
313,[]
314,[]
315,[]
316,[]
317,[]
318,[267]
319,[]
320,[]
321,[]
322,[]
323,[]
324,[]
325,[]
326,[113]
327,[]
328,[]
329,[]
330,[]
331,[]
332,[]
333,[]
334,[]
335,[]
336,"[133, 232]"
337,[]
338,[]
339,[]
340,[]
341,[]
342,[316]
343,[]
344,[]
345,[]
346,[]
347,[]
348,[]
349,[]
350,[]
351,[]
352,[]
353,[]
354,"[198, 213]"
355,[]
356,[]
357,[361]
358,"[110, 185, 219, 342]"
359,[205]
360,"[202, 206, 345]"
361,[226]
362,[]
363,[]
364,"[209, 213, 248]"
365,"[109, 141, 199, 200]"
366,[209]
367,[150]
368,[209]
369,"[187, 207]"
370,"[200, 212]"
371,"[175, 205]"
372,"[195, 196]"
373,"[104, 168, 205]"
374,"[157, 168, 180, 183, 188, 191, 215]"
375,"[119, 175, 227]"
376,"[105, 177, 206]"
377,"[167, 204, 210]"
378,"[74, 173, 180, 185, 190, 205]"
379,"[180, 181]"
