row,non_zero_column
0,[]
1,[]
2,[]
3,[]
4,[]
5,[376]
6,[]
7,[]
8,[]
9,[251]
10,[]
11,[]
12,[]
13,[]
14,[]
15,[]
16,[264]
17,[]
18,[]
19,[85]
20,[303]
21,"[95, 302]"
22,[]
23,[]
24,[]
25,[302]
26,"[47, 56, 76, 96, 97]"
27,[275]
28,"[58, 275, 304]"
29,"[56, 57]"
30,"[55, 299]"
31,"[52, 63, 279]"
32,"[51, 262, 300]"
33,"[62, 66, 265]"
34,"[53, 63]"
35,"[59, 60, 164, 300]"
36,[65]
37,[]
38,"[62, 195]"
39,"[228, 268]"
40,[221]
41,[]
42,"[69, 73, 233, 271]"
43,"[76, 216, 219]"
44,"[74, 219]"
45,"[211, 223, 233]"
46,"[216, 223, 238]"
47,[68]
48,"[213, 225]"
49,[227]
50,[]
51,"[217, 223]"
52,[]
53,[]
54,[219]
55,[]
56,[]
57,[280]
58,[]
59,[]
60,[]
61,[]
62,[]
63,[]
64,[110]
65,[]
66,[]
67,[]
68,[]
69,[]
70,[]
71,[]
72,[219]
73,[]
74,[]
75,[206]
76,[]
77,[]
78,[179]
79,[126]
80,[]
81,"[211, 212]"
82,[]
83,[221]
84,[]
85,[75]
86,[56]
87,[]
88,[]
89,"[125, 285, 298]"
90,[]
91,[131]
92,"[255, 297]"
93,"[270, 296]"
94,"[60, 299]"
95,"[263, 293, 296]"
96,"[69, 294, 296, 377]"
97,[296]
98,[]
99,[]
100,"[72, 191]"
101,[]
102,[273]
103,[]
104,[269]
105,"[268, 270, 271, 274]"
106,"[86, 150, 269, 270, 273]"
107,"[87, 271]"
108,[269]
109,"[269, 270, 271, 273, 274]"
110,[271]
111,"[269, 272]"
112,[271]
113,[]
114,[272]
115,[]
116,[]
117,[78]
118,[]
119,[]
120,"[19, 287]"
121,[79]
122,[]
123,[19]
124,[]
125,"[33, 42, 67]"
126,[119]
127,"[291, 293]"
128,[291]
129,[]
130,[290]
131,"[284, 292]"
132,"[53, 283, 286, 287]"
133,[281]
134,[]
135,[]
136,[287]
137,[]
138,"[113, 284]"
139,[110]
140,[]
141,"[89, 90, 112, 210]"
142,[]
143,"[127, 198]"
144,[]
145,[]
146,"[107, 114]"
147,[]
148,"[105, 363]"
149,[]
150,"[43, 110]"
151,"[92, 114]"
152,[14]
153,[39]
154,[]
155,"[47, 114]"
156,"[14, 42]"
157,"[28, 44]"
158,[]
159,[206]
160,[]
161,[]
162,[]
163,[205]
164,[30]
165,[]
166,[]
167,[]
168,[]
169,[]
170,[]
171,[]
172,[34]
173,[]
174,[]
175,[]
176,[194]
177,[]
178,[]
179,[]
180,[]
181,[]
182,[181]
183,[]
184,[]
185,[]
186,[51]
187,[]
188,[]
189,"[144, 197]"
190,[]
191,[]
192,[]
193,[]
194,[]
195,[]
196,[288]
197,[]
198,[]
199,[]
200,[]
201,[]
202,[]
203,[]
204,[]
205,[]
206,[]
207,[]
208,[]
209,[]
210,[]
211,[]
212,[]
213,[169]
214,[]
215,[]
216,[]
217,[]
218,[]
219,[]
220,[]
221,[]
222,[]
223,[]
224,[]
225,[]
226,[]
227,[]
228,[]
229,[]
230,[]
231,[]
232,[135]
233,[]
234,[]
235,[]
236,[]
237,[]
238,[152]
239,[]
240,[]
241,[]
242,[]
243,[]
244,[]
245,[]
246,[95]
247,[]
248,[]
249,[]
250,[]
251,[]
252,[]
253,[]
254,[]
255,[63]
256,[]
257,[]
258,[]
259,[]
260,[]
261,[]
262,[]
263,[]
264,[]
265,[220]
266,[]
267,[]
268,[]
269,[]
270,[]
271,[]
272,[]
273,[]
274,[]
275,[]
276,[]
277,[]
278,[]
279,[]
280,[]
281,[]
282,[]
283,[]
284,[]
285,[]
286,[]
287,[]
288,[]
289,[]
290,[]
291,[]
292,[]
293,[]
294,[]
295,[]
296,[]
297,[]
298,[]
299,[]
300,[]
301,[]
302,[]
303,[]
304,[]
305,[]
306,[108]
307,[]
308,[]
309,[]
310,[]
311,[]
312,[]
313,[]
314,[57]
315,[]
316,[]
317,[]
318,[]
319,[]
320,[]
321,[]
322,[]
323,"[147, 168]"
324,[]
325,[]
326,[]
327,[]
328,[]
329,"[168, 274]"
330,[177]
331,[164]
332,"[168, 173, 176]"
333,"[83, 157, 166]"
334,"[165, 171, 173]"
335,"[157, 161]"
336,[173]
337,"[161, 162, 165]"
338,"[162, 174]"
339,"[107, 160, 169]"
340,"[107, 108, 166]"
341,"[149, 165]"
342,[]
343,"[102, 135, 160]"
344,"[152, 154, 158, 210]"
345,[147]
346,"[150, 165]"
347,"[134, 146, 147, 150, 152, 167]"
348,[162]
349,"[146, 149, 207]"
350,"[139, 149, 160, 161]"
351,"[138, 142, 150, 156, 162, 167, 197]"
352,"[141, 145, 149, 167, 172, 173]"
353,"[137, 144, 149, 154, 189, 203]"
354,"[132, 143]"
355,"[139, 150, 161]"
356,[175]
357,[]
358,"[155, 158, 161, 163]"
359,"[139, 143, 154, 158, 168]"
360,"[137, 140, 146, 160, 167]"
361,"[155, 163, 167, 309]"
362,[162]
363,[100]
364,[163]
365,[166]
366,[]
367,[161]
368,[152]
369,[230]
370,"[153, 207]"
371,[]
372,[204]
373,"[194, 207]"
374,[281]
375,[]
376,[]
377,[]
378,[]
379,[206]
