row,non_zero_column
0,[]
1,[]
2,[]
3,[]
4,[]
5,[]
6,[]
7,[]
8,[]
9,[]
10,[]
11,[73]
12,[]
13,[]
14,[]
15,"[47, 74, 81]"
16,"[67, 74]"
17,[]
18,[]
19,"[75, 84]"
20,[75]
21,[77]
22,[]
23,"[71, 75, 79, 80]"
24,[79]
25,[]
26,[229]
27,[49]
28,[76]
29,[]
30,[]
31,"[239, 240]"
32,[248]
33,[71]
34,[]
35,"[243, 247]"
36,[27]
37,[]
38,[241]
39,[244]
40,[240]
41,[]
42,[40]
43,[]
44,[244]
45,"[40, 74, 79]"
46,[]
47,[84]
48,[41]
49,[47]
50,"[47, 236]"
51,[]
52,[]
53,[]
54,[]
55,[]
56,[26]
57,[39]
58,[22]
59,[220]
60,"[11, 20, 40]"
61,[]
62,[54]
63,[]
64,"[41, 47]"
65,[]
66,"[26, 48]"
67,[]
68,[]
69,[]
70,[]
71,[161]
72,[]
73,[]
74,[]
75,[]
76,[]
77,[]
78,[62]
79,[60]
80,[]
81,[]
82,[]
83,[23]
84,[70]
85,[137]
86,[]
87,[24]
88,[74]
89,[]
90,[77]
91,[]
92,[]
93,[169]
94,[]
95,[81]
96,[]
97,[]
98,[162]
99,[220]
100,"[48, 78, 209, 213]"
101,[]
102,[224]
103,[]
104,[]
105,[]
106,[]
107,[89]
108,[94]
109,"[78, 198]"
110,[197]
111,[]
112,[61]
113,[]
114,[]
115,[]
116,[]
117,[]
118,[]
119,[92]
120,[196]
121,[]
122,[]
123,[]
124,[]
125,[]
126,[]
127,[]
128,"[65, 189, 193]"
129,[68]
130,[]
131,[]
132,"[43, 186]"
133,[]
134,[185]
135,[]
136,[]
137,[]
138,[223]
139,[]
140,[177]
141,[]
142,[57]
143,[]
144,[]
145,[]
146,[]
147,[]
148,[]
149,[]
150,[]
151,[]
152,[216]
153,[]
154,[]
155,[]
156,[210]
157,[]
158,[]
159,[]
160,[]
161,[]
162,[]
163,[]
164,[]
165,[]
166,[]
167,[]
168,[83]
169,[]
170,[]
171,[]
172,[]
173,[]
174,[]
175,[]
176,[]
177,[108]
178,[201]
179,[]
180,[]
181,[]
182,[]
183,[]
184,[35]
185,[]
186,[]
187,[]
188,[]
189,[]
190,[]
191,[]
192,[]
193,[]
194,[]
195,[]
196,[]
197,[]
198,[]
199,[68]
200,[]
201,[]
202,[82]
203,[51]
204,[]
205,[]
206,[]
207,[]
208,[19]
209,[]
210,[]
211,[]
212,[]
213,[]
214,[44]
215,[]
216,[]
217,[]
218,[]
219,[]
220,[]
221,[81]
222,[124]
223,[]
224,[339]
225,[]
226,[63]
227,[]
228,[]
229,[]
230,[]
231,"[49, 190]"
232,[185]
233,[]
234,[]
235,[175]
236,[]
237,[]
238,[]
239,[]
240,[]
241,[]
242,[]
243,[]
244,[]
245,[374]
246,[]
247,[]
248,[]
