timestamp,event,device
0,enter,TABLE
681,quit,TABLE
775,enter,TABLE
873,quit,TABLE
873,enter,SCREEN
1141,quit,SCREEN
1142,enter,TABLE
1190,quit,TABLE
1191,enter,SCREEN
1359,quit,SCREEN
1360,enter,TABLE
1519,quit,TABLE
1520,enter,SCREEN
1574,quit,SCREEN
1575,enter,TABLE
1737,quit,TABLE
1738,enter,SCREEN
1790,quit,SCREEN
1791,enter,TABLE
1899,quit,TABLE
1900,enter,SCREEN
2063,quit,SCREEN
2064,enter,TABLE
2176,quit,TABLE
2177,enter,SCREEN
2233,quit,SCREEN
2234,enter,TABLE
2293,quit,TABLE
2294,enter,SCREEN
2523,quit,SCREEN
2524,enter,TABLE
2636,quit,TABLE
2637,enter,SCREEN
2690,quit,SCREEN
2691,enter,TABLE
2802,quit,TABLE
2803,enter,SCREEN
2907,quit,SCREEN
2908,enter,TABLE
2966,quit,TABLE
2967,enter,SCREEN
3020,quit,SCREEN
3021,enter,TABLE
3069,quit,TABLE
3070,enter,SCREEN
3184,quit,SCREEN
3185,enter,TABLE
3241,quit,TABLE
3242,enter,SCREEN
3389,quit,SCREEN
3390,enter,TABLE
3814,quit,TABLE
3815,enter,SCREEN
3976,quit,SCREEN
4136,grasp,BLOCK
4472,enter,SCREEN
4734,quit,SCREEN
4788,enter,SCREEN
5069,quit,SCREEN
5257,enter,TABLE
7216,release,BLOCK
7276,quit,TABLE
