timestamp,event,device
0,enter,TABLE
395,quit,TABLE
579,enter,SCREEN
706,quit,SCREEN
770,enter,TABLE
828,quit,TABLE
829,enter,SCREEN
899,quit,SCREEN
1150,enter,SCREEN
1272,quit,SCREEN
1335,enter,TABLE
1394,quit,TABLE
1395,enter,SCREEN
1514,quit,SCREEN
1515,enter,TABLE
1692,quit,TABLE
1806,enter,TABLE
2115,quit,TABLE
2115,enter,SCREEN
2181,quit,SCREEN
2244,enter,SCREEN
2306,quit,SCREEN
2307,enter,TABLE
2371,grasp,BLOCK
2437,quit,TABLE
2437,enter,SCREEN
2499,quit,SCREEN
2643,enter,SCREEN
2716,quit,SCREEN
2778,enter,TABLE
4646,release,BLOCK
4706,quit,TABLE
