timestamp,event,device
0,enter,TABLE
100,quit,TABLE
150,enter,TABLE
297,quit,TABLE
1058,enter,SCREEN
1271,quit,SCREEN
1272,enter,TABLE
1327,quit,TABLE
1328,enter,SCREEN
1381,quit,SCREEN
1382,enter,TABLE
1487,quit,TABLE
1694,enter,SCREEN
1783,quit,SCREEN
1784,enter,TABLE
2161,quit,TABLE
2161,enter,SCREEN
2265,quit,SCREEN
2367,enter,SCREEN
2470,quit,SCREEN
2625,enter,SCREEN
2720,grasp,BLOCK
3207,quit,SCREEN
3441,enter,TABLE
3868,quit,TABLE
3917,enter,TABLE
5414,quit,TABLE
5614,enter,TABLE
5663,release,BLOCK
5723,quit,TABLE
