timestamp,event,device
0,enter,TABLE
789,quit,TABLE
905,enter,SCREEN
1001,quit,SCREEN
1002,enter,TABLE
1102,quit,TABLE
1158,enter,SCREEN
4001,quit,SCREEN
4157,enter,TABLE
4901,grasp,BLOCK
5448,quit,TABLE
5495,enter,TABLE
5637,quit,TABLE
5637,enter,SCREEN
5904,quit,SCREEN
5957,enter,SCREEN
8003,quit,SCREEN
8004,enter,TABLE
9746,quit,TABLE
9783,enter,TABLE
9827,quit,TABLE
9828,enter,SCREEN
10860,quit,SCREEN
10861,enter,TABLE
12565,quit,TABLE
12565,enter,SCREEN
13640,release,BLOCK
13700,quit,SCREEN
