row,non_zero_column
0,[]
1,[]
2,[]
3,[]
4,[60]
5,[58]
6,[]
7,[]
8,[]
9,[]
10,[]
11,[13]
12,[]
13,[57]
14,[]
15,[]
16,[58]
17,[]
18,"[46, 52]"
19,[44]
20,[]
21,[]
22,[]
23,[]
24,[55]
25,[]
26,[51]
27,[]
28,[288]
29,[]
30,"[43, 50, 269]"
31,[]
32,[]
33,[]
34,[]
35,[]
36,[]
37,[]
38,[279]
39,[278]
40,[]
41,[]
42,[]
43,[]
44,[275]
45,[]
46,[]
47,[265]
48,[264]
49,[]
50,[277]
51,[277]
52,[]
53,[278]
54,[62]
55,"[262, 280]"
56,"[261, 279]"
57,[54]
58,[]
59,[]
60,[]
61,"[258, 263]"
62,[]
63,[]
64,[277]
65,[]
66,[]
67,[]
68,"[52, 255]"
69,[254]
70,[]
71,[52]
72,[257]
73,[]
74,"[56, 255]"
75,[]
76,[263]
77,[]
78,[]
79,[]
80,[59]
81,[271]
82,[]
83,[]
84,[60]
85,[]
86,[]
87,[]
88,[]
89,[]
90,[]
91,[]
92,[]
93,[266]
94,[]
95,[292]
96,"[265, 292]"
97,"[52, 290]"
98,[]
99,[71]
100,[]
101,[70]
102,[]
103,[]
104,[]
105,[226]
106,[227]
107,[221]
108,[]
109,[]
110,[]
111,[]
112,[]
113,"[64, 225]"
114,"[223, 291]"
115,[]
116,[292]
117,"[270, 294]"
118,"[60, 64]"
119,[]
120,[]
121,[222]
122,[222]
123,[51]
124,[]
125,"[42, 64]"
126,"[45, 52]"
127,[]
128,[53]
129,"[43, 293]"
130,[57]
131,[219]
132,[]
133,[]
134,"[49, 52]"
135,"[50, 58]"
136,[55]
137,[]
138,[]
139,[]
140,[]
141,[]
142,[]
143,[]
144,[]
145,[]
146,[]
147,[]
148,[]
149,[213]
150,[]
151,[]
152,[]
153,[]
154,[]
155,[]
156,[]
157,[]
158,[]
159,[]
160,[]
161,[]
162,[]
163,[]
164,[]
165,[]
166,[]
167,[]
168,[]
169,[]
170,[]
171,[]
172,[]
173,[]
174,[]
175,[]
176,[]
177,[]
178,[]
179,[]
180,[294]
181,[]
182,[]
183,[]
184,[]
185,[]
186,[]
187,[]
188,[192]
189,[]
190,[291]
191,[]
192,[286]
193,[]
194,[]
195,[]
196,[]
197,[]
198,[]
199,[186]
200,[270]
201,[]
202,[]
203,[]
204,[]
205,[]
206,[]
207,[]
208,[]
209,[]
210,[]
211,[]
212,[]
213,[]
214,[259]
215,[]
216,[]
217,[]
218,[]
219,[]
220,[]
221,[]
222,[]
223,[]
224,[]
225,[]
226,[]
227,"[103, 255]"
228,[]
229,[260]
230,[]
231,[]
232,[]
233,[]
234,[]
235,[]
236,[]
237,[]
238,[]
239,[]
240,[]
241,[]
242,[]
243,[]
244,[]
245,[]
246,[]
247,[]
248,[]
249,[]
250,[]
251,[]
252,[]
