timestamp,event,device
72,enter,SCREEN
138,quit,SCREEN
139,enter,TABLE
146,quit,TABLE
147,enter,SCREEN
949,quit,SCREEN
950,enter,TABLE
956,quit,TABLE
957,enter,SCREEN
1047,quit,SCREEN
1048,enter,TABLE
1055,quit,TABLE
1056,enter,SCREEN
1871,quit,SCREEN
2126,enter,TABLE
2377,quit,TABLE
2458,enter,SCREEN
2536,quit,SCREEN
2537,enter,TABLE
2557,quit,TABLE
2558,enter,SCREEN
2894,grasp,BLOCK
3105,quit,SCREEN
3141,enter,TABLE
4994,quit,TABLE
5181,enter,SCREEN
5702,release,BLOCK
5762,quit,SCREEN
