row,non_zero_column
0,[]
1,[]
2,[]
3,[]
4,[]
5,[]
6,[]
7,[]
8,[]
9,[]
10,[]
11,[]
12,[]
13,[]
14,[]
15,[]
16,[]
17,[]
18,[]
19,[]
20,[]
21,[]
22,[]
23,[]
24,[]
25,[]
26,[]
27,[]
28,[]
29,[]
30,[]
31,[]
32,[]
33,[]
34,[]
35,[]
36,[]
37,[]
38,[]
39,[]
40,[]
41,[]
42,[]
43,[]
44,[]
45,[]
46,[]
47,[]
48,[]
49,[]
50,[]
51,[]
52,[]
53,[]
54,[]
55,[]
56,[]
57,[]
58,[]
59,[]
60,[]
61,[]
62,[]
63,[]
64,[]
65,[]
66,[]
67,[]
68,[]
69,[]
70,[]
71,[]
72,[]
73,[]
74,[]
75,[]
76,[]
77,[]
78,[]
79,[]
80,[]
81,[]
82,[]
83,[]
84,[]
85,[]
86,[]
87,[]
88,[]
89,[]
90,[]
91,[]
92,[]
93,[]
94,[]
95,[]
96,[]
97,[]
98,[]
99,[]
100,[]
101,[]
102,[]
103,[173]
104,[]
105,[]
106,[]
107,[]
108,[]
109,[]
110,[]
111,[]
112,[]
113,[]
114,[]
115,[]
116,[]
117,[]
118,[]
119,[]
120,[]
121,[]
122,[]
123,[]
124,[]
125,[]
126,[]
127,[]
128,[]
129,[]
130,[]
131,[]
132,[]
133,[]
134,[]
135,[]
136,[]
137,[]
138,[]
139,[]
140,[243]
141,[16]
142,[]
143,[]
144,[]
145,[]
146,[]
147,[]
148,[]
149,[]
150,[]
151,[]
152,[]
153,[]
154,"[150, 247]"
155,[]
156,[47]
157,[336]
158,[]
159,[220]
160,[]
161,[214]
162,[]
163,"[69, 311]"
164,[]
165,[]
166,"[2, 39]"
167,"[243, 247]"
168,[62]
169,[]
170,[341]
171,[]
172,[]
173,"[45, 257]"
174,[32]
175,"[59, 304]"
176,[]
177,"[52, 70]"
178,"[31, 245, 304]"
179,"[33, 302]"
180,"[247, 319]"
181,"[36, 46, 75, 234]"
182,"[41, 42, 239]"
183,"[77, 240]"
184,"[63, 66]"
185,[]
186,[343]
187,[]
188,[245]
189,"[246, 321]"
190,[]
191,[]
192,[304]
193,[]
194,[311]
195,[335]
196,[]
197,[239]
198,[]
199,[]
200,[]
201,[]
202,[]
203,[311]
204,[]
205,"[190, 283, 315]"
206,[326]
207,[187]
208,[]
209,[]
210,[318]
211,[317]
212,"[317, 319]"
213,"[295, 320]"
214,[]
215,[]
216,[]
217,[]
218,"[327, 330, 339]"
219,[332]
220,"[329, 332]"
221,[308]
222,[]
223,"[304, 313, 328, 336]"
224,[]
225,[]
226,"[318, 332]"
227,[]
228,[]
229,[]
230,[]
231,[]
232,[]
233,[]
234,[]
235,[]
236,[]
237,[294]
238,[302]
239,[]
240,[]
241,[]
242,[]
243,"[158, 272]"
244,[]
245,"[284, 288]"
246,[291]
