timestamp,event,device
18,enter,SCREEN
114,quit,SCREEN
115,enter,TABLE
123,quit,TABLE
124,enter,SCREEN
682,quit,SCREEN
683,enter,TABLE
691,quit,TABLE
692,enter,SCREEN
715,quit,SCREEN
716,enter,TABLE
724,quit,TABLE
725,enter,SCREEN
748,quit,SCREEN
749,enter,TABLE
766,quit,TABLE
767,enter,SCREEN
781,quit,SCREEN
782,enter,TABLE
785,quit,TABLE
786,enter,SCREEN
844,quit,SCREEN
845,enter,TABLE
847,quit,TABLE
848,enter,SCREEN
895,quit,SCREEN
896,enter,TABLE
918,quit,TABLE
919,enter,SCREEN
1008,quit,SCREEN
1009,enter,TABLE
1013,quit,TABLE
1014,enter,SCREEN
1089,quit,SCREEN
1090,enter,TABLE
1092,quit,TABLE
1093,enter,SCREEN
1366,quit,SCREEN
2183,enter,TABLE
2548,quit,TABLE
2675,grasp,BLOCK
2907,enter,SCREEN
3189,quit,SCREEN
3230,enter,TABLE
3293,quit,TABLE
3311,enter,TABLE
3372,quit,TABLE
3536,enter,TABLE
4251,quit,TABLE
4448,enter,TABLE
4472,quit,TABLE
4473,enter,SCREEN
4738,quit,SCREEN
4739,enter,TABLE
4753,quit,TABLE
4754,enter,SCREEN
4901,quit,SCREEN
5077,enter,TABLE
5210,quit,TABLE
5276,enter,TABLE
5337,quit,TABLE
5341,enter,TABLE
5437,quit,TABLE
5469,enter,TABLE
5531,quit,TABLE
5667,release,BLOCK
