timestamp,event,device
8,enter,TABLE
464,quit,TABLE
634,enter,SCREEN
1899,quit,SCREEN
3170,grasp,BLOCK
3873,enter,TABLE
4127,quit,TABLE
4269,enter,SCREEN
4504,quit,SCREEN
4505,enter,TABLE
4512,quit,TABLE
4513,enter,SCREEN
4564,quit,SCREEN
4565,enter,TABLE
4567,quit,TABLE
4568,enter,SCREEN
4597,quit,SCREEN
4598,enter,TABLE
4614,quit,TABLE
4615,enter,SCREEN
4677,quit,SCREEN
4730,enter,TABLE
5814,quit,TABLE
5970,enter,SCREEN
6059,quit,SCREEN
6060,enter,TABLE
6097,quit,TABLE
6098,enter,SCREEN
6368,quit,SCREEN
6369,enter,TABLE
6395,quit,TABLE
6396,enter,SCREEN
6513,quit,SCREEN
6514,enter,TABLE
6528,quit,TABLE
6529,enter,SCREEN
6578,quit,SCREEN
6579,enter,TABLE
6581,quit,TABLE
6582,enter,SCREEN
7169,release,BLOCK
7229,quit,SCREEN
