timestamp,event,device
30,enter,SCREEN
2894,quit,SCREEN
3016,enter,SCREEN
8831,quit,SCREEN
9043,enter,TABLE
9111,quit,TABLE
9141,enter,TABLE
9479,quit,TABLE
9515,enter,TABLE
9577,quit,TABLE
9708,enter,TABLE
9770,quit,TABLE
9803,enter,SCREEN
12110,quit,SCREEN
12357,enter,TABLE
12667,quit,TABLE
12668,enter,SCREEN
13064,quit,SCREEN
13065,enter,TABLE
13093,quit,TABLE
13094,enter,SCREEN
13135,quit,SCREEN
13136,enter,TABLE
13144,quit,TABLE
13145,enter,SCREEN
13477,quit,SCREEN
13487,enter,TABLE
14531,grasp,BLOCK
16821,quit,TABLE
16933,enter,SCREEN
17375,quit,SCREEN
17464,enter,TABLE
19809,release,BLOCK
19869,quit,TABLE
