row,non_zero_column
0,[]
1,[]
2,[]
3,[]
4,[]
5,[]
6,[363]
7,[]
8,[95]
9,[]
10,[]
11,[]
12,[207]
13,[]
14,[220]
15,[]
16,[]
17,[]
18,[]
19,[]
20,[]
21,[]
22,[227]
23,[]
24,[]
25,[]
26,[]
27,[]
28,[]
29,[]
30,[]
31,[]
32,[]
33,[]
34,[199]
35,[]
36,[203]
37,[]
38,[]
39,[]
40,[]
41,[]
42,[]
43,[]
44,[]
45,[]
46,"[62, 199]"
47,[242]
48,[]
49,[]
50,[]
51,[]
52,[]
53,[]
54,[]
55,[]
56,[]
57,[]
58,[]
59,[]
60,[]
61,[]
62,[339]
63,[]
64,[]
65,[]
66,[]
67,[]
68,[]
69,[]
70,[]
71,[253]
72,"[222, 238]"
73,[]
74,[]
75,[255]
76,[]
77,[]
78,[]
79,[]
80,[227]
81,[]
82,[]
83,[]
84,[]
85,"[211, 213]"
86,"[33, 260]"
87,"[214, 218]"
88,[255]
89,[]
90,[211]
91,[212]
92,[]
93,"[228, 252]"
94,[]
95,[]
96,"[205, 258]"
97,[116]
98,[]
99,"[105, 253]"
100,[]
101,"[207, 217]"
102,[]
103,[218]
104,[26]
105,[108]
106,[219]
107,[]
108,[]
109,[]
110,[199]
111,[]
112,[]
113,"[264, 265]"
114,"[59, 87, 222, 235]"
115,[]
116,[]
117,[]
118,"[132, 226, 263]"
119,"[40, 280]"
120,"[52, 129, 266]"
121,"[19, 273]"
122,[]
123,[34]
124,[135]
125,"[266, 295]"
126,[47]
127,"[49, 204]"
128,[]
129,[285]
130,[288]
131,[284]
132,[]
133,[]
134,[]
135,[140]
136,[284]
137,[234]
138,[61]
139,[69]
140,"[9, 67]"
141,[]
142,[]
143,[]
144,"[26, 34, 61]"
145,[272]
146,[]
147,[]
148,[]
149,[]
150,[]
151,"[34, 49]"
152,"[46, 48]"
153,[234]
154,[]
155,[]
156,[232]
157,"[229, 230, 234, 237, 241]"
158,[]
159,[71]
160,[230]
161,"[161, 228, 237]"
162,[]
163,[225]
164,[245]
165,[]
166,[]
167,"[225, 228]"
168,"[130, 237]"
169,[249]
170,[252]
171,"[232, 237, 242]"
172,[]
173,"[116, 238, 241]"
174,"[82, 249]"
175,[]
176,[]
177,[]
178,[]
179,[]
180,[]
181,[]
182,[130]
183,[]
184,[125]
185,"[117, 241]"
186,[122]
187,[]
188,[234]
189,[248]
190,[97]
191,[]
192,[]
193,[]
194,[]
195,[]
196,[]
197,[]
198,[]
199,[]
200,[]
201,"[224, 351]"
202,[]
203,[]
204,[]
205,[]
206,[]
207,[]
208,[]
209,[]
210,[]
211,[234]
212,[]
213,[]
214,[140]
215,[]
216,[]
217,[]
218,[]
219,[177]
220,[]
221,[82]
222,[]
223,[]
224,[135]
225,[]
226,[]
227,[]
228,[180]
229,[]
230,[165]
231,[]
232,[]
