timestamp,event,device
4,enter,TABLE
164,quit,TABLE
511,enter,SCREEN
521,quit,SCREEN
522,enter,TABLE
527,quit,TABLE
528,enter,SCREEN
620,quit,SCREEN
621,enter,TABLE
627,quit,TABLE
628,enter,SCREEN
655,quit,SCREEN
656,enter,TABLE
661,quit,TABLE
662,enter,SCREEN
717,quit,SCREEN
718,enter,TABLE
727,quit,TABLE
728,enter,SCREEN
2640,quit,SCREEN
2849,enter,SCREEN
3944,quit,SCREEN
4096,enter,TABLE
4854,quit,TABLE
4970,enter,TABLE
5066,quit,TABLE
5081,enter,TABLE
5236,quit,TABLE
5253,enter,TABLE
5764,quit,TABLE
5815,enter,TABLE
5857,quit,TABLE
5858,enter,SCREEN
6000,grasp,BLOCK
7630,quit,SCREEN
7846,enter,TABLE
9448,quit,TABLE
9716,enter,SCREEN
9770,quit,SCREEN
9771,enter,TABLE
9801,quit,TABLE
9802,enter,SCREEN
10157,quit,SCREEN
10275,enter,TABLE
12103,release,BLOCK
12163,quit,TABLE
