timestamp,event,device
71,enter,TABLE
425,quit,TABLE
428,enter,TABLE
506,quit,TABLE
672,enter,SCREEN
946,quit,SCREEN
947,enter,TABLE
950,quit,TABLE
951,enter,SCREEN
1419,quit,SCREEN
1420,enter,TABLE
1426,quit,TABLE
1427,enter,SCREEN
1841,quit,SCREEN
1842,enter,TABLE
1848,quit,TABLE
1849,enter,SCREEN
2128,quit,SCREEN
2129,enter,TABLE
2158,quit,TABLE
2159,enter,SCREEN
2292,quit,SCREEN
2293,enter,TABLE
2313,quit,TABLE
2314,enter,SCREEN
2486,quit,SCREEN
2569,enter,TABLE
3531,grasp,BLOCK
5313,release,BLOCK
5373,quit,TABLE
