timestamp,event,device
93,enter,TABLE
612,quit,TABLE
645,enter,TABLE
1322,quit,TABLE
1426,enter,SCREEN
1549,quit,SCREEN
1573,enter,SCREEN
1600,quit,SCREEN
1601,enter,TABLE
1603,quit,TABLE
1604,enter,SCREEN
3283,quit,SCREEN
3540,enter,TABLE
3709,quit,TABLE
3828,enter,SCREEN
4238,quit,SCREEN
4620,enter,TABLE
4686,quit,TABLE
4801,enter,TABLE
4894,quit,TABLE
4986,enter,SCREEN
6851,quit,SCREEN
7100,enter,TABLE
7895,quit,TABLE
8030,enter,SCREEN
8101,grasp,BLOCK
8155,quit,SCREEN
8176,enter,SCREEN
8366,quit,SCREEN
8367,enter,TABLE
8374,quit,TABLE
8375,enter,SCREEN
8399,quit,SCREEN
8400,enter,TABLE
8413,quit,TABLE
8414,enter,SCREEN
8481,quit,SCREEN
8593,enter,TABLE
9988,quit,TABLE
10248,enter,TABLE
10396,quit,TABLE
10425,release,BLOCK
