timestamp,event,device
6,enter,SCREEN
669,quit,SCREEN
759,enter,TABLE
1103,quit,TABLE
1132,enter,TABLE
1193,quit,TABLE
1231,enter,TABLE
1249,quit,TABLE
1250,enter,SCREEN
1262,quit,SCREEN
1263,enter,TABLE
1269,quit,TABLE
1270,enter,SCREEN
1298,quit,SCREEN
1299,enter,TABLE
1307,quit,TABLE
1308,enter,SCREEN
1328,quit,SCREEN
1329,enter,TABLE
1339,quit,TABLE
1340,enter,SCREEN
1425,quit,SCREEN
1426,enter,TABLE
1428,quit,TABLE
1429,enter,SCREEN
1683,quit,SCREEN
1684,enter,TABLE
1687,quit,TABLE
1688,enter,SCREEN
1760,quit,SCREEN
1807,grasp,BLOCK
1894,enter,TABLE
3404,quit,TABLE
3903,release,BLOCK
