world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
105,432143.715499,"[[ 2.68755052e-03 -8.59271202e-05 -2.79294859e+00]
 [ 3.27891761e-04 -1.71330363e-03  6.38797130e-01]
 [ 2.07834616e-04  9.22868951e-04  2.49311527e-01]]","[[ 2.22154748e+02  5.58538237e+02  1.05760921e+03]
 [-1.11477998e+01 -2.73250710e+02  5.75250330e+02]
 [-1.43930323e-01  5.45867326e-01  1.00000000e+00]]",1,"[[ 4.61022614e-03  2.39821001e-04 -4.79844302e+00]
 [ 2.18028112e-04 -2.07182700e-03  9.14671952e-01]
 [-4.87118052e-04  8.65666672e-04  1.01872307e+00]]","[[ 3.02213207e+02  4.57956989e+02  1.01231872e+03]
 [ 6.95201914e+01 -2.45644034e+02  5.48011920e+02]
 [ 8.54326346e-02  4.27716799e-01  1.00000000e+00]]",14
106,432143.748825,"[[ 2.26015081e-03 -1.65094885e-04 -2.12920910e+00]
 [ 2.41490948e-04 -1.48780759e-03  5.71949119e-01]
 [-5.03963278e-05  7.80763819e-04  6.24913847e-01]]","[[ 4.14201423e+02  4.69254561e+02  9.81786061e+02]
 [ 5.40914707e+01 -3.92769645e+02  5.43781044e+02]
 [-3.41782034e-02  5.28567316e-01  1.00000000e+00]]",4,"[[ 2.92394616e-03 -7.18080520e-05 -2.71680668e+00]
 [ 1.33832591e-04 -1.57767353e-03  7.01858768e-01]
 [-1.04874298e-03  7.18918974e-04  1.61068763e+00]]","[[ 6.61620571e+02  3.99160332e+02  9.42045484e+02]
 [ 2.06722719e+02 -4.04119348e+02  5.24782309e+02]
 [ 3.38521904e-01  4.40275104e-01  1.00000000e+00]]",14
107,432143.785656,"[[ 2.35964220e-03 -1.15844961e-04 -2.20672939e+00]
 [ 2.05407602e-04 -1.46412583e-03  5.83359692e-01]
 [-1.92154502e-05  7.08080374e-04  6.40846346e-01]]","[[ 3.93861348e+02  4.33778869e+02  9.61379135e+02]
 [ 4.16331959e+01 -4.28375756e+02  5.33310908e+02]
 [-3.41913877e-02  4.86325192e-01  1.00000000e+00]]",12,"[[ 3.20229059e-03 -2.22413545e-04 -2.86675016e+00]
 [ 1.17564556e-04 -1.69035571e-03  7.59226332e-01]
 [-6.67831798e-04  8.40365162e-04  1.18983101e+00]]","[[ 4.91801141e+02  3.98094909e+02  9.30911077e+02]
 [ 1.20091699e+02 -3.51907593e+02  5.13896853e+02]
 [ 1.91220063e-01  4.71992507e-01  1.00000000e+00]]",14
108,432143.82717299997,"[[ 2.39483343e-03 -1.77113124e-04 -2.18091760e+00]
 [ 1.93348254e-04 -1.48802020e-03  6.01959064e-01]
 [-7.85889395e-06  6.91436158e-04  6.42426713e-01]]","[[ 3.88789269e+02  3.95029258e+02  9.49720651e+02]
 [ 3.65347890e+01 -4.31065216e+02  5.27940342e+02]
 [-3.45658424e-02  4.68782763e-01  1.00000000e+00]]",14,"[[ 3.18461484e-03 -2.81056331e-04 -2.79240772e+00]
 [ 1.08910154e-04 -1.69056124e-03  7.60900663e-01]
 [-6.37120170e-04  8.38430958e-04  1.16014378e+00]]","[[ 4.85554092e+02  3.76444773e+02  9.21806366e+02]
 [ 1.14163356e+02 -3.57827133e+02  5.09472662e+02]
 [ 1.84148050e-01  4.65333620e-01  1.00000000e+00]]",14
109,432143.870201,"[[ 2.40388952e-03 -1.95205467e-04 -2.16939356e+00]
 [ 1.95058124e-04 -1.48368508e-03  5.97160531e-01]
 [-1.13895223e-05  6.87843773e-04  6.48442390e-01]]","[[ 3.89066865e+02  3.87022648e+02  9.45225840e+02]
 [ 3.77735217e+01 -4.34762286e+02  5.26752288e+02]
 [-3.32350202e-02  4.67977632e-01  1.00000000e+00]]",14,"[[ 3.17549009e-03 -3.01715008e-04 -2.76185198e+00]
 [ 1.13516077e-04 -1.68347784e-03  7.51795863e-01]
 [-6.30565447e-04  8.36097504e-04  1.15375601e+00]]","[[ 4.84013999e+02  3.69204290e+02  9.18052650e+02]
 [ 1.13906231e+02 -3.61888310e+02  5.08476903e+02]
 [ 1.81984567e-01  4.64033449e-01  1.00000000e+00]]",14
110,432143.91132199997,"[[ 2.40363625e-03 -1.94301067e-04 -2.17131229e+00]
 [ 2.04580240e-04 -1.47632089e-03  5.85851441e-01]
 [-1.52867181e-05  6.83147805e-04  6.53809903e-01]]","[[ 3.89153248e+02  3.86541213e+02  9.46020399e+02]
 [ 4.06728256e+01 -4.38421710e+02  5.27926229e+02]
 [-3.33991202e-02  4.67132379e-01  1.00000000e+00]]",14,"[[ 3.18172885e-03 -3.01441256e-04 -2.76933314e+00]
 [ 1.26573831e-04 -1.67855204e-03  7.38660363e-01]
 [-6.34527435e-04  8.30094977e-04  1.16011087e+00]]","[[ 4.82874875e+02  3.67579159e+02  9.18640852e+02]
 [ 1.16083916e+02 -3.64719422e+02  5.09329610e+02]
 [ 1.81048799e-01  4.62016894e-01  1.00000000e+00]]",14
111,432143.952202,"[[ 2.37625648e-03 -1.67504392e-04 -2.18629383e+00]
 [ 2.28563921e-04 -1.45456894e-03  5.58562623e-01]
 [-2.35787438e-05  6.73827112e-04  6.62421943e-01]]","[[ 3.92000235e+02  3.98527887e+02  9.57735355e+02]
 [ 4.81477637e+01 -4.45427294e+02  5.34499499e+02]
 [-3.50235914e-02  4.67281885e-01  1.00000000e+00]]",14,"[[ 3.20855290e-03 -2.73250533e-04 -2.83704435e+00]
 [ 1.56477103e-04 -1.66994728e-03  7.13660123e-01]
 [-6.62066041e-04  8.15298204e-04  1.19508900e+00]]","[[ 4.84931034e+02  3.73724391e+02  9.28013443e+02]
 [ 1.24073365e+02 -3.68027143e+02  5.14311433e+02]
 [ 1.84002680e-01  4.58109896e-01  1.00000000e+00]]",14
112,432143.99305,"[[ 2.35695535e-03 -1.54476671e-04 -2.19424732e+00]
 [ 2.38204039e-04 -1.44287869e-03  5.47366864e-01]
 [-2.36899438e-05  6.70629642e-04  6.61501645e-01]]","[[ 3.92849472e+02  4.07056845e+02  9.66285540e+02]
 [ 5.06953828e+01 -4.48022175e+02  5.38881050e+02]
 [-3.73260515e-02  4.68782062e-01  1.00000000e+00]]",14,"[[ 3.22619200e-03 -2.59251353e-04 -2.88152546e+00]
 [ 1.67195452e-04 -1.66652106e-03  7.06413696e-01]
 [-6.76038637e-04  8.08882759e-04  1.21320571e+00]]","[[ 4.86247037e+02  3.78066061e+02  9.34764952e+02]
 [ 1.27579895e+02 -3.68638452e+02  5.17666513e+02]
 [ 1.85891482e-01  4.56453963e-01  1.00000000e+00]]",14
113,432144.032332,"[[ 2.33496520e-03 -1.46258349e-04 -2.20066695e+00]
 [ 2.47015368e-04 -1.42881350e-03  5.37031538e-01]
 [-2.14326283e-05  6.68866838e-04  6.56602822e-01]]","[[ 3.93128959e+02  4.16932448e+02  9.76602615e+02]
 [ 5.26350393e+01 -4.50282681e+02  5.44694875e+02]
 [-4.07857605e-02  4.72302435e-01  1.00000000e+00]]",14,"[[ 3.25160448e-03 -2.50580706e-04 -2.93470180e+00]
 [ 1.76433405e-04 -1.66436134e-03  7.02614502e-01]
 [-6.87367330e-04  8.01509020e-04  1.22956985e+00]]","[[ 4.86173310e+02  3.80816481e+02  9.42774019e+02]
 [ 1.30391053e+02 -3.69037212e+02  5.22092956e+02]
 [ 1.86788937e-01  4.53449199e-01  1.00000000e+00]]",14
114,432144.072545,"[[ 2.31264095e-03 -1.37153018e-04 -2.20932070e+00]
 [ 2.56160788e-04 -1.41633439e-03  5.28486232e-01]
 [-1.73516984e-05  6.66685288e-04  6.49242565e-01]]","[[ 3.92513963e+02  4.27077457e+02  9.88050849e+02]
 [ 5.41550078e+01 -4.51535832e+02  5.51837279e+02]
 [-4.51195973e-02  4.75081013e-01  1.00000000e+00]]",14,"[[ 3.28288354e-03 -2.39094125e-04 -2.99742810e+00]
 [ 1.85095775e-04 -1.66479079e-03  7.02210063e-01]
 [-6.97865675e-04  7.92557186e-04  1.24585596e+00]]","[[ 4.85261491e+02  3.83274992e+02  9.51471848e+02]
 [ 1.32935461e+02 -3.68599170e+02  5.27587902e+02]
 [ 1.87251489e-01  4.49177433e-01  1.00000000e+00]]",14
115,432144.111711,"[[ 2.28345821e-03 -1.10895134e-04 -2.21741974e+00]
 [ 2.65292340e-04 -1.39261817e-03  5.13974361e-01]
 [-2.33034776e-05  6.70469956e-04  6.48312846e-01]]","[[ 3.95946858e+02  4.49068096e+02  9.98238570e+02]
 [ 5.83926301e+01 -4.53480995e+02  5.59233983e+02]
 [-4.61560581e-02  4.85121085e-01  1.00000000e+00]]",13,"[[ 3.30438951e-03 -2.07784613e-04 -3.05855602e+00]
 [ 1.93339427e-04 -1.65496055e-03  6.97263209e-01]
 [-7.20607331e-04  7.87080327e-04  1.27136178e+00]]","[[ 4.88693864e+02  3.94800612e+02  9.59142896e+02]
 [ 1.37839674e+02 -3.67886315e+02  5.33368211e+02]
 [ 1.91657080e-01  4.51525527e-01  1.00000000e+00]]",14
