world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,165405.48737699998,"[[ 2.86502569e-03  1.30185283e-03 -1.00800894e+00]
 [ 1.31224774e-04 -1.51323219e-03  9.44773411e-01]
 [ 1.50038497e-04  6.84702821e-04  5.58784189e-01]]","[[ 3.31195080e+02  3.14592068e+02  6.55519301e+01]
 [-1.51845837e+01 -3.88828362e+02  6.30025882e+02]
 [-7.03224709e-02  3.91977725e-01  1.00000000e+00]]",14,"[[ 4.15608136e-03  1.58879825e-03 -1.61788185e+00]
 [ 3.92668892e-04 -1.90216520e-03  1.04328988e+00]
 [ 6.13287371e-04  7.77973302e-04  4.44471563e-01]]","[[ 1.94281563e+02  2.30360726e+02  1.66470943e+02]
 [-5.45530744e+01 -3.32904797e+02  5.82839937e+02]
 [-1.72586055e-01  2.64839710e-01  1.00000000e+00]]",14
1,165405.54559999998,"[[ 2.86491361e-03  1.30737924e-03 -1.01653365e+00]
 [ 1.32653305e-04 -1.51414627e-03  9.47091244e-01]
 [ 1.49663642e-04  6.88324613e-04  5.55448280e-01]]","[[ 3.30930642e+02  3.16068167e+02  6.67150145e+01]
 [-1.50871536e+01 -3.86460498e+02  6.31340068e+02]
 [-7.04717746e-02  3.93747479e-01  1.00000000e+00]]",14,"[[ 4.15082657e-03  1.59012097e-03 -1.62332696e+00]
 [ 3.95558100e-04 -1.90492865e-03  1.04621210e+00]
 [ 6.10807314e-04  7.78334476e-04  4.43242915e-01]]","[[ 1.94311905e+02  2.30587868e+02  1.67375343e+02]
 [-5.43234463e+01 -3.31696335e+02  5.83968737e+02]
 [-1.72377987e-01  2.64698956e-01  1.00000000e+00]]",14
2,165405.598973,"[[ 2.82397858e-03  1.30783826e-03 -1.02127986e+00]
 [ 1.28829635e-04 -1.48815724e-03  9.34642209e-01]
 [ 1.36260486e-04  7.08249348e-04  5.41735951e-01]]","[[ 3.35882823e+02  3.27572571e+02  6.80538373e+01]
 [-1.31692960e+01 -3.81836203e+02  6.33944812e+02]
 [-6.72660018e-02  4.16808306e-01  1.00000000e+00]]",13,"[[ 4.08991783e-03  1.58884847e-03 -1.61885467e+00]
 [ 3.91902551e-04 -1.88034998e-03  1.03530342e+00]
 [ 5.90541132e-04  7.96769793e-04  4.33972183e-01]]","[[ 1.97388228e+02  2.38101126e+02  1.68296370e+02]
 [-5.30863045e+01 -3.28504913e+02  5.85667142e+02]
 [-1.71136092e-01  2.79129141e-01  1.00000000e+00]]",14
3,165405.649732,"[[ 2.86461886e-03  1.32090267e-03 -1.04118557e+00]
 [ 1.41125183e-04 -1.51670274e-03  9.48184139e-01]
 [ 1.48164151e-04  6.94801235e-04  5.50292633e-01]]","[[ 3.29589036e+02  3.20070600e+02  7.21025150e+01]
 [-1.38654036e+01 -3.81940690e+02  6.31870436e+02]
 [-7.12340630e-02  3.96061770e-01  1.00000000e+00]]",14,"[[ 4.12009327e-03  1.59552955e-03 -1.63649473e+00]
 [ 4.04398977e-04 -1.90526072e-03  1.04545240e+00]
 [ 5.99140148e-04  7.79503346e-04  4.41774915e-01]]","[[ 1.95010473e+02  2.33137003e+02  1.70675089e+02]
 [-5.27033358e+01 -3.29678209e+02  5.84945260e+02]
 [-1.71481391e-01  2.65527817e-01  1.00000000e+00]]",14
4,165405.697888,"[[ 2.86602135e-03  1.33015275e-03 -1.05505080e+00]
 [ 1.43893144e-04 -1.51637735e-03  9.48280939e-01]
 [ 1.48094606e-04  6.97619151e-04  5.47750537e-01]]","[[ 3.28854721e+02  3.22789550e+02  7.46019501e+01]
 [-1.35800584e+01 -3.80421296e+02  6.32438654e+02]
 [-7.16163636e-02  3.97235193e-01  1.00000000e+00]]",14,"[[ 4.10630447e-03  1.60139859e-03 -1.64500328e+00]
 [ 4.06427111e-04 -1.90359751e-03  1.04487600e+00]
 [ 5.93439427e-04  7.79452468e-04  4.41311261e-01]]","[[ 1.95392986e+02  2.34885498e+02  1.72204724e+02]
 [-5.20465784e+01 -3.29298419e+02  5.85661969e+02]
 [-1.70822896e-01  2.65758344e-01  1.00000000e+00]]",14
5,165405.746968,"[[ 2.86355721e-03  1.33306957e-03 -1.05690207e+00]
 [ 1.43483907e-04 -1.51544572e-03  9.48891035e-01]
 [ 1.47070572e-04  6.98508210e-04  5.46785683e-01]]","[[ 3.29173476e+02  3.23815953e+02  7.43217602e+01]
 [-1.34851389e+01 -3.79883519e+02  6.33183357e+02]
 [-7.13117629e-02  3.98196161e-01  1.00000000e+00]]",14,"[[ 4.10409088e-03  1.60358327e-03 -1.64651629e+00]
 [ 4.06711882e-04 -1.90396404e-03  1.04610231e+00]
 [ 5.92068511e-04  7.79204922e-04  4.41305756e-01]]","[[ 1.95524670e+02  2.35127357e+02  1.72142062e+02]
 [-5.19569557e+01 -3.29072893e+02  5.86205679e+02]
 [-1.70582150e-01  2.65583922e-01  1.00000000e+00]]",14
6,165405.795127,"[[ 2.85924968e-03  1.33064595e-03 -1.05566291e+00]
 [ 1.42506466e-04 -1.51529895e-03  9.50470365e-01]
 [ 1.45274358e-04  6.98894345e-04  5.45992694e-01]]","[[ 3.29840808e+02  3.23803824e+02  7.40573474e+01]
 [-1.33277830e+01 -3.79123794e+02  6.34214135e+02]
 [-7.07018610e-02  3.99139192e-01  1.00000000e+00]]",14,"[[ 4.10077827e-03  1.59897667e-03 -1.64446941e+00]
 [ 4.06554841e-04 -1.90562286e-03  1.04857735e+00]
 [ 5.90128946e-04  7.78209321e-04  4.41623112e-01]]","[[ 1.95824740e+02  2.34610552e+02  1.72138825e+02]
 [-5.18927522e+01 -3.28597295e+02  5.86979328e+02]
 [-1.70232087e-01  2.65536374e-01  1.00000000e+00]]",14
7,165405.84300199998,"[[ 2.85615359e-03  1.33544058e-03 -1.05584649e+00]
 [ 1.45324835e-04 -1.51667019e-03  9.49763895e-01]
 [ 1.44833058e-04  7.00645903e-04  5.45647351e-01]]","[[ 3.29881367e+02  3.24454593e+02  7.35801700e+01]
 [-1.28727759e+01 -3.78127705e+02  6.33266828e+02]
 [-7.10320858e-02  3.99418922e-01  1.00000000e+00]]",14,"[[ 4.09830511e-03  1.60525105e-03 -1.64514837e+00]
 [ 4.10691207e-04 -1.90761199e-03  1.04764039e+00]
 [ 5.90401432e-04  7.80447971e-04  4.41071907e-01]]","[[ 1.95703222e+02  2.34980278e+02  1.71822336e+02]
 [-5.15951080e+01 -3.27812556e+02  5.86181215e+02]
 [-1.70666424e-01  2.65507618e-01  1.00000000e+00]]",14
8,165405.891392,"[[ 2.84115868e-03  1.34434811e-03 -1.05313307e+00]
 [ 1.54493208e-04 -1.51650848e-03  9.42117495e-01]
 [ 1.37934955e-04  7.00427657e-04  5.49547492e-01]]","[[ 3.30639545e+02  3.26908217e+02  7.31901948e+01]
 [-9.97481142e+00 -3.77876290e+02  6.28697364e+02]
 [-7.02762133e-02  3.99570441e-01  1.00000000e+00]]",14,"[[ 4.07432346e-03  1.62111066e-03 -1.64181783e+00]
 [ 4.20359555e-04 -1.90325668e-03  1.03683484e+00]
 [ 5.81195336e-04  7.84478401e-04  4.43500269e-01]]","[[ 1.96477313e+02  2.37902994e+02  1.71169779e+02]
 [-4.93334898e+01 -3.27311813e+02  5.82573916e+02]
 [-1.70215547e-01  2.67194735e-01  1.00000000e+00]]",14
9,165405.939045,"[[ 2.83496050e-03  1.34834888e-03 -1.05496316e+00]
 [ 1.58560776e-04 -1.51523624e-03  9.38603199e-01]
 [ 1.34813055e-04  7.00376101e-04  5.50791277e-01]]","[[ 3.30852040e+02  3.28540358e+02  7.38350162e+01]
 [-8.69335415e+00 -3.77807012e+02  6.27169885e+02]
 [-6.99258656e-02  3.99998115e-01  1.00000000e+00]]",14,"[[ 4.05961246e-03  1.62662283e-03 -1.64159443e+00]
 [ 4.24056415e-04 -1.89949373e-03  1.03177105e+00]
 [ 5.75268265e-04  7.85399169e-04  4.44734266e-01]]","[[ 1.97015163e+02  2.39581552e+02  1.71396024e+02]
 [-4.82029865e+01 -3.27319341e+02  5.81445791e+02]
 [-1.69714797e-01  2.68143663e-01  1.00000000e+00]]",14
