world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,436772.629264,"[[ 2.84710535e-03  7.46900497e-04 -6.58274013e-01]
 [ 2.32325285e-06 -1.52233757e-03  9.67174024e-01]
 [ 1.37010679e-04  4.85058385e-04  6.82945028e-01]]","[[ 3.47973245e+02  1.91281156e+02  6.45140925e+01]
 [-3.01952946e+01 -4.69236943e+02  6.35420109e+02]
 [-4.83634385e-02  2.94898922e-01  1.00000000e+00]]",14,"[[ 4.24994101e-03  1.02007085e-03 -1.29776031e+00]
 [ 2.04685664e-04 -1.87213708e-03  1.06632854e+00]
 [ 6.54607699e-04  6.24489259e-04  5.25507865e-01]]","[[ 2.02042833e+02  1.64904930e+02  1.64336904e+02]
 [-7.23139878e+01 -3.77562875e+02  5.87545626e+02]
 [-1.65743448e-01  2.43261674e-01  1.00000000e+00]]",14
1,436772.692241,"[[ 2.84829832e-03  7.44866331e-04 -6.57265231e-01]
 [ 2.86037221e-06 -1.52335769e-03  9.67020640e-01]
 [ 1.37484980e-04  4.84419571e-04  6.83535970e-01]]","[[ 3.47771488e+02  1.90627628e+02  6.47182569e+01]
 [-3.01756264e+01 -4.69299215e+02  6.34917043e+02]
 [-4.85646598e-02  2.94248287e-01  1.00000000e+00]]",14,"[[ 4.25158263e-03  1.01855552e-03 -1.29710964e+00]
 [ 2.05360424e-04 -1.87281308e-03  1.06586916e+00]
 [ 6.55816696e-04  6.24464294e-04  5.25510169e-01]]","[[ 2.01892097e+02  1.64626449e+02  1.64422945e+02]
 [-7.23354644e+01 -3.77517209e+02  5.87156900e+02]
 [-1.65997345e-01  2.43156557e-01  1.00000000e+00]]",14
2,436772.737366,"[[ 2.85053863e-03  7.45896670e-04 -6.59599577e-01]
 [ 3.48279191e-06 -1.52407217e-03  9.66621944e-01]
 [ 1.37957662e-04  4.84871260e-04  6.83382714e-01]]","[[ 3.47412768e+02  1.90832555e+02  6.53958302e+01]
 [-3.01293050e+01 -4.69057787e+02  6.34385776e+02]
 [-4.87566021e-02  2.94279944e-01  1.00000000e+00]]",14,"[[ 4.25063064e-03  1.01995570e-03 -1.29886249e+00]
 [ 2.05503900e-04 -1.87267166e-03  1.06504990e+00]
 [ 6.55340185e-04  6.25177852e-04  5.25162622e-01]]","[[ 2.01881929e+02  1.64959851e+02  1.64761139e+02]
 [-7.22243571e+01 -3.77430211e+02  5.86813467e+02]
 [-1.65945306e-01  2.43460186e-01  1.00000000e+00]]",14
3,436772.780268,"[[ 2.85184140e-03  7.47704192e-04 -6.61020188e-01]
 [ 3.62503838e-06 -1.52411347e-03  9.66378821e-01]
 [ 1.38289573e-04  4.84847632e-04  6.83443259e-01]]","[[ 3.47231111e+02  1.91184527e+02  6.55066759e+01]
 [-3.01575897e+01 -4.69158707e+02  6.34215432e+02]
 [-4.88652213e-02  2.94145357e-01  1.00000000e+00]]",14,"[[ 4.25074819e-03  1.02239722e-03 -1.30030621e+00]
 [ 2.05307663e-04 -1.87230175e-03  1.06465734e+00]
 [ 6.55125685e-04  6.25316357e-04  5.25168655e-01]]","[[ 2.01873517e+02  1.65271343e+02  1.64785234e+02]
 [-7.21866657e+01 -3.77571159e+02  5.86705115e+02]
 [-1.65876281e-01  2.43403559e-01  1.00000000e+00]]",14
4,436772.823447,"[[ 2.85429805e-03  7.47227170e-04 -6.61976027e-01]
 [ 2.41299330e-06 -1.52447828e-03  9.67996640e-01]
 [ 1.38687136e-04  4.85156650e-04  6.82782960e-01]]","[[ 3.46996716e+02  1.90979424e+02  6.56666451e+01]
 [-3.04611817e+01 -4.68784313e+02  6.35073066e+02]
 [-4.88376804e-02  2.94306462e-01  1.00000000e+00]]",14,"[[ 4.25487574e-03  1.02004700e-03 -1.30111797e+00]
 [ 2.04372937e-04 -1.87361363e-03  1.06681201e+00]
 [ 6.55651674e-04  6.24290457e-04  5.25134430e-01]]","[[ 2.01687796e+02  1.64775185e+02  1.64977696e+02]
 [-7.23838988e+01 -3.77418963e+02  5.87383106e+02]
 [-1.65763962e-01  2.42954801e-01  1.00000000e+00]]",14
5,436772.868748,"[[ 2.85648980e-03  7.46703930e-04 -6.62640091e-01]
 [ 2.28672338e-06 -1.52562914e-03  9.68754758e-01]
 [ 1.39288245e-04  4.85215519e-04  6.82658763e-01]]","[[ 3.46710950e+02  1.90672860e+02  6.59617037e+01]
 [-3.05930637e+01 -4.68456190e+02  6.35085926e+02]
 [-4.89974382e-02  2.94061596e-01  1.00000000e+00]]",14,"[[ 4.25717816e-03  1.01909142e-03 -1.30174370e+00]
 [ 2.04262843e-04 -1.87482662e-03  1.06758169e+00]
 [ 6.56438398e-04  6.24173274e-04  5.24930132e-01]]","[[ 2.01536364e+02  1.64533056e+02  1.65157624e+02]
 [-7.24791771e+01 -3.77212931e+02  5.87423521e+02]
 [-1.65844247e-01  2.42775956e-01  1.00000000e+00]]",14
6,436772.913556,"[[ 2.85737248e-03  7.46243758e-04 -6.63392015e-01]
 [ 1.66114171e-06 -1.52543943e-03  9.69164443e-01]
 [ 1.39500541e-04  4.85414129e-04  6.82326465e-01]]","[[ 3.46627952e+02  1.90643109e+02  6.62229815e+01]
 [-3.07490560e+01 -4.68396766e+02  6.35406708e+02]
 [-4.89923263e-02  2.94245646e-01  1.00000000e+00]]",14,"[[ 4.25735630e-03  1.01792597e-03 -1.30211023e+00]
 [ 2.03466822e-04 -1.87451421e-03  1.06801685e+00]
 [ 6.56374537e-04  6.24071085e-04  5.24712980e-01]]","[[ 2.01536785e+02  1.64484112e+02  1.65330971e+02]
 [-7.25802652e+01 -3.77224858e+02  5.87702250e+02]
 [-1.65782766e-01  2.42898400e-01  1.00000000e+00]]",14
7,436772.956745,"[[ 2.85891710e-03  7.47523417e-04 -6.64952890e-01]
 [ 4.48166215e-07 -1.52503538e-03  9.70872932e-01]
 [ 1.40084995e-04  4.86322846e-04  6.81122930e-01]]","[[ 3.46512749e+02  1.90936412e+02  6.61255971e+01]
 [-3.11217000e+01 -4.67956575e+02  6.36642651e+02]
 [-4.90455417e-02  2.94852278e-01  1.00000000e+00]]",14,"[[ 4.26111674e-03  1.01679869e-03 -1.30344001e+00]
 [ 2.02820261e-04 -1.87573213e-03  1.07058720e+00]
 [ 6.57009167e-04  6.22971511e-04  5.24603706e-01]]","[[ 2.01362757e+02  1.64097091e+02  1.65427785e+02]
 [-7.28124950e+01 -3.77093784e+02  5.88644452e+02]
 [-1.65719507e-01  2.42288398e-01  1.00000000e+00]]",14
8,436773.001049,"[[ 2.85854172e-03  7.47156656e-04 -6.63927986e-01]
 [-1.71487470e-07 -1.52544223e-03  9.71570260e-01]
 [ 1.39845921e-04  4.86659201e-04  6.80844848e-01]]","[[ 3.46621614e+02  1.90762799e+02  6.57893325e+01]
 [-3.11867066e+01 -4.67632636e+02  6.36903160e+02]
 [-4.89044180e-02  2.95075047e-01  1.00000000e+00]]",14,"[[ 4.26338595e-03  1.01586290e-03 -1.30282881e+00]
 [ 2.02443502e-04 -1.87709869e-03  1.07178916e+00]
 [ 6.57359696e-04  6.22832788e-04  5.24618403e-01]]","[[ 2.01293270e+02  1.63780581e+02  1.65286655e+02]
 [-7.28938275e+01 -3.76816269e+02  5.88807813e+02]
 [-1.65685033e-01  2.42139379e-01  1.00000000e+00]]",14
9,436773.043368,"[[ 2.85763009e-03  7.46681926e-04 -6.62581926e-01]
 [-9.10531817e-07 -1.52468054e-03  9.71452949e-01]
 [ 1.39804877e-04  4.87272051e-04  6.80410878e-01]]","[[ 3.46801985e+02  1.90737432e+02  6.53903219e+01]
 [-3.13186906e+01 -4.67598193e+02  6.37112749e+02]
 [-4.88291521e-02  2.95676500e-01  1.00000000e+00]]",14,"[[ 4.26483766e-03  1.01541752e-03 -1.30202279e+00]
 [ 2.01746235e-04 -1.87677180e-03  1.07197017e+00]
 [ 6.58149710e-04  6.23621171e-04  5.24090915e-01]]","[[ 2.01255405e+02  1.63740131e+02  1.65075532e+02]
 [-7.30642804e+01 -3.76671302e+02  5.88922713e+02]
 [-1.65795193e-01  2.42581344e-01  1.00000000e+00]]",14
10,436773.086079,"[[ 2.85747574e-03  7.46390410e-04 -6.61585311e-01]
 [-5.64897129e-07 -1.52483077e-03  9.71583961e-01]
 [ 1.39966585e-04  4.87159318e-04  6.80494195e-01]]","[[ 3.46808125e+02  1.90557798e+02  6.51001314e+01]
 [-3.13017377e+01 -4.67572774e+02  6.37150825e+02]
 [-4.89241732e-02  2.95536260e-01  1.00000000e+00]]",14,"[[ 4.26648196e-03  1.01524178e-03 -1.30151325e+00]
 [ 2.02530106e-04 -1.87720742e-03  1.07212985e+00]
 [ 6.59042570e-04  6.23629487e-04  5.24043190e-01]]","[[ 2.01145731e+02  1.63571943e+02  1.64916696e+02]
 [-7.30940288e+01 -3.76590470e+02  5.88922903e+02]
 [-1.65978701e-01  2.42445757e-01  1.00000000e+00]]",14
11,436773.129209,"[[ 2.85623660e-03  7.47018793e-04 -6.62228299e-01]
 [ 1.72546374e-07 -1.52420357e-03  9.71369420e-01]
 [ 1.39251239e-04  4.87704400e-04  6.80108688e-01]]","[[ 3.46922100e+02  1.90881748e+02  6.51733174e+01]
 [-3.10424893e+01 -4.67374234e+02  6.37303759e+02]
 [-4.87712834e-02  2.96070252e-01  1.00000000e+00]]",14,"[[ 4.26439634e-03  1.01521375e-03 -1.30160925e+00]
 [ 2.03718627e-04 -1.87668067e-03  1.07182793e+00]
 [ 6.57885505e-04  6.23793521e-04  5.24012114e-01]]","[[ 2.01225022e+02  1.63698443e+02  1.64995776e+02]
 [-7.28878011e+01 -3.76493002e+02  5.89040354e+02]
 [-1.65866560e-01  2.42664357e-01  1.00000000e+00]]",14
12,436773.171275,"[[ 2.85642827e-03  7.47875323e-04 -6.63564476e-01]
 [ 3.11884831e-07 -1.52469520e-03  9.71767486e-01]
 [ 1.38838449e-04  4.87679435e-04  6.80085897e-01]]","[[ 3.46886454e+02  1.91078478e+02  6.54294946e+01]
 [-3.09285245e+01 -4.67175803e+02  6.37365350e+02]
 [-4.86379326e-02  2.95996422e-01  1.00000000e+00]]",14,"[[ 4.26322457e-03  1.01561114e-03 -1.30242043e+00]
 [ 2.03960658e-04 -1.87726487e-03  1.07222852e+00]
 [ 6.56824534e-04  6.23273492e-04  5.24342487e-01]]","[[ 2.01285215e+02  1.63731483e+02  1.65160009e+02]
 [-7.27521994e+01 -3.76458106e+02  5.89109552e+02]
 [-1.65663764e-01  2.42386429e-01  1.00000000e+00]]",14
13,436773.21486,"[[ 2.85708507e-03  7.48715229e-04 -6.64000314e-01]
 [-1.26505092e-07 -1.52507081e-03  9.72257707e-01]
 [ 1.39162733e-04  4.87864531e-04  6.79887892e-01]]","[[ 3.46832896e+02  1.91175944e+02  6.53414599e+01]
 [-3.10725282e+01 -4.67024519e+02  6.37511014e+02]
 [-4.86948362e-02  2.95990167e-01  1.00000000e+00]]",14,"[[ 4.26458995e-03  1.01639441e-03 -1.30304274e+00]
 [ 2.03496541e-04 -1.87794019e-03  1.07291766e+00]
 [ 6.57352315e-04  6.23290428e-04  5.24204057e-01]]","[[ 2.01225450e+02  1.63711984e+02  1.65118681e+02]
 [-7.28638339e+01 -3.76371730e+02  5.89219373e+02]
 [-1.65700139e-01  2.42219500e-01  1.00000000e+00]]",14
14,436773.257249,"[[ 2.85452560e-03  7.46505033e-04 -6.61271010e-01]
 [-1.14832404e-06 -1.52418620e-03  9.72298142e-01]
 [ 1.37886996e-04  4.87716414e-04  6.79961895e-01]]","[[ 3.47265349e+02  1.90830616e+02  6.48451848e+01]
 [-3.09997647e+01 -4.67163843e+02  6.37864112e+02]
 [-4.81854674e-02  2.96384864e-01  1.00000000e+00]]",14,"[[ 4.26491297e-03  1.01359722e-03 -1.30068594e+00]
 [ 2.02574182e-04 -1.87780523e-03  1.07344081e+00]
 [ 6.56624856e-04  6.22884971e-04  5.24579999e-01]]","[[ 2.01325579e+02  1.63366182e+02  1.64888910e+02]
 [-7.28732924e+01 -3.76351237e+02  5.89434424e+02]
 [-1.65472761e-01  2.42390549e-01  1.00000000e+00]]",14
15,436773.299158,"[[ 2.85548602e-03  7.45446119e-04 -6.61096265e-01]
 [-1.97298188e-06 -1.52487248e-03  9.72898684e-01]
 [ 1.38177126e-04  4.87362007e-04  6.80115657e-01]]","[[ 3.47190313e+02  1.90494932e+02  6.49800517e+01]
 [-3.11925158e+01 -4.67151688e+02  6.37935624e+02]
 [-4.81854992e-02  2.96052502e-01  1.00000000e+00]]",14,"[[ 4.26584004e-03  1.01234654e-03 -1.30049036e+00]
 [ 2.01354407e-04 -1.87846940e-03  1.07416597e+00]
 [ 6.56922654e-04  6.22494167e-04  5.24664830e-01]]","[[ 2.01315648e+02  1.63158761e+02  1.64961450e+02]
 [-7.30185936e+01 -3.76344626e+02  5.89512763e+02]
 [-1.65429730e-01  2.42230164e-01  1.00000000e+00]]",14
16,436773.344758,"[[ 2.85450580e-03  7.46059396e-04 -6.59855304e-01]
 [-2.51965896e-06 -1.52460348e-03  9.72699191e-01]
 [ 1.38282212e-04  4.87611161e-04  6.80044243e-01]]","[[ 3.47369818e+02  1.90594323e+02  6.44412080e+01]
 [-3.13142624e+01 -4.67215000e+02  6.37894924e+02]
 [-4.81819873e-02  2.96250495e-01  1.00000000e+00]]",14,"[[ 4.26717815e-03  1.01367961e-03 -1.30004078e+00]
 [ 2.00766355e-04 -1.87869559e-03  1.07429010e+00]
 [ 6.57816855e-04  6.23038072e-04  5.24463503e-01]]","[[ 2.01287382e+02  1.63208448e+02  1.64641745e+02]
 [-7.31598339e+01 -3.76286746e+02  5.89422057e+02]
 [-1.65557508e-01  2.42304184e-01  1.00000000e+00]]",14
17,436773.393553,"[[ 2.85293202e-03  7.43494043e-04 -6.56579411e-01]
 [-2.46984309e-06 -1.52410277e-03  9.72585222e-01]
 [ 1.38126069e-04  4.87180425e-04  6.80341350e-01]]","[[ 3.47588944e+02  1.89977123e+02  6.38661775e+01]
 [-3.12953359e+01 -4.67442775e+02  6.38032749e+02]
 [-4.81590888e-02  2.96157475e-01  1.00000000e+00]]",14,"[[ 4.26896619e-03  1.01108555e-03 -1.29754298e+00]
 [ 2.01223403e-04 -1.87863891e-03  1.07433715e+00]
 [ 6.58866013e-04  6.22886074e-04  5.24552013e-01]]","[[ 2.01212829e+02  1.62779954e+02  1.64334020e+02]
 [-7.32421395e+01 -3.76272512e+02  5.89471979e+02]
 [-1.65761990e-01  2.42349138e-01  1.00000000e+00]]",14
