world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,-819173.498012,"[[ 9.21400910e-04 -8.45252099e-04  4.86457512e-01]
 [-1.11033598e-03 -2.26241872e-03  3.95773213e-01]
 [-6.32153853e-04 -2.81333278e-04  9.24016239e-01]]","[[ 6.54679601e+02 -2.13081992e+02 -2.53395617e+02]
 [-2.56616301e+02 -3.83348926e+02  2.99293619e+02]
 [ 3.69759224e-01 -2.62494751e-01  1.00000000e+00]]",2,"[[ 2.31744654e-03 -7.86419549e-04  1.97196121e-01]
 [-3.10694267e-03 -3.93826086e-03  1.37093600e+00]
 [-2.98472108e-04 -6.10187089e-05  1.02776484e+00]]","[[ 3.42604107e+02 -6.88173668e+01  2.60604408e+01]
 [-2.40622609e+02 -2.10944941e+02  3.27547553e+02]
 [ 8.52094618e-02 -3.25090440e-02  1.00000000e+00]]",8
1,-819173.44132,"[[ 9.18938021e-04 -8.44457736e-04  4.90556394e-01]
 [-1.11714593e-03 -2.25947764e-03  3.92357384e-01]
 [-6.30013069e-04 -2.78449656e-04  9.21656835e-01]]","[[ 6.53445587e+02 -2.12506033e+02 -2.57333956e+02]
 [-2.59109935e+02 -3.82819987e+02  3.00882361e+02]
 [ 3.68391113e-01 -2.60918883e-01  1.00000000e+00]]",2,"[[ 2.32338003e-03 -7.85893533e-04  2.01239254e-01]
 [-3.13656012e-03 -3.94075105e-03  1.37295807e+00]
 [-2.96474170e-04 -5.70771086e-05  1.02606336e+00]]","[[ 3.41204885e+02 -6.84020019e+01  2.46078998e+01]
 [-2.41915116e+02 -2.10276725e+02  3.28813950e+02]
 [ 8.51317995e-02 -3.14614239e-02  1.00000000e+00]]",8
2,-819173.397898,"[[ 9.08785123e-04 -8.46139143e-04  5.01176620e-01]
 [-1.13284152e-03 -2.24837656e-03  3.81535104e-01]
 [-6.24966562e-04 -2.66815046e-04  9.13894125e-01]]","[[ 6.50595487e+02 -2.13056551e+02 -2.67837036e+02]
 [-2.65454675e+02 -3.81017904e+02  3.04642928e+02]
 [ 3.67409216e-01 -2.56938439e-01  1.00000000e+00]]",2,"[[ 2.33586197e-03 -7.98930294e-04  2.16134253e-01]
 [-3.21655220e-03 -3.94780718e-03  1.37708834e+00]
 [-2.88486921e-04 -5.12812858e-05  1.02305476e+00]]","[[ 3.36535643e+02 -6.83778289e+01  2.09426049e+01]
 [-2.45386751e+02 -2.07954985e+02  3.31760216e+02]
 [ 8.25981041e-02 -2.97054562e-02  1.00000000e+00]]",8
3,-819173.3551889999,"[[ 9.05472095e-04 -8.43388702e-04  5.06187649e-01]
 [-1.13609351e-03 -2.22688260e-03  3.76246894e-01]
 [-6.24206286e-04 -2.61148828e-04  9.10442051e-01]]","[[ 6.48566038e+02 -2.13701754e+02 -2.72275974e+02]
 [-2.68777475e+02 -3.83367557e+02  3.07864394e+02]
 [ 3.67566585e-01 -2.56479768e-01  1.00000000e+00]]",2,"[[ 2.34229501e-03 -7.98608191e-04  2.21637274e-01]
 [-3.23518162e-03 -3.91715006e-03  1.37142977e+00]
 [-2.91280180e-04 -4.75294201e-05  1.02150681e+00]]","[[ 3.34747117e+02 -6.84807897e+01  1.93088825e+01]
 [-2.47074426e+02 -2.08970003e+02  3.34161828e+02]
 [ 8.39562647e-02 -2.92502404e-02  1.00000000e+00]]",8
4,-819173.312588,"[[ 9.01478631e-04 -8.49596693e-04  5.13139277e-01]
 [-1.14284229e-03 -2.22192241e-03  3.75976031e-01]
 [-6.21581511e-04 -2.57304578e-04  9.08524049e-01]]","[[ 6.46250366e+02 -2.15148711e+02 -2.75970336e+02]
 [-2.70547381e+02 -3.82644301e+02  3.11156951e+02]
 [ 3.65520538e-01 -2.55566808e-01  1.00000000e+00]]",2,"[[ 2.34493344e-03 -8.09336180e-04  2.30354416e-01]
 [-3.26013303e-03 -3.90987027e-03  1.37434597e+00]
 [-2.86074695e-04 -3.99409687e-05  1.01857072e+00]]","[[ 3.32650989e+02 -6.90412845e+01  1.79260867e+01]
 [-2.47948505e+02 -2.07876161e+02  3.36559643e+02]
 [ 8.37052600e-02 -2.75422601e-02  1.00000000e+00]]",8
5,-819173.2708439999,"[[ 8.93960185e-04 -8.59713807e-04  5.19282140e-01]
 [-1.14726589e-03 -2.22376718e-03  3.77023543e-01]
 [-6.24601282e-04 -2.63352128e-04  9.08159887e-01]]","[[ 6.45617233e+02 -2.16524205e+02 -2.79271062e+02]
 [-2.71128330e+02 -3.82009497e+02  3.13621729e+02]
 [ 3.65410467e-01 -2.59694701e-01  1.00000000e+00]]",2,"[[ 2.34020784e-03 -8.30307028e-04  2.41613754e-01]
 [-3.28323635e-03 -3.91709108e-03  1.38033611e+00]
 [-2.94013906e-04 -5.46149502e-05  1.02341350e+00]]","[[ 3.30736526e+02 -7.03404214e+01  1.67898214e+01]
 [-2.48406196e+02 -2.07353783e+02  3.38315125e+02]
 [ 8.17601541e-02 -3.12734573e-02  1.00000000e+00]]",8
6,-819173.2295339999,"[[ 8.94074620e-04 -8.56755833e-04  5.23210854e-01]
 [-1.14448467e-03 -2.22306918e-03  3.73112873e-01]
 [-6.16519354e-04 -2.49092692e-04  9.03050021e-01]]","[[ 6.45052819e+02 -2.16757548e+02 -2.84174297e+02]
 [-2.70707352e+02 -3.80698396e+02  3.14135973e+02]
 [ 3.65712105e-01 -2.52991979e-01  1.00000000e+00]]",2,"[[ 2.35981443e-03 -8.28348048e-04  2.44677130e-01]
 [-3.29978329e-03 -3.92495961e-03  1.38023358e+00]
 [-2.71085191e-04 -3.17089760e-05  1.01487884e+00]]","[[ 3.28421303e+02 -6.94353124e+01  1.52528236e+01]
 [-2.47985334e+02 -2.05180673e+02  3.38832166e+02]
 [ 7.99768285e-02 -2.49576137e-02  1.00000000e+00]]",8
7,-819173.186288,"[[ 8.96319252e-04 -8.48345969e-04  5.22647058e-01]
 [-1.14402007e-03 -2.22260403e-03  3.68891897e-01]
 [-6.14705781e-04 -2.46162320e-04  9.01063829e-01]]","[[ 6.45326498e+02 -2.14588219e+02 -2.86459330e+02]
 [-2.71400577e+02 -3.81044234e+02  3.13419355e+02]
 [ 3.66097631e-01 -2.50489859e-01  1.00000000e+00]]",2,"[[ 2.37213328e-03 -8.16638753e-04  2.41879997e-01]
 [-3.31125235e-03 -3.93139729e-03  1.37871114e+00]
 [-2.69953529e-04 -3.09050447e-05  1.01438619e+00]]","[[ 3.27961788e+02 -6.82393103e+01  1.45456448e+01]
 [-2.48273209e+02 -2.05451130e+02  3.38441207e+02]
 [ 7.97147558e-02 -2.44196138e-02  1.00000000e+00]]",8
8,-819173.1412699999,"[[ 8.90432402e-04 -8.55593747e-04  5.24413867e-01]
 [-1.14116007e-03 -2.21208457e-03  3.63841146e-01]
 [-6.18726032e-04 -2.53295809e-04  9.01055644e-01]]","[[ 6.45281552e+02 -2.16594757e+02 -2.88093761e+02]
 [-2.72609844e+02 -3.82473387e+02  3.13099351e+02]
 [ 3.66460790e-01 -2.56245796e-01  1.00000000e+00]]",2,"[[ 2.36241518e-03 -8.26000984e-04  2.46284966e-01]
 [-3.31338580e-03 -3.92303570e-03  1.37352597e+00]
 [-2.79853174e-04 -3.86025289e-05  1.01698277e+00]]","[[ 3.27924770e+02 -6.91830381e+01  1.40235992e+01]
 [-2.48675179e+02 -2.05874314e+02  3.38273846e+02]
 [ 8.07991037e-02 -2.68523348e-02  1.00000000e+00]]",8
9,-819173.096104,"[[ 8.90710052e-04 -8.47582265e-04  5.22196827e-01]
 [-1.14301159e-03 -2.21217316e-03  3.62952206e-01]
 [-6.18984845e-04 -2.45849574e-04  8.98474443e-01]]","[[ 6.45872554e+02 -2.15415375e+02 -2.88363364e+02]
 [-2.72966948e+02 -3.82250840e+02  3.13065399e+02]
 [ 3.70268201e-01 -2.53001141e-01  1.00000000e+00]]",2,"[[ 2.36661264e-03 -8.20023051e-04  2.44224810e-01]
 [-3.32107249e-03 -3.92527359e-03  1.37407190e+00]
 [-2.80457364e-04 -3.69644320e-05  1.01642699e+00]]","[[ 3.27892783e+02 -6.86313835e+01  1.39950073e+01]
 [-2.48919469e+02 -2.05942916e+02  3.38216799e+02]
 [ 8.14212719e-02 -2.64266297e-02  1.00000000e+00]]",8
