world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,-819002.388219,"[[ 1.87952210e-03  1.83509672e-05 -1.96123415e+00]
 [ 3.47379892e-04 -1.02714360e-03  5.92664490e-01]
 [ 1.34771054e-04  5.49705966e-04  3.51097043e-01]]","[[ 3.54387618e+02  5.59934600e+02  1.03442553e+03]
 [ 2.17304631e+01 -4.77157125e+02  9.26845204e+02]
 [-1.70057138e-01  5.32141029e-01  1.00000000e+00]]",7,"[[ 3.04693656e-03  1.66044629e-04 -3.08573110e+00]
 [-2.64717473e-04 -1.51724625e-03  1.50086360e+00]
 [-7.66271339e-04  3.99469091e-04  1.41408525e+00]]","[[ 5.99490123e+02  3.20475225e+02  9.68029132e+02]
 [ 1.69411662e+02 -4.24573386e+02  8.20308091e+02]
 [ 2.76997003e-01  2.93599643e-01  1.00000000e+00]]",14
1,-819002.324955,"[[ 1.88434564e-03  1.83237425e-05 -1.96704071e+00]
 [ 3.47633222e-04 -1.03192784e-03  5.96099101e-01]
 [ 1.33702901e-04  5.47009755e-04  3.54948065e-01]]","[[ 3.54892811e+02  5.54875325e+02  1.03487794e+03]
 [ 2.23958370e+01 -4.77653431e+02  9.26282844e+02]
 [-1.68196267e-01  5.27098649e-01  1.00000000e+00]]",7,"[[ 3.05289256e-03  1.66806588e-04 -3.09290572e+00]
 [-2.70736998e-04 -1.52353732e-03  1.51144901e+00]
 [-7.74085127e-04  3.95167128e-04  1.42551375e+00]]","[[ 6.01189167e+02  3.16975392e+02  9.68303021e+02]
 [ 1.70222520e+02 -4.25044097e+02  8.19995378e+02]
 [ 2.79271420e-01  2.89951179e-01  1.00000000e+00]]",14
2,-819002.277916,"[[ 2.09137310e-03  6.64378142e-05 -2.20029005e+00]
 [ 3.78482009e-04 -1.22394085e-03  6.92117772e-01]
 [ 1.47005179e-04  4.74274988e-04  4.31075008e-01]]","[[ 3.31106380e+02  4.14792750e+02  1.02405528e+03]
 [ 2.37572554e+01 -4.73910206e+02  8.82153967e+02]
 [-1.39051960e-01  3.79950290e-01  1.00000000e+00]]",6,"[[ 3.06274352e-03  8.83945046e-05 -3.07694964e+00]
 [-2.45636091e-04 -1.51317829e-03  1.48246698e+00]
 [-7.49602076e-04  4.17770756e-04  1.39256293e+00]]","[[ 5.91083192e+02  3.05360180e+02  9.80958778e+02]
 [ 1.66753944e+02 -4.24599047e+02  8.20463857e+02]
 [ 2.68147499e-01  2.91752481e-01  1.00000000e+00]]",14
3,-819002.2313649999,"[[ 2.09088668e-03  6.78171833e-05 -2.20093303e+00]
 [ 3.79854190e-04 -1.22307070e-03  6.90481268e-01]
 [ 1.46864960e-04  4.74439955e-04  4.30879735e-01]]","[[ 3.30843003e+02  4.15565421e+02  1.02400535e+03]
 [ 2.41047049e+01 -4.73918249e+02  8.82576933e+02]
 [-1.39309127e-01  3.80184401e-01  1.00000000e+00]]",6,"[[ 3.06438847e-03  9.04048053e-05 -3.08001015e+00]
 [-2.43571228e-04 -1.51357797e-03  1.48106435e+00]
 [-7.49660378e-04  4.17113024e-04  1.39301952e+00]]","[[ 5.90579285e+02  3.05588343e+02  9.80886605e+02]
 [ 1.67020634e+02 -4.24549144e+02  8.20670371e+02]
 [ 2.67812046e-01  2.91576998e-01  1.00000000e+00]]",14
4,-819002.184213,"[[ 2.09044430e-03  7.09008193e-05 -2.20406155e+00]
 [ 3.81955990e-04 -1.22319740e-03  6.89213361e-01]
 [ 1.45936013e-04  4.73598682e-04  4.32160980e-01]]","[[ 3.30879767e+02  4.15803684e+02  1.02439123e+03]
 [ 2.49546264e+01 -4.74074953e+02  8.83328995e+02]
 [-1.39081858e-01  3.79119238e-01  1.00000000e+00]]",6,"[[ 3.06525975e-03  9.49824923e-05 -3.08514385e+00]
 [-2.41775640e-04 -1.51283495e-03  1.47992646e+00]
 [-7.51883431e-04  4.16328456e-04  1.39562397e+00]]","[[ 5.91097966e+02  3.07089473e+02  9.81032462e+02]
 [ 1.68023264e+02 -4.24397022e+02  8.21462189e+02]
 [ 2.68327221e-01  2.92044313e-01  1.00000000e+00]]",14
5,-819002.141372,"[[ 2.08777491e-03  7.26414979e-05 -2.20302543e+00]
 [ 3.82505378e-04 -1.22094114e-03  6.87481780e-01]
 [ 1.45241908e-04  4.74468708e-04  4.31767634e-01]]","[[ 3.31162498e+02  4.17811170e+02  1.02444418e+03]
 [ 2.53420378e+01 -4.73994166e+02  8.84020655e+02]
 [-1.39247763e-01  3.80324265e-01  1.00000000e+00]]",6,"[[ 3.06488053e-03  9.78088774e-05 -3.08700208e+00]
 [-2.42830374e-04 -1.51299919e-03  1.48151698e+00]
 [-7.54828115e-04  4.15684247e-04  1.39889438e+00]]","[[ 5.92266644e+02  3.07807496e+02  9.80993530e+02]
 [ 1.68768112e+02 -4.24260544e+02  8.21746612e+02]
 [ 2.69430828e-01  2.92159425e-01  1.00000000e+00]]",14
6,-819002.0969369999,"[[ 2.08820011e-03  7.47635254e-05 -2.20533560e+00]
 [ 3.83899895e-04 -1.22078656e-03  6.86299781e-01]
 [ 1.44811512e-04  4.74411576e-04  4.32113574e-01]]","[[ 3.30924787e+02  4.18372647e+02  1.02443243e+03]
 [ 2.57973543e+01 -4.73903055e+02  8.84330901e+02]
 [-1.39223311e-01  3.80085074e-01  1.00000000e+00]]",6,"[[ 3.06650159e-03  1.00815136e-04 -3.09087842e+00]
 [-2.41750425e-04 -1.51319119e-03  1.48100971e+00]
 [-7.56287286e-04  4.15097479e-04  1.40064302e+00]]","[[ 5.92353580e+02  3.08551554e+02  9.80924498e+02]
 [ 1.69300556e+02 -4.24080074e+02  8.22018264e+02]
 [ 2.69671317e-01  2.92285887e-01  1.00000000e+00]]",14
7,-819002.0525999999,"[[ 2.08752258e-03  7.85315881e-05 -2.20766346e+00]
 [ 3.84976720e-04 -1.22003790e-03  6.85798079e-01]
 [ 1.42682262e-04  4.74526444e-04  4.33756049e-01]]","[[ 3.31625325e+02  4.19720866e+02  1.02424703e+03]
 [ 2.68266815e+01 -4.73584623e+02  8.85308021e+02]
 [-1.38435006e-01  3.80033211e-01  1.00000000e+00]]",6,"[[ 3.07100962e-03  1.06451793e-04 -3.09921905e+00]
 [-2.39011010e-04 -1.51490229e-03  1.48053964e+00]
 [-7.57816440e-04  4.13439566e-04  1.40307665e+00]]","[[ 5.91686735e+02  3.09217724e+02  9.80671802e+02]
 [ 1.70013904e+02 -4.23663729e+02  8.22593174e+02]
 [ 2.69478835e-01  2.91851214e-01  1.00000000e+00]]",14
8,-819002.008663,"[[ 2.08890378e-03  7.96440789e-05 -2.20975848e+00]
 [ 3.87642377e-04 -1.21944058e-03  6.83488382e-01]
 [ 1.43957950e-04  4.74757181e-04  4.31926654e-01]]","[[ 3.30156951e+02  4.20259400e+02  1.02407365e+03]
 [ 2.67785120e+01 -4.73346105e+02  8.86031468e+02]
 [-1.39472775e-01  3.80214508e-01  1.00000000e+00]]",6,"[[ 3.07610372e-03  1.08736303e-04 -3.10543879e+00]
 [-2.35493447e-04 -1.51668456e-03  1.47903384e+00]
 [-7.55904631e-04  4.12123842e-04  1.40196954e+00]]","[[ 5.89647832e+02  3.08687447e+02  9.80446459e+02]
 [ 1.69800769e+02 -4.23543581e+02  8.22943120e+02]
 [ 2.68007664e-01  2.90941185e-01  1.00000000e+00]]",14
9,-819001.963671,"[[ 2.08810412e-03  8.06829461e-05 -2.20900065e+00]
 [ 3.86664487e-04 -1.21988714e-03  6.85483159e-01]
 [ 1.41992333e-04  4.75286674e-04  4.33362035e-01]]","[[ 3.31382904e+02  4.20746608e+02  1.02364836e+03]
 [ 2.72382223e+01 -4.72596666e+02  8.86386613e+02]
 [-1.38451897e-01  3.80458120e-01  1.00000000e+00]]",6,"[[ 3.07376841e-03  1.11047272e-04 -3.10370183e+00]
 [-2.38055581e-04 -1.51772759e-03  1.48281802e+00]
 [-7.58808481e-04  4.11804850e-04  1.40459523e+00]]","[[ 5.91204440e+02  3.09158504e+02  9.79995139e+02]
 [ 1.70479196e+02 -4.23024106e+02  8.23286548e+02]
 [ 2.69406285e-01  2.91041479e-01  1.00000000e+00]]",14
