world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,-819002.388219,"[[ 8.92914084e-04 -1.65955576e-03  1.00628225e+00]
 [-1.59634573e-03 -2.06559483e-03  5.71218110e-02]
 [-5.50881075e-04 -5.84992694e-04  9.72567989e-01]]","[[ 4.39626413e+02 -2.28181791e+02 -4.41464352e+02]
 [-3.38499085e+02 -3.16617873e+02  3.68829130e+02]
 [ 4.54080128e-02 -3.19689910e-01  1.00000000e+00]]",1,"[[ 2.71073435e-03 -1.95055162e-03  9.14119229e-01]
 [-5.19216013e-03 -4.43390864e-03  1.36530587e+00]
 [-1.87010690e-04 -5.86998733e-04  1.21215631e+00]]","[[ 2.06493625e+02 -8.25307866e+01 -6.27642044e+01]
 [-2.72653537e+02 -1.56085554e+02  3.81421406e+02]
 [-1.00177481e-01 -8.83187764e-02  1.00000000e+00]]",8
1,-819002.324955,"[[ 8.90491436e-04 -1.36418467e-03  9.32504791e-01]
 [-1.48315064e-03 -2.01109730e-03  5.80567435e-02]
 [-4.75862141e-04 -3.30593278e-04  9.00264519e-01]]","[[ 4.69652064e+02 -2.41166636e+02 -4.70918759e+02]
 [-3.42828346e+02 -3.26526098e+02  3.76162905e+02]
 [ 1.22356138e-01 -2.47382186e-01  1.00000000e+00]]",1,"[[ 2.80883744e-03 -1.48563024e-03  7.79632887e-01]
 [-4.93301781e-03 -4.34144372e-03  1.31577710e+00]
 [ 4.25519163e-05 -1.46540427e-04  1.05972524e+00]]","[[ 2.25780447e+02 -7.47891403e+01 -7.32454228e+01]
 [-2.70635598e+02 -1.50766456e+02  3.86299623e+02]
 [-4.64898303e-02 -1.78451534e-02  1.00000000e+00]]",8
2,-819002.277916,"[[ 1.23440713e-03 -1.78990623e-03  1.11000457e+00]
 [-1.79235647e-03 -2.30373999e-03  6.31526973e-02]
 [-3.24127514e-04 -6.04941832e-04  1.07576082e+00]]","[[ 4.03190448e+02 -2.07211315e+02 -4.03860485e+02]
 [-3.15219413e+02 -2.78872584e+02  3.41624772e+02]
 [-5.57784691e-02 -2.19253737e-01  1.00000000e+00]]",1,"[[ 3.58724725e-03 -1.94637872e-03  8.74433317e-01]
 [-5.74456779e-03 -4.89439185e-03  1.50890296e+00]
 [ 5.22441008e-04 -4.44726581e-04  1.18591043e+00]]","[[ 1.78619670e+02 -6.67866174e+01 -4.67290487e+01]
 [-2.64483397e+02 -1.32133352e+02  3.63138303e+02]
 [-1.77872656e-01 -2.01289622e-02  1.00000000e+00]]",8
6,-819002.0969369999,"[[ 9.05419357e-04 -1.28946648e-03  9.10903174e-01]
 [-1.49268346e-03 -2.01608511e-03  5.62803188e-02]
 [-4.43697691e-04 -2.50731938e-04  8.85621619e-01]]","[[ 4.72346144e+02 -2.43612267e+02 -4.70348755e+02]
 [-3.45846206e+02 -3.21592169e+02  3.76155809e+02]
 [ 1.38732164e-01 -2.13097359e-01  1.00000000e+00]]",1,"[[ 2.86208984e-03 -1.34491513e-03  7.30345149e-01]
 [-4.95067686e-03 -4.36946033e-03  1.32075665e+00]
 [ 1.57459522e-04  1.24087844e-05  1.00683664e+00]]","[[ 2.30417202e+02 -7.11318368e+01 -7.38314799e+01]
 [-2.70949746e+02 -1.44367202e+02  3.85922361e+02]
 [-3.26956966e-02  1.29035893e-02  1.00000000e+00]]",8
8,-819002.008663,"[[ 2.54519138e-04 -4.92566375e-04  4.95923348e-01]
 [-8.50966191e-04 -1.18605982e-03  3.37838694e-02]
 [-5.57676886e-04  1.28034166e-04  4.81471792e-01]]","[[ 7.97994588e+02 -4.16974339e+02 -7.92688476e+02]
 [-5.42105754e+02 -5.53524161e+02  5.97216894e+02]
 [ 1.06845552e+00 -3.35776569e-01  1.00000000e+00]]",1,"[[ 1.16207817e-03 -4.84764662e-04  4.86397791e-01]
 [-3.08587141e-03 -2.78471398e-03  8.31845647e-01]
 [-6.16551569e-04  3.94368231e-04  6.70404739e-01]]","[[ 4.63852438e+02 -1.09216167e+02 -2.01021562e+02]
 [-3.28807001e+02 -2.28012962e+02  5.21479890e+02]
 [ 6.20013494e-01  3.36866194e-02  1.00000000e+00]]",8
10,-819001.9146349999,"[[ 2.81390710e-04  7.81626100e-05 -2.78842209e-01]
 [ 5.00291353e-04  7.44407168e-04 -2.17684060e-02]
 [ 8.38120630e-04 -3.26519518e-04 -2.68420062e-01]]","[[-1.21457696e+03  6.57574708e+02  1.20840807e+03]
 [ 6.81146716e+02  9.28432041e+02 -7.82888354e+02]
 [-4.62100223e+00  9.23834620e-01  1.00000000e+00]]",1,"[[ 1.92173419e-04  3.51218820e-05 -2.07056601e-01]
 [ 9.02572139e-04  8.48442771e-04 -2.47840276e-01]
 [ 8.01939882e-04 -2.38778306e-04 -2.72586759e-01]]","[[-2.21132327e+03  4.49297530e+02  1.27121015e+03]
 [ 3.59930641e+02  8.65357036e+02 -1.06019949e+03]
 [-6.82091809e+00  5.63787921e-01  1.00000000e+00]]",8
11,-819001.870025,"[[ 1.21976713e-03 -1.50247773e-03  1.02213557e+00]
 [-1.68108523e-03 -2.25523267e-03  5.98165880e-02]
 [-2.85009955e-04 -3.60305241e-04  1.00265758e+00]]","[[ 4.24449820e+02 -2.15703050e+02 -4.19826914e+02]
 [-3.16205162e+02 -2.86986451e+02  3.39468927e+02]
 [ 7.02338183e-03 -1.64443217e-01  1.00000000e+00]]",1,"[[ 3.60451845e-03 -1.48924361e-03  7.30976445e-01]
 [-5.45750208e-03 -4.81840156e-03  1.45344386e+00]
 [ 6.50689739e-04 -2.99689391e-05  1.04549582e+00]]","[[ 1.95879560e+02 -6.02101284e+01 -5.32487093e+01]
 [-2.60889923e+02 -1.29154612e+02  3.61955885e+02]
 [-1.29388766e-01  3.37710446e-02  1.00000000e+00]]",8
12,-819001.823889,"[[ 6.10224025e-04 -1.07573239e-03  7.75469532e-01]
 [-1.23045833e-03 -1.75840714e-03  4.88206877e-02]
 [-5.77321387e-04 -1.84588095e-04  7.59966320e-01]]","[[ 5.53818677e+02 -2.81381677e+02 -5.47040378e+02]
 [-3.78409674e+02 -3.80296958e+02  4.10559684e+02]
 [ 3.28805947e-01 -3.06126660e-01  1.00000000e+00]]",1,"[[ 2.11718854e-03 -1.20423255e-03  7.07107595e-01]
 [-4.25808335e-03 -3.90684785e-03  1.15444982e+00]
 [-3.42151338e-04 -1.60070655e-05  9.71474074e-01]]","[[ 2.81875503e+02 -8.64646499e+01 -1.02418801e+02]
 [-2.79240953e+02 -1.71556658e+02  4.07120440e+02]
 [ 9.46749427e-02 -3.32794412e-02  1.00000000e+00]]",8
13,-819001.7780619999,"[[ 8.90214599e-04 -1.42465858e-03  9.31185663e-01]
 [-1.49932733e-03 -2.03588961e-03  5.20218028e-02]
 [-4.98337659e-04 -3.98882373e-04  9.15804611e-01]]","[[ 4.66954383e+02 -2.36367493e+02 -4.61370208e+02]
 [-3.41192297e+02 -3.24005892e+02  3.65327649e+02]
 [ 1.05486869e-01 -2.69742104e-01  1.00000000e+00]]",1,"[[ 2.74869862e-03 -1.57062586e-03  7.89829424e-01]
 [-4.95445460e-03 -4.40890736e-03  1.32154760e+00]
 [-3.30242061e-05 -2.57960776e-04  1.09547793e+00]]","[[ 2.25571550e+02 -7.62218152e+01 -7.06835701e+01]
 [-2.70540571e+02 -1.52621529e+02  3.79174702e+02]
 [-5.69062439e-02 -3.82367657e-02  1.00000000e+00]]",8
14,-819001.7307269999,"[[ 1.38992244e-03 -1.98087582e-03  1.15643919e+00]
 [-1.85258411e-03 -2.45782052e-03  6.10457383e-02]
 [-2.62454501e-04 -7.70400877e-04  1.14135534e+00]]","[[ 3.89253238e+02 -1.93335747e+02 -3.84056882e+02]
 [-2.96141553e+02 -2.66713194e+02  3.14320516e+02]
 [-1.10383193e-01 -2.24485667e-01  1.00000000e+00]]",1,"[[ 3.90453949e-03 -2.16241500e-03  8.90865188e-01]
 [-5.94483630e-03 -5.21868288e-03  1.57526302e+00]
 [ 6.78341146e-04 -6.54199648e-04  1.25070795e+00]]","[[ 1.65399371e+02 -6.38469389e+01 -3.73970757e+01]
 [-2.55894379e+02 -1.28766231e+02  3.44451379e+02]
 [-2.23555957e-01 -3.27245202e-02  1.00000000e+00]]",8
