world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,-906668.386507,"[[ 2.05963910e-03  3.01915239e-03 -2.66716532e+00]
 [ 1.37494012e-03 -1.42341218e-03 -8.23953873e-02]
 [ 6.19300050e-05  1.00781265e-03  4.66976713e-01]]","[[ 8.21222613e+01  5.78561699e+02  5.71130111e+02]
 [ 9.13708486e+01 -1.59113636e+02  4.93795348e+02]
 [-2.08084313e-01  2.66665129e-01  1.00000000e+00]]",12,"[[ 2.01809531e-03  2.87808070e-03 -2.57386367e+00]
 [ 1.23112135e-03 -1.43825800e-03  1.10613117e-02]
 [-3.09285142e-04  8.26874828e-04  7.66744852e-01]]","[[ 1.72503305e+02  6.72532664e+02  5.69369193e+02]
 [ 1.46975679e+02 -1.16557359e+02  4.95059912e+02]
 [-8.89184716e-02  3.96980437e-01  1.00000000e+00]]",14
1,-906668.326864,"[[ 2.05192626e-03  3.02332253e-03 -2.67126993e+00]
 [ 1.37914487e-03 -1.42121967e-03 -8.37945875e-02]
 [ 5.90256707e-05  1.01020636e-03  4.65551395e-01]]","[[ 8.14301705e+01  5.79472188e+02  5.71534317e+02]
 [ 9.13101423e+01 -1.57066909e+02  4.95654579e+02]
 [-2.08459384e-01  2.67352343e-01  1.00000000e+00]]",12,"[[ 2.01424258e-03  2.88396753e-03 -2.58094548e+00]
 [ 1.23495418e-03 -1.43777114e-03  1.08029204e-02]
 [-3.11478255e-04  8.25725190e-04  7.67140577e-01]]","[[ 1.72183932e+02  6.72628924e+02  5.69818620e+02]
 [ 1.47229646e+02 -1.14795007e+02  4.96951695e+02]
 [-8.85622253e-02  3.96665777e-01  1.00000000e+00]]",14
2,-906668.282466,"[[ 2.07971551e-03  3.05161290e-03 -2.70733300e+00]
 [ 1.40447986e-03 -1.44421098e-03 -8.88207657e-02]
 [ 7.84329965e-05  9.95211562e-04  4.61102804e-01]]","[[ 7.92284949e+01  5.62657165e+02  5.73567449e+02]
 [ 8.97974019e+01 -1.60684631e+02  4.96287022e+02]
 [-2.07289004e-01  2.51103038e-01  1.00000000e+00]]",13,"[[ 2.05173227e-03  2.92810034e-03 -2.62874737e+00]
 [ 1.26992745e-03 -1.46890677e-03  2.99195429e-03]
 [-2.86269476e-04  8.08922504e-04  7.61964989e-01]]","[[ 1.66611616e+02  6.47264205e+02  5.72261544e+02]
 [ 1.43858691e+02 -1.20437388e+02  4.96779385e+02]
 [-9.01284359e-02  3.71036074e-01  1.00000000e+00]]",14
3,-906668.240133,"[[ 2.08641879e-03  3.06152025e-03 -2.71749568e+00]
 [ 1.39796333e-03 -1.43774310e-03 -8.72691505e-02]
 [ 8.15110497e-05  1.01121717e-03  4.50837695e-01]]","[[ 7.69188724e+01  5.67093185e+02  5.73413551e+02]
 [ 8.75550277e+01 -1.59643086e+02  4.96849521e+02]
 [-2.10290502e-01  2.55545332e-01  1.00000000e+00]]",12,"[[ 2.06030015e-03  2.93711834e-03 -2.63985856e+00]
 [ 1.26396484e-03 -1.46293865e-03  4.38217311e-03]
 [-2.83526746e-04  8.23358312e-04  7.52708694e-01]]","[[ 1.64241966e+02  6.51800997e+02  5.72225696e+02]
 [ 1.41624736e+02 -1.19279639e+02  4.97392921e+02]
 [-9.30518193e-02  3.75992599e-01  1.00000000e+00]]",14
4,-906668.199086,"[[ 2.04750399e-03  3.03228901e-03 -2.67444820e+00]
 [ 1.38048618e-03 -1.42174726e-03 -8.39090901e-02]
 [ 5.74657145e-05  1.01345268e-03  4.64466098e-01]]","[[ 8.10638495e+01  5.80355601e+02  5.71620142e+02]
 [ 9.10250660e+01 -1.55653791e+02  4.96012642e+02]
 [-2.08643838e-01  2.67828380e-01  1.00000000e+00]]",12,"[[ 2.01053500e-03  2.89232139e-03 -2.58424742e+00]
 [ 1.23569329e-03 -1.43844913e-03  1.11869212e-02]
 [-3.13244205e-04  8.27305645e-04  7.67063702e-01]]","[[ 1.72073045e+02  6.73756119e+02  5.69890172e+02]
 [ 1.47130954e+02 -1.13315721e+02  4.97338673e+02]
 [-8.84168876e-02  3.97355441e-01  1.00000000e+00]]",14
5,-906668.155252,"[[ 2.04758159e-03  3.03219939e-03 -2.67106167e+00]
 [ 1.37952635e-03 -1.42099124e-03 -8.41962679e-02]
 [ 5.71471069e-05  1.01338713e-03  4.65510562e-01]]","[[ 8.12344508e+01  5.80653578e+02  5.71138688e+02]
 [ 9.12212960e+01 -1.55911114e+02  4.95220929e+02]
 [-2.08555528e-01  2.68126342e-01  1.00000000e+00]]",12,"[[ 2.00916859e-03  2.89161206e-03 -2.57978039e+00]
 [ 1.23507620e-03 -1.43727976e-03  1.04001339e-02]
 [-3.13206559e-04  8.28272260e-04  7.67078882e-01]]","[[ 1.72024173e+02  6.74220253e+02  5.69397251e+02]
 [ 1.47181259e+02 -1.13512225e+02  4.96527642e+02]
 [-8.86832586e-02  3.97858995e-01  1.00000000e+00]]",14
6,-906668.1130789999,"[[ 2.05431281e-03  3.03604817e-03 -2.67313579e+00]
 [ 1.37129286e-03 -1.41234560e-03 -8.35042616e-02]
 [ 6.06152396e-05  1.02755597e-03  4.57216947e-01]]","[[ 7.92591589e+01  5.85293500e+02  5.70287251e+02]
 [ 8.94643787e+01 -1.55887399e+02  4.94586152e+02]
 [-2.11571269e-01  2.72748689e-01  1.00000000e+00]]",11,"[[ 2.01610036e-03  2.89378071e-03 -2.58169927e+00]
 [ 1.22801545e-03 -1.42845850e-03  1.00914166e-02]
 [-3.09662608e-04  8.42813786e-04  7.58106172e-01]]","[[ 1.69647077e+02  6.79205573e+02  5.68684973e+02]
 [ 1.45191214e+02 -1.13306874e+02  4.95950952e+02]
 [-9.21187598e-02  4.03401496e-01  1.00000000e+00]]",14
7,-906668.070045,"[[ 2.04931615e-03  3.03016983e-03 -2.66076007e+00]
 [ 1.37637440e-03 -1.41924790e-03 -8.35225298e-02]
 [ 5.63787259e-05  1.00945094e-03  4.70104523e-01]]","[[ 8.23381522e+01  5.80636309e+02  5.69188910e+02]
 [ 9.20661419e+01 -1.57279516e+02  4.93144651e+02]
 [-2.07567400e-01  2.68090209e-01  1.00000000e+00]]",12,"[[ 2.00628157e-03  2.88786570e-03 -2.56612958e+00]
 [ 1.23249915e-03 -1.43434367e-03  9.84719534e-03]
 [-3.12564921e-04  8.27524241e-04  7.68209912e-01]]","[[ 1.72444876e+02  6.74542290e+02  5.67388599e+02]
 [ 1.47568360e+02 -1.14830593e+02  4.94409518e+02]
 [-8.87988753e-02  3.98150756e-01  1.00000000e+00]]",14
8,-906668.0282579999,"[[ 2.05936063e-03  3.03125206e-03 -2.66408218e+00]
 [ 1.36611510e-03 -1.40928061e-03 -8.00202848e-02]
 [ 5.94501122e-05  1.02410969e-03  4.61038033e-01]]","[[ 8.06136244e+01  5.85785148e+02  5.67493343e+02]
 [ 9.00987006e+01 -1.57288551e+02  4.93330380e+02]
 [-2.10532396e-01  2.73851023e-01  1.00000000e+00]]",11,"[[ 2.01730822e-03  2.88869096e-03 -2.57037354e+00]
 [ 1.22400490e-03 -1.42510342e-03  1.22613366e-02]
 [-3.07495345e-04  8.42343589e-04  7.57357418e-01]]","[[ 1.69973685e+02  6.79012701e+02  5.65875830e+02]
 [ 1.45192806e+02 -1.15034521e+02  4.94628049e+02]
 [-9.24743197e-02  4.03629553e-01  1.00000000e+00]]",14
9,-906667.9879409999,"[[ 2.05651553e-03  3.02344755e-03 -2.65735491e+00]
 [ 1.37218494e-03 -1.41873870e-03 -7.75000885e-02]
 [ 5.61480711e-05  1.00645389e-03  4.71533798e-01]]","[[ 8.36329728e+01  5.80234665e+02  5.66684149e+02]
 [ 9.21804913e+01 -1.58344267e+02  4.93463221e+02]
 [-2.06711046e-01  2.68882417e-01  1.00000000e+00]]",12,"[[ 2.01228844e-03  2.88267732e-03 -2.56274515e+00]
 [ 1.22935142e-03 -1.43447549e-03  1.51114519e-02]
 [-3.08798515e-04  8.26223004e-04  7.65737836e-01]]","[[ 1.72760210e+02  6.72551134e+02  5.64915493e+02]
 [ 1.47117910e+02 -1.16557800e+02  4.94669391e+02]
 [-8.90697861e-02  3.96983814e-01  1.00000000e+00]]",14
