world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,-906237.2365049999,"[[ 1.70896183e-03  2.84925034e-03 -2.71959113e+00]
 [ 1.40737564e-03 -1.12863172e-03 -1.97854670e-01]
 [ 9.38791638e-05  1.07362578e-03  3.11750489e-01]]","[[ 2.34779243e+01  6.41225129e+02  6.11770463e+02]
 [ 7.70068049e+01 -1.32701678e+02  5.87557625e+02]
 [-2.72270876e-01  2.63910615e-01  1.00000000e+00]]",10,"[[ 1.85242673e-03  2.79254294e-03 -2.78294173e+00]
 [ 1.22095056e-03 -1.23563362e-03 -1.97933411e-02]
 [-3.53595238e-04  7.49081496e-04  7.74968325e-01]]","[[ 1.65438940e+02  7.45599575e+02  6.13140977e+02]
 [ 1.64815805e+02 -7.92381981e+01  5.89836228e+02]
 [-8.38254245e-02  4.16786489e-01  1.00000000e+00]]",14
1,-906237.1850119999,"[[ 1.71026675e-03  2.85304430e-03 -2.72280033e+00]
 [ 1.40834049e-03 -1.12977862e-03 -1.98402401e-01]
 [ 9.46247706e-05  1.07326393e-03  3.11623641e-01]]","[[ 2.33816849e+01  6.40534401e+02  6.12107675e+02]
 [ 7.69116625e+01 -1.32868340e+02  5.87419175e+02]
 [-2.71991557e-01  2.63113464e-01  1.00000000e+00]]",10,"[[ 1.85410660e-03  2.79608708e-03 -2.78630635e+00]
 [ 1.22183826e-03 -1.23660389e-03 -2.03378219e-02]
 [-3.53353814e-04  7.48695014e-04  7.75266098e-01]]","[[ 1.65255481e+02  7.45084037e+02  6.13474242e+02]
 [ 1.64658736e+02 -7.93240834e+01  5.89702559e+02]
 [-8.36945148e-02  4.16202686e-01  1.00000000e+00]]",14
2,-906237.14631,"[[ 1.71088244e-03  2.85394757e-03 -2.72464698e+00]
 [ 1.40928091e-03 -1.12872028e-03 -1.99147807e-01]
 [ 9.46786367e-05  1.07409120e-03  3.10730057e-01]]","[[ 2.29836413e+01  6.40559178e+02  6.12069093e+02]
 [ 7.67262987e+01 -1.32634359e+02  5.87771386e+02]
 [-2.72220535e-01  2.63296474e-01  1.00000000e+00]]",10,"[[ 1.85565940e-03  2.79818369e-03 -2.78935932e+00]
 [ 1.22318877e-03 -1.23599526e-03 -2.11076208e-02]
 [-3.52651497e-04  7.49362195e-04  7.74195465e-01]]","[[ 1.64631985e+02  7.44640186e+02  6.13456632e+02]
 [ 1.64362384e+02 -7.92421498e+01  5.90023005e+02]
 [-8.40992284e-02  4.15889219e-01  1.00000000e+00]]",14
3,-906237.107351,"[[ 1.71131852e-03  2.85493635e-03 -2.72715821e+00]
 [ 1.40992320e-03 -1.12816473e-03 -1.98906155e-01]
 [ 9.44663502e-05  1.07519231e-03  3.09506261e-01]]","[[ 2.27189681e+01  6.40683439e+02  6.11923323e+02]
 [ 7.64235037e+01 -1.32186533e+02  5.88441312e+02]
 [-2.72421442e-01  2.63655146e-01  1.00000000e+00]]",10,"[[ 1.85739791e-03  2.80096249e-03 -2.79358506e+00]
 [ 1.22401291e-03 -1.23623343e-03 -2.05277780e-02]
 [-3.52002833e-04  7.49996823e-04  7.72902240e-01]]","[[ 1.64219892e+02  7.44166634e+02  6.13322487e+02]
 [ 1.63997110e+02 -7.89990234e+01  5.90654520e+02]
 [-8.43462999e-02  4.15573618e-01  1.00000000e+00]]",14
4,-906237.0693849999,"[[ 1.71268801e-03  2.85690425e-03 -2.73083957e+00]
 [ 1.41049949e-03 -1.12820531e-03 -1.98134254e-01]
 [ 9.48326957e-05  1.07689923e-03  3.07527544e-01]]","[[ 2.24061135e+01  6.40634583e+02  6.11714821e+02]
 [ 7.59078648e+01 -1.31781517e+02  5.89156231e+02]
 [-2.72723387e-01  2.63918831e-01  1.00000000e+00]]",10,"[[ 1.85985561e-03  2.80424502e-03 -2.79861216e+00]
 [ 1.22434214e-03 -1.23734503e-03 -1.89716600e-02]
 [-3.51047131e-04  7.50717200e-04  7.71299695e-01]]","[[ 1.63937361e+02  7.43530677e+02  6.13124971e+02]
 [ 1.63510704e+02 -7.88299566e+01  5.91349268e+02]
 [-8.45333641e-02  4.15134762e-01  1.00000000e+00]]",14
5,-906237.02943,"[[ 1.71743794e-03  2.85915949e-03 -2.73806273e+00]
 [ 1.40992342e-03 -1.13038953e-03 -1.94716160e-01]
 [ 9.62311594e-05  1.07990394e-03  3.03615017e-01]]","[[ 2.22564981e+01  6.40415870e+02  6.11428937e+02]
 [ 7.48106258e+01 -1.31421972e+02  5.90373316e+02]
 [-2.73142148e-01  2.64463675e-01  1.00000000e+00]]",10,"[[ 1.86624687e-03  2.80843055e-03 -2.80782222e+00]
 [ 1.22319664e-03 -1.24081333e-03 -1.44156116e-02]
 [-3.48787426e-04  7.52737136e-04  7.67733346e-01]]","[[ 1.63758406e+02  7.42433001e+02  6.12852261e+02]
 [ 1.62419188e+02 -7.88476155e+01  5.92533297e+02]
 [-8.48498794e-02  4.14600753e-01  1.00000000e+00]]",14
6,-906236.989092,"[[ 1.75522705e-03  2.92100412e-03 -2.79872254e+00]
 [ 1.44542840e-03 -1.18391091e-03 -1.90167021e-01]
 [ 1.23478671e-04  1.04503908e-03  3.08513048e-01]]","[[ 2.64311799e+01  6.07279440e+02  6.14100643e+02]
 [ 7.45087381e+01 -1.40805398e+02  5.89124974e+02]
 [-2.62965313e-01  2.33899624e-01  1.00000000e+00]]",11,"[[ 1.92304191e-03  2.92708920e-03 -2.90608817e+00]
 [ 1.27650204e-03 -1.29803219e-03 -1.90378589e-02]
 [-3.06739925e-04  7.16462058e-04  7.66165074e-01]]","[[ 1.57376719e+02  6.93888828e+02  6.14176754e+02]
 [ 1.55981569e+02 -9.33725500e+01  5.89322844e+02]
 [-8.28557128e-02  3.65118831e-01  1.00000000e+00]]",14
7,-906236.951333,"[[ 1.75925880e-03  2.92233252e-03 -2.80149632e+00]
 [ 1.44461086e-03 -1.18521795e-03 -1.89161535e-01]
 [ 1.24914842e-04  1.04575931e-03  3.07396609e-01]]","[[ 2.64026400e+01  6.06970786e+02  6.14133073e+02]
 [ 7.41583896e+01 -1.41236025e+02  5.88939587e+02]
 [-2.63014963e-01  2.33832207e-01  1.00000000e+00]]",11,"[[ 1.92675045e-03  2.92782739e-03 -2.90837210e+00]
 [ 1.27561645e-03 -1.29927729e-03 -1.80362242e-02]
 [-3.05460014e-04  7.17360629e-04  7.64985792e-01]]","[[ 1.57256138e+02  6.93488549e+02  6.14217002e+02]
 [ 1.55545527e+02 -9.38649534e+01  5.89149900e+02]
 [-8.30692227e-02  3.64932326e-01  1.00000000e+00]]",14
8,-906236.911768,"[[ 1.76274898e-03  2.92342294e-03 -2.80320372e+00]
 [ 1.44439469e-03 -1.18564363e-03 -1.88731754e-01]
 [ 1.26297504e-04  1.04620745e-03  3.06556405e-01]]","[[ 2.62989745e+01  6.06556038e+02  6.13909104e+02]
 [ 7.39199551e+01 -1.41688696e+02  5.88705812e+02]
 [-2.63106891e-01  2.33657671e-01  1.00000000e+00]]",11,"[[ 1.92954107e-03  2.92829333e-03 -2.90926943e+00]
 [ 1.27550964e-03 -1.29939195e-03 -1.79329665e-02]
 [-3.03801230e-04  7.18486173e-04  7.63405919e-01]]","[[ 1.56845949e+02  6.92973545e+02  6.14003880e+02]
 [ 1.55116559e+02 -9.43856867e+01  5.88917686e+02]
 [-8.35716739e-02  3.64604228e-01  1.00000000e+00]]",14
9,-906236.8736559999,"[[ 1.76511203e-03  2.92271759e-03 -2.80390528e+00]
 [ 1.44458734e-03 -1.18599158e-03 -1.88446871e-01]
 [ 1.27053850e-04  1.04605779e-03  3.06221727e-01]]","[[ 2.62923469e+01  6.06132388e+02  6.13754628e+02]
 [ 7.38349776e+01 -1.41993274e+02  5.88684863e+02]
 [-2.63130242e-01  2.33561860e-01  1.00000000e+00]]",11,"[[ 1.93148138e-03  2.92754493e-03 -2.90962842e+00]
 [ 1.27572784e-03 -1.29971397e-03 -1.77192253e-02]
 [-3.02784527e-04  7.18734630e-04  7.62610586e-01]]","[[ 1.56672666e+02  6.92352553e+02  6.13848276e+02]
 [ 1.54923819e+02 -9.47903816e+01  5.88886575e+02]
 [-8.38056224e-02  3.64226219e-01  1.00000000e+00]]",14
10,-906236.834849,"[[ 1.76618438e-03  2.92247894e-03 -2.80501257e+00]
 [ 1.44481442e-03 -1.18634154e-03 -1.88307800e-01]
 [ 1.27600526e-04  1.04654235e-03  3.05428789e-01]]","[[ 2.61598034e+01  6.05940588e+02  6.13831842e+02]
 [ 7.36523295e+01 -1.42038921e+02  5.88839952e+02]
 [-2.63296354e-01  2.33545136e-01  1.00000000e+00]]",11,"[[ 1.93288346e-03  2.92759213e-03 -2.91111519e+00]
 [ 1.27588660e-03 -1.30028246e-03 -1.73857726e-02]
 [-3.02264525e-04  7.19035329e-04  7.62029101e-01]]","[[ 1.56572158e+02  6.92015142e+02  6.13927740e+02]
 [ 1.54756626e+02 -9.48995677e+01  5.89038478e+02]
 [-8.39197249e-02  3.64038289e-01  1.00000000e+00]]",14
11,-906236.797865,"[[ 1.76644062e-03  2.92235075e-03 -2.80615757e+00]
 [ 1.44419063e-03 -1.18684243e-03 -1.87744728e-01]
 [ 1.27644670e-04  1.04680156e-03  3.04995931e-01]]","[[ 2.61916700e+01  6.06117580e+02  6.14084694e+02]
 [ 7.35226991e+01 -1.41991430e+02  5.89050929e+02]
 [-2.63304834e-01  2.33672533e-01  1.00000000e+00]]",11,"[[ 1.93407579e-03  2.92814770e-03 -2.91328687e+00]
 [ 1.27532924e-03 -1.30100948e-03 -1.66800392e-02]
 [-3.02322308e-04  7.19144887e-04  7.61930371e-01]]","[[ 1.56670200e+02  6.92112393e+02  6.14189585e+02]
 [ 1.54652165e+02 -9.48515593e+01  5.89245435e+02]
 [-8.38034804e-02  3.64144862e-01  1.00000000e+00]]",14
12,-906236.757935,"[[ 1.76757827e-03  2.92454160e-03 -2.80800818e+00]
 [ 1.44454529e-03 -1.18774968e-03 -1.87216533e-01]
 [ 1.27945692e-04  1.04629131e-03  3.05098726e-01]]","[[ 2.63276331e+01  6.05664780e+02  6.13960837e+02]
 [ 7.34783506e+01 -1.42085391e+02  5.89078418e+02]
 [-2.63023933e-01  2.33270428e-01  1.00000000e+00]]",11,"[[ 1.93517069e-03  2.93032354e-03 -2.91505544e+00]
 [ 1.27565748e-03 -1.30177808e-03 -1.62576519e-02]
 [-3.01824812e-04  7.18992510e-04  7.61667959e-01]]","[[ 1.56591669e+02  6.91651322e+02  6.14070760e+02]
 [ 1.54496012e+02 -9.49492616e+01  5.89260427e+02]
 [-8.37874606e-02  3.63708799e-01  1.00000000e+00]]",14
