world_index,world_timestamp,surface_name,event_type
0,-906446.456458,Assembly,enter
0,-906446.456458,Left,enter
0,-906446.456458,Screen,enter
445,-906428.3186229999,Right,enter
446,-906428.2779809999,Right,exit
446,-906428.2779809999,Screen,exit
448,-906428.200324,Right,enter
448,-906428.200324,Screen,enter
450,-906428.118977,Right,exit
450,-906428.118977,Assembly,exit
450,-906428.118977,Screen,exit
451,-906428.079818,Left,exit
457,-906427.891982,Right,enter
458,-906427.861347,Assembly,enter
458,-906427.861347,Left,enter
474,-906427.228054,Left,exit
475,-906427.186872,Right,exit
475,-906427.186872,Assembly,exit
484,-906426.8909949999,Left,enter
484,-906426.8909949999,Screen,enter
485,-906426.8522389999,Assembly,enter
510,-906425.867494,Assembly,exit
510,-906425.867494,Left,exit
510,-906425.867494,Screen,exit
518,-906425.5926529999,Assembly,enter
518,-906425.5926529999,Left,enter
519,-906425.552372,Right,enter
528,-906425.1917259999,Right,exit
528,-906425.1917259999,Assembly,exit
528,-906425.1917259999,Left,exit
537,-906424.873907,Left,enter
538,-906424.836023,Assembly,enter
538,-906424.836023,Screen,enter
557,-906424.0829579999,Assembly,exit
557,-906424.0829579999,Left,exit
557,-906424.0829579999,Screen,exit
561,-906423.941609,Left,enter
563,-906423.8756629999,Right,enter
563,-906423.8756629999,Assembly,enter
564,-906423.836731,Screen,enter
575,-906423.373451,Right,exit
575,-906423.373451,Assembly,exit
575,-906423.373451,Screen,exit
576,-906423.334585,Left,exit
578,-906423.267533,Left,enter
580,-906423.199834,Assembly,enter
580,-906423.199834,Screen,enter
612,-906421.920941,Assembly,exit
612,-906421.920941,Screen,exit
615,-906421.813275,Assembly,enter
617,-906421.7450969999,Right,enter
617,-906421.7450969999,Screen,enter
622,-906421.557944,Right,exit
647,-906420.543171,Assembly,exit
647,-906420.543171,Screen,exit
648,-906420.5050809999,Left,exit
653,-906420.333858,Left,enter
655,-906420.2659989999,Assembly,enter
656,-906420.225218,Right,enter
694,-906418.6840319999,Right,exit
694,-906418.6840319999,Assembly,exit
694,-906418.6840319999,Left,exit
702,-906418.411002,Left,enter
703,-906418.373425,Screen,enter
704,-906418.330876,Assembly,enter
731,-906417.1801649999,Assembly,exit
732,-906417.141414,Screen,exit
733,-906417.104588,Left,exit
735,-906417.0344319999,Left,enter
