world_index,world_timestamp,surface_name,event_type
0,170978.724956,Assembly,enter
0,170978.724956,Left,enter
0,170978.724956,Screen,enter
1,170978.783076,Screen,exit
2,170978.821653,Assembly,exit
4,170978.889358,Left,exit
9,170979.05789199998,Left,enter
10,170979.091712,Right,enter
11,170979.129041,Assembly,enter
39,170980.396628,Assembly,exit
40,170980.437297,Right,exit
49,170980.766908,Right,enter
49,170980.766908,Assembly,enter
49,170980.766908,Screen,enter
50,170980.808676,Right,exit
104,170983.007702,Assembly,exit
104,170983.007702,Left,exit
104,170983.007702,Screen,exit
111,170983.245781,Right,enter
113,170983.31389699999,Assembly,enter
113,170983.31389699999,Left,enter
120,170983.627078,Right,exit
120,170983.627078,Assembly,exit
120,170983.627078,Left,exit
129,170983.919076,Left,enter
130,170983.956195,Assembly,enter
130,170983.956195,Screen,enter
156,170984.99958899998,Assembly,exit
158,170985.07801,Left,exit
158,170985.07801,Screen,exit
164,170985.290208,Left,enter
165,170985.325072,Right,enter
165,170985.325072,Assembly,enter
166,170985.365286,Screen,enter
173,170985.67876799998,Screen,exit
174,170985.726558,Right,exit
174,170985.726558,Assembly,exit
174,170985.726558,Left,exit
180,170985.943991,Assembly,enter
180,170985.943991,Left,enter
180,170985.943991,Screen,enter
190,170986.353809,Assembly,exit
190,170986.353809,Left,exit
190,170986.353809,Screen,exit
198,170986.639215,Right,enter
200,170986.721309,Assembly,enter
200,170986.721309,Left,enter
291,170990.63313099998,Right,exit
291,170990.63313099998,Assembly,exit
291,170990.63313099998,Left,exit
298,170990.867912,Left,enter
299,170990.902094,Right,enter
299,170990.902094,Right,exit
299,170990.902094,Assembly,enter
300,170990.941471,Screen,enter
305,170991.145917,Right,enter
315,170991.567569,Right,exit
322,170991.85211,Right,enter
322,170991.85211,Right,exit
322,170991.85211,Assembly,exit
322,170991.85211,Screen,exit
326,170992.004688,Right,enter
326,170992.004688,Assembly,enter
327,170992.04359299998,Screen,enter
332,170992.260225,Screen,exit
334,170992.347542,Left,exit
335,170992.388946,Assembly,exit
338,170992.505002,Assembly,enter
339,170992.544806,Left,enter
365,170993.666893,Left,exit
368,170993.774344,Left,enter
370,170993.851412,Screen,enter
371,170993.895762,Screen,exit
436,170996.59948,Right,exit
436,170996.59948,Assembly,exit
436,170996.59948,Left,exit
445,170996.885825,Left,enter
446,170996.918046,Assembly,enter
446,170996.918046,Screen,enter
463,170997.61179,Assembly,exit
463,170997.61179,Screen,exit
468,170997.796786,Right,enter
468,170997.796786,Assembly,enter
469,170997.833774,Screen,enter
475,170998.09086999999,Right,exit
475,170998.09086999999,Screen,exit
476,170998.13324599998,Assembly,exit
476,170998.13324599998,Left,exit
482,170998.329308,Left,enter
482,170998.329308,Screen,enter
483,170998.365132,Assembly,enter
492,170998.727327,Assembly,exit
493,170998.765247,Left,exit
493,170998.765247,Screen,exit
499,170998.973414,Assembly,enter
499,170998.973414,Left,enter
500,170999.009524,Right,enter
500,170999.009524,Screen,enter
515,170999.68880899998,Right,exit
515,170999.68880899998,Assembly,exit
515,170999.68880899998,Left,exit
515,170999.68880899998,Screen,exit
519,170999.836328,Assembly,enter
519,170999.836328,Left,enter
520,170999.871972,Screen,enter
541,171000.694991,Left,exit
541,171000.694991,Screen,exit
542,171000.732303,Assembly,exit
546,171000.863054,Right,enter
546,171000.863054,Assembly,enter
546,171000.863054,Left,enter
547,171000.901215,Screen,enter
573,171002.072893,Right,exit
573,171002.072893,Assembly,exit
573,171002.072893,Left,exit
573,171002.072893,Screen,exit
578,171002.26337499998,Assembly,enter
578,171002.26337499998,Left,enter
578,171002.26337499998,Screen,enter
592,171002.836574,Assembly,exit
592,171002.836574,Left,exit
592,171002.836574,Screen,exit
599,171003.06571,Right,enter
599,171003.06571,Assembly,enter
600,171003.102465,Left,enter
647,171005.064028,Right,exit
647,171005.064028,Assembly,exit
647,171005.064028,Left,exit
655,171005.32996,Left,enter
656,171005.365042,Assembly,enter
656,171005.365042,Screen,enter
676,171006.188525,Assembly,exit
676,171006.188525,Screen,exit
677,171006.234432,Left,exit
681,171006.379075,Left,enter
683,171006.44887199998,Right,enter
683,171006.44887199998,Assembly,enter
684,171006.489233,Screen,enter
690,171006.770231,Screen,exit
692,171006.85906699998,Screen,enter
694,171006.94951099998,Screen,exit
751,171009.412152,Right,exit
751,171009.412152,Assembly,exit
751,171009.412152,Left,exit
758,171009.653754,Left,enter
759,171009.686046,Assembly,enter
759,171009.686046,Screen,enter
779,171010.51343599998,Assembly,exit
779,171010.51343599998,Screen,exit
780,171010.562126,Left,exit
784,171010.729628,Right,enter
784,171010.729628,Assembly,enter
784,171010.729628,Left,enter
785,171010.775837,Screen,enter
786,171010.822896,Screen,exit
787,171010.870534,Right,exit
789,171010.952517,Assembly,exit
791,171011.03018,Assembly,enter
791,171011.03018,Screen,enter
802,171011.492382,Assembly,exit
802,171011.492382,Screen,exit
803,171011.53698,Left,exit
806,171011.650451,Left,enter
807,171011.687411,Assembly,enter
808,171011.724144,Right,enter
809,171011.76563399998,Screen,enter
814,171011.98698,Right,exit
814,171011.98698,Assembly,exit
814,171011.98698,Left,exit
814,171011.98698,Screen,exit
819,171012.168549,Assembly,enter
819,171012.168549,Screen,enter
820,171012.20964,Left,enter
832,171012.721489,Assembly,exit
832,171012.721489,Left,exit
832,171012.721489,Screen,exit
838,171012.937885,Right,enter
839,171012.976599,Assembly,enter
840,171013.016128,Left,enter
864,171014.043455,Right,exit
864,171014.043455,Assembly,exit
864,171014.043455,Left,exit
870,171014.243104,Left,enter
872,171014.316826,Right,enter
872,171014.316826,Assembly,enter
872,171014.316826,Screen,enter
881,171014.70926899998,Right,exit
881,171014.70926899998,Assembly,exit
881,171014.70926899998,Left,exit
881,171014.70926899998,Screen,exit
887,171014.92739199998,Right,enter
887,171014.92739199998,Left,enter
888,171014.96030099998,Assembly,enter
933,171016.818748,Right,exit
933,171016.818748,Assembly,exit
933,171016.818748,Left,exit
940,171017.059709,Left,enter
941,171017.094249,Assembly,enter
941,171017.094249,Screen,enter
955,171017.670816,Assembly,exit
955,171017.670816,Screen,exit
959,171017.813884,Assembly,enter
960,171017.849646,Right,enter
961,171017.88909399998,Screen,enter
965,171018.061831,Screen,exit
966,171018.106454,Right,exit
966,171018.106454,Left,exit
967,171018.146572,Assembly,exit
967,171018.146572,Screen,enter
969,171018.22375499998,Assembly,enter
