world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,194512.516837,"[[ 1.33905332e-03  8.73344509e-04 -1.83854451e+00]
 [ 9.85357439e-04 -1.35036376e-03  2.09690200e-01]
 [ 3.26927408e-04  6.99174682e-04  1.70120765e-01]]","[[ 1.41014631e+02  5.37341238e+02  8.61661322e+02]
 [ 3.71243876e+01 -3.10582304e+02  7.84036588e+02]
 [-4.23569572e-01  2.43825058e-01  1.00000000e+00]]",6,"[[ 1.99442026e-03  1.12362708e-03 -2.53582454e+00]
 [ 7.33165235e-04 -1.55618234e-03  5.56273343e-01]
 [-2.96382158e-04  5.53607910e-04  8.32177842e-01]]","[[ 4.08143485e+02  5.95523483e+02  8.45620240e+02]
 [ 1.97325561e+02 -2.31226598e+02  7.55857894e+02]
 [ 1.40900837e-02  3.65921072e-01  1.00000000e+00]]",15
1,194512.642107,"[[ 1.33828703e-03  8.77094708e-04 -1.84120865e+00]
 [ 9.91079842e-04 -1.34680080e-03  2.03125279e-01]
 [ 3.26950387e-04  7.01397459e-04  1.67912082e-01]]","[[ 1.37971653e+02  5.38498442e+02  8.61474362e+02]
 [ 3.74305702e+01 -3.09430542e+02  7.84759818e+02]
 [-4.25005702e-01  2.44005800e-01  1.00000000e+00]]",6,"[[ 1.99549781e-03  1.12980647e-03 -2.54155107e+00]
 [ 7.39899373e-04 -1.55384283e-03  5.49851628e-01]
 [-2.96274406e-04  5.54336461e-04  8.31156803e-01]]","[[ 4.05496224e+02  5.96428653e+02  8.45378507e+02]
 [ 1.97600170e+02 -2.30037962e+02  7.56412832e+02]
 [ 1.27547224e-02  3.66025970e-01  1.00000000e+00]]",15
2,194512.711628,"[[ 1.33793096e-03  8.76979161e-04 -1.84116917e+00]
 [ 9.90398201e-04 -1.34967028e-03  2.06395195e-01]
 [ 3.24978077e-04  6.99668664e-04  1.70711512e-01]]","[[ 1.40152230e+02  5.37675573e+02  8.61513722e+02]
 [ 3.81399007e+01 -3.09139716e+02  7.85107929e+02]
 [-4.23121409e-01  2.43466876e-01  1.00000000e+00]]",6,"[[ 1.99367916e-03  1.12919079e-03 -2.53987228e+00]
 [ 7.35720651e-04 -1.55784839e-03  5.56890524e-01]
 [-3.00862222e-04  5.51887343e-04  8.36718670e-01]]","[[ 4.09189135e+02  5.96079648e+02  8.45370205e+02]
 [ 1.98936842e+02 -2.29637918e+02  7.56714741e+02]
 [ 1.59179273e-02  3.65800500e-01  1.00000000e+00]]",15
3,194512.771487,"[[ 1.33651177e-03  8.75629515e-04 -1.83953500e+00]
 [ 9.87322490e-04 -1.35187940e-03  2.11314898e-01]
 [ 3.21699604e-04  6.97403520e-04  1.74911392e-01]]","[[ 1.43685226e+02  5.37580525e+02  8.61666157e+02]
 [ 3.91991914e+01 -3.09040204e+02  7.85615401e+02]
 [-4.20562282e-01  2.43473475e-01  1.00000000e+00]]",6,"[[ 1.99495534e-03  1.13014007e-03 -2.54211746e+00]
 [ 7.32987292e-04 -1.56251913e-03  5.63022522e-01]
 [-3.03901798e-04  5.48310710e-04  8.41898504e-01]]","[[ 4.11653712e+02  5.94427358e+02  8.45465453e+02]
 [ 1.99771292e+02 -2.29879100e+02  7.56943025e+02]
 [ 1.84886473e-02  3.64287042e-01  1.00000000e+00]]",15
4,194512.832609,"[[ 1.33716847e-03  8.76362224e-04 -1.84045818e+00]
 [ 9.87626299e-04 -1.35197526e-03  2.11240324e-01]
 [ 3.22590338e-04  6.98304355e-04  1.73500849e-01]]","[[ 1.42922079e+02  5.37623768e+02  8.61519074e+02]
 [ 3.86071455e+01 -3.08870101e+02  7.85590722e+02]
 [-4.21120820e-01  2.43532546e-01  1.00000000e+00]]",6,"[[ 1.99504756e-03  1.13069130e-03 -2.54235580e+00]
 [ 7.32536515e-04 -1.56226530e-03  5.63364230e-01]
 [-3.02886035e-04  5.49538581e-04  8.40049982e-01]]","[[ 4.11139184e+02  5.94910114e+02  8.45319954e+02]
 [ 1.99236818e+02 -2.29627476e+02  7.56972561e+02]
 [ 1.79036954e-02  3.64715349e-01  1.00000000e+00]]",15
5,194512.893365,"[[ 1.33799584e-03  8.76374273e-04 -1.84155526e+00]
 [ 9.89773960e-04 -1.35017763e-03  2.07770815e-01]
 [ 3.24600239e-04  6.99250608e-04  1.70917885e-01]]","[[ 1.40636193e+02  5.37594057e+02  8.61776198e+02]
 [ 3.80440269e+01 -3.09077730e+02  7.85625853e+02]
 [-4.22734289e-01  2.43506591e-01  1.00000000e+00]]",6,"[[ 1.99655916e-03  1.13061373e-03 -2.54405027e+00]
 [ 7.35909878e-04 -1.55979791e-03  5.58519061e-01]
 [-3.00121504e-04  5.51177091e-04  8.36526208e-01]]","[[ 4.08654095e+02  5.94996547e+02  8.45543918e+02]
 [ 1.98474443e+02 -2.29749228e+02  7.56997543e+02]
 [ 1.58408846e-02  3.64846632e-01  1.00000000e+00]]",15
6,194512.952764,"[[ 1.33448692e-03  8.75889992e-04 -1.83964181e+00]
 [ 9.88805155e-04 -1.34945138e-03  2.07727172e-01]
 [ 3.22850075e-04  6.98789767e-04  1.72233376e-01]]","[[ 1.41578915e+02  5.38593537e+02  8.62631749e+02]
 [ 3.87116649e+01 -3.08886223e+02  7.86024531e+02]
 [-4.22450516e-01  2.43632037e-01  1.00000000e+00]]",6,"[[ 1.99576401e-03  1.13174675e-03 -2.54582312e+00]
 [ 7.36533284e-04 -1.55873600e-03  5.57073794e-01]
 [-3.01867932e-04  5.51133111e-04  8.38103953e-01]]","[[ 4.09032787e+02  5.96183443e+02  8.46204043e+02]
 [ 1.99129534e+02 -2.29222836e+02  7.57236145e+02]
 [ 1.63786390e-02  3.65468933e-01  1.00000000e+00]]",15
7,194513.01001899998,"[[ 1.33317955e-03  8.76611268e-04 -1.83977275e+00]
 [ 9.89507752e-04 -1.34799073e-03  2.06113355e-01]
 [ 3.23538577e-04  6.98376838e-04  1.71637272e-01]]","[[ 1.40854343e+02  5.38674845e+02  8.62935539e+02]
 [ 3.87126034e+01 -3.09270898e+02  7.86351670e+02]
 [-4.23030490e-01  2.42986496e-01  1.00000000e+00]]",6,"[[ 1.99629391e-03  1.13355357e-03 -2.54835797e+00]
 [ 7.38692504e-04 -1.55638798e-03  5.53731903e-01]
 [-3.00472691e-04  5.51355197e-04  8.36669922e-01]]","[[ 4.07540858e+02  5.96665455e+02  8.46411803e+02]
 [ 1.98872323e+02 -2.29321907e+02  7.57503896e+02]
 [ 1.53054498e-02  3.65400371e-01  1.00000000e+00]]",15
8,194513.070963,"[[ 1.33271184e-03  8.76442571e-04 -1.83937298e+00]
 [ 9.88331295e-04 -1.34831111e-03  2.06747907e-01]
 [ 3.23779624e-04  6.98771536e-04  1.71214923e-01]]","[[ 1.40932334e+02  5.38976239e+02  8.63212831e+02]
 [ 3.84046095e+01 -3.09310077e+02  7.86085757e+02]
 [-4.23252045e-01  2.43130404e-01  1.00000000e+00]]",6,"[[ 1.99469521e-03  1.13209613e-03 -2.54624121e+00]
 [ 7.35901319e-04 -1.55625477e-03  5.55532606e-01]
 [-3.01841166e-04  5.51994593e-04  8.37518244e-01]]","[[ 4.08913771e+02  5.97776066e+02  8.46678867e+02]
 [ 1.99121341e+02 -2.29095658e+02  7.57334035e+02]
 [ 1.61347003e-02  3.66431408e-01  1.00000000e+00]]",15
9,194513.129762,"[[ 1.33430137e-03  8.76432090e-04 -1.84055096e+00]
 [ 9.87671407e-04 -1.34965447e-03  2.07930127e-01]
 [ 3.24841386e-04  6.97659795e-04  1.71358371e-01]]","[[ 1.41137420e+02  5.37887512e+02  8.63264483e+02]
 [ 3.81408186e+01 -3.09971606e+02  7.85795028e+02]
 [-4.22836600e-01  2.42337752e-01  1.00000000e+00]]",6,"[[ 1.99515161e-03  1.13074084e-03 -2.54555462e+00]
 [ 7.32768732e-04 -1.55774935e-03  5.58952977e-01]
 [-3.02634892e-04  5.50842344e-04  8.39195311e-01]]","[[ 4.10299421e+02  5.97256735e+02  8.46764927e+02]
 [ 1.99184870e+02 -2.29631443e+02  7.57140961e+02]
 [ 1.72206162e-02  3.66114355e-01  1.00000000e+00]]",15
