world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
139,346710.783169,"[[ 1.12768467e-03 -8.50129999e-04  3.39501130e-01]
 [-1.00496305e-03 -2.28080363e-03  5.24932289e-01]
 [-2.14642602e-04 -2.79356571e-04  1.05552838e+00]]","[[ 6.59825229e+02 -2.34210824e+02 -9.57497577e+01]
 [-2.76704613e+02 -3.68661930e+02  2.72341402e+02]
 [ 6.09432709e-02 -1.45197188e-01  1.00000000e+00]]",3,"[[ 2.27393991e-03 -7.13702866e-04  8.62676335e-03]
 [-2.66021100e-03 -3.45043238e-03  1.29918245e+00]
 [ 4.24907591e-04  2.46511796e-04  8.85552155e-01]]","[[ 3.46425227e+02 -6.50763250e+01  9.20978966e+01]
 [-2.98397610e+02 -2.06269227e+02  3.05521887e+02]
 [-8.31573580e-02  8.86443806e-02  1.00000000e+00]]",8
140,346710.830433,"[[ 1.17968284e-03 -7.87896612e-04  2.73691457e-01]
 [-9.17589231e-04 -2.43577788e-03  5.73546791e-01]
 [-3.71829445e-04 -2.30208462e-04  1.03718177e+00]]","[[ 6.65749604e+02 -2.09705161e+02 -5.97139855e+01]
 [-2.05328387e+02 -3.68509645e+02  2.57962643e+02]
 [ 1.93097276e-01 -1.56972093e-01  1.00000000e+00]]",4,"[[ 2.20884771e-03 -5.65133455e-04 -7.40042176e-02]
 [-2.11980016e-03 -3.94366754e-03  1.38030095e+00]
 [ 1.03454080e-04  7.93661880e-07  9.88577180e-01]]","[[ 3.93555595e+02 -5.63753349e+01  1.08175370e+02]
 [-2.25895591e+02 -2.21141158e+02  2.91857964e+02]
 [-4.10040289e-02  6.07718834e-03  1.00000000e+00]]",8
141,346710.874398,"[[ 1.19309995e-03 -7.68895884e-04  2.56101785e-01]
 [-8.93063621e-04 -2.45550058e-03  5.78914877e-01]
 [-3.73359561e-04 -2.37546905e-04  1.04142503e+00]]","[[ 6.69103747e+02 -2.04602766e+02 -5.08064216e+01]
 [-1.97414311e+02 -3.70027625e+02  2.54240724e+02]
 [ 1.94849477e-01 -1.57754337e-01  1.00000000e+00]]",4,"[[ 2.20354664e-03 -5.37024041e-04 -9.29716919e-02]
 [-2.04719870e-03 -3.94577871e-03  1.36880443e+00]
 [ 9.35335687e-05 -6.00090398e-06  9.91208054e-01]]","[[ 3.98492219e+02 -5.44062592e+01  1.12509199e+02]
 [-2.20257960e+02 -2.23896900e+02  2.88530054e+02]
 [-3.89364736e-02  3.77844768e-03  1.00000000e+00]]",8
142,346710.922617,"[[ 1.22236616e-03 -7.41015461e-04  2.22714408e-01]
 [-8.52574973e-04 -2.49676840e-03  6.00536536e-01]
 [-3.74640911e-04 -2.47967834e-04  1.05090050e+00]]","[[ 6.71856266e+02 -1.96405882e+02 -3.01485842e+01]
 [-1.82148185e+02 -3.71368353e+02  2.50820406e+02]
 [ 1.96534261e-01 -1.57644882e-01  1.00000000e+00]]",4,"[[ 2.18843444e-03 -4.96168828e-04 -1.26715708e-01]
 [-1.90463804e-03 -3.92960237e-03  1.35182900e+00]
 [ 7.98083990e-05 -3.23241681e-06  9.91148208e-01]]","[[ 4.07603068e+02 -5.15664699e+01  1.22442597e+02]
 [-2.09086305e+02 -2.28312680e+02  2.84664979e+02]
 [-3.35025600e-02  3.40759901e-03  1.00000000e+00]]",8
143,346710.967338,"[[ 1.23532347e-03 -7.25883691e-04  2.07360837e-01]
 [-8.38743202e-04 -2.52319202e-03  6.16177411e-01]
 [-3.77526996e-04 -2.58717242e-04  1.05723837e+00]]","[[ 6.73199732e+02 -1.91579393e+02 -2.03817475e+01]
 [-1.75567647e+02 -3.71549740e+02  2.50980685e+02]
 [ 1.97428225e-01 -1.59332769e-01  1.00000000e+00]]",4,"[[ 2.18129949e-03 -4.77090078e-04 -1.41708624e-01]
 [-1.84516659e-03 -3.92346820e-03  1.34941736e+00]
 [ 7.29091699e-05 -4.79291155e-06  9.92094083e-01]]","[[ 4.11713004e+02 -5.02192014e+01  1.27114906e+02]
 [-2.04370343e+02 -2.30372420e+02  2.84154000e+02]
 [-3.12441963e-02  2.57766446e-03  1.00000000e+00]]",8
144,346711.012518,"[[ 1.24430156e-03 -7.13344404e-04  1.95782628e-01]
 [-8.26666165e-04 -2.54190401e-03  6.28320704e-01]
 [-3.78427437e-04 -2.59968464e-04  1.06038755e+00]]","[[ 6.74749415e+02 -1.88009798e+02 -1.31779788e+01]
 [-1.70232357e+02 -3.71351617e+02  2.51470744e+02]
 [ 1.99067451e-01 -1.58138197e-01  1.00000000e+00]]",4,"[[ 2.17480192e-03 -4.61903242e-04 -1.52862203e-01]
 [-1.79967916e-03 -3.92161611e-03  1.34909784e+00]
 [ 6.49222018e-05 -1.07917094e-05  9.94585385e-01]]","[[ 4.15151325e+02 -4.92575936e+01  1.30621525e+02]
 [-2.00589509e+02 -2.32152422e+02  2.84071917e+02]
 [-2.92757588e-02  6.96360489e-04  1.00000000e+00]]",8
145,346711.05826099997,"[[ 1.25825879e-03 -6.95716024e-04  1.82061610e-01]
 [-8.09640413e-04 -2.57060658e-03  6.44328853e-01]
 [-3.78812171e-04 -2.70524236e-04  1.06628154e+00]]","[[ 6.75840043e+02 -1.82364234e+02 -5.19749128e+00]
 [-1.63049716e+02 -3.71435334e+02  2.52289462e+02]
 [ 1.98735068e-01 -1.59023714e-01  1.00000000e+00]]",4,"[[ 2.17280864e-03 -4.38593980e-04 -1.67583748e-01]
 [-1.74071669e-03 -3.92143756e-03  1.34852951e+00]
 [ 5.85122469e-05 -1.79559383e-05  9.97233378e-01]]","[[ 4.18609843e+02 -4.74353317e+01  1.34492240e+02]
 [-1.95476738e+02 -2.34446651e+02  2.84185736e+02]
 [-2.80814615e-02 -1.43814054e-03  1.00000000e+00]]",8
146,346711.1068,"[[ 1.26073705e-03 -6.88465738e-04  1.78533122e-01]
 [-8.04143194e-04 -2.58096031e-03  6.51342310e-01]
 [-3.80985044e-04 -2.72464160e-04  1.06779905e+00]]","[[ 6.77204010e+02 -1.80300054e+02 -3.24620315e+00]
 [-1.60342923e+02 -3.71429655e+02  2.53375737e+02]
 [ 2.00709019e-01 -1.59105679e-01  1.00000000e+00]]",4,"[[ 2.17338275e-03 -4.31854973e-04 -1.71209595e-01]
 [-1.72218560e-03 -3.91964100e-03  1.34982445e+00]
 [ 5.79275928e-05 -1.78795109e-05  9.97251241e-01]]","[[ 4.19399147e+02 -4.68257691e+01  1.35383864e+02]
 [-1.93859281e+02 -2.35066070e+02  2.84890455e+02]
 [-2.78374105e-02 -1.49447022e-03  1.00000000e+00]]",8
147,346711.152973,"[[ 1.26308246e-03 -6.82514214e-04  1.77891539e-01]
 [-7.99039788e-04 -2.58528775e-03  6.57142704e-01]
 [-3.79952078e-04 -2.67474445e-04  1.06709946e+00]]","[[ 6.77810087e+02 -1.78632130e+02 -2.98929861e+00]
 [-1.58227708e+02 -3.71425808e+02  2.55109425e+02]
 [ 2.01680809e-01 -1.56703819e-01  1.00000000e+00]]",4,"[[ 2.17797146e-03 -4.25881169e-04 -1.72993937e-01]
 [-1.70745843e-03 -3.91262554e-03  1.35102261e+00]
 [ 6.22087658e-05 -1.14304561e-05  9.94848784e-01]]","[[ 4.19194300e+02 -4.60239761e+01  1.35394953e+02]
 [-1.92751047e+02 -2.35438451e+02  2.86212248e+02]
 [-2.84272272e-02  1.72816086e-04  1.00000000e+00]]",8
148,346711.20073,"[[ 1.26490217e-03 -6.73250563e-04  1.83232676e-01]
 [-7.94874676e-04 -2.59686716e-03  6.75796616e-01]
 [-3.81847507e-04 -2.65940615e-04  1.06756721e+00]]","[[ 6.78705270e+02 -1.75398696e+02 -5.45833356e+00]
 [-1.54591961e+02 -3.71822000e+02  2.61906084e+02]
 [ 2.04249092e-01 -1.55360828e-01  1.00000000e+00]]",4,"[[ 2.19207659e-03 -4.19035601e-04 -1.70962971e-01]
 [-1.69221881e-03 -3.90435451e-03  1.36481208e+00]
 [ 6.35330847e-05 -2.01806294e-05  9.97388172e-01]]","[[ 4.17212022e+02 -4.54685940e+01  1.33733182e+02]
 [-1.91471596e+02 -2.37081760e+02  2.91599103e+02]
 [-3.04503151e-02 -1.90066329e-03  1.00000000e+00]]",8
