world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,245335.385702,"[[ 1.53764690e-03  3.63218529e-04 -6.55611812e-01]
 [ 2.10472301e-05 -1.32827298e-03  8.41729921e-01]
 [ 4.17458546e-05  6.34985430e-04  5.83327370e-01]]","[[ 6.38666426e+02  3.06420002e+02  2.75650307e+02]
 [-1.11515343e+01 -4.50874995e+02  6.38070345e+02]
 [-3.35671100e-02  4.68874429e-01  1.00000000e+00]]",15,"[[ 1.73775669e-03  3.99372789e-04 -7.82832871e-01]
 [ 1.95545258e-05 -1.50593188e-03  9.17399719e-01]
 [ 5.23957617e-05  6.59053410e-04  5.79642227e-01]]","[[ 5.62916688e+02  2.84759015e+02  3.09556203e+02]
 [-1.39949290e+01 -3.99387821e+02  6.13210301e+02]
 [-3.49716464e-02  4.28363788e-01  1.00000000e+00]]",15
1,245335.443478,"[[ 1.53848100e-03  3.64576353e-04 -6.56090733e-01]
 [ 2.24105340e-05 -1.33096398e-03  8.38429565e-01]
 [ 4.23864300e-05  6.33058436e-04  5.86565624e-01]]","[[ 6.37927562e+02  3.06051943e+02  2.76073738e+02]
 [-1.08923174e+01 -4.52482932e+02  6.34590068e+02]
 [-3.43422760e-02  4.66232040e-01  1.00000000e+00]]",15,"[[ 1.73592411e-03  4.02472407e-04 -7.82983165e-01]
 [ 2.06272645e-05 -1.50552366e-03  9.12396988e-01]
 [ 5.21250203e-05  6.60090021e-04  5.81028501e-01]]","[[ 5.63364641e+02  2.86327706e+02  3.09555372e+02]
 [-1.35685403e+01 -4.00276037e+02  6.10274214e+02]
 [-3.51255323e-02  4.29055338e-01  1.00000000e+00]]",15
2,245335.488127,"[[ 1.53692639e-03  3.64601539e-04 -6.54173898e-01]
 [ 2.31252813e-05 -1.33071480e-03  8.36028879e-01]
 [ 4.05909446e-05  6.30982160e-04  5.89380189e-01]]","[[ 6.38775464e+02  3.05633077e+02  2.75462527e+02]
 [-9.88761299e+00 -4.54016528e+02  6.33042504e+02]
 [-3.34072852e-02  4.65014603e-01  1.00000000e+00]]",15,"[[ 1.73415097e-03  4.03558217e-04 -7.81442720e-01]
 [ 2.16207073e-05 -1.50419434e-03  9.09201203e-01]
 [ 5.07886252e-05  6.59762536e-04  5.82591052e-01]]","[[ 5.64027508e+02  2.86821330e+02  3.08924916e+02]
 [-1.28307825e+01 -4.01184126e+02  6.08884340e+02]
 [-3.46399279e-02  4.29321724e-01  1.00000000e+00]]",15
3,245335.52546499998,"[[ 1.53597542e-03  3.64433857e-04 -6.52651362e-01]
 [ 2.38764658e-05 -1.32997336e-03  8.33943034e-01]
 [ 3.96590923e-05  6.29573569e-04  5.91221206e-01]]","[[ 6.39206419e+02  3.05313524e+02  2.74964518e+02]
 [-9.24059414e+00 -4.55267490e+02  6.31973721e+02]
 [-3.30379093e-02  4.64320153e-01  1.00000000e+00]]",15,"[[ 1.73311908e-03  4.04212586e-04 -7.80258801e-01]
 [ 2.25685276e-05 -1.50264321e-03  9.06527875e-01]
 [ 5.02502147e-05  6.59704136e-04  5.83453757e-01]]","[[ 5.64312053e+02  2.87206112e+02  3.08420500e+02]
 [-1.23921903e+01 -4.01932428e+02  6.07921073e+02]
 [-3.45899266e-02  4.29724401e-01  1.00000000e+00]]",15
4,245335.56315899998,"[[ 1.53529103e-03  3.63666549e-04 -6.51881161e-01]
 [ 2.49112715e-05 -1.32975855e-03  8.32405433e-01]
 [ 3.87381702e-05  6.28405360e-04  5.92733884e-01]]","[[ 6.39454066e+02  3.04884056e+02  2.75099701e+02]
 [-8.52428021e+00 -4.56090874e+02  6.31136019e+02]
 [-3.27542892e-02  4.63613279e-01  1.00000000e+00]]",15,"[[ 1.73191354e-03  4.03920581e-04 -7.79472332e-01]
 [ 2.36283856e-05 -1.50169329e-03  9.04547413e-01]
 [ 4.92190716e-05  6.59320269e-04  5.84475815e-01]]","[[ 5.64710321e+02  2.87319555e+02  3.08450590e+02]
 [-1.17650124e+01 -4.02485383e+02  6.07204954e+02]
 [-3.42830380e-02  4.29829880e-01  1.00000000e+00]]",15
5,245335.601249,"[[ 1.53478364e-03  3.64057542e-04 -6.52155692e-01]
 [ 2.64758767e-05 -1.32921814e-03  8.30733559e-01]
 [ 3.80147849e-05  6.27424387e-04  5.93963457e-01]]","[[ 6.39473511e+02  3.05125119e+02  2.75368144e+02]
 [-7.73500832e+00 -4.56845636e+02  6.30463990e+02]
 [-3.27567544e-02  4.63053448e-01  1.00000000e+00]]",15,"[[ 1.73052129e-03  4.04666118e-04 -7.79523732e-01]
 [ 2.51519412e-05 -1.50040948e-03  9.02460820e-01]
 [ 4.79413900e-05  6.58773407e-04  5.85560901e-01]]","[[ 5.65126792e+02  2.87910068e+02  3.08596748e+02]
 [-1.09477790e+01 -4.03080399e+02  6.06649476e+02]
 [-3.39518199e-02  4.29905478e-01  1.00000000e+00]]",15
6,245335.64056,"[[ 1.53442692e-03  3.66053057e-04 -6.54255345e-01]
 [ 2.75911951e-05 -1.32919779e-03  8.30076533e-01]
 [ 3.71019546e-05  6.26902922e-04  5.94669004e-01]]","[[ 6.39526668e+02  3.06312266e+02  2.76037788e+02]
 [-7.02060652e+00 -4.57027888e+02  6.30224298e+02]
 [-3.24995090e-02  4.62689888e-01  1.00000000e+00]]",15,"[[ 1.72865315e-03  4.06653328e-04 -7.80953688e-01]
 [ 2.59919633e-05 -1.49972457e-03  9.01577871e-01]
 [ 4.57438761e-05  6.57936857e-04  5.86809658e-01]]","[[ 5.65959538e+02  2.89060746e+02  3.09090715e+02]
 [-9.98409500e+00 -4.03413228e+02  6.06519198e+02]
 [-3.29242688e-02  4.29777644e-01  1.00000000e+00]]",15
7,245335.679695,"[[ 1.53376885e-03  3.66287513e-04 -6.53363778e-01]
 [ 2.70267298e-05 -1.32975795e-03  8.30125602e-01]
 [ 3.62261655e-05  6.26479515e-04  5.95417426e-01]]","[[ 6.40085672e+02  3.06138615e+02  2.75563468e+02]
 [-6.82141252e+00 -4.57149840e+02  6.29868906e+02]
 [-3.17665783e-02  4.62372732e-01  1.00000000e+00]]",15,"[[ 1.72842603e-03  4.07170653e-04 -7.80359898e-01]
 [ 2.56148972e-05 -1.50030769e-03  9.01533596e-01]
 [ 4.53986522e-05  6.57984586e-04  5.87135825e-01]]","[[ 5.66169656e+02  2.89034074e+02  3.08688653e+02]
 [-9.94353253e+00 -4.03382980e+02  6.06169407e+02]
 [-3.26340982e-02  4.29709814e-01  1.00000000e+00]]",15
8,245335.719556,"[[ 1.53321080e-03  3.64598817e-04 -6.51717965e-01]
 [ 2.56549635e-05 -1.32979582e-03  8.30436768e-01]
 [ 3.57858112e-05  6.25516127e-04  5.96200779e-01]]","[[ 6.40694169e+02  3.05161028e+02  2.75301490e+02]
 [-7.04143454e+00 -4.57679259e+02  6.29795648e+02]
 [-3.10687782e-02  4.61866761e-01  1.00000000e+00]]",15,"[[ 1.72824625e-03  4.05662626e-04 -7.78970421e-01]
 [ 2.42750477e-05 -1.50022597e-03  9.01766907e-01]
 [ 4.54679358e-05  6.57618455e-04  5.87406123e-01]]","[[ 5.66455198e+02  2.88385425e+02  3.08467012e+02]
 [-1.02751450e+01 -4.03672338e+02  6.06078671e+02]
 [-3.23429104e-02  4.29600714e-01  1.00000000e+00]]",15
9,245335.761091,"[[ 1.53323475e-03  3.63308898e-04 -6.50620452e-01]
 [ 2.42167105e-05 -1.32933523e-03  8.30886996e-01]
 [ 3.59298802e-05  6.25026870e-04  5.96319197e-01]]","[[ 6.40960877e+02  3.04498820e+02  2.75050924e+02]
 [-7.52951788e+00 -4.58076542e+02  6.30050123e+02]
 [-3.07276651e-02  4.61782117e-01  1.00000000e+00]]",15,"[[ 1.72882548e-03  4.04413819e-04 -7.78145349e-01]
 [ 2.28801052e-05 -1.49983675e-03  9.02249388e-01]
 [ 4.61546362e-05  6.57482570e-04  5.87160880e-01]]","[[ 5.66387518e+02  2.87860418e+02  3.08279952e+02]
 [-1.08402858e+01 -4.03892883e+02  6.06267891e+02]
 [-3.23831364e-02  4.29637680e-01  1.00000000e+00]]",15
