world_index,marker_uid,corner_0_x,corner_0_y,corner_1_x,corner_1_y,corner_2_x,corner_2_y,corner_3_x,corner_3_y
0,apriltag_v3:tag36h11:0,276.2389526367188,591.6622314453125,313.68423461914057,640.2151489257812,370.29241943359375,600.8245849609376,330.1159973144532,554.5830078124999
0,apriltag_v3:tag36h11:1,355.46508789062506,416.6730651855469,387.5339965820312,446.5881042480469,437.7386779785156,415.3314514160156,403.5501708984376,388.36083984375
0,apriltag_v3:tag36h11:2,438.4333801269531,361.2123413085937,474.57498168945307,388.7194519042968,514.3021850585936,340.56082153320307,476.8051452636719,316.172607421875
0,apriltag_v3:tag36h11:3,518.8990478515626,310.65524291992193,555.010986328125,335.3939819335937,585.1212158203124,283.39916992187494,546.6113891601561,260.76324462890625
0,apriltag_v3:tag36h11:4,642.6247558593749,335.625244140625,687.3497924804686,362.50067138671875,716.8483276367189,308.3643493652344,670.3984985351564,284.1965942382813
0,apriltag_v3:tag36h11:5,730.8746337890625,386.81561279296875,782.779296875,416.4634094238281,814.1292114257811,358.92794799804693,760.8276977539062,330.81744384765625
0,apriltag_v3:tag36h11:6,865.3403320312501,463.4092102050781,922.9859619140625,495.8363952636719,956.2655029296873,433.7508239746094,897.2775268554689,402.9933776855469
0,apriltag_v3:tag36h11:7,1006.8806762695314,547.0220947265624,1059.406494140625,581.8125610351565,1094.815673828125,521.2046508789064,1042.712646484375,486.06869506835926
0,apriltag_v3:tag36h11:8,1139.067626953125,619.6657714843751,1182.1528320312498,645.3498535156249,1213.3641357421877,584.499267578125,1170.2836914062502,557.7688598632814
0,apriltag_v3:tag36h11:20,343.7265930175782,683.4099121093751,367.69836425781256,711.0902709960938,397.23291015624994,690.3542480468749,372.2769775390624,664.0172119140624
0,apriltag_v3:tag36h11:23,657.6551513671876,600.8293457031249,630.5936889648439,632.697509765625,663.3970336914062,656.7849121093751,689.8786621093749,623.9744873046874
0,apriltag_v3:tag36h11:24,720.7574462890625,540.7519531249999,697.8923950195314,571.4904174804688,728.78857421875,591.6555175781251,752.8132934570311,560.5645141601561
0,apriltag_v3:tag36h11:25,782.4478149414062,493.5027770996094,811.3822631835936,510.6637573242188,831.2709350585938,482.76156616210943,802.0639038085939,465.97338867187506
