world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,353772.251172,"[[ 1.80676962e-03  2.97729854e-03 -2.46207427e+00]
 [ 1.39658306e-03 -8.18086499e-04 -1.08776295e-01]
 [ 1.65260303e-04  1.02416330e-03  3.42336852e-01]]","[[ 2.99241169e+01  6.28232448e+02  4.14831752e+02]
 [ 8.80173986e+01 -1.81934308e+02  5.75208981e+02]
 [-2.77765765e-01  2.41015699e-01  1.00000000e+00]]",11,"[[ 1.82000191e-03  2.95012882e-03 -2.44844917e+00]
 [ 1.30397599e-03 -9.75296606e-04  5.27608382e-03]
 [-6.63740297e-05  7.58473607e-04  5.95973801e-01]]","[[ 1.04101630e+02  6.43067039e+02  4.21989479e+02]
 [ 1.38294945e+02 -1.64028825e+02  5.69611570e+02]
 [-1.64408940e-01  2.80372200e-01  1.00000000e+00]]",14
1,353772.30186999997,"[[ 1.82109789e-03  2.98332617e-03 -2.46370817e+00]
 [ 1.39157213e-03 -8.18976553e-04 -1.03572799e-01]
 [ 1.67424289e-04  1.02302184e-03  3.43615363e-01]]","[[ 3.10929016e+01  6.28313904e+02  4.12321686e+02]
 [ 8.78097736e+01 -1.83989190e+02  5.74134345e+02]
 [-2.76579668e-01  2.41636314e-01  1.00000000e+00]]",11,"[[ 1.83224224e-03  2.95444400e-03 -2.44834102e+00]
 [ 1.30063420e-03 -9.75729395e-04  8.83484910e-03]
 [-6.20777643e-05  7.59909594e-04  5.94084554e-01]]","[[ 1.04144821e+02  6.42173253e+02  4.19651601e+02]
 [ 1.37331612e+02 -1.66331942e+02  5.68444566e+02]
 [-1.64782153e-01  2.79862382e-01  1.00000000e+00]]",14
2,353772.342142,"[[ 1.83407247e-03  2.98678665e-03 -2.46230391e+00]
 [ 1.38504339e-03 -8.21821485e-04 -9.41157575e-02]
 [ 1.67093301e-04  1.02188918e-03  3.45556383e-01]]","[[ 3.32753631e+01  6.28674030e+02  4.08333332e+02]
 [ 8.75845369e+01 -1.85185986e+02  5.73656972e+02]
 [-2.75097743e-01  2.43642832e-01  1.00000000e+00]]",11,"[[ 1.84484018e-03  2.95892976e-03 -2.44749390e+00]
 [ 1.29789836e-03 -9.79564453e-04  1.61916449e-02]
 [-5.73127401e-05  7.61600007e-04  5.91434329e-01]]","[[ 1.04767856e+02  6.39930031e+02  4.16034640e+02]
 [ 1.36085977e+02 -1.68361964e+02  5.67764906e+02]
 [-1.65087726e-01  2.78814753e-01  1.00000000e+00]]",14
3,353772.382121,"[[ 1.81512376e-03  2.92651824e-03 -2.40749797e+00]
 [ 1.34859936e-03 -7.88879765e-04 -8.83343672e-02]
 [ 1.43842299e-04  1.04919807e-03  3.40233125e-01]]","[[ 3.26706371e+01  6.54748601e+02  4.01169921e+02]
 [ 8.76702257e+01 -1.79203245e+02  5.73830326e+02]
 [-2.84166486e-01  2.75808405e-01  1.00000000e+00]]",10,"[[ 1.82625728e-03  2.84832505e-03 -2.37760608e+00]
 [ 1.25255899e-03 -9.50187117e-04  2.82181863e-02]
 [-8.33622400e-05  7.78982263e-04  5.89213101e-01]]","[[ 1.09720199e+02  6.65735593e+02  4.10862490e+02]
 [ 1.39615144e+02 -1.65539363e+02  5.71306097e+02]
 [-1.69058019e-01  3.13043681e-01  1.00000000e+00]]",14
4,353772.42323099996,"[[ 1.86877359e-03  2.96940673e-03 -2.43152074e+00]
 [ 1.36501727e-03 -8.31553268e-04 -5.98369774e-02]
 [ 1.60529125e-04  1.01275232e-03  3.57754339e-01]]","[[ 4.22472055e+01  6.28620074e+02  3.92279467e+02]
 [ 8.88036200e+01 -1.88842445e+02  5.71979317e+02]
 [-2.70347467e-01  2.52516278e-01  1.00000000e+00]]",11,"[[ 1.88372180e-03  2.95202212e-03 -2.42527693e+00]
 [ 1.29706875e-03 -9.94598270e-04  4.10197368e-02]
 [-3.92922257e-05  7.64757014e-04  5.83551663e-01]]","[[ 1.07280533e+02  6.27337328e+02  4.01766979e+02]
 [ 1.33014545e+02 -1.76054463e+02  5.65192144e+02]
 [-1.67094915e-01  2.72963604e-01  1.00000000e+00]]",14
5,353772.461772,"[[ 1.87448201e-03  2.96127424e-03 -2.42199794e+00]
 [ 1.36022784e-03 -8.35113634e-04 -5.01024787e-02]
 [ 1.57150627e-04  1.01047632e-03  3.60809144e-01]]","[[ 4.48186572e+01  6.28565473e+02  3.88137013e+02]
 [ 8.91506251e+01 -1.88963109e+02  5.72200326e+02]
 [-2.69194607e-01  2.55435016e-01  1.00000000e+00]]",11,"[[ 1.89220111e-03  2.94835919e-03 -2.41965843e+00]
 [ 1.29800111e-03 -1.00051430e-03  4.86080859e-02]
 [-3.55035769e-05  7.64999786e-04  5.81802954e-01]]","[[ 1.08264222e+02  6.23480793e+02  3.98169567e+02]
 [ 1.32322918e+02 -1.77439763e+02  5.65141975e+02]
 [-1.67381818e-01  2.71358504e-01  1.00000000e+00]]",14
6,353772.502218,"[[ 1.84327566e-03  2.88989793e-03 -2.36698078e+00]
 [ 1.32774407e-03 -8.00614311e-04 -5.02057326e-02]
 [ 1.32835425e-04  1.03978837e-03  3.52023975e-01]]","[[ 4.32224428e+01  6.54734593e+02  3.84002598e+02]
 [ 8.92311117e+01 -1.81316168e+02  5.74123438e+02]
 [-2.79875665e-01  2.88498803e-01  1.00000000e+00]]",10,"[[ 1.86454025e-03  2.83302064e-03 -2.35369493e+00]
 [ 1.25607982e-03 -9.71151730e-04  5.64684020e-02]
 [-6.47366942e-05  7.81360503e-04  5.80074484e-01]]","[[ 1.13137280e+02  6.48590816e+02  3.95924597e+02]
 [ 1.36383149e+02 -1.73059836e+02  5.70231493e+02]
 [-1.71081947e-01  3.05494812e-01  1.00000000e+00]]",14
7,353772.542005,"[[ 1.88104980e-03  2.93944255e-03 -2.41521848e+00]
 [ 1.35729002e-03 -8.45267092e-04 -3.98032588e-02]
 [ 1.55488872e-04  1.00809881e-03  3.61100387e-01]]","[[ 4.75119262e+01  6.26598979e+02  3.86851880e+02]
 [ 8.89492232e+01 -1.89041333e+02  5.74098932e+02]
 [-2.68781717e-01  2.57942605e-01  1.00000000e+00]]",11,"[[ 1.90271865e-03  2.93190486e-03 -2.41767206e+00]
 [ 1.29888240e-03 -1.01315244e-03  5.83255249e-02]
 [-3.23384509e-05  7.64083887e-04  5.79747487e-01]]","[[ 1.10171615e+02  6.18393231e+02  3.97225913e+02]
 [ 1.31610421e+02 -1.78682471e+02  5.66820202e+02]
 [-1.67311847e-01  2.69990435e-01  1.00000000e+00]]",14
8,353772.58013899997,"[[ 1.88105430e-03  2.93492897e-03 -2.42156277e+00]
 [ 1.35987742e-03 -8.48300627e-04 -4.19694034e-02]
 [ 1.57694415e-04  1.00969256e-03  3.57670033e-01]]","[[ 4.67232586e+01  6.25535734e+02  3.89735377e+02]
 [ 8.82440631e+01 -1.88776317e+02  5.75294796e+02]
 [-2.69710521e-01  2.57115615e-01  1.00000000e+00]]",11,"[[ 1.90298141e-03  2.92726038e-03 -2.42390042e+00]
 [ 1.29889522e-03 -1.01594198e-03  5.78044688e-02]
 [-3.32709933e-05  7.64139743e-04  5.79189833e-01]]","[[ 1.10294028e+02  6.18537833e+02  3.99847299e+02]
 [ 1.31501537e+02 -1.78107885e+02  5.68107453e+02]
 [-1.67157559e-01  2.70513522e-01  1.00000000e+00]]",14
9,353772.61918,"[[ 1.87890540e-03  2.93522596e-03 -2.43092323e+00]
 [ 1.36342513e-03 -8.48311403e-04 -4.70433058e-02]
 [ 1.59879431e-04  1.01282964e-03  3.53243567e-01]]","[[ 4.50357576e+01  6.25276942e+02  3.93194885e+02]
 [ 8.74115174e+01 -1.88061584e+02  5.76496414e+02]
 [-2.71012061e-01  2.56212523e-01  1.00000000e+00]]",11,"[[ 1.90073567e-03  2.92689209e-03 -2.43261835e+00]
 [ 1.29899845e-03 -1.01546677e-03  5.47758163e-02]
 [-3.54100240e-05  7.64992608e-04  5.78657401e-01]]","[[ 1.09820769e+02  6.20115534e+02  4.02975373e+02]
 [ 1.31471276e+02 -1.76850489e+02  5.69432910e+02]
 [-1.67086428e-01  2.71745635e-01  1.00000000e+00]]",14
