world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
85,353775.58157,"[[ 1.49078007e-03  1.24317462e-03 -2.24649543e+00]
 [ 5.63827170e-04 -8.75085155e-04  3.26453474e-01]
 [ 2.55381587e-05  4.12664643e-04  6.19362010e-01]]","[[ 3.37428047e+02  8.46187226e+02  7.77880784e+02]
 [ 1.69971048e+02 -4.89008366e+02  8.74250684e+02]
 [-1.27160419e-01  2.90922588e-01  1.00000000e+00]]",1,"[[ 2.07889565e-03  9.57177602e-04 -2.65355060e+00]
 [ 2.69862042e-04 -8.18754712e-04  5.43188164e-01]
 [-6.60835711e-04  3.59833638e-04  1.21839290e+00]]","[[ 6.08557079e+02  1.08194384e+03  8.43026836e+02]
 [ 3.50822329e+02 -3.97544446e+02  9.41294256e+02]
 [ 2.26461082e-01  7.04236696e-01  1.00000000e+00]]",14
86,353775.62037899997,"[[ 1.77391737e-03  7.44081927e-04 -2.43773961e+00]
 [ 7.62552062e-04 -1.07001423e-03  1.40451360e-01]
 [ 1.16478730e-04  3.78695926e-04  5.57917248e-01]]","[[ 2.63704318e+02  5.42806089e+02  1.01557106e+03]
 [ 1.65921055e+02 -5.16582679e+02  8.55014016e+02]
 [-1.67676429e-01  2.37315467e-01  1.00000000e+00]]",5,"[[ 2.66172852e-03  7.56832494e-04 -3.22163199e+00]
 [ 2.84073226e-04 -1.18038440e-03  7.09487059e-01]
 [-9.54779108e-04  3.30829031e-04  1.65257227e+00]]","[[ 6.51022180e+02  6.90088568e+02  9.72874228e+02]
 [ 3.41645292e+02 -3.94044540e+02  8.35197908e+02]
 [ 3.07736130e-01  4.77584874e-01  1.00000000e+00]]",14
87,353775.659494,"[[ 1.60576851e-03  6.16099625e-04 -2.15684399e+00]
 [ 6.87282123e-04 -8.70366990e-04  8.41430932e-02]
 [ 8.22612325e-05  4.69785508e-04  5.00271738e-01]]","[[ 2.60811761e+02  7.25667591e+02  1.00239595e+03]
 [ 1.85007308e+02 -5.38562625e+02  8.88213726e+02]
 [-2.16619171e-01  3.86419203e-01  1.00000000e+00]]",6,"[[ 2.56496512e-03  8.14152909e-04 -3.10359362e+00]
 [ 2.58528356e-04 -1.19189627e-03  7.26220671e-01]
 [-9.77180745e-04  2.97966153e-04  1.68638785e+00]]","[[ 6.81341595e+02  7.03178317e+02  9.51112641e+02]
 [ 3.50596465e+02 -3.95621473e+02  8.15599711e+02]
 [ 3.32858190e-01  4.77360009e-01  1.00000000e+00]]",14
88,353775.700347,"[[ 1.61843738e-03  6.14383872e-04 -2.15620114e+00]
 [ 6.89015557e-04 -8.76039128e-04  7.56466042e-02]
 [ 8.27961196e-05  4.65854316e-04  5.10258239e-01]]","[[ 2.61928977e+02  7.15846686e+02  1.00070934e+03]
 [ 1.87554259e+02 -5.45503919e+02  8.73420930e+02]
 [-2.13734254e-01  3.81877278e-01  1.00000000e+00]]",6,"[[ 2.53510117e-03  7.82499685e-04 -3.04381602e+00]
 [ 2.68339512e-04 -1.17394874e-03  6.91478292e-01]
 [-9.68619755e-04  3.16531715e-04  1.66654413e+00]]","[[ 6.82760528e+02  7.11706165e+02  9.51710814e+02]
 [ 3.50583835e+02 -4.00670382e+02  8.06559840e+02]
 [ 3.30242941e-01  4.89754530e-01  1.00000000e+00]]",14
89,353775.742805,"[[ 1.63722512e-03  6.19968915e-04 -2.17228891e+00]
 [ 6.96212234e-04 -8.84172429e-04  6.50754378e-02]
 [ 8.06030400e-05  4.54392272e-04  5.27897523e-01]]","[[ 2.64110859e+02  6.99413517e+02  1.00059278e+03]
 [ 1.92784016e+02 -5.53091489e+02  8.61483967e+02]
 [-2.06266748e-01  3.69286905e-01  1.00000000e+00]]",6,"[[ 2.52618843e-03  7.65133772e-04 -3.01881019e+00]
 [ 2.79228796e-04 -1.16531441e-03  6.65015137e-01]
 [-9.73090049e-04  3.21385718e-04  1.67055443e+00]]","[[ 6.84237826e+02  7.12093389e+02  9.52995731e+02]
 [ 3.52685270e+02 -4.06201415e+02  7.99028126e+02]
 [ 3.30714761e-01  4.92937140e-01  1.00000000e+00]]",14
90,353775.785015,"[[ 1.64124537e-03  6.24261266e-04 -2.17828729e+00]
 [ 7.00417189e-04 -8.84265464e-04  5.87482072e-02]
 [ 8.07356338e-05  4.53331548e-04  5.29841272e-01]]","[[ 2.62188132e+02  6.98023757e+02  1.00051366e+03]
 [ 1.93994766e+02 -5.53583712e+02  8.58933435e+02]
 [-2.05933132e-01  3.67282771e-01  1.00000000e+00]]",6,"[[ 2.52669497e-03  7.65707401e-04 -3.01903868e+00]
 [ 2.87902203e-04 -1.16180974e-03  6.51898216e-01]
 [-9.71806934e-04  3.23465770e-04  1.66845038e+00]]","[[ 6.81019345e+02  7.14229813e+02  9.53230992e+02]
 [ 3.52938562e+02 -4.06130371e+02  7.97321188e+02]
 [ 3.28242174e-01  4.94748163e-01  1.00000000e+00]]",14
91,353775.826015,"[[ 1.64173532e-03  6.28022554e-04 -2.18184596e+00]
 [ 7.00325142e-04 -8.85638257e-04  5.89392385e-02]
 [ 7.57181242e-05  4.51736100e-04  5.36660480e-01]]","[[ 2.65028557e+02  6.98411111e+02  1.00079601e+03]
 [ 1.96099564e+02 -5.52464761e+02  8.57937021e+02]
 [-2.02460814e-01  3.66499686e-01  1.00000000e+00]]",6,"[[ 2.52703351e-03  7.69078410e-04 -3.02210209e+00]
 [ 2.87763777e-04 -1.16284758e-03  6.51957723e-01]
 [-9.80055393e-04  3.21712206e-04  1.67817496e+00]]","[[ 6.83954091e+02  7.16136076e+02  9.53469504e+02]
 [ 3.55037853e+02 -4.04756471e+02  7.96606301e+02]
 [ 3.31367645e-01  4.95817266e-01  1.00000000e+00]]",14
92,353775.86751,"[[ 1.64120243e-03  6.31307264e-04 -2.18540757e+00]
 [ 7.05068515e-04 -8.82400987e-04  5.15673247e-02]
 [ 7.62170302e-05  4.52658255e-04  5.35053428e-01]]","[[ 2.61696779e+02  7.00901294e+02  1.00134022e+03]
 [ 1.97177601e+02 -5.51781969e+02  8.58544808e+02]
 [-2.04091432e-01  3.66969050e-01  1.00000000e+00]]",6,"[[ 2.52982262e-03  7.73971350e-04 -3.02965046e+00]
 [ 2.94643539e-04 -1.16028241e-03  6.43651213e-01]
 [-9.81136608e-04  3.21481521e-04  1.67956924e+00]]","[[ 6.81459106e+02  7.18830351e+02  9.53760537e+02]
 [ 3.56072659e+02 -4.03530921e+02  7.96935801e+02]
 [ 3.29926079e-01  4.97150391e-01  1.00000000e+00]]",14
93,353775.909619,"[[ 1.63999611e-03  6.29592775e-04 -2.19004635e+00]
 [ 7.09783130e-04 -8.77484416e-04  4.68643865e-02]
 [ 7.53286641e-05  4.56223950e-04  5.29793376e-01]]","[[ 2.57836784e+02  7.06651267e+02  1.00333027e+03]
 [ 1.97518007e+02 -5.48177250e+02  8.64985487e+02]
 [-2.06750312e-01  3.71579758e-01  1.00000000e+00]]",6,"[[ 2.55059739e-03  7.85292736e-04 -3.06306925e+00]
 [ 2.99319868e-04 -1.16583933e-03  6.47646802e-01]
 [-9.86088637e-04  3.15879379e-04  1.68828045e+00]]","[[ 6.77184632e+02  7.14743459e+02  9.54439833e+02]
 [ 3.56528893e+02 -4.00688683e+02  8.00564524e+02]
 [ 3.28822113e-01  4.92435777e-01  1.00000000e+00]]",14
94,353775.952141,"[[ 1.63365521e-03  6.21946674e-04 -2.18483412e+00]
 [ 7.10821167e-04 -8.71487212e-04  4.36313782e-02]
 [ 7.61182062e-05  4.59897608e-04  5.23056886e-01]]","[[ 2.55066309e+02  7.12890828e+02  1.00595782e+03]
 [ 1.97490767e+02 -5.47110570e+02  8.70566409e+02]
 [-2.10762394e-01  3.77302884e-01  1.00000000e+00]]",6,"[[ 2.56048396e-03  7.86618902e-04 -3.07933847e+00]
 [ 3.00512146e-04 -1.16739663e-03  6.50947529e-01]
 [-9.87860972e-04  3.14306084e-04  1.69156063e+00]]","[[ 6.75655390e+02  7.12595353e+02  9.55750224e+02]
 [ 3.56962997e+02 -3.99708574e+02  8.03636106e+02]
 [ 3.28251876e-01  4.90420480e-01  1.00000000e+00]]",14
95,353775.99517199997,"[[ 1.62330105e-03  6.10857824e-04 -2.17852134e+00]
 [ 7.06230123e-04 -8.65815133e-04  4.76709834e-02]
 [ 7.23632806e-05  4.60484950e-04  5.21749110e-01]]","[[ 2.57876837e+02  7.19637292e+02  1.01099238e+03]
 [ 1.98719760e+02 -5.46904642e+02  8.79707718e+02]
 [-2.11151817e-01  3.82877589e-01  1.00000000e+00]]",6,"[[ 2.57899018e-03  7.89563250e-04 -3.11027089e+00]
 [ 2.94602480e-04 -1.17345328e-03  6.66512087e-01]
 [-9.98202820e-04  3.07444800e-04  1.70811714e+00]]","[[ 6.77925003e+02  7.07257248e+02  9.58444159e+02]
 [ 3.58562212e+02 -3.99068234e+02  8.08615158e+02]
 [ 3.31633323e-01  4.85140986e-01  1.00000000e+00]]",14
96,353776.036517,"[[ 1.60380555e-03  5.89605568e-04 -2.16515812e+00]
 [ 7.08840717e-04 -8.48359489e-04  3.61895092e-02]
 [ 7.83856063e-05  4.66872178e-04  5.01872638e-01]]","[[ 2.48891937e+02  7.34736875e+02  1.02077817e+03]
 [ 1.98427365e+02 -5.47990658e+02  8.95562139e+02]
 [-2.23462594e-01  3.95018142e-01  1.00000000e+00]]",6,"[[ 2.60812367e-03  7.90768912e-04 -3.15964910e+00]
 [ 3.00746263e-04 -1.17347800e-03  6.68882818e-01]
 [-9.99458537e-04  3.04361453e-04  1.71457086e+00]]","[[ 6.71718303e+02  7.02615555e+02  9.63755246e+02]
 [ 3.59014267e+02 -3.98337360e+02  8.16997510e+02]
 [ 3.27828089e-01  4.80279743e-01  1.00000000e+00]]",14
97,353776.07982,"[[ 1.44725058e-03  1.12296677e-03 -2.17808445e+00]
 [ 5.77671939e-04 -8.06875295e-04  2.63396885e-01]
 [ 1.79758832e-05  3.91006438e-04  6.32637533e-01]]","[[ 3.37717562e+02  8.59957522e+02  8.04674417e+02]
 [ 1.98585561e+02 -5.25604492e+02  9.02536886e+02]
 [-1.32333287e-01  3.00418857e-01  1.00000000e+00]]",1,"[[ 2.15874897e-03  8.73987839e-04 -2.73522854e+00]
 [ 3.99754057e-04 -8.07302068e-04  4.01893118e-01]
 [-6.39298680e-04  3.74749207e-04  1.21615755e+00]]","[[ 5.41270744e+02  9.97987202e+02  8.87561811e+02]
 [ 3.55183065e+02 -4.19068387e+02  9.37318982e+02]
 [ 1.75083484e-01  6.53745435e-01  1.00000000e+00]]",14
