world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,360744.814288,"[[ 1.15092019e-03  1.01565287e-03 -1.66448664e+00]
 [ 1.09339031e-03 -9.83996992e-04  5.83578481e-02]
 [ 1.79575090e-04  7.24804503e-04  2.63822596e-01]]","[[ 1.34595510e+02  6.57322773e+02  7.03777796e+02]
 [ 1.23932494e+02 -2.68630053e+02  8.41325406e+02]
 [-4.32096539e-01  2.90594805e-01  1.00000000e+00]]",6,"[[ 1.61082373e-03  1.31791496e-03 -2.20268422e+00]
 [ 8.56755173e-04 -1.27981978e-03  4.34417962e-01]
 [-3.51455747e-04  4.27383509e-04  9.00942523e-01]]","[[ 4.19566059e+02  6.67176542e+02  7.04082723e+02]
 [ 2.89769467e+02 -2.12215104e+02  8.10773905e+02]
 [ 2.62127828e-02  3.60933419e-01  1.00000000e+00]]",15
1,360744.929424,"[[ 1.15006946e-03  1.01557413e-03 -1.66521949e+00]
 [ 1.08917879e-03 -1.00119370e-03  7.54571832e-02]
 [ 1.71931070e-04  7.14119602e-04  2.77698884e-01]]","[[ 1.47022575e+02  6.51665506e+02  7.04547353e+02]
 [ 1.28230129e+02 -2.68285012e+02  8.41830324e+02]
 [-4.20777339e-01  2.86447093e-01  1.00000000e+00]]",6,"[[ 1.60884628e-03  1.31787427e-03 -2.20267659e+00]
 [ 8.36469804e-04 -1.31621307e-03  4.77170687e-01]
 [-3.74582177e-04  4.01992979e-04  9.38247569e-01]]","[[ 4.43098346e+02  6.59002513e+02  7.05086474e+02]
 [ 2.99245775e+02 -2.12554063e+02  8.10624250e+02]
 [ 4.86886869e-02  3.54166478e-01  1.00000000e+00]]",15
2,360744.988438,"[[ 1.14981704e-03  1.01467540e-03 -1.66381962e+00]
 [ 1.09274956e-03 -9.83839372e-04  6.12435870e-02]
 [ 1.77160289e-04  7.26320386e-04  2.63092939e-01]]","[[ 1.35411055e+02  6.58663377e+02  7.03024046e+02]
 [ 1.23500948e+02 -2.66636523e+02  8.43097797e+02]
 [-4.32131392e-01  2.92575499e-01  1.00000000e+00]]",6,"[[ 1.61285204e-03  1.32222018e-03 -2.20785275e+00]
 [ 8.59169136e-04 -1.28231104e-03  4.36840685e-01]
 [-3.49141857e-04  4.29225692e-04  8.97068743e-01]]","[[ 4.17523592e+02  6.65937526e+02  7.03315116e+02]
 [ 2.88139439e+02 -2.10969264e+02  8.11899217e+02]
 [ 2.46336894e-02  3.60128580e-01  1.00000000e+00]]",15
3,360745.042082,"[[ 1.15116141e-03  1.01481084e-03 -1.66422092e+00]
 [ 1.09114366e-03 -9.91961964e-04  6.78159126e-02]
 [ 1.75106693e-04  7.21894156e-04  2.68957712e-01]]","[[ 1.40383222e+02  6.55488266e+02  7.03367673e+02]
 [ 1.25197798e+02 -2.67217924e+02  8.42059595e+02]
 [-4.27433738e-01  2.90464530e-01  1.00000000e+00]]",6,"[[ 1.61093537e-03  1.31877464e-03 -2.20331876e+00]
 [ 8.49332300e-04 -1.29728776e-03  4.54302553e-01]
 [-3.59374203e-04  4.18545964e-04  9.13500848e-01]]","[[ 4.28427494e+02  6.62598712e+02  7.03822058e+02]
 [ 2.92570855e+02 -2.11772855e+02  8.10985345e+02]
 [ 3.44952484e-02  3.57698144e-01  1.00000000e+00]]",15
4,360745.098124,"[[ 1.15099913e-03  1.01421996e-03 -1.66291880e+00]
 [ 1.08947970e-03 -9.89456184e-04  6.71266892e-02]
 [ 1.74992046e-04  7.24028112e-04  2.67464232e-01]]","[[ 1.39602828e+02  6.57475861e+02  7.02950028e+02]
 [ 1.24630457e+02 -2.66886197e+02  8.41852816e+02]
 [-4.28712797e-01  2.92301003e-01  1.00000000e+00]]",6,"[[ 1.61077266e-03  1.31823485e-03 -2.20198762e+00]
 [ 8.50463466e-04 -1.29236188e-03  4.49678228e-01]
 [-3.56416256e-04  4.22766661e-04  9.07911606e-01]]","[[ 4.25706976e+02  6.64343654e+02  7.03439201e+02]
 [ 2.91124908e+02 -2.11568790e+02  8.10862332e+02]
 [ 3.15570164e-02  3.59315936e-01  1.00000000e+00]]",15
5,360745.152558,"[[ 1.15264716e-03  1.01381256e-03 -1.66280428e+00]
 [ 1.08929954e-03 -9.90094087e-04  6.80943972e-02]
 [ 1.75485485e-04  7.23115939e-04  2.68194710e-01]]","[[ 1.40177096e+02  6.56535473e+02  7.02402701e+02]
 [ 1.24776431e+02 -2.67607169e+02  8.41557734e+02]
 [-4.28147415e-01  2.91946711e-01  1.00000000e+00]]",6,"[[ 1.61071279e-03  1.31622622e-03 -2.19933252e+00]
 [ 8.49138316e-04 -1.29419398e-03  4.52155431e-01]
 [-3.56635775e-04  4.20802297e-04  9.09605512e-01]]","[[ 4.27037652e+02  6.62890821e+02  7.03016968e+02]
 [ 2.91557711e+02 -2.12586839e+02  8.10631243e+02]
 [ 3.25511988e-02  3.58251580e-01  1.00000000e+00]]",15
6,360745.206864,"[[ 1.15216517e-03  1.01379875e-03 -1.66155463e+00]
 [ 1.09010906e-03 -9.83832634e-04  6.37408457e-02]
 [ 1.76954704e-04  7.27646024e-04  2.63302099e-01]]","[[ 1.36430734e+02  6.59296143e+02  7.01335177e+02]
 [ 1.23174221e+02 -2.66846998e+02  8.41883722e+02]
 [-4.32086539e-01  2.94356194e-01  1.00000000e+00]]",6,"[[ 1.60980658e-03  1.31676646e-03 -2.19793723e+00]
 [ 8.53934493e-04 -1.28426498e-03  4.42129574e-01]
 [-3.50079023e-04  4.28635210e-04  8.98112152e-01]]","[[ 4.20735959e+02  6.65669408e+02  7.01960324e+02]
 [ 2.88769549e+02 -2.11894364e+02  8.11014645e+02]
 [ 2.61816267e-02  3.60603384e-01  1.00000000e+00]]",15
7,360745.262279,"[[ 1.15279005e-03  1.01402083e-03 -1.66194513e+00]
 [ 1.08868215e-03 -9.85947164e-04  6.65306359e-02]
 [ 1.76250454e-04  7.26591367e-04  2.64782382e-01]]","[[ 1.38092832e+02  6.58793044e+02  7.01227882e+02]
 [ 1.23424814e+02 -2.66970473e+02  8.41774226e+02]
 [-4.30611463e-01  2.94074959e-01  1.00000000e+00]]",6,"[[ 1.60917391e-03  1.31585231e-03 -2.19654541e+00]
 [ 8.49424602e-04 -1.28867798e-03  4.48786831e-01]
 [-3.53247359e-04  4.25832058e-04  9.02635088e-01]]","[[ 4.24360303e+02  6.65249654e+02  7.01913099e+02]
 [ 2.89918583e+02 -2.11997184e+02  8.10915604e+02]
 [ 2.93003561e-02  3.60359225e-01  1.00000000e+00]]",15
8,360745.315866,"[[ 1.15488336e-03  1.00962782e-03 -1.66074701e+00]
 [ 1.07842822e-03 -1.01562093e-03  9.74297451e-02]
 [ 1.65184407e-04  7.04814632e-04  2.90813332e-01]]","[[ 1.60949909e+02  6.47349102e+02  7.02258112e+02]
 [ 1.31548325e+02 -2.69786261e+02  8.41617855e+02]
 [-4.10241161e-01  2.86153754e-01  1.00000000e+00]]",6,"[[ 1.60650773e-03  1.30684861e-03 -2.18870172e+00]
 [ 8.12600556e-04 -1.34773339e-03  5.20054592e-01]
 [-3.90516801e-04  3.80730323e-04  9.66316270e-01]]","[[ 4.64919555e+02  6.49543139e+02  7.03467753e+02]
 [ 3.06257088e+02 -2.16191604e+02  8.10021393e+02]
 [ 6.72218188e-02  3.47679345e-01  1.00000000e+00]]",15
9,360745.370395,"[[ 1.30748141e-03  1.16598492e-03 -1.89141668e+00]
 [ 1.29316625e-03 -1.27278341e-03  9.35102385e-02]
 [ 2.88384544e-04  6.10203809e-04  2.96989527e-01]]","[[ 1.37159551e+02  4.73031907e+02  7.24579542e+02]
 [ 1.12577307e+02 -2.94381293e+02  8.09652324e+02]
 [-3.64490280e-01  1.45518582e-01  1.00000000e+00]]",5,"[[ 1.72414805e-03  1.29925327e-03 -2.30039402e+00]
 [ 8.79368511e-04 -1.52596797e-03  5.92677427e-01]
 [-3.83293808e-04  2.69896192e-04  1.06057147e+00]]","[[ 4.71273727e+02  5.29696430e+02  7.26189763e+02]
 [ 3.07353249e+02 -2.50921203e+02  8.06875283e+02]
 [ 9.21039577e-02  2.55288819e-01  1.00000000e+00]]",15
