world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,271548.478734,"[[ 7.56629436e-04  7.70275610e-04 -1.39986285e+00]
 [ 8.47677611e-04 -8.43951908e-04 -1.10089534e-01]
 [ 2.79469894e-04  6.98604820e-04  1.29182304e-01]]","[[ 2.48660223e+01  8.34265098e+02  9.80419703e+02]
 [ 1.08611070e+02 -3.78599342e+02  8.54302588e+02]
 [-6.41152221e-01  2.42597831e-01  1.00000000e+00]]",4,"[[ 1.47859388e-03  1.05807105e-03 -2.22924306e+00]
 [ 7.80714252e-04 -1.05127830e-03  1.03898193e-01]
 [-4.54015071e-04  5.47658095e-04  9.90262586e-01]]","[[ 4.61230197e+02  9.53020257e+02  9.38313885e+02]
 [ 3.44589618e+02 -1.89915118e+02  7.95653461e+02]
 [ 2.08915966e-02  5.41971512e-01  1.00000000e+00]]",15
1,271548.528787,"[[ 7.60219552e-04  7.72785050e-04 -1.40475021e+00]
 [ 8.46007415e-04 -8.47678468e-04 -1.05470654e-01]
 [ 2.74789837e-04  6.93951296e-04  1.38285692e-01]]","[[ 3.39163328e+01  8.33223168e+02  9.80033193e+02]
 [ 1.12442287e+02 -3.78321672e+02  8.53678277e+02]
 [-6.31658511e-01  2.42798478e-01  1.00000000e+00]]",4,"[[ 1.48295618e-03  1.06062315e-03 -2.23455846e+00]
 [ 7.78176806e-04 -1.05514183e-03  1.09059818e-01]
 [-4.59347952e-04  5.43236928e-04  9.98921928e-01]]","[[ 4.65778953e+02  9.51170269e+02  9.38087171e+02]
 [ 3.46195016e+02 -1.90335605e+02  7.95208261e+02]
 [ 2.59166314e-02  5.40898572e-01  1.00000000e+00]]",15
2,271548.56846599997,"[[ 7.59511205e-04  7.69727893e-04 -1.40155073e+00]
 [ 8.46645323e-04 -8.47379229e-04 -1.06716386e-01]
 [ 2.80691748e-04  6.98196452e-04  1.28899282e-01]]","[[ 2.68031296e+01  8.32078525e+02  9.80318564e+02]
 [ 1.07379350e+02 -3.79303292e+02  8.53532535e+02]
 [-6.39998125e-01  2.42597454e-01  1.00000000e+00]]",4,"[[ 1.48008052e-03  1.05576567e-03 -2.22825802e+00]
 [ 7.78676293e-04 -1.05436540e-03  1.07693057e-01]
 [-4.50287778e-04  5.49424901e-04  9.85658942e-01]]","[[ 4.61006048e+02  9.50575910e+02  9.38326596e+02]
 [ 3.42477366e+02 -1.91172908e+02  7.95118778e+02]
 [ 1.97023486e-02  5.40823856e-01  1.00000000e+00]]",15
3,271548.607163,"[[ 7.59976788e-04  7.70366658e-04 -1.40254257e+00]
 [ 8.46035432e-04 -8.47341929e-04 -1.06179697e-01]
 [ 2.76970798e-04  6.95842412e-04  1.34569620e-01]]","[[ 3.09806255e+01  8.33218965e+02  9.80329616e+02]
 [ 1.10563700e+02 -3.78734601e+02  8.53508918e+02]
 [-6.35475085e-01  2.43459679e-01  1.00000000e+00]]",4,"[[ 1.48106006e-03  1.05668109e-03 -2.22988422e+00]
 [ 7.78994701e-04 -1.05389963e-03  1.06983791e-01]
 [-4.54514399e-04  5.47285489e-04  9.91347260e-01]]","[[ 4.62799403e+02  9.51294206e+02  9.38335197e+02]
 [ 3.44323398e+02 -1.90739585e+02  7.95087037e+02]
 [ 2.20969930e-02  5.41450955e-01  1.00000000e+00]]",15
4,271548.64665999997,"[[ 7.58997421e-04  7.70221966e-04 -1.40127183e+00]
 [ 8.49036516e-04 -8.45388973e-04 -1.10741840e-01]
 [ 2.83341253e-04  7.01363598e-04  1.23721361e-01]]","[[ 2.07799407e+01  8.32122907e+02  9.80179703e+02]
 [ 1.05296582e+02 -3.78932038e+02  8.53413686e+02]
 [-6.44504740e-01  2.42435017e-01  1.00000000e+00]]",4,"[[ 1.47945483e-03  1.05640528e-03 -2.22797420e+00]
 [ 7.82142852e-04 -1.05192788e-03  1.02537756e-01]
 [-4.47124336e-04  5.52216555e-04  9.80448337e-01]]","[[ 4.56648855e+02  9.51117458e+02  9.38220180e+02]
 [ 3.41105674e+02 -1.90698841e+02  7.95073480e+02]
 [ 1.61299837e-02  5.41155305e-01  1.00000000e+00]]",15
5,271548.685215,"[[ 7.59757345e-04  7.71363456e-04 -1.40259540e+00]
 [ 8.49064490e-04 -8.44815987e-04 -1.10649101e-01]
 [ 2.80265634e-04  7.00132570e-04  1.27891766e-01]]","[[ 2.35781510e+01  8.33328215e+02  9.79559734e+02]
 [ 1.07649837e+02 -3.78060490e+02  8.53511648e+02]
 [-6.40989681e-01  2.43480897e-01  1.00000000e+00]]",4,"[[ 1.48118449e-03  1.05891524e-03 -2.23099659e+00]
 [ 7.82125546e-04 -1.05284115e-03  1.03641548e-01]
 [-4.52510097e-04  5.48052017e-04  9.88605130e-01]]","[[ 4.59716485e+02  9.50535008e+02  9.37797066e+02]
 [ 3.43479947e+02 -1.90462103e+02  7.95102466e+02]
 [ 2.00094787e-02  5.40670700e-01  1.00000000e+00]]",15
6,271548.72381399997,"[[ 7.58667486e-04  7.70409843e-04 -1.40037580e+00]
 [ 8.51894639e-04 -8.40715987e-04 -1.16116015e-01]
 [ 2.88642256e-04  7.10262159e-04  1.11065310e-01]]","[[ 8.42384746e+00  8.34690609e+02  9.78860996e+02]
 [ 9.90099466e+01 -3.77449368e+02  8.53760878e+02]
 [-6.55060496e-01  2.44550012e-01  1.00000000e+00]]",4,"[[ 1.47773335e-03  1.05739483e-03 -2.22606037e+00]
 [ 7.85911631e-04 -1.04772572e-03  9.68156281e-02]
 [-4.37075028e-04  5.60379334e-04  9.63895611e-01]]","[[ 4.47258221e+02  9.52665614e+02  9.37228959e+02]
 [ 3.36174429e+02 -1.89732039e+02  7.95432192e+02]
 [ 7.36614718e-03  5.42287211e-01  1.00000000e+00]]",15
7,271548.76483299996,"[[ 7.60720307e-04  7.72286520e-04 -1.40334370e+00]
 [ 8.46883134e-04 -8.47354880e-04 -1.05393380e-01]
 [ 2.73117861e-04  6.96155541e-04  1.38675620e-01]]","[[ 3.39873998e+01  8.34754613e+02  9.78352314e+02]
 [ 1.12600300e+02 -3.76372905e+02  8.53428371e+02]
 [-6.32193954e-01  2.45376143e-01  1.00000000e+00]]",4,"[[ 1.47900714e-03  1.05889170e-03 -2.22770455e+00]
 [ 7.77641703e-04 -1.05485945e-03  1.10343687e-01]
 [-4.60652284e-04  5.44219477e-04  9.98771714e-01]]","[[ 4.67202093e+02  9.52327349e+02  9.36855642e+02]
 [ 3.47173398e+02 -1.89208140e+02  7.95254480e+02]
 [ 2.63115043e-02  5.42328658e-01  1.00000000e+00]]",15
8,271548.805858,"[[ 7.63388328e-04  7.73588985e-04 -1.40602087e+00]
 [ 8.48908035e-04 -8.48458744e-04 -1.06503369e-01]
 [ 2.77743424e-04  6.98551098e-04  1.32786726e-01]]","[[ 2.93358920e+01  8.31717224e+02  9.77714916e+02]
 [ 1.09094835e+02 -3.77090877e+02  8.52706964e+02]
 [-6.35275606e-01  2.44100127e-01  1.00000000e+00]]",4,"[[ 1.47980935e-03  1.05854825e-03 -2.22717379e+00]
 [ 7.80922682e-04 -1.05368869e-03  1.06321874e-01]
 [-4.48933939e-04  5.50801662e-04  9.82549828e-01]]","[[ 4.58469617e+02  9.50083759e+02  9.36417473e+02]
 [ 3.41601079e+02 -1.90339917e+02  7.94913645e+02]
 [ 1.79819166e-02  5.40801465e-01  1.00000000e+00]]",15
9,271548.845432,"[[ 7.63509154e-04  7.72845892e-04 -1.40443648e+00]
 [ 8.49915481e-04 -8.47861397e-04 -1.07929382e-01]
 [ 2.80032910e-04  7.00532540e-04  1.29524536e-01]]","[[ 2.62311871e+01  8.31124788e+02  9.76979541e+02]
 [ 1.07581887e+02 -3.77380951e+02  8.52050414e+02]
 [-6.38567880e-01  2.44164880e-01  1.00000000e+00]]",4,"[[ 1.47764720e-03  1.05651353e-03 -2.22250475e+00]
 [ 7.80863482e-04 -1.05352910e-03  1.06189359e-01]
 [-4.48173004e-04  5.50865503e-04  9.81801436e-01]]","[[ 4.58846784e+02  9.49553853e+02  9.35990324e+02]
 [ 3.41869835e+02 -1.90906672e+02  7.94539060e+02]
 [ 1.76394557e-02  5.40565824e-01  1.00000000e+00]]",15
