world_index,world_timestamp,surface_name,event_type
0,271548.478734,Assembly,enter
0,271548.478734,Left,enter
0,271548.478734,Screen,enter
87,271551.950012,Assembly,exit
87,271551.950012,Left,exit
88,271551.988666,Screen,exit
97,271552.286174,Right,enter
99,271552.354339,Assembly,enter
99,271552.354339,Left,enter
112,271552.878516,Right,exit
112,271552.878516,Assembly,exit
112,271552.878516,Left,exit
121,271553.158913,Assembly,enter
121,271553.158913,Left,enter
122,271553.195217,Screen,enter
149,271554.28717799997,Assembly,exit
149,271554.28717799997,Left,exit
149,271554.28717799997,Screen,exit
161,271554.66825,Right,enter
161,271554.66825,Assembly,enter
162,271554.704294,Left,enter
168,271554.958671,Right,exit
168,271554.958671,Assembly,exit
168,271554.958671,Left,exit
178,271555.270165,Left,enter
180,271555.33927,Screen,enter
181,271555.376743,Assembly,enter
193,271555.853351,Assembly,exit
195,271555.928745,Left,exit
195,271555.928745,Screen,exit
205,271556.242073,Right,enter
205,271556.242073,Assembly,enter
205,271556.242073,Left,enter
268,271558.671459,Right,exit
268,271558.671459,Assembly,exit
269,271558.707402,Left,exit
278,271558.990831,Assembly,enter
278,271558.990831,Left,enter
278,271558.990831,Screen,enter
291,271559.520685,Screen,exit
292,271559.558909,Assembly,exit
292,271559.558909,Left,exit
304,271559.962025,Right,enter
304,271559.962025,Assembly,enter
305,271560.000024,Left,enter
393,271563.548058,Right,exit
393,271563.548058,Assembly,exit
393,271563.548058,Left,exit
402,271563.849543,Left,enter
403,271563.882574,Screen,enter
404,271563.917118,Assembly,enter
435,271565.15648299997,Screen,exit
436,271565.19351,Assembly,exit
436,271565.19351,Left,exit
446,271565.523044,Right,enter
446,271565.523044,Assembly,enter
448,271565.597696,Left,enter
454,271565.85496799997,Right,exit
454,271565.85496799997,Assembly,exit
454,271565.85496799997,Left,exit
465,271566.226131,Left,enter
467,271566.294148,Assembly,enter
467,271566.294148,Screen,enter
481,271566.850685,Assembly,exit
481,271566.850685,Left,exit
481,271566.850685,Screen,exit
492,271567.200364,Assembly,enter
492,271567.200364,Left,enter
493,271567.2381,Right,enter
528,271568.61981,Assembly,exit
530,271568.698384,Assembly,enter
546,271569.344244,Right,exit
546,271569.344244,Assembly,exit
546,271569.344244,Left,exit
555,271569.64620099997,Left,enter
556,271569.682493,Assembly,enter
556,271569.682493,Screen,enter
574,271570.39319699997,Assembly,exit
574,271570.39319699997,Screen,exit
575,271570.429104,Left,exit
585,271570.750211,Assembly,enter
586,271570.786022,Right,enter
587,271570.821598,Left,enter
673,271574.286081,Right,exit
673,271574.286081,Left,exit
674,271574.323783,Assembly,exit
682,271574.570013,Left,enter
683,271574.606132,Assembly,enter
685,271574.674895,Screen,enter
698,271575.175016,Assembly,exit
698,271575.175016,Screen,exit
699,271575.213345,Left,exit
709,271575.542136,Right,enter
709,271575.542136,Assembly,enter
709,271575.542136,Left,enter
725,271576.177407,Assembly,exit
725,271576.177407,Left,exit
726,271576.216489,Right,exit
735,271576.514992,Assembly,enter
735,271576.514992,Left,enter
736,271576.550133,Screen,enter
750,271577.124372,Assembly,exit
750,271577.124372,Left,exit
750,271577.124372,Screen,exit
