world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,425046.61008,"[[ 1.99819056e-03  4.32289309e-04 -9.55570887e-01]
 [ 1.94830937e-04 -1.76896011e-03  8.56374644e-01]
 [-9.59488179e-06  4.14860854e-04  7.85992862e-01]]","[[ 4.82369152e+02  2.03431035e+02  3.64793057e+02]
 [ 4.45855464e+01 -4.31450577e+02  5.24289728e+02]
 [-1.76445913e-02  2.30210553e-01  1.00000000e+00]]",14,"[[ 2.12789919e-03  5.09109056e-04 -1.06645820e+00]
 [ 1.90387005e-04 -1.87572003e-03  8.95203502e-01]
 [-3.09638195e-05  4.93428092e-04  7.57283516e-01]]","[[ 4.55490957e+02  2.23018571e+02  3.77817623e+02]
 [ 4.20461036e+01 -3.86080427e+02  5.15607369e+02]
 [-8.77212920e-03  2.60679693e-01  1.00000000e+00]]",15
1,425046.72877499997,"[[ 2.00095282e-03  4.34046737e-04 -9.56412364e-01]
 [ 1.96568185e-04 -1.77168317e-03  8.56968997e-01]
 [-4.35271330e-06  4.12996815e-04  7.85125396e-01]]","[[ 4.80644367e+02  2.02672323e+02  3.64286162e+02]
 [ 4.35384357e+01 -4.31590738e+02  5.24120838e+02]
 [-2.02376948e-02  2.28151803e-01  1.00000000e+00]]",13,"[[ 2.13143910e-03  5.11054045e-04 -1.06783685e+00]
 [ 1.91932038e-04 -1.87739342e-03  8.95398673e-01]
 [-2.52726499e-05  4.92608974e-04  7.55588436e-01]]","[[ 4.53605528e+02  2.22500787e+02  3.77387710e+02]
 [ 4.08940378e+01 -3.86254569e+02  5.15518728e+02]
 [-1.14890010e-02  2.59262374e-01  1.00000000e+00]]",15
2,425046.786004,"[[ 1.99596794e-03  4.32118943e-04 -9.54166351e-01]
 [ 1.96401221e-04 -1.76668963e-03  8.54229162e-01]
 [-9.48441661e-06  4.12381812e-04  7.87348839e-01]]","[[ 4.82749785e+02  2.03180252e+02  3.64592021e+02]
 [ 4.50657784e+01 -4.32683311e+02  5.24051007e+02]
 [-1.77884396e-02  2.29069715e-01  1.00000000e+00]]",14,"[[ 2.12529409e-03  5.09361630e-04 -1.06504626e+00]
 [ 1.92001231e-04 -1.87305794e-03  8.92812720e-01]
 [-3.10741789e-05  4.91719975e-04  7.58317087e-01]]","[[ 4.55888552e+02  2.23106657e+02  3.77612400e+02]
 [ 4.25002116e+01 -3.87032936e+02  5.15368342e+02]
 [-8.87734255e-03  2.60108449e-01  1.00000000e+00]]",15
3,425046.836892,"[[ 1.99620775e-03  4.32977738e-04 -9.54661874e-01]
 [ 1.97195224e-04 -1.76698299e-03  8.54548446e-01]
 [-9.32181388e-06  4.12303945e-04  7.87226939e-01]]","[[ 4.82568779e+02  2.03303212e+02  3.64516960e+02]
 [ 4.51755641e+01 -4.32527630e+02  5.24300150e+02]
 [-1.79460918e-02  2.28940339e-01  1.00000000e+00]]",14,"[[ 2.12564554e-03  5.10005214e-04 -1.06552624e+00]
 [ 1.92839226e-04 -1.87358172e-03  8.93218849e-01]
 [-3.09706507e-05  4.91102876e-04  7.58478352e-01]]","[[ 4.55714321e+02  2.23016133e+02  3.77562991e+02]
 [ 4.26197923e+01 -3.86985342e+02  5.15604840e+02]
 [-8.98764416e-03  2.59673290e-01  1.00000000e+00]]",15
4,425046.88804499997,"[[ 1.99634047e-03  4.33153109e-04 -9.55423203e-01]
 [ 1.98068766e-04 -1.76572326e-03  8.53901924e-01]
 [-8.87929010e-06  4.12667748e-04  7.86787340e-01]]","[[ 4.82340939e+02  2.03577051e+02  3.64780767e+02]
 [ 4.52589439e+01 -4.32652336e+02  5.24517981e+02]
 [-1.82947292e-02  2.29222403e-01  1.00000000e+00]]",14,"[[ 2.12549469e-03  5.10014905e-04 -1.06608044e+00]
 [ 1.93643838e-04 -1.87219065e-03  8.92547836e-01]
 [-3.08555975e-05  4.91239267e-04  7.58268068e-01]]","[[ 4.55624024e+02  2.23248634e+02  3.77797491e+02]
 [ 4.27587246e+01 -3.87141829e+02  5.15816053e+02]
 [-9.16062981e-03  2.59891913e-01  1.00000000e+00]]",15
5,425046.947146,"[[ 1.99563302e-03  4.35647762e-04 -9.57456056e-01]
 [ 1.99617183e-04 -1.76558736e-03  8.54078901e-01]
 [-9.26415109e-06  4.13160804e-04  7.86464527e-01]]","[[ 4.82337311e+02  2.04464674e+02  3.65163088e+02]
 [ 4.56744144e+01 -4.32254818e+02  5.25021727e+02]
 [-1.83128820e-02  2.29488977e-01  1.00000000e+00]]",14,"[[ 2.12426261e-03  5.11841435e-04 -1.06759277e+00]
 [ 1.95073610e-04 -1.87222081e-03  8.92882372e-01]
 [-3.20419700e-05  4.90455176e-04  7.58888649e-01]]","[[ 4.55912519e+02  2.23706525e+02  3.78165227e+02]
 [ 4.33288339e+01 -3.87023791e+02  5.16313258e+02]
 [-8.75295160e-03  2.59571440e-01  1.00000000e+00]]",15
6,425047.007596,"[[ 1.99510338e-03  4.37028217e-04 -9.57506588e-01]
 [ 2.00260629e-04 -1.76587770e-03  8.53320600e-01]
 [-9.23272548e-06  4.13132557e-04  7.86631751e-01]]","[[ 4.82362052e+02  2.04772519e+02  3.65009719e+02]
 [ 4.58119304e+01 -4.32216007e+02  5.24621651e+02]
 [-1.83985499e-02  2.29399732e-01  1.00000000e+00]]",14,"[[ 2.12348500e-03  5.13419697e-04 -1.06760126e+00]
 [ 1.95727303e-04 -1.87236287e-03  8.92032458e-01]
 [-3.21534064e-05  4.90741064e-04  7.58963250e-01]]","[[ 4.55990652e+02  2.24113659e+02  3.78015058e+02]
 [ 4.34772440e+01 -3.86937124e+02  5.15936489e+02]
 [-8.79412305e-03  2.59685767e-01  1.00000000e+00]]",15
7,425047.069787,"[[ 1.99846245e-03  4.38171552e-04 -9.58352946e-01]
 [ 2.01713294e-04 -1.76799485e-03  8.52666788e-01]
 [-4.59346710e-06  4.10495931e-04  7.86622074e-01]]","[[ 4.80653011e+02  2.03794986e+02  3.64680858e+02]
 [ 4.48934995e+01 -4.32849605e+02  5.23886010e+02]
 [-2.06207474e-02  2.27071084e-01  1.00000000e+00]]",13,"[[ 2.12725352e-03  5.15271949e-04 -1.06899005e+00]
 [ 1.96933682e-04 -1.87281981e-03  8.90712064e-01]
 [-2.70711955e-05  4.90249214e-04  7.57591569e-01]]","[[ 4.54175015e+02  2.23828498e+02  3.77699331e+02]
 [ 4.24209061e+01 -3.87388305e+02  5.15315877e+02]
 [-1.12220827e-02  2.58683076e-01  1.00000000e+00]]",15
8,425047.129615,"[[ 1.99800356e-03  4.37591672e-04 -9.57767013e-01]
 [ 2.01732216e-04 -1.76705228e-03  8.52439955e-01]
 [-4.93357751e-06  4.09728734e-04  7.87088260e-01]]","[[ 4.80841640e+02  2.03613663e+02  3.64591690e+02]
 [ 4.50382024e+01 -4.33253268e+02  5.24030813e+02]
 [-2.04312235e-02  2.26811739e-01  1.00000000e+00]]",13,"[[ 2.12685381e-03  5.14734103e-04 -1.06845917e+00]
 [ 1.96973279e-04 -1.87182929e-03  8.90450253e-01]
 [-2.73438200e-05  4.89567413e-04  7.57978887e-01]]","[[ 4.54315803e+02  2.23696569e+02  3.77618990e+02]
 [ 4.25352267e+01 -3.87727136e+02  5.15448235e+02]
 [-1.10835954e-02  2.58497028e-01  1.00000000e+00]]",15
9,425047.18777899997,"[[ 1.99260183e-03  4.35995597e-04 -9.54778508e-01]
 [ 1.99998578e-04 -1.76252032e-03  8.52345467e-01]
 [-1.07605224e-05  4.11320266e-04  7.88004416e-01]]","[[ 4.83290980e+02  2.04569421e+02  3.64302554e+02]
 [ 4.63357017e+01 -4.33403325e+02  5.24933215e+02]
 [-1.75866396e-02  2.29020093e-01  1.00000000e+00]]",14,"[[ 2.12172088e-03  5.12757644e-04 -1.06539115e+00]
 [ 1.95760023e-04 -1.86912294e-03  8.90944707e-01]
 [-3.29235715e-05  4.89366078e-04  7.59819194e-01]]","[[ 4.56500774e+02  2.24038176e+02  3.77387487e+02]
 [ 4.37947390e+01 -3.87849374e+02  5.16189742e+02]
 [-8.42572004e-03  2.59504452e-01  1.00000000e+00]]",15
