world_index,world_timestamp,surface_name,event_type
0,274339.801592,Right,enter
0,274339.801592,Assembly,enter
0,274339.801592,Left,enter
64,274343.487923,Assembly,exit
67,274343.650065,Right,exit
68,274343.697488,Assembly,enter
68,274343.697488,Assembly,exit
70,274343.789299,Assembly,enter
71,274343.838186,Right,enter
74,274343.991559,Screen,enter
98,274345.23364,Right,exit
98,274345.23364,Assembly,exit
98,274345.23364,Left,exit
99,274345.290024,Screen,exit
101,274345.376935,Right,enter
101,274345.376935,Right,exit
103,274345.460916,Right,enter
103,274345.460916,Left,enter
104,274345.502261,Assembly,enter
125,274346.626886,Right,exit
125,274346.626886,Assembly,exit
125,274346.626886,Left,exit
129,274346.801834,Left,enter
129,274346.801834,Screen,enter
130,274346.847956,Assembly,enter
131,274346.890695,Right,enter
159,274348.320628,Right,exit
159,274348.320628,Screen,exit
160,274348.376124,Assembly,exit
164,274348.585354,Right,enter
165,274348.629252,Assembly,enter
175,274349.158148,Right,exit
176,274349.21637,Assembly,exit
179,274349.37032,Assembly,enter
183,274349.561236,Right,enter
184,274349.611431,Screen,enter
211,274351.028728,Right,exit
211,274351.028728,Screen,exit
215,274351.234254,Right,enter
269,274354.137029,Right,exit
269,274354.137029,Assembly,exit
269,274354.137029,Left,exit
273,274354.318438,Left,enter
275,274354.406456,Assembly,enter
276,274354.449051,Right,enter
276,274354.449051,Screen,enter
304,274355.884266,Right,exit
304,274355.884266,Screen,exit
305,274355.937287,Assembly,exit
306,274355.989577,Left,exit
311,274356.197879,Left,enter
312,274356.238317,Right,enter
312,274356.238317,Assembly,enter
331,274357.31722799997,Right,exit
335,274357.531822,Right,enter
335,274357.531822,Right,exit
337,274357.636758,Right,enter
337,274357.636758,Screen,enter
343,274357.97314,Right,exit
343,274357.97314,Screen,exit
344,274358.028299,Assembly,exit
346,274358.117207,Assembly,enter
347,274358.161349,Right,enter
391,274360.46618499997,Right,exit
392,274360.525903,Assembly,exit
392,274360.525903,Left,exit
398,274360.78411,Left,enter
399,274360.825763,Assembly,enter
399,274360.825763,Screen,enter
400,274360.871298,Right,enter
412,274361.480864,Right,exit
412,274361.480864,Assembly,exit
412,274361.480864,Screen,exit
415,274361.626743,Left,exit
419,274361.797909,Left,enter
420,274361.838643,Right,enter
421,274361.881522,Assembly,enter
476,274364.933478,Right,exit
477,274364.98258199997,Assembly,exit
478,274365.028103,Left,exit
480,274365.110286,Left,enter
482,274365.195849,Assembly,enter
483,274365.243692,Right,enter
483,274365.243692,Screen,enter
489,274365.57425299997,Right,exit
489,274365.57425299997,Screen,exit
490,274365.635008,Assembly,exit
490,274365.635008,Left,exit
494,274365.807429,Right,enter
496,274365.891386,Assembly,enter
497,274365.93986,Left,enter
507,274366.502729,Right,exit
507,274366.502729,Assembly,exit
508,274366.56076799997,Left,exit
512,274366.746841,Left,enter
514,274366.840849,Right,enter
514,274366.840849,Assembly,enter
514,274366.840849,Screen,enter
528,274367.602015,Right,exit
529,274367.659173,Assembly,exit
529,274367.659173,Screen,exit
533,274367.869129,Assembly,enter
534,274367.92137399997,Right,enter
535,274367.975592,Screen,enter
544,274368.514103,Screen,exit
567,274370.093084,Right,exit
567,274370.093084,Assembly,exit
567,274370.093084,Left,exit
570,274370.297899,Assembly,enter
571,274370.357095,Left,enter
572,274370.415576,Right,enter
572,274370.415576,Screen,enter
576,274370.67175,Right,exit
576,274370.67175,Assembly,exit
576,274370.67175,Left,exit
576,274370.67175,Screen,exit
580,274370.904096,Left,enter
581,274370.954096,Right,enter
581,274370.954096,Assembly,enter
588,274371.375773,Assembly,exit
589,274371.437532,Right,exit
594,274371.697192,Assembly,enter
594,274371.697192,Screen,enter
595,274371.752726,Right,enter
622,274373.289688,Right,exit
622,274373.289688,Screen,exit
625,274373.458613,Right,enter
626,274373.517301,Screen,enter
638,274374.28181899997,Screen,exit
639,274374.352257,Right,exit
642,274374.548215,Right,enter
678,274376.815169,Right,exit
678,274376.815169,Assembly,exit
679,274376.87767899997,Left,exit
683,274377.061692,Assembly,enter
683,274377.061692,Left,enter
684,274377.109459,Screen,enter
685,274377.158803,Right,enter
711,274378.54516599997,Right,exit
714,274378.707918,Screen,exit
715,274378.759876,Right,enter
716,274378.81408599997,Screen,enter
730,274379.580925,Screen,exit
732,274379.690742,Screen,enter
733,274379.74781699997,Screen,exit
774,274381.976341,Right,exit
774,274381.976341,Assembly,exit
774,274381.976341,Left,exit
780,274382.239952,Left,enter
782,274382.33037,Right,enter
782,274382.33037,Assembly,enter
782,274382.33037,Screen,enter
821,274384.358214,Right,exit
823,274384.470977,Right,enter
847,274385.825301,Right,exit
848,274385.886782,Assembly,exit
848,274385.886782,Left,exit
848,274385.886782,Screen,exit
853,274386.132253,Right,enter
853,274386.132253,Assembly,enter
853,274386.132253,Left,enter
886,274387.873744,Right,exit
886,274387.873744,Assembly,exit
887,274387.922366,Left,exit
890,274388.056928,Left,enter
891,274388.104453,Assembly,enter
892,274388.15441899997,Right,enter
892,274388.15441899997,Screen,enter
936,274390.531924,Right,exit
936,274390.531924,Screen,exit
937,274390.585585,Assembly,exit
938,274390.64659899997,Left,exit
942,274390.839932,Right,enter
943,274390.88672199997,Assembly,enter
943,274390.88672199997,Left,enter
956,274391.604598,Right,exit
956,274391.604598,Assembly,exit
961,274391.84655099997,Right,enter
961,274391.84655099997,Assembly,enter
962,274391.89378,Screen,enter
976,274392.654828,Right,exit
977,274392.722679,Assembly,exit
977,274392.722679,Left,exit
977,274392.722679,Screen,exit
982,274392.951747,Right,enter
982,274392.951747,Assembly,enter
982,274392.951747,Left,enter
1007,274394.287183,Right,exit
1007,274394.287183,Assembly,exit
1008,274394.463966,Left,exit
1012,274394.650502,Left,enter
1012,274394.650502,Screen,enter
1013,274394.69627099996,Right,enter
1013,274394.69627099996,Assembly,enter
1047,274396.509985,Right,exit
1047,274396.509985,Screen,exit
1048,274396.57618,Left,exit
1050,274396.700018,Right,enter
1050,274396.700018,Left,enter
1052,274396.819029,Screen,enter
1052,274396.819029,Screen,exit
1080,274398.371002,Right,exit
1080,274398.371002,Assembly,exit
1081,274398.433201,Left,exit
1083,274398.528749,Left,enter
1084,274398.578766,Assembly,enter
1085,274398.63116,Right,enter
1086,274398.683376,Screen,enter
1118,274400.394716,Right,exit
1118,274400.394716,Screen,exit
1119,274400.455198,Assembly,exit
1123,274400.649272,Assembly,enter
1124,274400.693402,Right,enter
1137,274401.389174,Right,exit
1137,274401.389174,Assembly,exit
1137,274401.389174,Left,exit
