world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,231683.196741,"[[ 1.08491610e-03 -1.04533029e-03  5.65671305e-01]
 [-1.21432848e-03 -2.68486311e-03  7.90445723e-01]
 [-4.20119242e-04 -4.41880640e-04  1.09362328e+00]]","[[ 6.18557296e+02 -2.13579667e+02 -1.65575279e+02]
 [-2.38135513e+02 -3.40521782e+02  3.69295736e+02]
 [ 1.41401846e-01 -2.19635880e-01  1.00000000e+00]]",3,"[[ 2.52588169e-03 -1.05692431e-03  2.48929796e-01]
 [-2.94742154e-03 -4.33034537e-03  1.80872645e+00]
 [ 2.56807137e-04 -2.85351009e-04  1.09242888e+00]]","[[ 2.99895395e+02 -7.71060523e+01  5.93273006e+01]
 [-2.62172146e+02 -1.91801893e+02  3.77305674e+02]
 [-1.38980548e-01 -3.19741449e-02  1.00000000e+00]]",8
1,231683.306177,"[[ 1.09298782e-03 -1.03272559e-03  5.54169351e-01]
 [-1.19879376e-03 -2.68604497e-03  7.88851607e-01]
 [-4.18796195e-04 -4.39243253e-04  1.09303516e+00]]","[[ 6.20398528e+02 -2.12128483e+02 -1.61447647e+02]
 [-2.34785189e+02 -3.41833498e+02  3.65739982e+02]
 [ 1.43355620e-01 -2.18644988e-01  1.00000000e+00]]",3,"[[ 2.52417372e-03 -1.03559407e-03  2.34159570e-01]
 [-2.90093934e-03 -4.32365530e-03  1.79691745e+00]
 [ 2.58612665e-04 -2.74252729e-04  1.08699701e+00]]","[[ 3.02272985e+02 -7.62667045e+01  6.09614002e+01]
 [-2.59955188e+02 -1.92789271e+02  3.74699650e+02]
 [-1.37502717e-01 -3.04963561e-02  1.00000000e+00]]",8
2,231683.368654,"[[ 1.09650117e-03 -1.02501225e-03  5.51768042e-01]
 [-1.18684957e-03 -2.69412636e-03  7.92823546e-01]
 [-4.20322571e-04 -4.49219395e-04  1.09625664e+00]]","[[ 6.22757465e+02 -2.09994124e+02 -1.61576564e+02]
 [-2.32062278e+02 -3.43823606e+02  3.65458218e+02]
 [ 1.43681813e-01 -2.21405730e-01  1.00000000e+00]]",3,"[[ 2.53066788e-03 -1.02185554e-03  2.28549021e-01]
 [-2.87132688e-03 -4.32988681e-03  1.79640866e+00]
 [ 2.54975644e-04 -2.83269379e-04  1.09055393e+00]]","[[ 3.03284828e+02 -7.55599525e+01  6.09058397e+01]
 [-2.58384972e+02 -1.94474210e+02  3.74496646e+02]
 [-1.38024165e-01 -3.28481152e-02  1.00000000e+00]]",8
3,231683.424175,"[[ 1.09367524e-03 -1.01150615e-03  5.52988497e-01]
 [-1.17975397e-03 -2.69463030e-03  7.92371906e-01]
 [-4.21235755e-04 -4.45748321e-04  1.09347428e+00]]","[[ 6.26346186e+02 -2.07604739e+02 -1.66315821e+02]
 [-2.30958396e+02 -3.45099889e+02  3.66871721e+02]
 [ 1.47136603e-01 -2.20652866e-01  1.00000000e+00]]",3,"[[ 2.54235903e-03 -1.00679855e-03  2.27969505e-01]
 [-2.86902826e-03 -4.33496829e-03  1.79756888e+00]
 [ 2.53037908e-04 -2.84778776e-04  1.09201101e+00]]","[[ 3.03526336e+02 -7.43742279e+01  5.90635517e+01]
 [-2.57941915e+02 -1.95447976e+02  3.75576882e+02]
 [-1.37599393e-01 -3.37358654e-02  1.00000000e+00]]",8
4,231683.47952599998,"[[ 1.08774114e-03 -1.01060664e-03  5.58779980e-01]
 [-1.18127783e-03 -2.69332018e-03  7.92137178e-01]
 [-4.19900935e-04 -4.38133432e-04  1.08995431e+00]]","[[ 6.27760477e+02 -2.07762056e+02 -1.70836462e+02]
 [-2.31583136e+02 -3.44425907e+02  3.69039860e+02]
 [ 1.48752013e-01 -2.18489880e-01  1.00000000e+00]]",3,"[[ 2.54934898e-03 -1.01157683e-03  2.35440951e-01]
 [-2.88626904e-03 -4.33996940e-03  1.80240357e+00]
 [ 2.60565265e-04 -2.78986921e-04  1.09029630e+00]]","[[ 3.02422214e+02 -7.41740477e+01  5.73137731e+01]
 [-2.58623373e+02 -1.94382215e+02  3.77187130e+02]
 [-1.38451596e-01 -3.20123212e-02  1.00000000e+00]]",8
5,231683.537265,"[[ 1.07284952e-03 -1.00570681e-03  5.73974164e-01]
 [-1.18594953e-03 -2.67675297e-03  7.84868107e-01]
 [-4.19204260e-04 -4.26502019e-04  1.08273982e+00]]","[[ 6.30704316e+02 -2.07682066e+02 -1.83797575e+02]
 [-2.34976410e+02 -3.44996785e+02  3.74648974e+02]
 [ 1.51630170e-01 -2.16305919e-01  1.00000000e+00]]",3,"[[ 2.57031813e-03 -1.01342930e-03  2.51863320e-01]
 [-2.93762034e-03 -4.33765040e-03  1.80788616e+00]
 [ 2.71522570e-04 -2.67005506e-04  1.08759937e+00]]","[[ 2.99790933e+02 -7.32649472e+01  5.23615095e+01]
 [-2.60921748e+02 -1.93051739e+02  3.81328087e+02]
 [-1.38899996e-01 -2.91033550e-02  1.00000000e+00]]",8
6,231683.593649,"[[ 1.05798247e-03 -1.00613943e-03  5.95737878e-01]
 [-1.20188168e-03 -2.66063939e-03  7.75586877e-01]
 [-4.09305150e-04 -4.03317962e-04  1.07215348e+00]]","[[ 6.31137708e+02 -2.08357009e+02 -1.99965472e+02]
 [-2.41329227e+02 -3.42470134e+02  3.81833674e+02]
 [ 1.50160873e-01 -2.08371242e-01  1.00000000e+00]]",3,"[[ 2.59994136e-03 -1.02555081e-03  2.75881527e-01]
 [-3.02680050e-03 -4.34316277e-03  1.81920193e+00]
 [ 2.82148467e-04 -2.69218985e-04  1.09098537e+00]]","[[ 2.95118921e+02 -7.25604804e+01  4.63657069e+01]
 [-2.65035561e+02 -1.91625318e+02  3.86552906e+02]
 [-1.41725050e-01 -2.85213223e-02  1.00000000e+00]]",8
7,231683.647972,"[[ 9.96611290e-04 -1.00735199e-03  5.97760409e-01]
 [-1.13885907e-03 -2.54068956e-03  7.32567501e-01]
 [-4.77269749e-04 -4.55480652e-04  1.07337698e+00]]","[[ 6.50514950e+02 -2.19878110e+02 -2.12205525e+02]
 [-2.37216315e+02 -3.68284242e+02  3.83454831e+02]
 [ 1.88585808e-01 -2.54046362e-01  1.00000000e+00]]",2,"[[ 2.46597147e-03 -1.08769400e-03  3.22414746e-01]
 [-2.77269820e-03 -4.02619853e-03  1.66054362e+00]
 [ 1.66952040e-04 -3.00711450e-04  1.10934291e+00]]","[[ 3.06473021e+02 -8.57264261e+01  3.92494044e+01]
 [-2.59040229e+02 -2.07177857e+02  3.85404956e+02]
 [-1.16341536e-01 -4.32585373e-02  1.00000000e+00]]",8
8,231683.70092,"[[ 9.83495494e-04 -1.00205440e-03  6.10086051e-01]
 [-1.14696602e-03 -2.52555888e-03  7.18501937e-01]
 [-4.75463717e-04 -4.40391710e-04  1.06305412e+00]]","[[ 6.51872923e+02 -2.19245192e+02 -2.25924981e+02]
 [-2.41568263e+02 -3.67605254e+02  3.87094604e+02]
 [ 1.91483442e-01 -2.50347969e-01  1.00000000e+00]]",2,"[[ 2.49620373e-03 -1.10030698e-03  3.40780701e-01]
 [-2.84760772e-03 -4.03904792e-03  1.66540904e+00]
 [ 1.83544271e-04 -2.98448166e-04  1.10946393e+00]]","[[ 3.01474098e+02 -8.46765595e+01  3.45072533e+01]
 [-2.62191118e+02 -2.04827187e+02  3.87998842e+02]
 [-1.20404366e-01 -4.10904757e-02  1.00000000e+00]]",8
9,231683.760133,"[[ 9.71261622e-04 -1.00192394e-03  6.21190292e-01]
 [-1.14509496e-03 -2.49995496e-03  7.01761863e-01]
 [-4.76195658e-04 -4.37295952e-04  1.05717628e+00]]","[[ 6.53356266e+02 -2.20273083e+02 -2.37689140e+02]
 [-2.45116413e+02 -3.69916589e+02  3.89582418e+02]
 [ 1.92907282e-01 -2.52234294e-01  1.00000000e+00]]",2,"[[ 2.50860831e-03 -1.10441204e-03  3.54406538e-01]
 [-2.88528741e-03 -4.02404460e-03  1.65615319e+00]
 [ 1.83618103e-04 -2.93763323e-04  1.10894176e+00]]","[[ 2.99361859e+02 -8.43755633e+01  3.03379851e+01]
 [-2.63808208e+02 -2.04560207e+02  3.89811630e+02]
 [-1.19452110e-01 -4.02179871e-02  1.00000000e+00]]",8
10,231683.81774,"[[ 9.74711210e-04 -9.92341709e-04  6.24096786e-01]
 [-1.15046550e-03 -2.49876467e-03  6.98651901e-01]
 [-4.68210720e-04 -4.24231602e-04  1.05253901e+00]]","[[ 6.52364490e+02 -2.17966703e+02 -2.42134239e+02]
 [-2.47060937e+02 -3.68478068e+02  3.91080841e+02]
 [ 1.90618105e-01 -2.45477257e-01  1.00000000e+00]]",2,"[[ 2.53176416e-03 -1.09497373e-03  3.55182317e-01]
 [-2.91214141e-03 -4.02767442e-03  1.65823661e+00]
 [ 2.01139763e-04 -2.79318384e-04  1.10339960e+00]]","[[ 2.97400711e+02 -8.28475922e+01  2.87741966e+01]
 [-2.64966035e+02 -2.03357148e+02  3.90905996e+02]
 [-1.21287876e-01 -3.63761643e-02  1.00000000e+00]]",8
11,231683.87209999998,"[[ 9.50207326e-04 -1.01717051e-03  6.41580223e-01]
 [-1.15161736e-03 -2.48089617e-03  6.89081055e-01]
 [-4.80520493e-04 -4.45184111e-04  1.05451809e+00]]","[[ 6.54446311e+02 -2.23025670e+02 -2.52434784e+02]
 [-2.50310178e+02 -3.71321483e+02  3.94933631e+02]
 [ 1.92543639e-01 -2.58388008e-01  1.00000000e+00]]",2,"[[ 2.51936373e-03 -1.14297205e-03  3.85999689e-01]
 [-2.95489723e-03 -4.02680029e-03  1.65958448e+00]
 [ 1.81408251e-04 -3.18125100e-04  1.12060243e+00]]","[[ 2.94659566e+02 -8.56376262e+01  2.53295670e+01]
 [-2.67137747e+02 -2.03602459e+02  3.93547754e+02]
 [-1.23537926e-01 -4.39367963e-02  1.00000000e+00]]",8
12,231683.92742,"[[ 9.49364316e-04 -1.00677236e-03  6.42105495e-01]
 [-1.15266067e-03 -2.47208206e-03  6.80073706e-01]
 [-4.72820116e-04 -4.20350786e-04  1.04439606e+00]]","[[ 6.54610439e+02 -2.22833283e+02 -2.57360128e+02]
 [-2.51550558e+02 -3.69254310e+02  3.95101208e+02]
 [ 1.95111335e-01 -2.49499600e-01  1.00000000e+00]]",2,"[[ 2.53431475e-03 -1.13009139e-03  3.84908875e-01]
 [-2.97721225e-03 -4.02292017e-03  1.65411943e+00]
 [ 2.01302440e-04 -2.81060303e-04  1.10587983e+00]]","[[ 2.93805145e+02 -8.41868579e+01  2.36616211e+01]
 [-2.67363759e+02 -2.00972789e+02  3.93662736e+02]
 [-1.21431849e-01 -3.57529382e-02  1.00000000e+00]]",8
13,231683.98487299998,"[[ 9.49583585e-04 -1.00606714e-03  6.43109987e-01]
 [-1.15375361e-03 -2.46758164e-03  6.73219308e-01]
 [-4.72414626e-04 -4.24929262e-04  1.04487032e+00]]","[[ 6.54189192e+02 -2.22017490e+02 -2.59600773e+02]
 [-2.53282629e+02 -3.69872337e+02  3.94205655e+02]
 [ 1.92771618e-01 -2.50800396e-01  1.00000000e+00]]",2,"[[ 2.54183336e-03 -1.12937932e-03  3.85658194e-01]
 [-2.99485065e-03 -4.02765007e-03  1.65178016e+00]
 [ 2.01395568e-04 -2.90069314e-04  1.10940018e+00]]","[[ 2.92890103e+02 -8.37790916e+01  2.29215512e+01]
 [-2.68367531e+02 -2.01340166e+02  3.93066307e+02]
 [-1.23338681e-01 -3.74345229e-02  1.00000000e+00]]",8
14,231684.039178,"[[ 9.40812191e-04 -1.00888789e-03  6.46954749e-01]
 [-1.15538679e-03 -2.45303394e-03  6.56472545e-01]
 [-4.72407416e-04 -4.23445951e-04  1.04065454e+00]]","[[ 6.54895721e+02 -2.23392371e+02 -2.66214125e+02]
 [-2.56869446e+02 -3.69853666e+02  3.93004277e+02]
 [ 1.92770281e-01 -2.51904200e-01  1.00000000e+00]]",2,"[[ 2.54049404e-03 -1.13359726e-03  3.92110056e-01]
 [-3.03100821e-03 -4.02747462e-03  1.64236138e+00]
 [ 2.00697606e-04 -2.86721059e-04  1.10831162e+00]]","[[ 2.92133432e+02 -8.36974259e+01  2.06737557e+01]
 [-2.69900188e+02 -2.00250220e+02  3.92230668e+02]
 [-1.22724102e-01 -3.66486117e-02  1.00000000e+00]]",8
15,231684.094431,"[[ 9.40299543e-04 -1.01783684e-03  6.54709544e-01]
 [-1.16259062e-03 -2.44421190e-03  6.46484117e-01]
 [-4.66348727e-04 -4.24511959e-04  1.04071893e+00]]","[[ 6.51793729e+02 -2.24421473e+02 -2.70630858e+02]
 [-2.60925462e+02 -3.68768247e+02  3.93221640e+02]
 [ 1.85638207e-01 -2.50985344e-01  1.00000000e+00]]",2,"[[ 2.55444535e-03 -1.14582983e-03  4.00621897e-01]
 [-3.06821834e-03 -4.02568579e-03  1.63851691e+00]
 [ 2.16413496e-04 -2.85597353e-04  1.10791627e+00]]","[[ 2.89307349e+02 -8.37062643e+01  1.91812963e+01]
 [-2.72042356e+02 -1.98811621e+02  3.92396373e+02]
 [-1.26638262e-01 -3.48987628e-02  1.00000000e+00]]",8
16,231684.14676899998,"[[ 9.34693115e-04 -1.00846841e-03  6.52639890e-01]
 [-1.16194303e-03 -2.43743400e-03  6.43170954e-01]
 [-4.67925463e-04 -4.11906247e-04  1.03453011e+00]]","[[ 6.54101285e+02 -2.24480142e+02 -2.73083867e+02]
 [-2.61188315e+02 -3.68794741e+02  3.94053275e+02]
 [ 1.91860581e-01 -2.48372502e-01  1.00000000e+00]]",2,"[[ 2.54806398e-03 -1.14213554e-03  4.02005951e-01]
 [-3.07443208e-03 -4.01865637e-03  1.63562091e+00]
 [ 2.08901566e-04 -2.80480111e-04  1.10637902e+00]]","[[ 2.89967028e+02 -8.36929975e+01  1.83676170e+01]
 [-2.72206626e+02 -1.98902099e+02  3.92954952e+02]
 [-1.23757870e-01 -3.46214849e-02  1.00000000e+00]]",8
17,231684.201883,"[[ 9.25707251e-04 -1.02244707e-03  6.60484047e-01]
 [-1.16285110e-03 -2.42858850e-03  6.37858015e-01]
 [-4.70964596e-04 -4.21285261e-04  1.03608433e+00]]","[[ 6.53891957e+02 -2.27251354e+02 -2.76937988e+02]
 [-2.63128547e+02 -3.69546880e+02  3.95248375e+02]
 [ 1.90242992e-01 -2.53562369e-01  1.00000000e+00]]",2,"[[ 2.54540582e-03 -1.16227773e-03  4.13986941e-01]
 [-3.09378435e-03 -4.01690188e-03  1.63464597e+00]
 [ 2.09627299e-04 -2.88467643e-04  1.10998585e+00]]","[[ 2.88496577e+02 -8.47068858e+01  1.71461235e+01]
 [-2.73270009e+02 -1.98153831e+02  3.93736171e+02]
 [-1.25502783e-01 -3.54996354e-02  1.00000000e+00]]",8
18,231684.25289,"[[ 9.28572875e-04 -1.01680591e-03  6.60973098e-01]
 [-1.16861482e-03 -2.43439313e-03  6.37969031e-01]
 [-4.65381134e-04 -4.10405513e-04  1.03282030e+00]]","[[ 6.53121927e+02 -2.25852031e+02 -2.78469956e+02]
 [-2.63882903e+02 -3.67277270e+02  3.95742634e+02]
 [ 1.89434334e-01 -2.47709976e-01  1.00000000e+00]]",2,"[[ 2.55962043e-03 -1.15826825e-03  4.13771865e-01]
 [-3.11588978e-03 -4.02975067e-03  1.64001222e+00]
 [ 2.24233621e-04 -2.77549657e-04  1.10563842e+00]]","[[ 2.87299455e+02 -8.37267602e+01  1.66749619e+01]
 [-2.73835402e+02 -1.96588504e+02  3.94082663e+02]
 [-1.27008176e-01 -3.23692777e-02  1.00000000e+00]]",8
