world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,75277.834664,"[[ 2.97017775e-03  1.78463204e-03 -1.60673580e+00]
 [ 9.53251676e-04 -1.69582794e-03  2.94387888e-01]
 [ 6.45330753e-05  2.13434392e-04  9.02723940e-01]]","[[ 2.36519745e+02  2.89986601e+02  3.26407870e+02]
 [ 1.24890343e+02 -4.13311233e+02  3.57074396e+02]
 [-4.64363898e-02  7.69904300e-02  1.00000000e+00]]",9,"[[ 3.22086632e-03  2.12956835e-03 -1.85804238e+00]
 [ 1.01463098e-03 -1.72929659e-03  2.69668623e-01]
 [ 1.52352275e-04  5.09260235e-04  7.66584893e-01]]","[[ 1.89246873e+02  3.33575098e+02  3.41350287e+02]
 [ 9.52992067e+01 -3.56008458e+02  3.56221833e+02]
 [-1.00920705e-01  1.70209493e-01  1.00000000e+00]]",14
1,75277.97058099999,"[[ 2.97028518e-03  1.82931880e-03 -1.71014633e+00]
 [ 9.94746358e-04 -1.68583414e-03  2.64633603e-01]
 [ 7.71898244e-05  2.38035545e-04  8.86157748e-01]]","[[ 2.28047554e+02  2.97071344e+02  3.51381713e+02]
 [ 1.26125750e+02 -4.04877692e+02  3.64311807e+02]
 [-5.37436617e-02  8.28795974e-02  1.00000000e+00]]",10,"[[ 3.04572662e-03  2.14069987e-03 -1.86678955e+00]
 [ 1.02202904e-03 -1.69013904e-03  2.43295188e-01]
 [ 7.29007786e-05  5.25308160e-04  7.84127606e-01]]","[[ 1.98088468e+02  3.62511117e+02  3.59115367e+02]
 [ 1.06830957e+02 -3.44122210e+02  3.61107286e+02]
 [-8.99853243e-02  1.96833858e-01  1.00000000e+00]]",14
2,75278.041954,"[[ 2.99918203e-03  1.88464997e-03 -1.84339562e+00]
 [ 1.11637026e-03 -1.65871127e-03  1.75201710e-01]
 [ 1.74961392e-04  3.18611557e-04  8.16310042e-01]]","[[ 1.99165828e+02  3.00305504e+02  3.85303821e+02]
 [ 1.24407761e+02 -3.91423308e+02  3.64948047e+02]
 [-9.12448423e-02  8.84101837e-02  1.00000000e+00]]",5,"[[ 3.02449535e-03  2.08960548e-03 -1.94932787e+00]
 [ 1.16015701e-03 -1.69981728e-03  1.59540553e-01]
 [ 1.16386012e-04  5.09608892e-04  7.69311682e-01]]","[[ 1.83599008e+02  3.43797620e+02  3.93917067e+02]
 [ 1.15520485e+02 -3.37545620e+02  3.62713219e+02]
 [-1.04299239e-01  1.71585872e-01  1.00000000e+00]]",14
3,75278.09838699999,"[[ 2.94581143e-03  1.93601204e-03 -1.92231349e+00]
 [ 1.15780287e-03 -1.61364740e-03  1.15800631e-01]
 [ 2.15344358e-04  4.11515729e-04  7.60403977e-01]]","[[ 1.82226420e+02  3.23546335e+02  4.11399000e+02]
 [ 1.22295682e+02 -3.79407867e+02  3.66944831e+02]
 [-1.17790057e-01  1.13700651e-01  1.00000000e+00]]",2,"[[ 2.87192362e-03  2.12010246e-03 -1.96996563e+00]
 [ 1.14963585e-03 -1.62193756e-03  1.12213416e-01]
 [ 7.78071563e-05  6.17818967e-04  7.42312810e-01]]","[[ 1.79455399e+02  3.93332425e+02  4.16783582e+02]
 [ 1.19042654e+02 -3.22058595e+02  3.64602670e+02]
 [-1.17887934e-01  2.26817898e-01  1.00000000e+00]]",14
4,75278.153259,"[[ 3.07758899e-03  2.31988576e-03 -2.34744684e+00]
 [ 1.28810926e-03 -1.67723575e-03  9.01510337e-03]
 [ 4.09053990e-04  2.70928878e-04  7.02000996e-01]]","[[ 1.44766613e+02  2.77855592e+02  4.80522156e+02]
 [ 1.10497462e+02 -3.82903244e+02  3.74413757e+02]
 [-1.27000267e-01 -1.41287436e-02  1.00000000e+00]]",1,"[[ 3.16107089e-03  2.35174571e-03 -2.40858849e+00]
 [ 1.18431853e-03 -1.66825975e-03  5.31197761e-02]
 [ 3.39906550e-04  3.30549010e-04  7.11896509e-01]]","[[ 1.49550980e+02  3.06545109e+02  4.83108368e+02]
 [ 1.02380796e+02 -3.80836742e+02  3.74806122e+02]
 [-1.18943171e-01  3.04658297e-02  1.00000000e+00]]",14
5,75278.20111299999,"[[ 2.99045628e-03  2.41615806e-03 -2.45101971e+00]
 [ 1.33538616e-03 -1.64435114e-03 -6.46695533e-02]
 [ 4.22841291e-04  2.82193560e-04  6.75912492e-01]]","[[ 1.34234574e+02  2.85463182e+02  5.14078918e+02]
 [ 1.14190158e+02 -3.75458015e+02  3.78157867e+02]
 [-1.31649657e-01 -2.18279535e-02  1.00000000e+00]]",1,"[[ 3.01480857e-03  2.42329414e-03 -2.47047873e+00]
 [ 1.21430792e-03 -1.63026153e-03 -8.93380097e-03]
 [ 2.99737057e-04  3.24737548e-04  7.22670754e-01]]","[[ 1.49568369e+02  3.24974127e+02  5.15322815e+02]
 [ 1.12022503e+02 -3.71516232e+02  3.78360626e+02]
 [-1.12373574e-01  3.21563889e-02  1.00000000e+00]]",14
6,75278.24625,"[[ 2.75925426e-03  2.35738346e-03 -2.48887290e+00]
 [ 1.38141454e-03 -1.55147065e-03 -1.82016250e-01]
 [ 2.65268394e-04  3.25724608e-04  7.22128017e-01]]","[[ 1.40773957e+02  3.33405578e+02  5.69225552e+02]
 [ 1.38753114e+02 -3.51944311e+02  3.89514429e+02]
 [-1.14298550e-01  3.62746770e-02  1.00000000e+00]]",6,"[[ 2.67586703e-03  2.34434645e-03 -2.42985917e+00]
 [ 1.37008176e-03 -1.54955801e-03 -1.81662257e-01]
 [-4.73727635e-05  4.26087499e-04  8.62357313e-01]]","[[ 1.71080117e+02  4.15445557e+02  5.69568277e+02]
 [ 1.59396194e+02 -2.97952955e+02  3.86363625e+02]
 [-6.93589385e-02  1.70039532e-01  1.00000000e+00]]",14
7,75278.29803899999,"[[ 2.70005036e-03  2.43564880e-03 -2.54228875e+00]
 [ 1.41495140e-03 -1.52632903e-03 -2.33210354e-01]
 [ 2.84507579e-04  3.51813202e-04  6.94797334e-01]]","[[ 1.29295561e+02  3.41816516e+02  5.87828684e+02]
 [ 1.38679349e+02 -3.43480894e+02  3.92142620e+02]
 [-1.23165114e-01  3.39548277e-02  1.00000000e+00]]",9,"[[ 2.61242733e-03  2.40148859e-03 -2.46814947e+00]
 [ 1.38270471e-03 -1.51863127e-03 -2.21491705e-01]
 [-6.41832143e-05  4.61140837e-04  8.58366820e-01]]","[[ 1.64849937e+02  4.39020665e+02  5.87294042e+02]
 [ 1.60904743e+02 -2.85955850e+02  3.88878158e+02]
 [-7.41165056e-02  1.86451379e-01  1.00000000e+00]]",14
8,75278.349634,"[[ 2.60713184e-03  2.54818021e-03 -2.59771709e+00]
 [ 1.44840516e-03 -1.47919023e-03 -2.99708024e-01]
 [ 3.20137336e-04  3.87617496e-04  6.51504641e-01]]","[[ 1.12296293e+02  3.53383670e+02  6.10319400e+02]
 [ 1.37744425e+02 -3.35246300e+02  3.95001086e+02]
 [-1.37132385e-01  2.58110592e-02  1.00000000e+00]]",12,"[[ 2.51116701e-03  2.49859447e-03 -2.50568877e+00]
 [ 1.40412336e-03 -1.46745199e-03 -2.80831211e-01]
 [-6.29246459e-05  4.99044037e-04  8.43143206e-01]]","[[ 1.52519305e+02  4.66697868e+02  6.08709452e+02]
 [ 1.62122733e+02 -2.72418735e+02  3.91066933e+02]
 [-8.45753832e-02  1.96070777e-01  1.00000000e+00]]",14
9,75278.40259799999,"[[ 2.55453631e-03  2.60547046e-03 -2.62966066e+00]
 [ 1.46965195e-03 -1.45262807e-03 -3.34918483e-01]
 [ 3.23947916e-04  3.95340608e-04  6.40610875e-01]]","[[ 1.05858131e+02  3.59248140e+02  6.22358783e+02]
 [ 1.39254839e+02 -3.30021391e+02  3.99092052e+02]
 [-1.39469399e-01  2.19995814e-02  1.00000000e+00]]",12,"[[ 2.47074105e-03  2.54508206e-03 -2.54003001e+00]
 [ 1.42704962e-03 -1.44176498e-03 -3.16333209e-01]
 [-8.02436066e-05  4.92874148e-04  8.55041310e-01]]","[[ 1.49684219e+02  4.76504956e+02  6.20948655e+02]
 [ 1.66078915e+02 -2.65320415e+02  3.95204029e+02]
 [-8.16858804e-02  1.97658344e-01  1.00000000e+00]]",14
10,75278.45412099999,"[[ 2.53599596e-03  2.62317663e-03 -2.63299744e+00]
 [ 1.47376382e-03 -1.44011541e-03 -3.44815894e-01]
 [ 3.21685508e-04  3.98318881e-04  6.39791207e-01]]","[[ 1.04285612e+02  3.62733793e+02  6.24672741e+02]
 [ 1.40172073e+02 -3.28475944e+02  3.99831977e+02]
 [-1.39702378e-01  2.21196631e-02  1.00000000e+00]]",12,"[[ 2.45404412e-03  2.56037152e-03 -2.54326256e+00]
 [ 1.43129832e-03 -1.42915373e-03 -3.26292901e-01]
 [-8.74784271e-05  4.92867881e-04  8.59391770e-01]]","[[ 1.48829369e+02  4.81584108e+02  6.23289235e+02]
 [ 1.67530057e+02 -2.63042538e+02  3.95912575e+02]
 [-8.09302897e-02  1.99877919e-01  1.00000000e+00]]",14
11,75278.50784199999,"[[ 2.51060898e-03  2.64885670e-03 -2.63788497e+00]
 [ 1.48145445e-03 -1.43005838e-03 -3.55442506e-01]
 [ 3.17333955e-04  3.99738340e-04  6.40522468e-01]]","[[ 1.02987930e+02  3.66108731e+02  6.27301830e+02]
 [ 1.41287105e+02 -3.25397446e+02  4.01295910e+02]
 [-1.39197990e-01  2.16933889e-02  1.00000000e+00]]",12,"[[ 2.43229698e-03  2.58271430e-03 -2.54896879e+00]
 [ 1.43903435e-03 -1.41910536e-03 -3.36858374e-01]
 [-9.68235846e-05  4.88660163e-04  8.66414628e-01]]","[[ 1.48560235e+02  4.85928438e+02  6.25987199e+02]
 [ 1.69382493e+02 -2.59556284e+02  3.97404395e+02]
 [-7.89302721e-02  2.00693922e-01  1.00000000e+00]]",14
12,75278.55763899999,"[[ 2.50170620e-03  2.64190555e-03 -2.62780412e+00]
 [ 1.46940425e-03 -1.41879232e-03 -3.49351811e-01]
 [ 2.96383724e-04  3.92860408e-04  6.56571741e-01]]","[[ 1.06882872e+02  3.72332267e+02  6.25890786e+02]
 [ 1.43755868e+02 -3.25830743e+02  4.01986084e+02]
 [-1.34264585e-01  2.68862849e-02  1.00000000e+00]]",11,"[[ 2.42925775e-03  2.58308171e-03 -2.54456676e+00]
 [ 1.42899017e-03 -1.40585828e-03 -3.33288932e-01]
 [-1.06257407e-04  4.92027743e-04  8.70661289e-01]]","[[ 1.49167004e+02  4.92653295e+02  6.24538265e+02]
 [ 1.70093665e+02 -2.59580672e+02  3.97742872e+02]
 [-7.79185935e-02  2.06818606e-01  1.00000000e+00]]",14
