world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,75622.245963,"[[ 9.80255916e-04  1.50783641e-03 -1.90671947e+00]
 [ 1.26870813e-03 -1.22176776e-03 -3.00336169e-01]
 [ 1.88118997e-04  1.43774362e-04  7.33528483e-01]]","[[ 2.74225959e+02  4.43694600e+02  8.94484026e+02]
 [ 3.17339682e+02 -3.46466495e+02  6.83029140e+02]
 [-1.32527127e-01 -4.58801320e-02  1.00000000e+00]]",6,"[[ 1.91168405e-03  2.04780336e-03 -3.03833363e+00]
 [ 8.68717200e-04 -1.59533892e-03  3.05336698e-01]
 [-1.26508373e-03 -5.62681264e-04  2.48168319e+00]]","[[ 7.84327558e+02  6.98397840e+02  8.74326875e+02]
 [ 5.26463261e+02 -1.86476519e+02  6.67494208e+02]
 [ 5.19192398e-01  3.13740651e-01  1.00000000e+00]]",15
1,75622.38457299999,"[[ 8.70397367e-04  1.54925973e-03 -1.86246319e+00]
 [ 1.32453893e-03 -1.14546243e-03 -3.95186149e-01]
 [ 1.90903330e-04  1.38540175e-04  7.31635075e-01]]","[[ 2.56902369e+02  4.56375960e+02  9.00482611e+02]
 [ 3.42571383e+02 -3.25465198e+02  6.96258652e+02]
 [-1.31901026e-01 -5.74517082e-02  1.00000000e+00]]",6,"[[ 1.81312396e-03  2.14975396e-03 -3.04882556e+00]
 [ 9.52954101e-04 -1.55034130e-03  2.15023704e-01]
 [-1.28971968e-03 -6.64664421e-04  2.58248576e+00]]","[[ 7.94475546e+02  7.25425796e+02  8.77539634e+02]
 [ 5.63487365e+02 -1.54383058e+02  6.78095006e+02]
 [ 5.41796114e-01  3.22550859e-01  1.00000000e+00]]",15
2,75622.439327,"[[ 1.01435927e-03  1.72716875e-03 -2.13384300e+00]
 [ 1.09926206e-03 -1.35866258e-03 -3.74155593e-02]
 [-1.95327141e-04 -3.65723048e-04  1.43423343e+00]]","[[ 5.98856556e+02  5.17815053e+02  9.04483317e+02]
 [ 4.78911815e+02 -3.16783411e+02  7.04257742e+02]
 [ 2.03678161e-01 -1.02575079e-02  1.00000000e+00]]",5,"[[ 2.06098215e-03  2.41544454e-03 -3.46106029e+00]
 [ 6.75878466e-04 -1.79725229e-03  6.30033624e-01]
 [-2.22092702e-03 -1.62687644e-03  4.06435200e+00]]","[[ 1.17670766e+03  7.84480520e+02  8.80437286e+02]
 [ 7.76941580e+02 -1.29256056e+02  6.81652896e+02]
 [ 9.53994582e-01  3.76933483e-01  1.00000000e+00]]",15
3,75622.489131,"[[ 1.01591509e-03  1.72546454e-03 -2.14613400e+00]
 [ 1.09547382e-03 -1.36196279e-03 -3.29773733e-02]
 [-1.88094706e-04 -3.53580308e-04  1.42150157e+00]]","[[ 5.94925995e+02  5.17410728e+02  9.10202128e+02]
 [ 4.73760168e+02 -3.17806770e+02  7.07893959e+02]
 [ 1.96563059e-01 -1.05859868e-02  1.00000000e+00]]",5,"[[ 2.09448823e-03  2.43627856e-03 -3.51963859e+00]
 [ 6.70907279e-04 -1.80962348e-03  6.44061786e-01]
 [-2.23903241e-03 -1.63260304e-03  4.09785440e+00]]","[[ 1.17315523e+03  7.81112589e+02  8.84852734e+02]
 [ 7.72635408e+02 -1.29466361e+02  6.83963231e+02]
 [ 9.48823245e-01  3.75213242e-01  1.00000000e+00]]",15
4,75622.540132,"[[ 1.08179324e-03  1.78776224e-03 -2.26143767e+00]
 [ 9.76831133e-04 -1.49516807e-03  1.70042566e-01]
 [-6.52387271e-04 -9.83232438e-04  2.29627540e+00]]","[[ 9.70961974e+02  5.59389097e+02  9.14807529e+02]
 [ 6.99804904e+02 -2.99887242e+02  7.11394969e+02]
 [ 5.75503320e-01  3.05187534e-02  1.00000000e+00]]",4,"[[ 1.95177283e-03  2.37028381e-03 -3.34957907e+00]
 [ 5.18969693e-04 -1.92491000e-03  8.57233382e-01]
 [-2.99036438e-03 -2.40171345e-03  5.29068519e+00]]","[[ 1.62925871e+03  9.01466408e+02  8.85436119e+02]
 [ 1.06457729e+03 -6.21110812e+01  6.84056861e+02]
 [ 1.40414455e+00  4.81325182e-01  1.00000000e+00]]",15
5,75622.59193099999,"[[ 9.57155344e-04  1.73356230e-03 -2.12454739e+00]
 [ 1.11076596e-03 -1.32987414e-03 -8.94604827e-02]
 [-1.46631114e-04 -3.32179051e-04  1.37282930e+00]]","[[ 5.80090595e+02  5.23422365e+02  9.31838779e+02]
 [ 4.72654274e+02 -3.13425982e+02  7.11040452e+02]
 [ 1.76325766e-01 -1.99322238e-02  1.00000000e+00]]",5,"[[ 2.09966112e-03  2.49351987e-03 -3.60037477e+00]
 [ 7.00741079e-04 -1.79736440e-03  5.98480186e-01]
 [-2.30146274e-03 -1.70259887e-03  4.24092695e+00]]","[[ 1.19603669e+03  8.05054592e+02  9.01777169e+02]
 [ 7.87726731e+02 -1.12001851e+02  6.84553725e+02]
 [ 9.65311725e-01  3.91921139e-01  1.00000000e+00]]",15
6,75622.640661,"[[ 9.30299774e-04  1.74339714e-03 -2.11403023e+00]
 [ 1.11945383e-03 -1.31027948e-03 -1.15377454e-01]
 [-1.35580091e-04 -3.39356261e-04  1.36885899e+00]]","[[ 5.78041646e+02  5.26415400e+02  9.37082626e+02]
 [ 4.78372869e+02 -3.11243030e+02  7.12552776e+02]
 [ 1.75847015e-01 -2.50214396e-02  1.00000000e+00]]",5,"[[ 2.09083099e-03  2.52473855e-03 -3.62393264e+00]
 [ 7.15632520e-04 -1.78639466e-03  5.76143006e-01]
 [-2.33001762e-03 -1.75957981e-03  4.31616944e+00]]","[[ 1.20837471e+03  8.15722808e+02  9.05686310e+02]
 [ 7.99593475e+02 -1.04758437e+02  6.85336565e+02]
 [ 9.78294053e-01  3.97648356e-01  1.00000000e+00]]",15
7,75622.69055399999,"[[ 9.00590369e-04  1.74927222e-03 -2.09706021e+00]
 [ 1.13456284e-03 -1.28721863e-03 -1.41126053e-01]
 [-1.28787171e-04 -3.49862587e-04  1.37131439e+00]]","[[ 5.77164335e+02  5.29632243e+02  9.37125195e+02]
 [ 4.89092948e+02 -3.06915992e+02  7.16351788e+02]
 [ 1.78986444e-01 -2.85628046e-02  1.00000000e+00]]",5,"[[ 2.06173424e-03  2.54825327e-03 -3.62068637e+00]
 [ 7.34425319e-04 -1.77177335e-03  5.55045531e-01]
 [-2.34222290e-03 -1.81921008e-03  4.37264642e+00]]","[[ 1.21960040e+03  8.24668507e+02  9.05186833e+02]
 [ 8.16631695e+02 -9.68028476e+01  6.88484031e+02]
 [ 9.93037208e-01  4.01462313e-01  1.00000000e+00]]",15
8,75622.739447,"[[ 9.57114442e-04  1.81265062e-03 -2.20511393e+00]
 [ 1.03725206e-03 -1.41647190e-03  5.28603599e-02]
 [-5.20915424e-04 -9.62267963e-04  2.18260641e+00]]","[[ 9.39687132e+02  5.66887613e+02  9.35647990e+02]
 [ 7.08133085e+02 -2.90591761e+02  7.22473327e+02]
 [ 5.36473868e-01  7.18102888e-03  1.00000000e+00]]",4,"[[ 1.89334039e-03  2.46377628e-03 -3.40818273e+00]
 [ 5.63453850e-04 -1.89474548e-03  8.02992022e-01]
 [-3.08143843e-03 -2.63514383e-03  5.59625648e+00]]","[[ 1.70581317e+03  9.66084623e+02  9.00238360e+02]
 [ 1.13103494e+03 -1.87942678e+01  6.91509655e+02]
 [ 1.47184069e+00  5.23100522e-01  1.00000000e+00]]",15
9,75622.79061299999,"[[ 9.41756888e-04  1.82574309e-03 -2.20388674e+00]
 [ 1.05177090e-03 -1.41390016e-03  4.11813518e-02]
 [-5.07618620e-04 -9.68340394e-04  2.17650174e+00]]","[[ 9.34087528e+02  5.65721364e+02  9.35136371e+02]
 [ 7.10399138e+02 -2.86302249e+02  7.24754554e+02]
 [ 5.33915677e-01  4.56359198e-03  1.00000000e+00]]",4,"[[ 1.88010654e-03  2.48902131e-03 -3.41688007e+00]
 [ 5.78339942e-04 -1.90081005e-03  7.97657613e-01]
 [-3.07429743e-03 -2.67730688e-03  5.62161151e+00]]","[[ 1.70549696e+03  9.66298839e+02  8.99511275e+02]
 [ 1.13767849e+03 -1.29104412e+01  6.93325939e+02]
 [ 1.47450946e+00  5.22292374e-01  1.00000000e+00]]",15
10,75622.84515499999,"[[ 8.92540661e-04  1.78795512e-03 -2.11534991e+00]
 [ 1.12479449e-03 -1.31685920e-03 -1.05918130e-01]
 [-2.08999820e-04 -4.84935815e-04  1.54284961e+00]]","[[ 6.53733989e+02  5.43785865e+02  9.33644410e+02]
 [ 5.37670860e+02 -2.93415372e+02  7.17039424e+02]
 [ 2.57553387e-01 -1.85607688e-02  1.00000000e+00]]",5,"[[ 2.04842671e-03  2.60072111e-03 -3.64067981e+00]
 [ 7.31138244e-04 -1.80047976e-03  5.80874016e-01]
 [-2.42091602e-03 -1.96091648e-03  4.53594903e+00]]","[[ 1.25729781e+03  8.33268595e+02  9.02434012e+02]
 [ 8.44894326e+02 -8.54758600e+01  6.89081910e+02]
 [ 1.03629463e+00  4.07778451e-01  1.00000000e+00]]",15
11,75622.900019,"[[ 9.12415128e-04  1.80972020e-03 -2.11146159e+00]
 [ 1.15155233e-03 -1.29441775e-03 -1.53321687e-01]
 [-1.37723626e-04 -3.67627444e-04  1.38501002e+00]]","[[ 5.66348433e+02  5.29933057e+02  9.22067841e+02]
 [ 4.82015062e+02 -2.97977290e+02  7.01850455e+02]
 [ 1.84259697e-01 -2.63971575e-02  1.00000000e+00]]",5,"[[ 2.00201404e-03  2.55941544e-03 -3.52680514e+00]
 [ 7.49868544e-04 -1.76358848e-03  5.25921324e-01]
 [-2.27697337e-03 -1.80094401e-03  4.25810778e+00]]","[[ 1.20411933e+03  8.34261753e+02  8.94279428e+02]
 [ 8.05608618e+02 -9.07072170e+01  6.78453817e+02]
 [ 9.84616612e-01  4.07747588e-01  1.00000000e+00]]",15
12,75622.95547799999,"[[ 9.94305630e-04  1.87588409e-03 -2.22332374e+00]
 [ 1.04807877e-03 -1.44229492e-03  5.06484498e-02]
 [-5.62488323e-04 -1.01942157e-03  2.22850105e+00]]","[[ 9.30111262e+02  5.62887507e+02  9.15157331e+02]
 [ 6.95301518e+02 -2.83874452e+02  7.00137958e+02]
 [ 5.52829934e-01  1.22189358e-02  1.00000000e+00]]",4,"[[ 1.84257357e-03  2.44978325e-03 -3.28764638e+00]
 [ 5.84844841e-04 -1.88732364e-03  7.57060719e-01]
 [-2.99644709e-03 -2.60011161e-03  5.41148271e+00]]","[[ 1.67908632e+03  9.58950666e+02  8.85941701e+02]
 [ 1.10653055e+03 -2.43971183e+01  6.75665333e+02]
 [ 1.46141024e+00  5.19267982e-01  1.00000000e+00]]",15
