world_index,world_timestamp,surface_name,event_type
0,429670.950764,Right,enter
0,429670.950764,Assembly,enter
0,429670.950764,Left,enter
0,429670.950764,Screen,enter
59,429674.802055,Right,exit
60,429674.871185,Assembly,exit
60,429674.871185,Screen,exit
61,429674.932876,Right,enter
62,429674.981698,Assembly,enter
64,429675.0779,Screen,enter
65,429675.133666,Screen,exit
75,429675.645497,Screen,enter
75,429675.645497,Screen,exit
76,429675.701819,Assembly,exit
76,429675.701819,Left,exit
78,429675.81046199996,Right,exit
80,429675.894589,Assembly,enter
80,429675.894589,Left,enter
80,429675.894589,Screen,enter
81,429675.94466599997,Right,enter
105,429677.318606,Screen,exit
107,429677.421514,Screen,enter
108,429677.473049,Screen,exit
110,429677.577159,Screen,enter
111,429677.63558,Screen,exit
141,429679.235782,Right,exit
141,429679.235782,Assembly,exit
145,429679.424527,Assembly,enter
146,429679.472738,Right,enter
146,429679.472738,Screen,enter
188,429681.841236,Screen,exit
204,429682.677149,Assembly,exit
205,429682.73997,Right,exit
205,429682.73997,Left,exit
210,429682.956213,Left,enter
211,429683.001455,Right,enter
211,429683.001455,Assembly,enter
211,429683.001455,Screen,enter
257,429685.610516,Screen,exit
258,429685.676729,Right,exit
260,429685.780054,Right,enter
286,429687.163634,Assembly,exit
286,429687.163634,Left,exit
287,429687.223404,Right,exit
293,429687.48018899997,Left,enter
294,429687.52886099997,Right,enter
294,429687.52886099997,Assembly,enter
294,429687.52886099997,Screen,enter
325,429689.313668,Screen,exit
366,429691.422876,Right,exit
366,429691.422876,Assembly,exit
366,429691.422876,Left,exit
370,429691.607372,Right,enter
370,429691.607372,Assembly,enter
370,429691.607372,Left,enter
370,429691.607372,Screen,enter
379,429692.129035,Screen,exit
380,429692.19049999997,Right,exit
380,429692.19049999997,Left,exit
381,429692.256865,Assembly,exit
383,429692.371721,Assembly,enter
383,429692.371721,Left,enter
384,429692.424702,Right,enter
411,429693.89983999997,Assembly,exit
413,429694.00861099997,Right,exit
418,429694.215949,Assembly,enter
418,429694.215949,Screen,enter
419,429694.25974,Right,enter
456,429696.351408,Screen,exit
458,429696.463378,Screen,enter
463,429696.742748,Screen,exit
507,429698.975437,Assembly,exit
507,429698.975437,Left,exit
508,429699.0292,Right,exit
512,429699.191576,Left,enter
514,429699.27710999997,Right,enter
514,429699.27710999997,Assembly,enter
514,429699.27710999997,Screen,enter
538,429700.590776,Screen,exit
539,429700.654857,Right,exit
543,429700.872797,Right,enter
563,429701.913562,Left,exit
564,429701.96534,Right,exit
564,429701.96534,Assembly,exit
569,429702.174292,Left,enter
571,429702.255585,Assembly,enter
572,429702.301407,Right,enter
572,429702.301407,Screen,enter
588,429703.177379,Screen,exit
592,429703.374142,Screen,enter
600,429703.822515,Right,exit
600,429703.822515,Screen,exit
603,429703.978055,Right,enter
604,429704.028874,Screen,enter
611,429704.408694,Right,exit
612,429704.467964,Assembly,exit
612,429704.467964,Left,exit
612,429704.467964,Screen,exit
617,429704.705686,Right,enter
617,429704.705686,Assembly,enter
617,429704.705686,Left,enter
648,429706.303635,Right,exit
648,429706.303635,Assembly,exit
648,429706.303635,Left,exit
653,429706.514584,Left,enter
656,429706.637192,Assembly,enter
656,429706.637192,Screen,enter
658,429706.729056,Right,enter
658,429706.729056,Right,exit
664,429707.046983,Right,enter
679,429707.87553099997,Right,exit
679,429707.87553099997,Assembly,exit
679,429707.87553099997,Screen,exit
680,429707.93574,Left,exit
685,429708.162434,Right,enter
685,429708.162434,Assembly,enter
685,429708.162434,Left,enter
707,429709.276471,Right,exit
707,429709.276471,Assembly,exit
707,429709.276471,Left,exit
714,429709.565828,Left,enter
715,429709.61047899997,Assembly,enter
715,429709.61047899997,Screen,enter
716,429709.662883,Right,enter
735,429710.761641,Screen,exit
737,429710.887996,Right,exit
737,429710.887996,Assembly,exit
737,429710.887996,Left,exit
737,429710.887996,Screen,enter
737,429710.887996,Screen,exit
744,429711.179932,Right,enter
745,429711.225535,Assembly,enter
745,429711.225535,Left,enter
751,429711.554011,Right,exit
751,429711.554011,Assembly,exit
751,429711.554011,Left,exit
