world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,429497.189772,"[[ 1.07623303e-03 -8.87529283e-04  4.54404663e-01]
 [-1.21892338e-03 -2.62053427e-03  7.19593160e-01]
 [-5.47274706e-04 -3.09075405e-04  1.02777775e+00]]","[[ 6.33222020e+02 -1.97773116e+02 -1.41492514e+02]
 [-2.20127450e+02 -3.47197697e+02  3.40412145e+02]
 [ 2.70983114e-01 -2.09720918e-01  1.00000000e+00]]",3,"[[ 2.38263664e-03 -8.04071333e-04  1.21331135e-01]
 [-2.95919392e-03 -4.25265985e-03  1.71959501e+00]
 [-8.60079622e-05 -1.36467702e-04  1.05456161e+00]]","[[ 3.39677183e+02 -6.64472948e+01  6.92695598e+01]
 [-2.37593209e+02 -2.01653087e+02  3.56156618e+02]
 [-3.04283483e-03 -3.15146403e-02  1.00000000e+00]]",8
1,429497.311848,"[[ 1.10966255e-03 -9.01671871e-04  4.30363439e-01]
 [-1.22326279e-03 -2.65991871e-03  7.63280807e-01]
 [-5.55223315e-04 -3.19292024e-04  1.04564322e+00]]","[[ 6.25862072e+02 -1.98642701e+02 -1.12589066e+02]
 [-2.10947183e+02 -3.45104590e+02  3.38734721e+02]
 [ 2.67911134e-01 -2.10856052e-01  1.00000000e+00]]",3,"[[ 2.34931051e-03 -8.13131823e-04  9.75134530e-02]
 [-2.84123972e-03 -4.21983974e-03  1.72515671e+00]
 [-9.72935560e-05 -1.27887510e-04  1.05319016e+00]]","[[ 3.45522093e+02 -6.90371856e+01  8.10935339e+01]
 [-2.31063099e+02 -2.03186750e+02  3.54219742e+02]
 [ 3.86159010e-03 -3.10503479e-02  1.00000000e+00]]",8
2,429497.384338,"[[ 1.16786930e-03 -8.86104022e-04  3.96730987e-01]
 [-1.20364725e-03 -2.62782653e-03  7.91660063e-01]
 [-4.99771246e-04 -2.11965004e-04  1.03064826e+00]]","[[ 6.14327561e+02 -2.00499468e+02 -8.24678618e+01]
 [-2.04300571e+02 -3.38999456e+02  3.39033900e+02]
 [ 2.55876510e-01 -1.66943367e-01  1.00000000e+00]]",4,"[[ 2.34235557e-03 -7.63001785e-04  4.90197794e-02]
 [-2.65980836e-03 -4.07474992e-03  1.69207960e+00]
 [-1.05096425e-04 -1.16553495e-04  1.05113589e+00]]","[[ 3.53025326e+02 -6.88014906e+01  9.42907350e+01]
 [-2.26196598e+02 -2.13175747e+02  3.53711109e+02]
 [ 1.02153260e-02 -3.05166719e-02  1.00000000e+00]]",8
3,429497.452491,"[[ 1.20509006e-03 -8.95857131e-04  3.60831322e-01]
 [-1.22224468e-03 -2.69031477e-03  8.47251023e-01]
 [-5.07020798e-04 -2.24930709e-04  1.05107269e+00]]","[[ 6.08053139e+02 -1.98395971e+02 -4.88200570e+01]
 [-1.97161299e+02 -3.34234912e+02  3.37105936e+02]
 [ 2.51122457e-01 -1.67229707e-01  1.00000000e+00]]",4,"[[ 2.29536222e-03 -7.64143775e-04  1.72439161e-02]
 [-2.56154008e-03 -4.06644157e-03  1.70920272e+00]
 [-1.15953963e-04 -1.03349748e-04  1.04900612e+00]]","[[ 3.62142664e+02 -7.08338647e+01  1.09460446e+02]
 [-2.20423980e+02 -2.13424468e+02  3.51367499e+02]
 [ 1.83136344e-02 -2.88566787e-02  1.00000000e+00]]",8
4,429497.508974,"[[ 1.23002019e-03 -9.02982421e-04  3.25367926e-01]
 [-1.25027189e-03 -2.73804968e-03  8.79023162e-01]
 [-5.19890258e-04 -2.54027181e-04  1.07282878e+00]]","[[ 6.03572468e+02 -1.97048421e+02 -2.15999012e+01]
 [-1.96656780e+02 -3.31068042e+02  3.30903021e+02]
 [ 2.45924870e-01 -1.73880342e-01  1.00000000e+00]]",4,"[[ 2.24285090e-03 -7.60042519e-04 -1.18640027e-02]
 [-2.52100012e-03 -4.07702008e-03  1.71860908e+00]
 [-1.43715552e-04 -1.11538613e-04  1.05617196e+00]]","[[ 3.71994835e+02 -7.26983028e+01  1.22473722e+02]
 [-2.18406124e+02 -2.14022159e+02  3.45804725e+02]
 [ 2.75530198e-02 -3.24943408e-02  1.00000000e+00]]",8
5,429497.561928,"[[ 1.23784040e-03 -9.04827955e-04  3.11273052e-01]
 [-1.25759154e-03 -2.74941583e-03  8.81763567e-01]
 [-5.19463414e-04 -2.56200111e-04  1.07703022e+00]]","[[ 6.02323334e+02 -1.97033954e+02 -1.27662723e+01]
 [-1.97395379e+02 -3.29180098e+02  3.26548758e+02]
 [ 2.43551401e-01 -1.73335813e-01  1.00000000e+00]]",4,"[[ 2.22329307e-03 -7.56620293e-04 -2.32977251e-02]
 [-2.51095416e-03 -4.08511953e-03  1.71634148e+00]
 [-1.47617529e-04 -1.05154405e-04  1.05471176e+00]]","[[ 3.75892024e+02 -7.28872210e+01  1.26913148e+02]
 [-2.18076379e+02 -2.13207016e+02  3.42136471e+02]
 [ 3.08677320e-02 -3.14579674e-02  1.00000000e+00]]",8
6,429497.614805,"[[ 1.24453032e-03 -8.98330813e-04  2.89201213e-01]
 [-1.25243378e-03 -2.76133788e-03  8.59684967e-01]
 [-5.20982448e-04 -2.71896601e-04  1.08235658e+00]]","[[ 6.03947168e+02 -1.95911086e+02 -5.76560272e+00]
 [-1.98984024e+02 -3.28321603e+02  3.13944196e+02]
 [ 2.40718077e-01 -1.76777014e-01  1.00000000e+00]]",4,"[[ 2.20249405e-03 -7.36505420e-04 -4.35656273e-02]
 [-2.50576932e-03 -4.12741428e-03  1.69827821e+00]
 [-1.60904022e-04 -1.14944181e-04  1.05921523e+00]]","[[ 3.81910002e+02 -7.17919623e+01  1.30814654e+02]
 [-2.17708809e+02 -2.12681076e+02  3.32044901e+02]
 [ 3.43900782e-02 -3.39856023e-02  1.00000000e+00]]",8
7,429497.666694,"[[ 1.24415620e-03 -8.98599207e-04  2.84692690e-01]
 [-1.24515743e-03 -2.75233763e-03  8.37852640e-01]
 [-5.18292185e-04 -2.75843399e-04  1.08131386e+00]]","[[ 6.04200416e+02 -1.96586156e+02 -6.75216755e+00]
 [-2.00771792e+02 -3.28593439e+02  3.07469601e+02]
 [ 2.38386641e-01 -1.78051355e-01  1.00000000e+00]]",4,"[[ 2.19847768e-03 -7.29687595e-04 -4.84711953e-02]
 [-2.51353944e-03 -4.14507128e-03  1.68378946e+00]
 [-1.64856572e-04 -1.18575148e-04  1.06030574e+00]]","[[ 3.83247308e+02 -7.12015461e+01  1.30589567e+02]
 [-2.18100711e+02 -2.12211504e+02  3.27026327e+02]
 [ 3.51969360e-02 -3.48022762e-02  1.00000000e+00]]",8
8,429497.728433,"[[ 1.24447618e-03 -9.10339132e-04  2.75141210e-01]
 [-1.23462525e-03 -2.73184058e-03  7.92185026e-01]
 [-5.15225477e-04 -2.88302591e-04  1.08100855e+00]]","[[ 6.02336862e+02 -2.00007256e+02 -6.73902090e+00]
 [-2.04810046e+02 -3.28728578e+02  2.93027784e+02]
 [ 2.32460723e-01 -1.82997751e-01  1.00000000e+00]]",4,"[[ 2.18697078e-03 -7.30779223e-04 -5.62432677e-02]
 [-2.53215657e-03 -4.17520837e-03  1.65077925e+00]
 [-1.69167937e-04 -1.18572054e-04  1.05964435e+00]]","[[ 3.85056441e+02 -7.11227536e+01  1.31237239e+02]
 [-2.18906811e+02 -2.10162125e+02  3.15784482e+02]
 [ 3.69774763e-02 -3.48711759e-02  1.00000000e+00]]",8
9,429497.783586,"[[ 1.25342891e-03 -9.16743073e-04  2.51713786e-01]
 [-1.23516936e-03 -2.71696075e-03  7.59894449e-01]
 [-5.12274411e-04 -3.00202864e-04  1.08501673e+00]]","[[ 5.99364302e+02 -2.02544452e+02  2.80562245e+00]
 [-2.09549657e+02 -3.28115259e+02  2.78409995e+02]
 [ 2.25002603e-01 -1.86411394e-01  1.00000000e+00]]",4,"[[ 2.15839438e-03 -7.24109019e-04 -7.50880355e-02]
 [-2.53179891e-03 -4.19181481e-03  1.62031649e+00]
 [-1.80485895e-04 -1.14642295e-04  1.05952754e+00]]","[[ 3.91106538e+02 -7.13013233e+01  1.36757306e+02]
 [-2.19657293e+02 -2.08928348e+02  3.03943412e+02]
 [ 4.28560806e-02 -3.47521958e-02  1.00000000e+00]]",8
10,429497.835021,"[[ 1.25214379e-03 -9.09825836e-04  2.43349996e-01]
 [-1.23276772e-03 -2.70596896e-03  7.43578503e-01]
 [-5.11422485e-04 -2.99817558e-04  1.08388595e+00]]","[[ 6.00910040e+02 -2.02486462e+02  3.99776777e+00]
 [-2.11956810e+02 -3.28532084e+02  2.72970679e+02]
 [ 2.24904228e-01 -1.86417968e-01  1.00000000e+00]]",4,"[[ 2.14904763e-03 -7.12471706e-04 -8.23434490e-02]
 [-2.53494833e-03 -4.19656879e-03  1.60645257e+00]
 [-1.82822597e-04 -1.09510165e-04  1.05798163e+00]]","[[ 3.93910942e+02 -7.04683786e+01  1.37658433e+02]
 [-2.20627989e+02 -2.08652211e+02  2.99648503e+02]
 [ 4.52321785e-02 -3.37744523e-02  1.00000000e+00]]",8
11,429497.88865,"[[ 1.24450453e-03 -9.06652628e-04  2.46325320e-01]
 [-1.22829161e-03 -2.68227749e-03  7.15998584e-01]
 [-5.08752155e-04 -3.02063928e-04  1.07967084e+00]]","[[ 6.01944242e+02 -2.03174567e+02 -2.59468470e+00]
 [-2.16069389e+02 -3.29977421e+02  2.68124986e+02]
 [ 2.23191786e-01 -1.88057108e-01  1.00000000e+00]]",4,"[[ 2.15312368e-03 -7.05630562e-04 -8.08417251e-02]
 [-2.56604784e-03 -4.20863328e-03  1.59234911e+00]
 [-1.84748537e-04 -1.18674265e-04  1.06003301e+00]]","[[ 3.92951269e+02 -6.96797613e+01  1.34638603e+02]
 [-2.23125854e+02 -2.08550911e+02  2.96262451e+02]
 [ 4.35060745e-02 -3.54921589e-02  1.00000000e+00]]",8
12,429497.957872,"[[ 1.24022670e-03 -9.12625147e-04  2.46870249e-01]
 [-1.22639662e-03 -2.66528738e-03  6.96444713e-01]
 [-5.05693746e-04 -2.96351845e-04  1.07556868e+00]]","[[ 6.01226354e+02 -2.05304279e+02 -5.05948150e+00]
 [-2.18515152e+02 -3.29684826e+02  2.63629975e+02]
 [ 2.22467465e-01 -1.87364880e-01  1.00000000e+00]]",4,"[[ 2.15083189e-03 -7.11059135e-04 -7.92409483e-02]
 [-2.58597722e-03 -4.21583537e-03  1.58071028e+00]
 [-1.81920577e-04 -1.10701870e-04  1.05674984e+00]]","[[ 3.92441220e+02 -6.97011126e+01  1.33687912e+02]
 [-2.24196954e+02 -2.07079235e+02  2.92942270e+02]
 [ 4.40729768e-02 -3.36921037e-02  1.00000000e+00]]",8
13,429498.020647,"[[ 1.23920631e-03 -9.18484082e-04  2.45098910e-01]
 [-1.22978195e-03 -2.65610637e-03  6.83094148e-01]
 [-5.04424503e-04 -3.00827727e-04  1.07541751e+00]]","[[ 5.99622325e+02 -2.06745430e+02 -5.33763401e+00]
 [-2.21207842e+02 -3.29404755e+02  2.59650096e+02]
 [ 2.19374092e-01 -1.89118683e-01  1.00000000e+00]]",4,"[[ 2.14589660e-03 -7.14852165e-04 -7.98718590e-02]
 [-2.60410963e-03 -4.22534848e-03  1.57330170e+00]
 [-1.83725365e-04 -1.11031159e-04  1.05676787e+00]]","[[ 3.92592108e+02 -6.99351307e+01  1.33791087e+02]
 [-2.25358984e+02 -2.06157835e+02  2.89892076e+02]
 [ 4.45767330e-02 -3.38189699e-02  1.00000000e+00]]",8
14,429498.087802,"[[ 1.24186960e-03 -9.18808381e-04  2.38798322e-01]
 [-1.22336983e-03 -2.64815287e-03  6.69415839e-01]
 [-5.03325857e-04 -3.04387639e-04  1.07552214e+00]]","[[ 5.99266509e+02 -2.07471814e+02 -3.92267046e+00]
 [-2.21820284e+02 -3.29922865e+02  2.54598110e+02]
 [ 2.17668209e-01 -1.90465973e-01  1.00000000e+00]]",4,"[[ 2.14294955e-03 -7.11749022e-04 -8.54234705e-02]
 [-2.59998266e-03 -4.23283426e-03  1.56083870e+00]
 [-1.88129248e-04 -1.16512809e-04  1.05867958e+00]]","[[ 3.93667717e+02 -6.99063395e+01  1.34829259e+02]
 [-2.25148328e+02 -2.06260178e+02  2.85927795e+02]
 [ 4.51767924e-02 -3.51224116e-02  1.00000000e+00]]",8
15,429498.149047,"[[ 1.24509965e-03 -9.11306834e-04  2.32903348e-01]
 [-1.21848642e-03 -2.64750835e-03  6.66208456e-01]
 [-5.01807568e-04 -3.05647689e-04  1.07613400e+00]]","[[ 6.00306944e+02 -2.06384766e+02 -2.15421258e+00]
 [-2.21689276e+02 -3.30570459e+02  2.52627469e+02]
 [ 2.16961598e-01 -1.90128305e-01  1.00000000e+00]]",4,"[[ 2.14108903e-03 -7.00231380e-04 -9.17527942e-02]
 [-2.58519019e-03 -4.23039331e-03  1.55383779e+00]
 [-1.86536612e-04 -1.11995327e-04  1.05717742e+00]]","[[ 3.95500661e+02 -6.90608186e+01  1.35831127e+02]
 [-2.24805304e+02 -2.06700454e+02  2.84297087e+02]
 [ 4.59697764e-02 -3.40830737e-02  1.00000000e+00]]",8
