world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,411447.461351,"[[ 2.66016161e-03 -1.32623757e-05 -2.27092215e+00]
 [ 1.63499113e-04 -1.44581084e-03  9.75121431e-01]
 [ 7.11446666e-05  5.58532385e-04  5.08129259e-01]]","[[ 3.32809994e+02  3.28218037e+02  8.57524219e+02]
 [ 3.56510706e+00 -3.93678620e+02  7.71418951e+02]
 [-5.05164451e-02  3.86774216e-01  1.00000000e+00]]",12,"[[ 3.49101495e-03  5.66614596e-05 -2.96728442e+00]
 [-1.63433811e-04 -1.83501639e-03  1.47154978e+00]
 [-4.12174747e-04  3.90741730e-04  1.06129672e+00]]","[[ 3.94336093e+02  1.90653874e+02  8.38173402e+02]
 [ 6.77031118e+01 -3.88000158e+02  7.27276288e+02]
 [ 1.28221398e-01  2.16895579e-01  1.00000000e+00]]",14
1,411447.595568,"[[ 2.64789703e-03  1.54803459e-05 -2.29495154e+00]
 [ 1.83853398e-04 -1.44010657e-03  9.56142705e-01]
 [ 7.82672199e-05  5.58060664e-04  5.00574501e-01]]","[[ 3.28729921e+02  3.37640847e+02  8.62182162e+02]
 [ 4.50661444e+00 -3.94405073e+02  7.74010652e+02]
 [-5.64226528e-02  3.86906937e-01  1.00000000e+00]]",11,"[[ 3.49733570e-03  7.51238977e-05 -3.00823502e+00]
 [-1.53054135e-04 -1.83516690e-03  1.46685763e+00]
 [-4.26845858e-04  3.87697338e-04  1.07788651e+00]]","[[ 3.97521308e+02  1.94680630e+02  8.44494055e+02]
 [ 7.19789210e+01 -3.87981273e+02  7.28873393e+02]
 [ 1.31529884e-01  2.16644261e-01  1.00000000e+00]]",14
2,411447.66243799997,"[[ 2.63697674e-03  3.21738427e-05 -2.31029548e+00]
 [ 2.00466542e-04 -1.43333718e-03  9.41388708e-01]
 [ 7.96005193e-05  5.56846973e-04  4.97796683e-01]]","[[ 3.26909288e+02  3.44018365e+02  8.66622985e+02]
 [ 6.56516603e+00 -3.95279703e+02  7.77986949e+02]
 [-5.96186012e-02  3.87158598e-01  1.00000000e+00]]",11,"[[ 3.51635483e-03  9.99581665e-05 -3.05564631e+00]
 [-1.37969164e-04 -1.83851437e-03  1.46156712e+00]
 [-4.32199178e-04  3.81369030e-04  1.08768510e+00]]","[[ 3.96386655e+02  1.97494423e+02  8.48192240e+02]
 [ 7.46574638e+01 -3.88158234e+02  7.31320227e+02]
 [ 1.31330236e-01  2.14573552e-01  1.00000000e+00]]",14
3,411447.72449,"[[ 2.62677499e-03  5.51766886e-05 -2.33031208e+00]
 [ 2.16530538e-04 -1.43351838e-03  9.32053164e-01]
 [ 7.89688306e-05  5.55811360e-04  4.96759241e-01]]","[[ 3.25656257e+02  3.50134025e+02  8.70717946e+02]
 [ 8.99023113e+00 -3.94151046e+02  7.81706191e+02]
 [-6.18278713e-02  3.85345533e-01  1.00000000e+00]]",11,"[[ 3.53441115e-03  1.34406725e-04 -3.10827190e+00]
 [-1.26700633e-04 -1.84935606e-03  1.46502853e+00]
 [-4.42538425e-04  3.73715964e-04  1.10258297e+00]]","[[ 3.96752891e+02  2.00910265e+02  8.51524664e+02]
 [ 7.80189817e+01 -3.86763979e+02  7.33844523e+02]
 [ 1.32798587e-01  2.11730448e-01  1.00000000e+00]]",14
4,411447.783328,"[[ 2.67531763e-03  6.96198090e-05 -2.38868270e+00]
 [ 2.27838377e-04 -1.49930078e-03  9.63808772e-01]
 [ 8.12948950e-05  5.24854894e-04  5.22054777e-01]]","[[ 3.19986880e+02  3.20354470e+02  8.72679831e+02]
 [ 1.00798868e+01 -3.95049107e+02  7.75453963e+02]
 [-5.99626306e-02  3.47282090e-01  1.00000000e+00]]",10,"[[ 3.46240064e-03  1.32906212e-04 -3.05714540e+00]
 [-1.53364743e-04 -1.84391879e-03  1.48671739e+00]
 [-4.91502420e-04  3.79928109e-04  1.14078472e+00]]","[[ 4.19289609e+02  2.06334433e+02  8.54734720e+02]
 [ 8.73301101e+01 -3.84547208e+02  7.35190303e+02]
 [ 1.51564700e-01  2.16968340e-01  1.00000000e+00]]",14
5,411447.839199,"[[ 2.67219350e-03  7.65063508e-05 -2.39243528e+00]
 [ 2.32557565e-04 -1.49635692e-03  9.59545495e-01]
 [ 8.08379279e-05  5.25555440e-04  5.21097114e-01]]","[[ 3.19703828e+02  3.22986160e+02  8.73063369e+02]
 [ 1.08599687e+01 -3.94854251e+02  7.76942299e+02]
 [-6.05486189e-02  3.48127562e-01  1.00000000e+00]]",10,"[[ 3.46404522e-03  1.42675928e-04 -3.06673614e+00]
 [-1.49156900e-04 -1.84289953e-03  1.48454457e+00]
 [-4.93392687e-04  3.79210770e-04  1.14260725e+00]]","[[ 4.19429644e+02  2.08399181e+02  8.54976347e+02]
 [ 8.83341922e+01 -3.84266749e+02  7.36349935e+02]
 [ 1.51798654e-01  2.17520694e-01  1.00000000e+00]]",14
6,411447.897793,"[[ 2.66842457e-03  8.87983738e-05 -2.40214724e+00]
 [ 2.41802286e-04 -1.49425953e-03  9.53379273e-01]
 [ 7.94012242e-05  5.26317002e-04  5.20315908e-01]]","[[ 3.19115386e+02  3.26905120e+02  8.74271898e+02]
 [ 1.25010510e+01 -3.93923600e+02  7.79503287e+02]
 [-6.13428641e-02  3.48580581e-01  1.00000000e+00]]",10,"[[ 3.47325977e-03  1.60739262e-04 -3.09122118e+00]
 [-1.41498065e-04 -1.84702140e-03  1.48450435e+00]
 [-4.98144528e-04  3.75938667e-04  1.14882986e+00]]","[[ 4.19244540e+02  2.10681908e+02  8.55844220e+02]
 [ 9.02535554e+01 -3.83313617e+02  7.38163642e+02]
 [ 1.52254549e-01  2.16787933e-01  1.00000000e+00]]",14
7,411447.953555,"[[ 2.66800827e-03  1.02208642e-04 -2.41042235e+00]
 [ 2.48974052e-04 -1.49565706e-03  9.50086815e-01]
 [ 7.72940767e-05  5.27086463e-04  5.21012340e-01]]","[[ 3.18743590e+02  3.29630208e+02  8.73548138e+02]
 [ 1.40150035e+01 -3.92536497e+02  7.80645287e+02]
 [-6.14651664e-02  3.48210968e-01  1.00000000e+00]]",10,"[[ 3.47663893e-03  1.78977605e-04 -3.10526677e+00]
 [-1.34536192e-04 -1.85153867e-03  1.48357954e+00]
 [-5.01591794e-04  3.73535504e-04  1.15283375e+00]]","[[ 4.19252131e+02  2.13043449e+02  8.55130070e+02]
 [ 9.18522756e+01 -3.82097355e+02  7.39133145e+02]
 [ 1.52652837e-01  2.16499364e-01  1.00000000e+00]]",14
8,411448.01073599997,"[[ 2.66948054e-03  1.04532356e-04 -2.41421649e+00]
 [ 2.51670465e-04 -1.49938382e-03  9.49328737e-01]
 [ 7.73319319e-05  5.26306764e-04  5.22000008e-01]]","[[ 3.18280848e+02  3.28920982e+02  8.73840471e+02]
 [ 1.43857616e+01 -3.92209117e+02  7.79819391e+02]
 [-6.16563142e-02  3.46716884e-01  1.00000000e+00]]",10,"[[ 3.47904309e-03  1.81643443e-04 -3.11019956e+00]
 [-1.31844182e-04 -1.85525631e-03  1.48283828e+00]
 [-5.03048179e-04  3.72480404e-04  1.15525359e+00]]","[[ 4.19188430e+02  2.12785655e+02  8.55425137e+02]
 [ 9.23130943e+01 -3.81707615e+02  7.38472329e+02]
 [ 1.52769193e-01  2.15727565e-01  1.00000000e+00]]",14
9,411448.06438399997,"[[ 2.66665327e-03  1.12168967e-04 -2.41804661e+00]
 [ 2.54092620e-04 -1.49884228e-03  9.44819108e-01]
 [ 7.62946677e-05  5.25711521e-04  5.24031459e-01]]","[[ 3.18513618e+02  3.30396239e+02  8.74024042e+02]
 [ 1.51706559e+01 -3.92978744e+02  7.78535663e+02]
 [-6.15922550e-02  3.46135673e-01  1.00000000e+00]]",10,"[[ 3.47605829e-03  1.89438989e-04 -3.11432985e+00]
 [-1.27557000e-04 -1.85149991e-03  1.47469574e+00]
 [-5.05604052e-04  3.73432515e-04  1.15724885e+00]]","[[ 4.20063539e+02  2.15575857e+02  8.55743016e+02]
 [ 9.32656861e+01 -3.81805882e+02  7.37531618e+02]
 [ 1.53430602e-01  2.17390372e-01  1.00000000e+00]]",14
