world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,411361.565403,"[[ 3.12648605e-03  9.87071182e-04 -8.58915820e-01]
 [ 1.50994504e-04 -1.68250396e-03  1.15385306e+00]
 [ 2.89118037e-07  4.54386272e-04  6.86059493e-01]]","[[ 3.10312215e+02  1.97337141e+02  5.66044304e+01]
 [ 1.90886667e+01 -3.96572015e+02  6.90875056e+02]
 [-1.27734476e-02  2.62571727e-01  1.00000000e+00]]",14,"[[ 4.90169999e-03  1.09867262e-03 -1.53352125e+00]
 [ 5.75635175e-04 -2.23934909e-03  1.30485356e+00]
 [ 5.24600857e-04  4.15631504e-04  6.49003861e-01]]","[[ 1.71907616e+02  1.16324960e+02  1.72320921e+02]
 [-2.67840858e+01 -3.43327670e+02  6.26989133e+02]
 [-1.21802931e-01  1.25844585e-01  1.00000000e+00]]",14
1,411361.690911,"[[ 3.12785754e-03  9.84242162e-04 -8.54728175e-01]
 [ 1.46522809e-04 -1.68262121e-03  1.15783937e+00]
 [ 1.09070481e-06  4.54820123e-04  6.84783500e-01]]","[[ 3.10481530e+02  1.96541229e+02  5.52205757e+01]
 [ 1.83224767e+01 -3.96292386e+02  6.92925082e+02]
 [-1.26639658e-02  2.62896789e-01  1.00000000e+00]]",14,"[[ 4.91715734e-03  1.09202498e-03 -1.53095803e+00]
 [ 5.73348443e-04 -2.24466190e-03  1.31183829e+00]
 [ 5.28453432e-04  4.13948441e-04  6.49116906e-01]]","[[ 1.71482586e+02  1.15110680e+02  1.71811954e+02]
 [-2.75282890e+01 -3.43024089e+02  6.28311286e+02]
 [-1.22050848e-01  1.25037035e-01  1.00000000e+00]]",14
2,411361.764373,"[[ 3.13376624e-03  9.72113556e-04 -8.47657628e-01]
 [ 1.39347103e-04 -1.68186355e-03  1.16076345e+00]
 [ 3.00418760e-06  4.53832085e-04  6.84548262e-01]]","[[ 3.10414289e+02  1.94255892e+02  5.49850198e+01]
 [ 1.70000339e+01 -3.97289949e+02  6.94720719e+02]
 [-1.26327157e-02  2.62537143e-01  1.00000000e+00]]",14,"[[ 4.93314873e-03  1.07537748e-03 -1.52481717e+00]
 [ 5.64141118e-04 -2.24520411e-03  1.31668480e+00]
 [ 5.32140763e-04  4.12247545e-04  6.48994314e-01]]","[[ 1.71188469e+02  1.13546393e+02  1.71844816e+02]
 [-2.86355390e+01 -3.43502827e+02  6.29621832e+02]
 [-1.22175850e-01  1.25094368e-01  1.00000000e+00]]",14
3,411361.83397599997,"[[ 3.13771436e-03  9.63542848e-04 -8.44080625e-01]
 [ 1.35717380e-04 -1.68004869e-03  1.16495471e+00]
 [ 6.22301974e-06  4.54583442e-04  6.82439466e-01]]","[[ 3.10257873e+02  1.92745337e+02  5.47199773e+01]
 [ 1.58024615e+01 -3.97341842e+02  6.97825704e+02]
 [-1.33554384e-02  2.62917919e-01  1.00000000e+00]]",14,"[[ 4.94738406e-03  1.05908509e-03 -1.52063081e+00]
 [ 5.62600812e-04 -2.24822003e-03  1.32370280e+00]
 [ 5.38062907e-04  4.09907755e-04  6.48400200e-01]]","[[ 1.70697337e+02  1.11790124e+02  1.72101626e+02]
 [-2.96488843e+01 -3.43561743e+02  6.31845326e+02]
 [-1.22906498e-01  1.24427019e-01  1.00000000e+00]]",14
4,411361.895199,"[[ 3.14230711e-03  9.67976924e-04 -8.53698212e-01]
 [ 1.40217870e-04 -1.68070240e-03  1.16741902e+00]
 [ 8.36657593e-06  4.57271295e-04  6.79761378e-01]]","[[ 3.09451810e+02  1.93532016e+02  5.62631268e+01]
 [ 1.57923616e+01 -3.95635460e+02  6.99295791e+02]
 [-1.44321905e-02  2.63759526e-01  1.00000000e+00]]",14,"[[ 4.94559993e-03  1.05860364e-03 -1.52690514e+00]
 [ 5.70281715e-04 -2.25161726e-03  1.32669321e+00]
 [ 5.38851137e-04  4.09366314e-04  6.47489805e-01]]","[[ 1.70453319e+02  1.11633448e+02  1.73226991e+02]
 [-2.94428574e+01 -3.42865413e+02  6.33092232e+02]
 [-1.23239085e-01  1.23868730e-01  1.00000000e+00]]",14
5,411361.95987,"[[ 3.14608626e-03  9.72070326e-04 -8.61771925e-01]
 [ 1.42554329e-04 -1.68007481e-03  1.16759986e+00]
 [ 9.63091291e-06  4.58814731e-04  6.78337140e-01]]","[[ 3.08867470e+02  1.94457915e+02  5.76767491e+01]
 [ 1.57542719e+01 -3.94969531e+02  6.99862838e+02]
 [-1.50411457e-02  2.64389226e-01  1.00000000e+00]]",14,"[[ 4.94116513e-03  1.06099775e-03 -1.53260713e+00]
 [ 5.72735906e-04 -2.25089082e-03  1.32663150e+00]
 [ 5.37952754e-04  4.09404141e-04  6.46909047e-01]]","[[ 1.70443486e+02  1.12008435e+02  1.74103276e+02]
 [-2.92554099e+01 -3.42801304e+02  6.33680977e+02]
 [-1.23221738e-01  1.23802608e-01  1.00000000e+00]]",14
6,411362.022919,"[[ 3.14827077e-03  9.80810106e-04 -8.73490775e-01]
 [ 1.43005729e-04 -1.67669405e-03  1.17005394e+00]
 [ 1.02913120e-05  4.61362003e-04  6.75142254e-01]]","[[ 3.08514739e+02  1.96566148e+02  5.84940167e+01]
 [ 1.55948747e+01 -3.93899307e+02  7.02822868e+02]
 [-1.53595838e-02  2.66176866e-01  1.00000000e+00]]",14,"[[ 4.93933275e-03  1.06463814e-03 -1.54130255e+00]
 [ 5.75499568e-04 -2.25211757e-03  1.33148967e+00]
 [ 5.36299698e-04  4.07187084e-04  6.47217735e-01]]","[[ 1.70387177e+02  1.12182813e+02  1.74976563e+02]
 [-2.91057311e+01 -3.42808339e+02  6.35929767e+02]
 [-1.22875362e-01  1.22715301e-01  1.00000000e+00]]",14
7,411362.08199599996,"[[ 3.14763586e-03  9.82194644e-04 -8.75073539e-01]
 [ 1.41787430e-04 -1.67513997e-03  1.17271031e+00]
 [ 1.04008241e-05  4.62914169e-04  6.73051903e-01]]","[[ 3.08633106e+02  1.96998003e+02  5.80268397e+01]
 [ 1.53793877e+01 -3.93131254e+02  7.04978572e+02]
 [-1.53470707e-02  2.67345037e-01  1.00000000e+00]]",14,"[[ 4.94353171e-03  1.06194375e-03 -1.54211333e+00]
 [ 5.76655610e-04 -2.25491538e-03  1.33644031e+00]
 [ 5.36779900e-04  4.06149522e-04  6.47161211e-01]]","[[ 1.70251089e+02  1.11702353e+02  1.75015041e+02]
 [-2.92683871e+01 -3.42446175e+02  6.37435768e+02]
 [-1.22844230e-01  1.22264393e-01  1.00000000e+00]]",14
8,411362.144212,"[[ 3.15184198e-03  9.79473918e-04 -8.77823404e-01]
 [ 1.41333198e-04 -1.67659823e-03  1.17446712e+00]
 [ 1.21695999e-05  4.63820949e-04  6.72052071e-01]]","[[ 3.08236016e+02  1.96468504e+02  5.92677156e+01]
 [ 1.48798408e+01 -3.92579992e+02  7.05502124e+02]
 [-1.58509903e-02  2.67383866e-01  1.00000000e+00]]",14,"[[ 4.94390992e-03  1.05636528e-03 -1.54302888e+00]
 [ 5.75550495e-04 -2.25657210e-03  1.33845488e+00]
 [ 5.37953598e-04  4.06034162e-04  6.46393656e-01]]","[[ 1.70183995e+02  1.11298794e+02  1.75791338e+02]
 [-2.95805957e+01 -3.42204512e+02  6.37972825e+02]
 [-1.23052507e-01  1.22329690e-01  1.00000000e+00]]",14
9,411362.209121,"[[ 3.15547832e-03  9.77900089e-04 -8.78667220e-01]
 [ 1.37236704e-04 -1.67571251e-03  1.17706455e+00]
 [ 1.33230187e-05  4.64193572e-04  6.70895460e-01]]","[[ 3.08124533e+02  1.96230965e+02  5.92676753e+01]
 [ 1.40891080e+01 -3.92613495e+02  7.07280184e+02]
 [-1.58671848e-02  2.67753000e-01  1.00000000e+00]]",14,"[[ 4.95187911e-03  1.05158165e-03 -1.54372161e+00]
 [ 5.71167840e-04 -2.25809240e-03  1.34299705e+00]
 [ 5.39675098e-04  4.04673874e-04  6.46328916e-01]]","[[ 1.69994322e+02  1.10704787e+02  1.75990433e+02]
 [-3.01822092e+01 -3.42344550e+02  6.39263976e+02]
 [-1.23045324e-01  1.21908948e-01  1.00000000e+00]]",14
