world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,411786.523955,"[[ 2.08607746e-03  2.52256378e-03 -3.06035902e+00]
 [ 1.46357854e-03 -8.76033867e-04 -8.40162316e-02]
 [ 4.13124144e-05  9.88040713e-04  2.07917752e-01]]","[[ 1.79604182e+01  6.42862695e+02  5.24131430e+02]
 [ 5.57619270e+01 -1.01489078e+02  7.79754420e+02]
 [-2.68553511e-01  3.54549482e-01  1.00000000e+00]]",7,"[[ 2.47094799e-03  2.84414430e-03 -3.50010093e+00]
 [ 1.34226905e-03 -1.31497882e-03  2.70686092e-01]
 [-2.47773840e-04  5.75826411e-04  6.97067450e-01]]","[[ 1.51764500e+02  5.65741502e+02  5.42347391e+02]
 [ 1.41890777e+02 -1.21013440e+02  7.59451177e+02]
 [-6.32667380e-02  3.01059358e-01  1.00000000e+00]]",14
1,411786.623202,"[[ 2.19612020e-03  2.73506555e-03 -3.26643429e+00]
 [ 1.60354141e-03 -1.09084429e-03 -4.07076898e-02]
 [ 9.22714033e-05  9.07827601e-04  2.60778352e-01]]","[[ 3.64987209e+01  5.42453828e+02  5.41849868e+02]
 [ 6.22178374e+01 -1.28896248e+02  7.59201857e+02]
 [-2.29508538e-01  2.56779732e-01  1.00000000e+00]]",8,"[[ 2.56016415e-03  3.01462591e-03 -3.66315684e+00]
 [ 1.43086904e-03 -1.43652302e-03  2.89857201e-01]
 [-2.10855852e-04  5.07536713e-04  7.35765772e-01]]","[[ 1.50671633e+02  5.10212435e+02  5.49149047e+02]
 [ 1.39389935e+02 -1.39062145e+02  7.48764589e+02]
 [-5.29727194e-02  2.42142851e-01  1.00000000e+00]]",14
2,411786.676349,"[[ 2.08060338e-03  2.52089022e-03 -3.06301994e+00]
 [ 1.46732766e-03 -8.77935149e-04 -8.89715022e-02]
 [ 4.37824382e-05  9.86345642e-04  2.07678899e-01]]","[[ 1.71152156e+01  6.41510014e+02  5.27257979e+02]
 [ 5.58542063e+01 -1.02469090e+02  7.79885294e+02]
 [-2.68880947e-01  3.51422646e-01  1.00000000e+00]]",7,"[[ 2.46874023e-03  2.84170795e-03 -3.50536848e+00]
 [ 1.34186283e-03 -1.31645505e-03  2.68607613e-01]
 [-2.50812476e-04  5.71410278e-04  7.02583455e-01]]","[[ 1.52680032e+02  5.66253086e+02  5.45273135e+02]
 [ 1.43015258e+02 -1.21093808e+02  7.59835563e+02]
 [-6.18094987e-02  3.00629888e-01  1.00000000e+00]]",14
3,411786.725449,"[[ 2.08010783e-03  2.52198165e-03 -3.06382297e+00]
 [ 1.46703710e-03 -8.78053557e-04 -8.95702625e-02]
 [ 4.39009071e-05  9.86328032e-04  2.07869419e-01]]","[[ 1.70412479e+01  6.41692609e+02  5.27677149e+02]
 [ 5.58936551e+01 -1.02581614e+02  7.79624071e+02]
 [-2.68811090e-01  3.51221621e-01  1.00000000e+00]]",7,"[[ 2.46825870e-03  2.84188651e-03 -3.50570705e+00]
 [ 1.34090473e-03 -1.31505854e-03  2.67465997e-01]
 [-2.51250086e-04  5.71744571e-04  7.02720873e-01]]","[[ 1.52628851e+02  5.67046427e+02  5.45602692e+02]
 [ 1.43055021e+02 -1.20977136e+02  7.59713117e+02]
 [-6.18210176e-02  3.01170055e-01  1.00000000e+00]]",14
4,411786.778079,"[[ 2.08174282e-03  2.52283364e-03 -3.06565387e+00]
 [ 1.46780607e-03 -8.78681816e-04 -8.97795443e-02]
 [ 4.46366553e-05  9.86143197e-04  2.07646481e-01]]","[[ 1.69768554e+01  6.41158736e+02  5.27859182e+02]
 [ 5.58170534e+01 -1.02871378e+02  7.79594336e+02]
 [-2.68732691e-01  3.50724597e-01  1.00000000e+00]]",7,"[[ 2.47020398e-03  2.84248731e-03 -3.50768177e+00]
 [ 1.34133225e-03 -1.31666087e-03  2.68099378e-01]
 [-2.51093590e-04  5.70726476e-04  7.03486220e-01]]","[[ 1.52759049e+02  5.66383261e+02  5.45828929e+02]
 [ 1.43086573e+02 -1.21299501e+02  7.59677260e+02]
 [-6.15598094e-02  3.00566005e-01  1.00000000e+00]]",14
5,411786.837322,"[[ 2.08115239e-03  2.52142817e-03 -3.06487783e+00]
 [ 1.46798665e-03 -8.77698534e-04 -9.06161780e-02]
 [ 4.47749967e-05  9.86513060e-04  2.07106379e-01]]","[[ 1.67116736e+01  6.41410189e+02  5.27947899e+02]
 [ 5.57315670e+01 -1.02793952e+02  7.79771487e+02]
 [-2.69079998e-01  3.50971505e-01  1.00000000e+00]]",7,"[[ 2.47032603e-03  2.84215988e-03 -3.50805055e+00]
 [ 1.34215337e-03 -1.31573823e-03  2.66954760e-01]
 [-2.50591717e-04  5.71306885e-04  7.02735930e-01]]","[[ 1.52461754e+02  5.66384768e+02  5.45929721e+02]
 [ 1.42970692e+02 -1.21289248e+02  7.59783486e+02]
 [-6.18646147e-02  3.00574803e-01  1.00000000e+00]]",14
6,411786.888876,"[[ 2.07656846e-03  2.51606850e-03 -3.06098842e+00]
 [ 1.46614491e-03 -8.75730444e-04 -9.14592448e-02]
 [ 4.30898638e-05  9.86589818e-04  2.07304772e-01]]","[[ 1.65794669e+01  6.43045786e+02  5.28507073e+02]
 [ 5.59025734e+01 -1.02112890e+02  7.80387063e+02]
 [-2.69493636e-01  3.52306322e-01  1.00000000e+00]]",7,"[[ 2.46703297e-03  2.83813009e-03 -3.50607995e+00]
 [ 1.34011330e-03 -1.31438474e-03  2.66880830e-01]
 [-2.53220792e-04  5.71072134e-04  7.04220365e-01]]","[[ 1.52997107e+02  5.67821067e+02  5.46532803e+02]
 [ 1.43529406e+02 -1.20567262e+02  7.60277166e+02]
 [-6.13779406e-02  3.01946258e-01  1.00000000e+00]]",14
7,411786.93988799996,"[[ 2.07697364e-03  2.51796369e-03 -3.06715871e+00]
 [ 1.46786328e-03 -8.74190777e-04 -9.31138667e-02]
 [ 4.46174198e-05  9.86577841e-04  2.05138854e-01]]","[[ 1.58692335e+01  6.42728108e+02  5.29009277e+02]
 [ 5.53858923e+01 -1.02131273e+02  7.81750902e+02]
 [-2.69819867e-01  3.51389217e-01  1.00000000e+00]]",7,"[[ 2.47089116e-03  2.84447329e-03 -3.51744412e+00]
 [ 1.34153986e-03 -1.31394506e-03  2.66663212e-01]
 [-2.52265561e-04  5.70590327e-04  7.03522200e-01]]","[[ 1.52429214e+02  5.67521258e+02  5.46996526e+02]
 [ 1.43158967e+02 -1.20493590e+02  7.61432792e+02]
 [-6.14514800e-02  3.01225101e-01  1.00000000e+00]]",14
8,411786.993118,"[[ 2.07392314e-03  2.51149058e-03 -3.06317329e+00]
 [ 1.46449447e-03 -8.71139911e-04 -9.17150883e-02]
 [ 4.25248164e-05  9.86700828e-04  2.04715352e-01]]","[[ 1.60154063e+01  6.44802756e+02  5.28519749e+02]
 [ 5.53726518e+01 -1.01157878e+02  7.83225696e+02]
 [-2.70215658e-01  3.53624884e-01  1.00000000e+00]]",7,"[[ 2.47039369e-03  2.84277854e-03 -3.51816232e+00]
 [ 1.33996663e-03 -1.31434357e-03  2.69482559e-01]
 [-2.53505692e-04  5.70043912e-04  7.03977977e-01]]","[[ 1.52899539e+02  5.67837508e+02  5.46754452e+02]
 [ 1.43366971e+02 -1.20069109e+02  7.62445454e+02]
 [-6.10311219e-02  3.01706463e-01  1.00000000e+00]]",14
9,411787.044637,"[[ 2.07562077e-03  2.51647660e-03 -3.07022615e+00]
 [ 1.46876561e-03 -8.74203934e-04 -9.06332985e-02]
 [ 4.34833245e-05  9.87136446e-04  2.02929339e-01]]","[[ 1.59571940e+01  6.42648658e+02  5.28447796e+02]
 [ 5.48025660e+01 -1.00661445e+02  7.84179327e+02]
 [-2.70002762e-01  3.51955420e-01  1.00000000e+00]]",7,"[[ 2.47380129e-03  2.85186747e-03 -3.52875407e+00]
 [ 1.34386133e-03 -1.31971381e-03  2.72675107e-01]
 [-2.52144773e-04  5.69890163e-04  7.02873150e-01]]","[[ 1.52592935e+02  5.65785050e+02  5.46595701e+02]
 [ 1.42776617e+02 -1.19625870e+02  7.63213909e+02]
 [-6.10230712e-02  2.99959316e-01  1.00000000e+00]]",14
