world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,70785.948383,"[[ 1.79117698e-03  4.53896574e-04 -9.86075516e-01]
 [ 2.06076232e-04 -1.41285701e-03  9.63389946e-01]
 [ 8.86107367e-05  5.31217135e-04  5.77275531e-01]]","[[ 5.05818848e+02  2.99458627e+02  3.64263060e+02]
 [ 1.28023362e+01 -4.27320109e+02  7.35004247e+02]
 [-8.94231581e-02  3.47259677e-01  1.00000000e+00]]",12,"[[ 1.99550955e-03  4.45666094e-04 -1.09531439e+00]
 [ 1.78752228e-04 -1.70746901e-03  1.12526151e+00]
 [ 1.90697283e-05  4.03819340e-04  7.09794036e-01]]","[[ 4.77884994e+02  2.17566537e+02  3.92529447e+02]
 [ 3.02325248e+01 -4.12192461e+02  7.00116379e+02]
 [-3.00391580e-02  2.28661195e-01  1.00000000e+00]]",15
1,70786.05963199999,"[[ 1.79363689e-03  4.33322234e-04 -9.68556275e-01]
 [ 1.88554465e-04 -1.41417227e-03  9.73560333e-01]
 [ 9.02528626e-05  5.26569535e-04  5.79403248e-01]]","[[ 5.08752150e+02  2.90686644e+02  3.62017476e+02]
 [ 8.16680485e+00 -4.30313558e+02  7.36699738e+02]
 [-8.66697394e-02  3.45794935e-01  1.00000000e+00]]",12,"[[ 2.00254734e-03  4.22755502e-04 -1.07889459e+00]
 [ 1.62930718e-04 -1.70881571e-03  1.13452366e+00]
 [ 2.64457669e-05  4.02570009e-04  7.07392853e-01]]","[[ 4.77110859e+02  2.10086897e+02  3.90735884e+02]
 [ 2.44216539e+01 -4.13971953e+02  7.01179497e+02]
 [-3.17348244e-02  2.27733123e-01  1.00000000e+00]]",15
2,70786.12105599999,"[[ 1.79413135e-03  4.27673980e-04 -9.58643933e-01]
 [ 1.80436904e-04 -1.41623871e-03  9.78214560e-01]
 [ 8.89262492e-05  5.25364742e-04  5.81204325e-01]]","[[ 5.10694943e+02  2.87310487e+02  3.58777970e+02]
 [ 6.83008660e+00 -4.30851132e+02  7.36423412e+02]
 [-8.43119544e-02  3.45497343e-01  1.00000000e+00]]",12,"[[ 2.00657576e-03  4.16302001e-04 -1.07020475e+00]
 [ 1.57340937e-04 -1.71119362e-03  1.13785215e+00]
 [ 3.00998829e-05  4.03570297e-04  7.05571451e-01]]","[[ 4.76280524e+02  2.07374799e+02  3.87991629e+02]
 [ 2.19385435e+01 -4.13814595e+02  7.00621547e+02]
 [-3.28665970e-02  2.27845559e-01  1.00000000e+00]]",15
3,70786.17863699999,"[[ 1.79024454e-03  4.13433836e-04 -9.43744865e-01]
 [ 1.64567052e-04 -1.41787674e-03  9.85021425e-01]
 [ 8.34085757e-05  5.22652148e-04  5.85450294e-01]]","[[ 5.16009952e+02  2.82113201e+02  3.57151064e+02]
 [ 5.44301864e+00 -4.32329138e+02  7.36168877e+02]
 [-7.83746477e-02  3.45763073e-01  1.00000000e+00]]",12,"[[ 2.00436358e-03  4.00931158e-04 -1.05556177e+00]
 [ 1.42457909e-04 -1.71067598e-03  1.14280287e+00]
 [ 2.82632917e-05  4.04548552e-04  7.05796086e-01]]","[[ 4.78984514e+02  2.03676244e+02  3.86564830e+02]
 [ 1.95777930e+01 -4.14381415e+02  7.00233181e+02]
 [-3.04023318e-02  2.29359221e-01  1.00000000e+00]]",15
4,70786.240758,"[[ 1.79234649e-03  4.00563938e-04 -9.30964460e-01]
 [ 1.47196815e-04 -1.41627019e-03  9.95917606e-01]
 [ 8.33000823e-05  5.22674316e-04  5.83733638e-01]]","[[ 5.18695859e+02  2.77358690e+02  3.54033063e+02]
 [ 1.14102723e+00 -4.32662899e+02  7.39993083e+02]
 [-7.50407215e-02  3.47826080e-01  1.00000000e+00]]",12,"[[ 2.01401991e-03  3.85593664e-04 -1.04503466e+00]
 [ 1.27253782e-04 -1.71340063e-03  1.15543398e+00]
 [ 3.45884687e-05  4.05458240e-04  7.01713326e-01]]","[[ 4.77385201e+02  1.98375915e+02  3.84307664e+02]
 [ 1.40950044e+01 -4.14130228e+02  7.02893745e+02]
 [-3.16752696e-02  2.29511096e-01  1.00000000e+00]]",15
5,70786.29179199999,"[[ 1.79410123e-03  3.94673281e-04 -9.24713988e-01]
 [ 1.40805566e-04 -1.41826744e-03  1.00157334e+00]
 [ 8.37218582e-05  5.24467715e-04  5.81774613e-01]]","[[ 5.19369003e+02  2.74834411e+02  3.52371790e+02]
 [-7.44774046e-01 -4.31209067e+02  7.41178445e+02]
 [-7.40697979e-02  3.49182625e-01  1.00000000e+00]]",12,"[[ 2.01996546e-03  3.78378848e-04 -1.03999921e+00]
 [ 1.22315058e-04 -1.71838171e-03  1.16221155e+00]
 [ 3.86510614e-05  4.07175870e-04  6.98702455e-01]]","[[ 4.75886826e+02  1.95555234e+02  3.83060588e+02]
 [ 1.15260310e+01 -4.12683017e+02  7.03607134e+02]
 [-3.30421804e-02  2.29677379e-01  1.00000000e+00]]",15
6,70786.34534,"[[ 1.79622906e-03  3.87167960e-04 -9.18245722e-01]
 [ 1.35450347e-04 -1.42003987e-03  1.00594059e+00]
 [ 8.28434142e-05  5.27601385e-04  5.79471481e-01]]","[[ 5.19986793e+02  2.72292446e+02  3.51295329e+02]
 [-1.86156129e+00 -4.29068744e+02  7.41897246e+02]
 [-7.26443325e-02  3.51733665e-01  1.00000000e+00]]",12,"[[ 2.02635197e-03  3.69534653e-04 -1.03474243e+00]
 [ 1.18607483e-04 -1.72284848e-03  1.16747900e+00]
 [ 4.15900863e-05  4.10412921e-04  6.95186759e-01]]","[[ 4.74366210e+02  1.92809431e+02  3.82265452e+02]
 [ 9.58967458e+00 -4.10681209e+02  7.03961238e+02]
 [-3.40407202e-02  2.30916242e-01  1.00000000e+00]]",15
7,70786.40118799999,"[[ 1.79766910e-03  3.86093723e-04 -9.18959466e-01]
 [ 1.34381991e-04 -1.41876366e-03  1.00731120e+00]
 [ 8.33372964e-05  5.29849896e-04  5.76869843e-01]]","[[ 5.19593775e+02  2.72690437e+02  3.51555013e+02]
 [-2.46917988e+00 -4.27922451e+02  7.43290724e+02]
 [-7.27950095e-02  3.53648895e-01  1.00000000e+00]]",12,"[[ 2.02942983e-03  3.67854652e-04 -1.03587253e+00]
 [ 1.17575623e-04 -1.72376146e-03  1.17034940e+00]
 [ 4.25349542e-05  4.11588377e-04  6.93534759e-01]]","[[ 4.73581524e+02  1.92424784e+02  3.82628057e+02]
 [ 8.96851347e+00 -4.09865710e+02  7.05049487e+02]
 [-3.43675699e-02  2.31439277e-01  1.00000000e+00]]",15
8,70786.460167,"[[ 1.79858424e-03  3.90809429e-04 -9.22183764e-01]
 [ 1.35166490e-04 -1.41992367e-03  1.01084458e+00]
 [ 8.23066207e-05  5.35572740e-04  5.71969542e-01]]","[[ 5.19256535e+02  2.75226914e+02  3.50784955e+02]
 [-2.25884804e+00 -4.23772249e+02  7.45292849e+02]
 [-7.26060920e-02  3.57200606e-01  1.00000000e+00]]",12,"[[ 2.03408542e-03  3.71778114e-04 -1.04022711e+00]
 [ 1.19323408e-04 -1.73099961e-03  1.17732754e+00]
 [ 4.28503342e-05  4.14135042e-04  6.91035635e-01]]","[[ 4.72253471e+02  1.92885393e+02  3.82269115e+02]
 [ 8.97744481e+00 -4.06746698e+02  7.06494202e+02]
 [-3.46640496e-02  2.31801154e-01  1.00000000e+00]]",15
9,70786.51618899999,"[[ 1.79913271e-03  3.93221551e-04 -9.22752608e-01]
 [ 1.35760556e-04 -1.42076338e-03  1.01106570e+00]
 [ 8.12302836e-05  5.38663127e-04  5.70217059e-01]]","[[ 5.19162257e+02  2.76400575e+02  3.50040715e+02]
 [-1.80728955e+00 -4.21858868e+02  7.45083549e+02]
 [-7.22499906e-02  3.59139940e-01  1.00000000e+00]]",12,"[[ 2.03600191e-03  3.74167888e-04 -1.04132144e+00]
 [ 1.20787028e-04 -1.73319794e-03  1.17794255e+00]
 [ 4.29462761e-05  4.16837154e-04  6.89224452e-01]]","[[ 4.71622225e+02  1.93606397e+02  3.81665392e+02]
 [ 9.13856413e+00 -4.05144840e+02  7.06233689e+02]
 [-3.49141870e-02  2.32964382e-01  1.00000000e+00]]",15
10,70786.574163,"[[ 1.79947546e-03  3.95624620e-04 -9.24349413e-01]
 [ 1.38091895e-04 -1.42290221e-03  1.01107318e+00]
 [ 8.04522138e-05  5.40292415e-04  5.69575059e-01]]","[[ 5.18802153e+02  2.77142012e+02  3.49986549e+02]
 [-1.02839893e+00 -4.20365579e+02  7.44537100e+02]
 [-7.23050367e-02  3.59607820e-01  1.00000000e+00]]",12,"[[ 2.03654690e-03  3.76730082e-04 -1.04303573e+00]
 [ 1.23494981e-04 -1.73615054e-03  1.17822571e+00]
 [ 4.23019906e-05  4.17849261e-04  6.88945298e-01]]","[[ 4.71329781e+02  1.94116275e+02  3.81599259e+02]
 [ 9.83731873e+00 -4.03986681e+02  7.05786324e+02]
 [-3.49065512e-02  2.33101281e-01  1.00000000e+00]]",15
11,70786.63154399999,"[[ 1.80037469e-03  3.95490295e-04 -9.25512475e-01]
 [ 1.39033110e-04 -1.42439352e-03  1.01041317e+00]
 [ 8.14281035e-05  5.40809872e-04  5.69296922e-01]]","[[ 5.18183402e+02  2.77036670e+02  3.50719802e+02]
 [-1.19297275e+00 -4.20057498e+02  7.43597058e+02]
 [-7.29839186e-02  3.59412924e-01  1.00000000e+00]]",12,"[[ 2.03595761e-03  3.76834516e-04 -1.04367359e+00]
 [ 1.23854979e-04 -1.73626687e-03  1.17696308e+00]
 [ 4.23989492e-05  4.18770065e-04  6.88512787e-01]]","[[ 4.71381690e+02  1.94468153e+02  3.82108783e+02]
 [ 9.87641219e+00 -4.03735184e+02  7.05127293e+02]
 [-3.50349835e-02  2.33586024e-01  1.00000000e+00]]",15
12,70786.68769899999,"[[ 1.80335777e-03  3.96928446e-04 -9.31951355e-01]
 [ 1.46344926e-04 -1.42267577e-03  1.00502320e+00]
 [ 8.57378600e-05  5.40222381e-04  5.68445806e-01]]","[[ 5.15173015e+02  2.77889365e+02  3.53298288e+02]
 [-1.13557177e+00 -4.21169459e+02  7.42774029e+02]
 [-7.66236115e-02  3.58344677e-01  1.00000000e+00]]",12,"[[ 2.03534209e-03  3.79052693e-04 -1.04897974e+00]
 [ 1.29491869e-04 -1.73191487e-03  1.17082366e+00]
 [ 4.33999623e-05  4.18044325e-04  6.88712184e-01]]","[[ 4.70674018e+02  1.95734210e+02  3.84133274e+02]
 [ 1.07351984e+01 -4.04935808e+02  7.04749302e+02]
 [-3.61762489e-02  2.33459292e-01  1.00000000e+00]]",15
13,70786.74573,"[[ 1.80301720e-03  4.02705303e-04 -9.38802205e-01]
 [ 1.49966133e-04 -1.42725216e-03  1.00202544e+00]
 [ 8.78698848e-05  5.39657767e-04  5.69723851e-01]]","[[ 5.14053801e+02  2.79473017e+02  3.55533243e+02]
 [-9.90441499e-01 -4.21343465e+02  7.39423220e+02]
 [-7.83455858e-02  3.56004074e-01  1.00000000e+00]]",12,"[[ 2.02834800e-03  3.86361071e-04 -1.05364853e+00]
 [ 1.30640055e-04 -1.73088811e-03  1.16541535e+00]
 [ 4.10582610e-05  4.18807540e-04  6.89989305e-01]]","[[ 4.72403525e+02  1.98763778e+02  3.85665283e+02]
 [ 1.18749062e+01 -4.05130779e+02  7.02413213e+02]
 [-3.53184713e-02  2.34077440e-01  1.00000000e+00]]",15
14,70786.80668,"[[ 1.80227651e-03  4.04165998e-04 -9.37699334e-01]
 [ 1.49661863e-04 -1.42515263e-03  9.98336344e-01]
 [ 8.90885816e-05  5.38056497e-04  5.71423360e-01]]","[[ 5.14082572e+02  2.79757724e+02  3.54837756e+02]
 [-1.30090320e+00 -4.23506311e+02  7.37775030e+02]
 [-7.89238434e-02  3.55160670e-01  1.00000000e+00]]",13,"[[ 2.02388918e-03  3.91084361e-04 -1.05229199e+00]
 [ 1.30327012e-04 -1.71709699e-03  1.15538432e+00]
 [ 4.30958816e-05  4.23022680e-04  6.86461499e-01]]","[[ 4.72883796e+02  2.02374001e+02  3.84278049e+02]
 [ 1.12507409e+01 -4.06862464e+02  7.02037299e+02]
 [-3.66206447e-02  2.38018540e-01  1.00000000e+00]]",15
15,70786.860741,"[[ 1.80087843e-03  4.02442195e-04 -9.33929166e-01]
 [ 1.53223688e-04 -1.42098046e-03  9.91218544e-01]
 [ 9.02880246e-05  5.33162176e-04  5.75747612e-01]]","[[ 5.13839163e+02  2.78416955e+02  3.54178338e+02]
 [-4.87275551e-01 -4.27818531e+02  7.35750478e+02]
 [-8.01283846e-02  3.52513736e-01  1.00000000e+00]]",13,"[[ 2.02015105e-03  3.90325712e-04 -1.04804007e+00]
 [ 1.34234827e-04 -1.70803759e-03  1.14483067e+00]
 [ 4.41286075e-05  4.21085012e-04  6.88151401e-01]]","[[ 4.73169257e+02  2.02666171e+02  3.83464875e+02]
 [ 1.19484511e+01 -4.10066727e+02  7.00397355e+02]
 [-3.76539437e-02  2.37926678e-01  1.00000000e+00]]",15
16,70786.917255,"[[ 1.80014135e-03  4.04627464e-04 -9.41710846e-01]
 [ 1.63052526e-04 -1.41396417e-03  9.85144170e-01]
 [ 9.31693169e-05  5.32420241e-04  5.73828611e-01]]","[[ 5.11575927e+02  2.80921254e+02  3.57264624e+02]
 [ 6.81265132e-01 -4.29175694e+02  7.37923275e+02]
 [-8.36938035e-02  3.52594105e-01  1.00000000e+00]]",13,"[[ 2.01715329e-03  3.92625368e-04 -1.05490510e+00]
 [ 1.41828385e-04 -1.70241577e-03  1.14103656e+00]
 [ 4.23495047e-05  4.17278905e-04  6.90536137e-01]]","[[ 4.73307478e+02  2.03830638e+02  3.86245189e+02]
 [ 1.42175608e+01 -4.11950634e+02  7.02423647e+02]
 [-3.76186329e-02  2.36433945e-01  1.00000000e+00]]",15
17,70786.97080099999,"[[ 1.79993227e-03  4.06852403e-04 -9.47205470e-01]
 [ 1.66497143e-04 -1.41538057e-03  9.85977654e-01]
 [ 9.34141983e-05  5.31245806e-04  5.73918657e-01]]","[[ 5.10876393e+02  2.81685072e+02  3.59231617e+02]
 [ 1.31972098e+00 -4.28816865e+02  7.38874557e+02]
 [-8.43746832e-02  3.51084206e-01  1.00000000e+00]]",12,"[[ 2.01744249e-03  3.92696593e-04 -1.05978087e+00]
 [ 1.43879773e-04 -1.71280081e-03  1.14721851e+00]
 [ 3.89650368e-05  4.10625884e-04  6.96421909e-01]]","[[ 4.73781304e+02  2.01782564e+02  3.88580068e+02]
 [ 1.58029496e+01 -4.11815068e+02  7.02432715e+02]
 [-3.58259925e-02  2.31525544e-01  1.00000000e+00]]",15
18,70787.02448499999,"[[ 1.79770684e-03  4.12850982e-04 -9.52892630e-01]
 [ 1.69308623e-04 -1.41426745e-03  9.85243183e-01]
 [ 9.35475357e-05  5.32620527e-04  5.72293850e-01]]","[[ 5.10706334e+02  2.84726706e+02  3.60170314e+02]
 [ 1.80957169e+00 -4.27952867e+02  7.39763274e+02]
 [-8.51645253e-02  3.51744125e-01  1.00000000e+00]]",12,"[[ 2.01397375e-03  3.99090881e-04 -1.06505184e+00]
 [ 1.45479842e-04 -1.71292605e-03  1.14798291e+00]
 [ 3.66512118e-05  4.10177166e-04  6.97261646e-01]]","[[ 4.74716726e+02  2.03865947e+02  3.89471157e+02]
 [ 1.69227838e+01 -4.11449465e+02  7.03266266e+02]
 [-3.49083918e-02  2.31326708e-01  1.00000000e+00]]",15
