world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,71896.16682099999,"[[ 3.68738571e-03 -5.59217453e-04 -3.00431990e+00]
 [ 9.07971338e-05 -2.30300023e-03  1.10264134e+00]
 [-6.15768177e-05  8.33122146e-04  6.26761684e-01]]","[[ 2.79823519e+02  2.54993400e+02  8.92704700e+02]
 [ 1.47851257e+01 -2.51871390e+02  5.13980133e+02]
 [ 7.83842773e-03  3.59851792e-01  1.00000000e+00]]",1,"[[ 4.71689548e-03 -4.44747272e-04 -3.93059014e+00]
 [-4.94119457e-05 -2.53165035e-03  1.31756250e+00]
 [-5.68880174e-04  8.30632088e-04  1.08302914e+00]]","[[ 3.20663594e+02  2.32640837e+02  8.80750366e+02]
 [ 5.81786486e+01 -2.40105241e+02  5.03246001e+02]
 [ 1.23813943e-01  3.06348060e-01  1.00000000e+00]]",14
1,71896.22209899999,"[[ 3.85592183e-03 -6.77619783e-04 -2.94763165e+00]
 [-6.30374554e-06 -2.16900735e-03  1.10336022e+00]
 [ 4.68752989e-07  7.35116473e-04  6.27474155e-01]]","[[ 2.59577882e+02  2.08138921e+02  8.53402122e+02]
 [-5.34506541e-01 -2.89308378e+02  5.06213402e+02]
 [ 4.32283391e-04  3.38783338e-01  1.00000000e+00]]",7,"[[ 4.43094915e-03 -7.85166814e-04 -3.32938251e+00]
 [-1.51049935e-04 -2.37164621e-03  1.30601966e+00]
 [-4.22588966e-04  7.71438121e-04  9.71193963e-01]]","[[ 3.11542870e+02  1.69927731e+02  8.39499066e+02]
 [ 3.81294288e+01 -2.72540179e+02  4.97213021e+02]
 [ 1.05272570e-01  2.90423415e-01  1.00000000e+00]]",14
2,71896.266632,"[[ 3.84270564e-03 -7.49344874e-04 -2.85624363e+00]
 [-8.19523356e-05 -2.19318451e-03  1.17299036e+00]
 [-3.24039181e-05  7.08854789e-04  6.70434636e-01]]","[[ 2.71153230e+02  1.79319613e+02  8.41453410e+02]
 [-1.99479979e+00 -2.92576139e+02  5.03391889e+02]
 [ 1.52146830e-02  3.18009608e-01  1.00000000e+00]]",11,"[[ 4.34930630e-03 -8.40335157e-04 -3.18980759e+00]
 [-2.27752253e-04 -2.36604437e-03  1.36043336e+00]
 [-4.47492571e-04  7.67215936e-04  9.91100009e-01]]","[[ 3.23289434e+02  1.54017257e+02  8.29079678e+02]
 [ 3.65442764e+01 -2.75059277e+02  4.95176090e+02]
 [ 1.17679616e-01  2.82465378e-01  1.00000000e+00]]",14
3,71896.311555,"[[ 3.82917105e-03 -8.14434410e-04 -2.77777142e+00]
 [-1.23418368e-04 -2.11506419e-03  1.16374557e+00]
 [-4.17399404e-06  7.34572258e-04  6.34966650e-01]]","[[ 2.68048234e+02  1.85784841e+02  8.32123134e+02]
 [-8.96511384e+00 -2.95117226e+02  5.01661509e+02]
 [ 1.21334808e-02  3.42632785e-01  1.00000000e+00]]",7,"[[ 4.29854179e-03 -9.18544260e-04 -3.07146490e+00]
 [-2.62034710e-04 -2.28365281e-03  1.34241582e+00]
 [-3.81861061e-04  7.88452700e-04  9.23850005e-01]]","[[ 3.15020659e+02  1.56418128e+02  8.20042998e+02]
 [ 2.69000444e+01 -2.78245622e+02  4.93742345e+02]
 [ 1.07251946e-01  3.02119935e-01  1.00000000e+00]]",14
4,71896.354343,"[[ 3.79772551e-03 -8.98789659e-04 -2.64766726e+00]
 [-2.00984176e-04 -2.16739407e-03  1.24830204e+00]
 [-7.81635419e-05  6.76697082e-04  7.25185714e-01]]","[[ 2.87272953e+02  1.35509392e+02  8.15579416e+02]
 [-5.72755953e+00 -3.02801081e+02  5.00316717e+02]
 [ 3.63080709e-02  2.97160434e-01  1.00000000e+00]]",13,"[[ 4.20591405e-03 -9.84833039e-04 -2.90301354e+00]
 [-3.37825277e-04 -2.30365802e-03  1.40818350e+00]
 [-4.35925634e-04  7.50916201e-04  9.80922287e-01]]","[[ 3.30995829e+02  1.21124813e+02  8.05690134e+02]
 [ 2.81871587e+01 -2.85398676e+02  4.93129187e+02]
 [ 1.25517968e-01  2.72306894e-01  1.00000000e+00]]",14
5,71896.39836699999,"[[ 3.77951580e-03 -9.38687426e-04 -2.59732533e+00]
 [-2.28971410e-04 -2.15318458e-03  1.25771079e+00]
 [-7.85285360e-05  6.71024006e-04  7.29581276e-01]]","[[ 2.89105493e+02  1.26664436e+02  8.10867563e+02]
 [-8.17522540e+00 -3.05701173e+02  4.97888248e+02]
 [ 3.86369614e-02  2.94798682e-01  1.00000000e+00]]",13,"[[ 4.16567463e-03 -1.02478433e-03 -2.83462805e+00]
 [-3.62553072e-04 -2.28206171e-03  1.41087259e+00]
 [-4.25418995e-04  7.51823246e-04  9.71759579e-01]]","[[ 3.31887715e+02  1.14933261e+02  8.01249666e+02]
 [ 2.50962703e+01 -2.87727108e+02  4.90949502e+02]
 [ 1.25878233e-01  2.72922157e-01  1.00000000e+00]]",14
6,71896.44286699999,"[[ 3.76243433e-03 -9.59514883e-04 -2.56003096e+00]
 [-2.49312693e-04 -2.13293479e-03  1.26007485e+00]
 [-7.90840814e-05  6.59146933e-04  7.36595938e-01]]","[[ 2.90611568e+02  1.18663185e+02  8.07023341e+02]
 [-1.01631596e+01 -3.10849416e+02  4.96439785e+02]
 [ 4.02958567e-02  2.90905498e-01  1.00000000e+00]]",13,"[[ 4.13000549e-03 -1.04496482e-03 -2.78246305e+00]
 [-3.79746486e-04 -2.25411619e-03  1.40665655e+00]
 [-4.17486676e-04  7.47136893e-04  9.67144878e-01]]","[[ 3.32877680e+02  1.10056838e+02  7.97613357e+02]
 [ 2.26646330e+01 -2.91837518e+02  4.89666719e+02]
 [ 1.26184210e-01  2.72957905e-01  1.00000000e+00]]",14
7,71896.48727799999,"[[ 3.72401592e-03 -9.82663984e-04 -2.48682950e+00]
 [-2.77423028e-04 -2.11628898e-03  1.26605666e+00]
 [-7.80401436e-05  6.33663419e-04  7.49483881e-01]]","[[ 2.92919298e+02  1.02937476e+02  7.98036742e+02]
 [-1.33829727e+01 -3.18507547e+02  4.93629602e+02]
 [ 4.18151278e-02  2.80005804e-01  1.00000000e+00]]",14,"[[ 4.05861254e-03 -1.06143800e-03 -2.68564751e+00]
 [-4.00315830e-04 -2.22427683e-03  1.39956747e+00]
 [-3.98934257e-04  7.33466934e-04  9.57467187e-01]]","[[ 3.33905934e+02  1.00878377e+02  7.89131530e+02]
 [ 1.85187203e+01 -2.97765121e+02  4.87199078e+02]
 [ 1.24937594e-01  2.70134281e-01  1.00000000e+00]]",14
8,71896.532304,"[[ 3.74195915e-03 -9.76170514e-04 -2.48958506e+00]
 [-2.74976920e-04 -2.07626281e-03  1.24186343e+00]
 [-5.38452582e-05  6.35410275e-04  7.29504980e-01]]","[[ 2.86615891e+02  1.08213177e+02  7.93920082e+02]
 [-1.66376359e+01 -3.22943211e+02  4.92978889e+02]
 [ 3.56469554e-02  2.89275888e-01  1.00000000e+00]]",12,"[[ 4.05243963e-03 -1.05114058e-03 -2.66993705e+00]
 [-3.94308954e-04 -2.18100569e-03  1.37057906e+00]
 [-3.75301460e-04  7.40413165e-04  9.34422451e-01]]","[[ 3.29927483e+02  1.07496096e+02  7.85034341e+02]
 [ 1.57712378e+01 -3.00950936e+02  4.86487950e+02]
 [ 1.20015346e-01  2.81640790e-01  1.00000000e+00]]",14
9,71896.577224,"[[ 3.69812864e-03 -9.46817151e-04 -2.45143276e+00]
 [-2.75616085e-04 -2.07255642e-03  1.24154187e+00]
 [-8.51357513e-05  6.20407720e-04  7.60682852e-01]]","[[ 2.96108631e+02  1.01022822e+02  7.89378035e+02]
 [-1.31166902e+01 -3.28608402e+02  4.94064516e+02]
 [ 4.38384098e-02  2.79317251e-01  1.00000000e+00]]",13,"[[ 4.00100249e-03 -1.01906313e-03 -2.62695138e+00]
 [-3.90936024e-04 -2.17064868e-03  1.36390922e+00]
 [-3.92905498e-04  7.26575899e-04  9.52413940e-01]]","[[ 3.36704393e+02  1.03280104e+02  7.80796409e+02]
 [ 1.80063464e+01 -3.05892127e+02  4.87719539e+02]
 [ 1.25166196e-01  2.75965267e-01  1.00000000e+00]]",14
