world_index,world_timestamp,surface_name,event_type
0,81550.93748499999,Right,enter
0,81550.93748499999,Assembly,enter
0,81550.93748499999,Left,enter
30,81552.637347,Right,exit
30,81552.637347,Assembly,exit
30,81552.637347,Left,exit
35,81552.88094599999,Left,enter
36,81552.92274099999,Right,enter
36,81552.92274099999,Assembly,enter
37,81552.97098299999,Screen,enter
48,81553.559291,Right,exit
50,81553.67710799999,Right,enter
55,81553.963827,Right,exit
59,81554.29488799999,Right,enter
94,81556.308503,Right,exit
96,81556.411885,Right,enter
96,81556.411885,Right,exit
100,81556.61967999999,Right,enter
101,81556.67231899999,Right,exit
103,81556.78675,Right,enter
110,81557.166948,Right,exit
111,81557.21643799999,Assembly,exit
111,81557.21643799999,Screen,exit
115,81557.393237,Assembly,enter
117,81557.479475,Right,enter
133,81558.38450199999,Right,exit
133,81558.38450199999,Assembly,exit
133,81558.38450199999,Left,exit
139,81558.655833,Assembly,enter
139,81558.655833,Left,enter
139,81558.655833,Screen,enter
167,81560.22046299999,Assembly,exit
168,81560.27503599999,Left,exit
168,81560.27503599999,Screen,exit
174,81560.53542599999,Right,enter
174,81560.53542599999,Left,enter
175,81560.58424899999,Assembly,enter
190,81561.41483899999,Right,exit
190,81561.41483899999,Assembly,exit
190,81561.41483899999,Left,exit
199,81561.75904199999,Left,enter
200,81561.80107599999,Assembly,enter
200,81561.80107599999,Screen,enter
207,81562.14588299999,Assembly,exit
207,81562.14588299999,Screen,exit
208,81562.196663,Left,exit
212,81562.369073,Left,enter
213,81562.41411999999,Right,enter
213,81562.41411999999,Assembly,enter
236,81563.623119,Right,exit
236,81563.623119,Assembly,exit
236,81563.623119,Left,exit
242,81563.88976399999,Left,enter
243,81563.93538299999,Assembly,enter
243,81563.93538299999,Screen,enter
254,81564.534416,Assembly,exit
254,81564.534416,Screen,exit
255,81564.59142,Left,exit
262,81564.89123299999,Right,enter
262,81564.89123299999,Assembly,enter
263,81564.94088099999,Left,enter
288,81566.262078,Right,exit
288,81566.262078,Assembly,exit
289,81566.31180699999,Left,exit
294,81566.50424499999,Left,enter
296,81566.587185,Assembly,enter
296,81566.587185,Screen,enter
304,81566.972493,Assembly,exit
304,81566.972493,Left,exit
304,81566.972493,Screen,exit
309,81567.18968099999,Assembly,enter
310,81567.229096,Right,enter
310,81567.229096,Left,enter
310,81567.229096,Screen,enter
311,81567.281722,Screen,exit
313,81567.386864,Screen,enter
314,81567.44119499999,Screen,exit
319,81567.68439499999,Right,exit
319,81567.68439499999,Left,exit
320,81567.73998099999,Assembly,exit
325,81567.947072,Left,enter
326,81567.99273999999,Assembly,enter
326,81567.99273999999,Screen,enter
340,81568.75268399999,Right,enter
343,81568.92754599999,Right,exit
343,81568.92754599999,Assembly,exit
343,81568.92754599999,Screen,exit
344,81568.987113,Left,exit
351,81569.263528,Right,enter
351,81569.263528,Assembly,enter
351,81569.263528,Left,enter
354,81569.428302,Right,exit
354,81569.428302,Assembly,exit
354,81569.428302,Left,exit
363,81569.765561,Left,enter
364,81569.80679199999,Assembly,enter
364,81569.80679199999,Screen,enter
376,81570.454885,Assembly,exit
376,81570.454885,Screen,exit
377,81570.507814,Left,exit
382,81570.71059199999,Left,enter
383,81570.75485499999,Right,enter
383,81570.75485499999,Assembly,enter
410,81572.17461799999,Right,exit
410,81572.17461799999,Assembly,exit
410,81572.17461799999,Left,exit
418,81572.49002099999,Assembly,enter
418,81572.49002099999,Left,enter
418,81572.49002099999,Screen,enter
442,81573.748054,Right,enter
442,81573.748054,Screen,exit
443,81573.80075099999,Right,exit
443,81573.80075099999,Assembly,exit
444,81573.84811199999,Left,exit
451,81574.118869,Right,enter
451,81574.118869,Assembly,enter
451,81574.118869,Left,enter
457,81574.42315399999,Right,exit
457,81574.42315399999,Assembly,exit
457,81574.42315399999,Left,exit
464,81574.70337799999,Left,enter
465,81574.747267,Assembly,enter
465,81574.747267,Screen,enter
481,81575.61599699999,Assembly,exit
481,81575.61599699999,Left,exit
481,81575.61599699999,Screen,exit
488,81575.893587,Assembly,enter
488,81575.893587,Left,enter
489,81575.93969599999,Right,enter
510,81577.096968,Right,exit
510,81577.096968,Assembly,exit
510,81577.096968,Left,exit
517,81577.39577599999,Left,enter
518,81577.445048,Assembly,enter
518,81577.445048,Screen,enter
527,81577.93202099999,Assembly,exit
527,81577.93202099999,Left,exit
527,81577.93202099999,Screen,exit
533,81578.209011,Left,enter
534,81578.25768299999,Right,enter
534,81578.25768299999,Assembly,enter
552,81579.170414,Right,exit
552,81579.170414,Assembly,exit
552,81579.170414,Left,exit
559,81579.46068399999,Assembly,enter
559,81579.46068399999,Left,enter
559,81579.46068399999,Screen,enter
580,81580.546504,Right,enter
580,81580.546504,Right,exit
580,81580.546504,Assembly,exit
580,81580.546504,Left,exit
580,81580.546504,Screen,exit
588,81580.861886,Right,enter
588,81580.861886,Assembly,enter
589,81580.90862799999,Left,enter
604,81581.691125,Right,exit
604,81581.691125,Assembly,exit
604,81581.691125,Left,exit
611,81581.973292,Left,enter
612,81582.01452699999,Assembly,enter
612,81582.01452699999,Screen,enter
619,81582.36752799999,Assembly,exit
619,81582.36752799999,Left,exit
619,81582.36752799999,Screen,exit
625,81582.612562,Right,enter
625,81582.612562,Assembly,enter
625,81582.612562,Left,enter
653,81584.218335,Right,exit
653,81584.218335,Assembly,exit
653,81584.218335,Left,exit
660,81584.513272,Left,enter
661,81584.559728,Assembly,enter
661,81584.559728,Screen,enter
678,81585.481065,Assembly,exit
679,81585.536536,Left,exit
679,81585.536536,Screen,exit
686,81585.82806799999,Right,enter
686,81585.82806799999,Assembly,enter
686,81585.82806799999,Left,enter
690,81586.050391,Right,exit
691,81586.103873,Assembly,exit
691,81586.103873,Left,exit
699,81586.43253699999,Assembly,enter
699,81586.43253699999,Left,enter
699,81586.43253699999,Screen,enter
707,81586.87981999999,Assembly,exit
707,81586.87981999999,Screen,exit
708,81586.93650099999,Left,exit
713,81587.142243,Left,enter
714,81587.186727,Right,enter
714,81587.186727,Assembly,enter
734,81588.318695,Right,exit
735,81588.37481,Assembly,exit
735,81588.37481,Left,exit
742,81588.688656,Assembly,enter
742,81588.688656,Left,enter
742,81588.688656,Screen,enter
761,81589.823809,Assembly,exit
761,81589.823809,Left,exit
761,81589.823809,Screen,exit
764,81589.978379,Assembly,enter
764,81589.978379,Left,enter
765,81590.027517,Right,enter
765,81590.027517,Screen,enter
775,81590.622104,Right,exit
789,81591.40530299999,Assembly,exit
789,81591.40530299999,Screen,exit
790,81591.46123399999,Left,exit
795,81591.665251,Assembly,enter
795,81591.665251,Left,enter
796,81591.709238,Right,enter
802,81592.03700899999,Right,exit
802,81592.03700899999,Assembly,exit
802,81592.03700899999,Left,exit
808,81592.30551199999,Left,enter
809,81592.352732,Assembly,enter
809,81592.352732,Screen,enter
816,81592.74402999999,Right,enter
818,81592.860724,Right,exit
819,81592.917624,Assembly,exit
819,81592.917624,Left,exit
819,81592.917624,Screen,exit
823,81593.105631,Left,enter
825,81593.195184,Right,enter
825,81593.195184,Assembly,enter
837,81593.85641,Right,exit
837,81593.85641,Assembly,exit
837,81593.85641,Left,exit
840,81594.003506,Left,enter
842,81594.09502899999,Right,enter
842,81594.09502899999,Assembly,enter
843,81594.142518,Screen,enter
853,81594.68527199999,Right,exit
853,81594.68527199999,Assembly,exit
853,81594.68527199999,Screen,exit
854,81594.74051199999,Left,exit
859,81594.94409599999,Right,enter
859,81594.94409599999,Assembly,enter
859,81594.94409599999,Left,enter
865,81595.257327,Right,exit
865,81595.257327,Assembly,exit
865,81595.257327,Left,exit
873,81595.57704399999,Assembly,enter
873,81595.57704399999,Left,enter
873,81595.57704399999,Screen,enter
889,81596.47635699999,Assembly,exit
889,81596.47635699999,Left,exit
889,81596.47635699999,Screen,exit
891,81596.58054099999,Right,enter
891,81596.58054099999,Assembly,enter
891,81596.58054099999,Left,enter
892,81596.62819199999,Screen,enter
898,81596.95095299999,Right,exit
907,81597.41466099999,Right,enter
907,81597.41466099999,Right,exit
914,81597.77469199999,Assembly,exit
914,81597.77469199999,Left,exit
914,81597.77469199999,Screen,exit
917,81597.925351,Left,enter
920,81598.06051699999,Right,enter
920,81598.06051699999,Assembly,enter
957,81599.96699799999,Right,exit
957,81599.96699799999,Assembly,exit
957,81599.96699799999,Left,exit
964,81600.247735,Assembly,enter
964,81600.247735,Left,enter
964,81600.247735,Screen,enter
985,81601.36292799999,Assembly,exit
985,81601.36292799999,Screen,exit
986,81601.42142299999,Left,exit
988,81601.51386199999,Left,enter
989,81601.55328699999,Assembly,enter
990,81601.59479999999,Right,enter
991,81601.644785,Screen,enter
997,81601.95740599999,Right,exit
997,81601.95740599999,Assembly,exit
997,81601.95740599999,Left,exit
997,81601.95740599999,Screen,exit
1001,81602.14104799999,Assembly,enter
1001,81602.14104799999,Left,enter
1001,81602.14104799999,Screen,enter
1018,81602.99779099999,Assembly,exit
1018,81602.99779099999,Left,exit
1018,81602.99779099999,Screen,exit
1024,81603.266098,Left,enter
1025,81603.30640999999,Right,enter
1025,81603.30640999999,Assembly,enter
1074,81605.744916,Right,exit
1074,81605.744916,Assembly,exit
1075,81605.80063499999,Left,exit
1081,81606.030202,Left,enter
1082,81606.073421,Assembly,enter
1082,81606.073421,Screen,enter
1096,81606.81049399999,Assembly,exit
1097,81606.862728,Left,exit
1097,81606.862728,Screen,exit
1103,81607.108394,Right,enter
1103,81607.108394,Assembly,enter
1103,81607.108394,Left,enter
1110,81607.44681899999,Left,exit
1111,81607.49635399999,Right,exit
1111,81607.49635399999,Assembly,exit
1118,81607.768506,Left,enter
1119,81607.81202299999,Assembly,enter
1119,81607.81202299999,Screen,enter
1132,81608.50908999999,Assembly,exit
1132,81608.50908999999,Screen,exit
1135,81608.65388999999,Assembly,enter
1136,81608.69574699999,Right,enter
1137,81608.745474,Screen,enter
1139,81608.85408899999,Screen,exit
1141,81608.957763,Screen,enter
1155,81609.678439,Screen,exit
1157,81609.783894,Screen,enter
1157,81609.783894,Screen,exit
1159,81609.883661,Screen,enter
1159,81609.883661,Screen,exit
1174,81610.61904599999,Screen,enter
1175,81610.665967,Right,exit
1175,81610.665967,Screen,exit
1176,81610.71330199999,Assembly,exit
1176,81610.71330199999,Left,exit
1180,81610.87104,Left,enter
1182,81610.95055299999,Assembly,enter
1182,81610.95055299999,Screen,enter
1204,81612.06728799999,Assembly,exit
1205,81612.120415,Left,exit
1205,81612.120415,Screen,exit
1211,81612.358215,Right,enter
1212,81612.394038,Assembly,enter
1212,81612.394038,Left,enter
1218,81612.686764,Right,exit
1218,81612.686764,Assembly,exit
1218,81612.686764,Left,exit
1225,81612.969306,Assembly,enter
1225,81612.969306,Left,enter
1225,81612.969306,Screen,enter
1240,81613.792307,Screen,exit
1243,81613.934237,Right,enter
1246,81614.081952,Screen,enter
1250,81614.293639,Right,exit
1250,81614.293639,Screen,exit
1254,81614.485647,Screen,enter
1265,81615.02576199999,Assembly,exit
1265,81615.02576199999,Left,exit
1265,81615.02576199999,Screen,exit
1272,81615.32876399999,Right,enter
1272,81615.32876399999,Assembly,enter
1272,81615.32876399999,Left,enter
1281,81615.77671399999,Right,exit
1281,81615.77671399999,Assembly,exit
1282,81615.82845199999,Left,exit
1286,81615.98391499999,Left,enter
1287,81616.028473,Right,enter
1287,81616.028473,Assembly,enter
1288,81616.07260799999,Screen,enter
1299,81616.645664,Right,exit
1302,81616.80337099999,Right,enter
1302,81616.80337099999,Right,exit
1302,81616.80337099999,Assembly,exit
1302,81616.80337099999,Screen,exit
1310,81617.123935,Right,enter
1310,81617.123935,Assembly,enter
1329,81618.10324,Right,exit
1329,81618.10324,Assembly,exit
1329,81618.10324,Left,exit
1335,81618.356158,Left,enter
1336,81618.40190299999,Assembly,enter
1336,81618.40190299999,Screen,enter
1353,81619.360108,Right,enter
1353,81619.360108,Right,exit
1373,81620.436173,Assembly,exit
1373,81620.436173,Left,exit
1373,81620.436173,Screen,exit
1378,81620.65050599999,Assembly,enter
1379,81620.694397,Right,enter
1379,81620.694397,Left,enter
1430,81623.444859,Right,exit
1430,81623.444859,Assembly,exit
1430,81623.444859,Left,exit
1436,81623.689862,Assembly,enter
1436,81623.689862,Left,enter
1436,81623.689862,Screen,enter
1456,81624.83271599999,Assembly,exit
1456,81624.83271599999,Screen,exit
1457,81624.887324,Left,exit
1462,81625.09567,Right,enter
1462,81625.09567,Left,enter
1464,81625.18891499999,Assembly,enter
1484,81626.34043,Assembly,exit
1484,81626.34043,Left,exit
1485,81626.392956,Right,exit
1487,81626.491382,Right,enter
1488,81626.537663,Assembly,enter
1490,81626.63826499999,Left,enter
1491,81626.692849,Left,exit
1495,81626.910521,Left,enter
1495,81626.910521,Left,exit
1497,81627.021639,Left,enter
1501,81627.23644099999,Left,exit
1503,81627.34720999999,Right,exit
1503,81627.34720999999,Assembly,exit
1503,81627.34720999999,Left,enter
1503,81627.34720999999,Left,exit
