world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,353653.474644,"[[ 1.46297016e-03  1.55282053e-03 -2.17989935e+00]
 [ 1.54118244e-03 -1.38720019e-03 -9.87835796e-02]
 [ 1.29910458e-04  5.21025116e-04  5.27898573e-01]]","[[ 1.53943471e+02  4.42162678e+02  7.18432865e+02]
 [ 1.86862648e+02 -2.38657954e+02  7.26969723e+02]
 [-2.22313539e-01  1.26738801e-01  1.00000000e+00]]",6,"[[ 1.87483351e-03  1.76730865e-03 -2.61666755e+00]
 [ 1.24548383e-03 -1.68789872e-03  3.15291560e-01]
 [-5.37693972e-04  1.00853909e-04  1.31438734e+00]]","[[ 4.19396918e+02  4.82106202e+02  7.19284384e+02]
 [ 3.36691229e+02 -1.97046858e+02  7.17548165e+02]
 [ 1.45733729e-01  2.12341169e-01  1.00000000e+00]]",15
1,353653.526429,"[[ 1.41764558e-03  1.54969291e-03 -2.14207517e+00]
 [ 1.56085730e-03 -1.39122388e-03 -1.37553246e-01]
 [ 1.22958961e-04  4.73854388e-04  5.70824289e-01]]","[[ 1.66009018e+02  4.32608899e+02  7.27212493e+02]
 [ 2.06755985e+02 -2.44269310e+02  7.17010178e+02]
 [-2.07392239e-01  1.09587039e-01  1.00000000e+00]]",7,"[[ 1.82090289e-03  1.74247653e-03 -2.56165276e+00]
 [ 1.26732111e-03 -1.66763119e-03  2.61108783e-01]
 [-5.72422145e-04  6.15511608e-05  1.37289771e+00]]","[[ 4.39583406e+02  4.86172943e+02  7.27742507e+02]
 [ 3.60231246e+02 -1.97062328e+02  7.09624662e+02]
 [ 1.67131625e-01  2.11542034e-01  1.00000000e+00]]",15
2,353653.568077,"[[ 1.39576157e-03  1.55341476e-03 -2.13845526e+00]
 [ 1.57360953e-03 -1.37942567e-03 -1.62260874e-01]
 [ 1.26200736e-04  4.62244898e-04  5.75522051e-01]]","[[ 1.64511587e+02  4.30799326e+02  7.32730471e+02]
 [ 2.11936632e+02 -2.45586037e+02  7.18248760e+02]
 [-2.06296370e-01  1.02782683e-01  1.00000000e+00]]",7,"[[ 1.81117942e-03  1.75209124e-03 -2.57230809e+00]
 [ 1.28567135e-03 -1.64488796e-03  2.27489275e-01]
 [-5.79114637e-04  5.19991927e-05  1.38726773e+00]]","[[ 4.38420605e+02  4.90151996e+02  7.32554019e+02]
 [ 3.66090536e+02 -1.95521494e+02  7.10876980e+02]
 [ 1.69296361e-01  2.11942619e-01  1.00000000e+00]]",15
3,353653.609146,"[[ 1.37363380e-03  1.55681052e-03 -2.14144050e+00]
 [ 1.58883653e-03 -1.36872757e-03 -1.80756685e-01]
 [ 1.32677576e-04  4.48318779e-04  5.77305019e-01]]","[[ 1.62883334e+02  4.26952884e+02  7.37876068e+02]
 [ 2.16192418e+02 -2.47407887e+02  7.24474164e+02]
 [-2.05323153e-01  9.40066796e-02  1.00000000e+00]]",6,"[[ 1.80079019e-03  1.77587706e-03 -2.59460334e+00]
 [ 1.30565789e-03 -1.63984357e-03  2.10175178e-01]
 [-5.84776892e-04  2.92491445e-05  1.40966920e+00]]","[[ 4.39665287e+02  4.89270651e+02  7.36289392e+02]
 [ 3.72451110e+02 -1.93723842e+02  7.14407918e+02]
 [ 1.74659575e-01  2.06985034e-01  1.00000000e+00]]",15
4,353653.654278,"[[ 1.40991803e-03  1.63683619e-03 -2.25766041e+00]
 [ 1.68573511e-03 -1.46348544e-03 -1.86051546e-01]
 [ 2.01562496e-04  3.78920162e-04  5.70764494e-01]]","[[ 1.58585879e+02  3.71106095e+02  7.48255940e+02]
 [ 2.07283400e+02 -2.61222863e+02  7.34759454e+02]
 [-1.93615451e-01  4.23669289e-02  1.00000000e+00]]",4,"[[ 1.82589598e-03  1.81239003e-03 -2.66552662e+00]
 [ 1.34192358e-03 -1.77428132e-03  2.79148181e-01]
 [-5.94472787e-04 -9.61312583e-05  1.51193971e+00]]","[[ 4.68246175e+02  4.37957863e+02  7.44651058e+02]
 [ 3.86980496e+02 -2.07354562e+02  7.20524408e+02]
 [ 2.08712377e-01  1.59014791e-01  1.00000000e+00]]",15
5,353653.696798,"[[ 1.30595694e-03  1.57468019e-03 -2.21596919e+00]
 [ 1.66662470e-03 -1.43018397e-03 -1.75029481e-01]
 [ 1.74093429e-04  3.74556976e-04  5.77615086e-01]]","[[ 1.69303275e+02  3.87244870e+02  7.66860354e+02]
 [ 2.21082763e+02 -2.53803563e+02  7.71256667e+02]
 [-1.94390142e-01  4.78642407e-02  1.00000000e+00]]",3,"[[ 1.85291192e-03  1.90798462e-03 -2.83064314e+00]
 [ 1.39079942e-03 -1.65695243e-03  1.89123503e-01]
 [-5.84848096e-04 -2.94640594e-05  1.46443884e+00]]","[[ 4.22958273e+02  4.73587375e+02  7.56383541e+02]
 [ 3.75160758e+02 -1.84838381e+02  7.49026508e+02]
 [ 1.76463567e-01  1.85416133e-01  1.00000000e+00]]",15
6,353653.737257,"[[ 1.27778230e-03  1.58321944e-03 -2.23682693e+00]
 [ 1.67762961e-03 -1.40181580e-03 -1.99048794e-01]
 [ 1.84059769e-04  3.89101681e-04  5.51115477e-01]]","[[ 1.56300825e+02  3.91900957e+02  7.75926871e+02]
 [ 2.16133549e+02 -2.50921383e+02  7.86600566e+02]
 [-2.04796682e-01  4.62711237e-02  1.00000000e+00]]",4,"[[ 1.84909608e-03  1.92594796e-03 -2.87916111e+00]
 [ 1.36985492e-03 -1.78894296e-03  3.07131181e-01]
 [-6.35726761e-04 -1.46178459e-04  1.59835131e+00]]","[[ 4.73321604e+02  4.46919307e+02  7.66731500e+02]
 [ 4.01056515e+02 -1.89221015e+02  7.58795632e+02]
 [ 2.24937428e-01  1.60451914e-01  1.00000000e+00]]",15
7,353653.777157,"[[ 1.19470776e-03  1.51900681e-03 -2.15053737e+00]
 [ 1.61373008e-03 -1.14358395e-03 -3.35722895e-01]
 [ 1.53915401e-04  5.76383586e-04  4.16869271e-01]]","[[ 7.41895701e+01  4.90570808e+02  7.77805700e+02]
 [ 1.89753621e+02 -2.17166834e+02  8.04003555e+02]
 [-2.89754603e-01  1.19138059e-01  1.00000000e+00]]",5,"[[ 1.89380851e-03  2.01750037e-03 -3.02008079e+00]
 [ 1.49679805e-03 -1.41373096e-03 -5.41962899e-02]
 [-4.86696601e-04  1.70800168e-04  1.24163823e+00]]","[[ 3.06485334e+02  5.30238528e+02  7.68619562e+02]
 [ 3.21583973e+02 -1.54738008e+02  7.75445967e+02]
 [ 7.58987372e-02  2.29128389e-01  1.00000000e+00]]",15
8,353653.817821,"[[ 1.16773462e-03  1.48732501e-03 -2.13352030e+00]
 [ 1.59728439e-03 -1.30745984e-03 -2.07664521e-01]
 [ 1.24547160e-04  4.34222622e-04  5.48910105e-01]]","[[ 1.60797895e+02  4.46599387e+02  7.93952266e+02]
 [ 2.31298346e+02 -2.32342731e+02  8.11117103e+02]
 [-2.19456508e-01  8.24648404e-02  1.00000000e+00]]",7,"[[ 1.88058629e-03  1.99560302e-03 -3.02561060e+00]
 [ 1.37263026e-03 -1.63668538e-03  2.05590217e-01]
 [-6.42733835e-04 -3.42258481e-05  1.52851901e+00]]","[[ 4.28846918e+02  5.06564458e+02  7.80742063e+02]
 [ 3.83388775e+02 -1.59846157e+02  7.80394579e+02]
 [ 1.88912424e-01  2.09428372e-01  1.00000000e+00]]",15
9,353653.859272,"[[ 1.16091341e-03  1.56477046e-03 -2.22355910e+00]
 [ 1.71302944e-03 -1.46637133e-03 -2.27633907e-01]
 [ 1.86696675e-04  3.56852268e-04  5.57319617e-01]]","[[ 1.67929435e+02  3.80019334e+02  8.25211055e+02]
 [ 2.27525105e+02 -2.42339171e+02  8.08783490e+02]
 [-2.01939271e-01  2.78671994e-02  1.00000000e+00]]",6,"[[ 1.98165821e-03  1.98516105e-03 -3.17590230e+00]
 [ 1.40082396e-03 -1.82006387e-03  3.00000317e-01]
 [-6.99521097e-04 -1.72166641e-04  1.70373407e+00]]","[[ 4.77370542e+02  4.43891220e+02  8.11696331e+02]
 [ 4.06488470e+02 -1.80757548e+02  7.89556899e+02]
 [ 2.37076036e-01  1.63987361e-01  1.00000000e+00]]",15
