world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,300.271681,"[[ 1.69045978e-03  6.45594022e-04 -1.00843615e+00]
 [ 3.21483141e-04 -1.28367544e-03  9.38231782e-01]
 [-1.88803615e-05  5.74964784e-04  5.43515165e-01]]","[[ 5.20345596e+02  3.91455782e+02  2.89704986e+02]
 [ 8.09426408e+01 -3.78436271e+02  8.03448460e+02]
 [-6.75507463e-02  4.13932067e-01  1.00000000e+00]]",10,"[[ 2.02723456e-03  6.62236527e-04 -1.18252971e+00]
 [ 3.83966216e-04 -1.73922261e-03  1.16791430e+00]
 [-1.32594096e-05  3.87978354e-04  7.14890640e-01]]","[[ 4.48793560e+02  2.46613960e+02  3.39475346e+02]
 [ 7.67124098e+01 -3.79242791e+02  7.46460722e+02]
 [-3.33086147e-02  2.10392949e-01  1.00000000e+00]]",15
1,300.389498,"[[ 1.67871011e-03  6.38371549e-04 -9.91904619e-01]
 [ 3.11087341e-04 -1.27023158e-03  9.43158495e-01]
 [-2.51601767e-05  5.76943696e-04  5.38836681e-01]]","[[ 5.27082107e+02  3.93082258e+02  2.82230795e+02]
 [ 8.20936240e+01 -3.77355970e+02  8.11629105e+02]
 [-6.32880447e-02  4.22397314e-01  1.00000000e+00]]",10,"[[ 2.03155953e-03  6.54311765e-04 -1.17165739e+00]
 [ 3.82006908e-04 -1.74200086e-03  1.18073380e+00]
 [-1.13364992e-05  3.88130368e-04  7.12224746e-01]]","[[ 4.48404889e+02  2.43016585e+02  3.34780570e+02]
 [ 7.53405729e+01 -3.78377129e+02  7.51217936e+02]
 [-3.39199428e-02  2.10066573e-01  1.00000000e+00]]",15
2,300.456852,"[[ 1.67717092e-03  6.39664955e-04 -9.91039768e-01]
 [ 3.13779607e-04 -1.26490604e-03  9.42005804e-01]
 [-2.25828516e-05  5.80057532e-04  5.34009129e-01]]","[[ 5.26182415e+02  3.94649863e+02  2.80342094e+02]
 [ 8.13177963e+01 -3.76045372e+02  8.14267152e+02]
 [-6.60780853e-02  4.25161776e-01  1.00000000e+00]]",10,"[[ 2.03472052e-03  6.55802962e-04 -1.17271934e+00]
 [ 3.87336480e-04 -1.74281420e-03  1.18277209e+00]
 [-6.64498483e-06  3.89709923e-04  7.08834665e-01]]","[[ 4.46377738e+02  2.42589036e+02  3.33714300e+02]
 [ 7.43172148e+01 -3.77481254e+02  7.52823688e+02]
 [-3.66742543e-02  2.09809421e-01  1.00000000e+00]]",15
3,300.522853,"[[ 1.67145427e-03  6.41584655e-04 -9.90562410e-01]
 [ 3.18132573e-04 -1.25935905e-03  9.37442725e-01]
 [-2.49482948e-05  5.80718911e-04  5.33661170e-01]]","[[ 5.26818901e+02  3.97401173e+02  2.79777077e+02]
 [ 8.36538500e+01 -3.75595969e+02  8.15056618e+02]
 [-6.64019445e-02  4.27293903e-01  1.00000000e+00]]",10,"[[ 2.02906309e-03  6.58756017e-04 -1.17273761e+00]
 [ 3.92684620e-04 -1.73868622e-03  1.17886885e+00]
 [-9.37653327e-06  3.89672736e-04  7.09577502e-01]]","[[ 4.47132339e+02  2.44130725e+02  3.33396710e+02]
 [ 7.65052659e+01 -3.77326907e+02  7.53320866e+02]
 [-3.61052386e-02  2.10439462e-01  1.00000000e+00]]",15
4,300.5931,"[[ 1.66218786e-03  6.44929924e-04 -9.95689889e-01]
 [ 3.22531397e-04 -1.24765929e-03  9.32731031e-01]
 [-2.58377809e-05  5.81884071e-04  5.30009495e-01]]","[[ 5.27646577e+02  4.03704600e+02  2.80796014e+02]
 [ 8.54762746e+01 -3.74804361e+02  8.20173080e+02]
 [-6.81196589e-02  4.31168725e-01  1.00000000e+00]]",10,"[[ 2.01936266e-03  6.64008430e-04 -1.17896135e+00]
 [ 3.95490926e-04 -1.73295398e-03  1.17982657e+00]
 [-1.39768422e-05  3.87254582e-04  7.11437847e-01]]","[[ 4.49162682e+02  2.46927476e+02  3.34834374e+02]
 [ 7.91737831e+01 -3.77497537e+02  7.57233340e+02]
 [-3.42721917e-02  2.10333085e-01  1.00000000e+00]]",15
5,300.659332,"[[ 1.65424524e-03  6.47666283e-04 -9.98589054e-01]
 [ 3.25462020e-04 -1.23532760e-03  9.31070737e-01]
 [-2.74501945e-05  5.84116559e-04  5.24381876e-01]]","[[ 5.28600326e+02  4.09398212e+02  2.79711814e+02]
 [ 8.70435304e+01 -3.72636839e+02  8.27396965e+02]
 [-6.92880272e-02  4.36516628e-01  1.00000000e+00]]",10,"[[ 2.01722028e-03  6.68550023e-04 -1.18532518e+00]
 [ 4.00292990e-04 -1.73302338e-03  1.18686957e+00]
 [-1.59772171e-05  3.84903223e-04  7.11967565e-01]]","[[ 4.49231766e+02  2.47700273e+02  3.34984090e+02]
 [ 8.07647215e+01 -3.76578991e+02  7.62229388e+02]
 [-3.35817660e-02  2.09144399e-01  1.00000000e+00]]",15
6,300.723753,"[[ 1.65127829e-03  6.47662739e-04 -9.99637159e-01]
 [ 3.24348057e-04 -1.23381951e-03  9.32985862e-01]
 [-2.79765189e-05  5.86094269e-04  5.21511699e-01]]","[[ 5.29609240e+02  4.10975248e+02  2.79922733e+02]
 [ 8.68776690e+01 -3.70729269e+02  8.29763385e+02]
 [-6.92254481e-02  4.38686145e-01  1.00000000e+00]]",10,"[[ 2.01573526e-03  6.68861862e-04 -1.18723303e+00]
 [ 3.98902024e-04 -1.73652702e-03  1.19267649e+00]
 [-1.72063212e-05  3.85121493e-04  7.11583275e-01]]","[[ 4.49939966e+02  2.47712512e+02  3.35509153e+02]
 [ 8.07959399e+01 -3.75329072e+02  7.63887781e+02]
 [-3.28484975e-02  2.09124524e-01  1.00000000e+00]]",15
7,300.79443000000003,"[[ 1.64714293e-03  6.47749686e-04 -1.00114904e+00]
 [ 3.25928793e-04 -1.22655431e-03  9.31202385e-01]
 [-2.46553691e-05  5.89394375e-04  5.15582453e-01]]","[[ 5.29362356e+02  4.14102062e+02  2.79989723e+02]
 [ 8.55963482e+01 -3.69518245e+02  8.33602793e+02]
 [-7.25361805e-02  4.42221827e-01  1.00000000e+00]]",10,"[[ 2.01335773e-03  6.69560718e-04 -1.18995102e+00]
 [ 3.99982848e-04 -1.73489793e-03  1.19557841e+00]
 [-1.49049892e-05  3.86336054e-04  7.08836804e-01]]","[[ 4.49814457e+02  2.48440357e+02  3.36081939e+02]
 [ 8.01276355e+01 -3.74763943e+02  7.66618830e+02]
 [-3.42133968e-02  2.09480974e-01  1.00000000e+00]]",15
8,300.867158,"[[ 1.64661356e-03  6.49754199e-04 -1.00684262e+00]
 [ 3.34521414e-04 -1.22782652e-03  9.25413245e-01]
 [-2.19633647e-05  5.90064637e-04  5.15909146e-01]]","[[ 5.26771464e+02  4.15037816e+02  2.83566337e+02]
 [ 8.61537091e+01 -3.69516649e+02  8.30957989e+02]
 [-7.61114309e-02  4.40299103e-01  1.00000000e+00]]",10,"[[ 2.00526571e-03  6.72296990e-04 -1.19322630e+00]
 [ 4.04745755e-04 -1.73060998e-03  1.18744111e+00]
 [-1.66976494e-05  3.86669172e-04  7.09733990e-01]]","[[ 4.50887283e+02  2.50781655e+02  3.38467823e+02]
 [ 8.20558549e+01 -3.74964015e+02  7.65299249e+02]
 [-3.40968758e-02  2.10183662e-01  1.00000000e+00]]",15
9,300.937456,"[[ 1.64363488e-03  6.58993334e-04 -1.01810858e+00]
 [ 3.48071872e-04 -1.22184829e-03  9.14251787e-01]
 [-2.10010157e-05  5.89084218e-04  5.17127523e-01]]","[[ 5.23058984e+02  4.20322880e+02  2.86679565e+02]
 [ 8.90209840e+01 -3.70293703e+02  8.29920449e+02]
 [-8.01660808e-02  4.38888617e-01  1.00000000e+00]]",10,"[[ 1.99487427e-03  6.84505466e-04 -1.20341047e+00]
 [ 4.14831324e-04 -1.72008595e-03  1.17488451e+00]
 [-2.14035401e-05  3.84062532e-04  7.13406786e-01]]","[[ 4.51738974e+02  2.55837560e+02  3.40686171e+02]
 [ 8.64235319e+01 -3.76119297e+02  7.65201184e+02]
 [-3.29730915e-02  2.10159423e-01  1.00000000e+00]]",15
