world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,340234.947557,"[[ 3.73405979e-03  2.54832524e-03 -3.02454412e+00]
 [ 1.06801939e-03 -2.17753714e-03  1.87712494e-01]
 [ 3.36574261e-04  5.78710957e-04  6.00954630e-01]]","[[ 1.30587816e+02  3.02391133e+02  5.62781282e+02]
 [ 5.33186417e+01 -3.00568506e+02  3.62232084e+02]
 [-1.24482908e-01  1.20084299e-01  1.00000000e+00]]",12,"[[ 3.51614054e-03  2.54831864e-03 -2.88493818e+00]
 [ 1.02117944e-03 -2.14257722e-03  1.99299292e-01]
 [ 3.43429248e-05  7.74562931e-04  7.02096540e-01]]","[[ 1.63642795e+02  3.96978518e+02  5.59726173e+02]
 [ 7.00601332e+01 -2.53332121e+02  3.59791070e+02]
 [-8.52958972e-02  2.60061482e-01  1.00000000e+00]]",14
1,340235.06331,"[[ 3.77513944e-03  2.50374489e-03 -3.01423341e+00]
 [ 1.04701744e-03 -2.21667577e-03  2.50083823e-01]
 [ 3.27471460e-04  5.84194420e-04  6.01608658e-01]]","[[ 1.34641126e+02  2.97293429e+02  5.51008533e+02]
 [ 4.98647108e+01 -2.96479855e+02  3.73080889e+02]
 [-1.21710037e-01  1.26073258e-01  1.00000000e+00]]",13,"[[ 3.57584045e-03  2.51158981e-03 -2.89116558e+00]
 [ 1.00154795e-03 -2.18337586e-03  2.60321507e-01]
 [ 5.76609538e-05  7.62685882e-04  6.85677934e-01]]","[[ 1.64259971e+02  3.80435729e+02  5.48168685e+02]
 [ 6.50718457e+01 -2.53667767e+02  3.70682274e+02]
 [-8.61931845e-02  2.50164880e-01  1.00000000e+00]]",14
2,340235.123137,"[[ 3.80148325e-03  2.49389676e-03 -3.00331454e+00]
 [ 1.02909889e-03 -2.22358649e-03  2.73282836e-01]
 [ 3.23900388e-04  5.97615111e-04  5.99778140e-01]]","[[ 1.35849270e+02  2.98619974e+02  5.44185179e+02]
 [ 4.79803737e+01 -2.95190600e+02  3.74756369e+02]
 [-1.21170517e-01  1.32861191e-01  1.00000000e+00]]",12,"[[ 3.60628617e-03  2.50723254e-03 -2.88643779e+00]
 [ 9.84125190e-04 -2.19086764e-03  2.83107085e-01]
 [ 6.53780128e-05  7.74075998e-04  6.76303711e-01]]","[[ 1.64041742e+02  3.79036379e+02  5.41455549e+02]
 [ 6.24072310e+01 -2.53430900e+02  3.72440176e+02]
 [-8.72872079e-02  2.53427755e-01  1.00000000e+00]]",14
3,340235.1762,"[[ 3.84632735e-03  2.47782597e-03 -2.99931641e+00]
 [ 1.03099161e-03 -2.26372106e-03  2.87934660e-01]
 [ 3.35989851e-04  5.72985924e-04  6.05036456e-01]]","[[ 1.36269463e+02  2.85726056e+02  5.39545674e+02]
 [ 4.68000092e+01 -2.96130146e+02  3.72926567e+02]
 [-1.19994262e-01  1.21773406e-01  1.00000000e+00]]",14,"[[ 3.67025887e-03  2.50708244e-03 -2.90054494e+00]
 [ 9.98344074e-04 -2.24639475e-03  2.94687784e-01]
 [ 9.79227323e-05  7.50109114e-04  6.69780991e-01]]","[[ 1.60557837e+02  3.58671366e+02  5.37502789e+02]
 [ 5.95299848e+01 -2.55150237e+02  3.70059851e+02]
 [-9.01432664e-02  2.33312740e-01  1.00000000e+00]]",14
4,340235.22775099997,"[[ 3.86575187e-03  2.45853611e-03 -2.99543018e+00]
 [ 1.01909312e-03 -2.25840888e-03  2.95723916e-01]
 [ 3.38352079e-04  5.78539841e-04  6.02136070e-01]]","[[ 1.36255576e+02  2.85988808e+02  5.37370788e+02]
 [ 4.57081994e+01 -2.97369241e+02  3.73428744e+02]
 [-1.20481691e-01  1.25013347e-01  1.00000000e+00]]",13,"[[ 3.68940389e-03  2.49027329e-03 -2.89792088e+00]
 [ 9.86127640e-04 -2.24049884e-03  3.02400745e-01]
 [ 1.02615734e-04  7.57488121e-04  6.64349498e-01]]","[[ 1.60190831e+02  3.59038669e+02  5.35330866e+02]
 [ 5.82085507e+01 -2.56339195e+02  3.70589485e+02]
 [-9.11122619e-02  2.36819444e-01  1.00000000e+00]]",14
5,340235.280915,"[[ 3.87658819e-03  2.43081285e-03 -2.99134637e+00]
 [ 1.01485552e-03 -2.25886463e-03  3.10417443e-01]
 [ 3.37987740e-04  5.80264444e-04  6.00076182e-01]]","[[ 1.36820045e+02  2.84618257e+02  5.34808216e+02]
 [ 4.49118649e+01 -2.97345160e+02  3.77698824e+02]
 [-1.20491795e-01  1.27219417e-01  1.00000000e+00]]",13,"[[ 3.70652308e-03  2.46304723e-03 -2.89825949e+00]
 [ 9.82009599e-04 -2.24099794e-03  3.16833671e-01]
 [ 1.10088368e-04  7.53717911e-04  6.58797464e-01]]","[[ 1.59921634e+02  3.54974621e+02  5.32829130e+02]
 [ 5.70688179e+01 -2.57426635e+02  3.74867364e+02]
 [-9.20150806e-02  2.35198976e-01  1.00000000e+00]]",14
6,340235.33614699997,"[[ 3.82713413e-03  2.42026665e-03 -2.98529689e+00]
 [ 1.01098446e-03 -2.23565336e-03  3.12534769e-01]
 [ 3.19466802e-04  6.03636905e-04  5.96987357e-01]]","[[ 1.38445396e+02  2.95092682e+02  5.37823596e+02]
 [ 4.57784772e+01 -2.94324707e+02  3.83004844e+02]
 [-1.20374888e-01  1.39689624e-01  1.00000000e+00]]",12,"[[ 3.64818016e-03  2.43879821e-03 -2.88127575e+00]
 [ 9.68298271e-04 -2.20531619e-03  3.21204860e-01]
 [ 8.17432971e-05  7.69911270e-04  6.63148904e-01]]","[[ 1.64290652e+02  3.68565309e+02  5.35297128e+02]
 [ 5.91791102e+01 -2.55101718e+02  3.80685613e+02]
 [-8.89578844e-02  2.50739982e-01  1.00000000e+00]]",14
7,340235.389911,"[[ 3.84951507e-03  2.44798653e-03 -3.02682189e+00]
 [ 1.04331545e-03 -2.25847801e-03  2.99887347e-01]
 [ 3.37389947e-04  5.92876228e-04  5.89671122e-01]]","[[ 1.34205753e+02  2.87875030e+02  5.42483462e+02]
 [ 4.56997634e+01 -2.92598458e+02  3.83385944e+02]
 [-1.22736170e-01  1.29476459e-01  1.00000000e+00]]",13,"[[ 3.68345484e-03  2.46362683e-03 -2.92895189e+00]
 [ 1.00857690e-03 -2.23972965e-03  3.07225570e-01]
 [ 1.01038076e-04  7.50243414e-04  6.59829405e-01]]","[[ 1.59141235e+02  3.56134800e+02  5.40599286e+02]
 [ 5.91024630e+01 -2.53978914e+02  3.80609117e+02]
 [-9.15699685e-02  2.34246657e-01  1.00000000e+00]]",14
8,340235.441346,"[[ 3.76307061e-03  2.46817237e-03 -3.02048503e+00]
 [ 1.05593173e-03 -2.23102111e-03  2.76719110e-01]
 [ 3.16858820e-04  6.05639167e-04  5.92688154e-01]]","[[ 1.35423631e+02  2.99242582e+02  5.50439394e+02]
 [ 4.89157836e+01 -2.89718077e+02  3.84552852e+02]
 [-1.22383898e-01  1.36069807e-01  1.00000000e+00]]",13,"[[ 3.58322465e-03  2.46782706e-03 -2.90664512e+00]
 [ 1.01077861e-03 -2.19994626e-03  2.87080900e-01]
 [ 5.99234359e-05  7.59887326e-04  6.76705657e-01]]","[[ 1.64480215e+02  3.73768194e+02  5.47924938e+02]
 [ 6.42551432e+01 -2.50446400e+02  3.82241930e+02]
 [-8.67184838e-02  2.48133836e-01  1.00000000e+00]]",14
9,340235.491439,"[[ 3.73910756e-03  2.48553010e-03 -3.03312585e+00]
 [ 1.07235812e-03 -2.22324233e-03  2.57115566e-01]
 [ 3.18108831e-04  6.06478245e-04  5.90327090e-01]]","[[ 1.33752258e+02  3.01211880e+02  5.56032705e+02]
 [ 5.02127180e+01 -2.88947710e+02  3.83845584e+02]
 [-1.23661436e-01  1.34539550e-01  1.00000000e+00]]",13,"[[ 3.55718409e-03  2.47832280e-03 -2.91448831e+00]
 [ 1.02613582e-03 -2.19142404e-03  2.68144530e-01]
 [ 5.08466862e-05  7.59198950e-04  6.82192233e-01]]","[[ 1.64295095e+02  3.77560465e+02  5.53502870e+02]
 [ 6.63920908e+01 -2.49059506e+02  3.81538963e+02]
 [-8.61321251e-02  2.49032470e-01  1.00000000e+00]]",14
