world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,235439.377649,"[[ 8.75979979e-04  1.42928057e-03 -1.72703313e+00]
 [ 1.17830932e-03 -1.10734496e-03 -3.63112553e-01]
 [ 1.02933520e-04  1.59905464e-04  8.02265866e-01]]","[[ 3.12839303e+02  5.36076279e+02  9.16080190e+02]
 [ 3.70248496e+02 -3.31759528e+02  6.46874550e+02]
 [-1.13935308e-01 -2.65505134e-03  1.00000000e+00]]",5,"[[ 1.68124947e-03  1.85530947e-03 -2.68293152e+00]
 [ 7.88331459e-04 -1.44298535e-03  2.14695761e-01]
 [-1.47150238e-03 -5.44969051e-04  2.66126457e+00]]","[[ 9.57451733e+02  8.93725085e+02  8.93146238e+02]
 [ 6.20756376e+02 -1.35346193e+02  6.36729288e+02]
 [ 6.56524548e-01  4.66454602e-01  1.00000000e+00]]",15
1,235439.495367,"[[ 8.76535047e-04  1.43092675e-03 -1.72521869e+00]
 [ 1.18182992e-03 -1.10814028e-03 -3.63186684e-01]
 [ 9.98187009e-05  1.57449148e-04  8.07090518e-01]]","[[ 3.14443663e+02  5.35795681e+02  9.13253130e+02]
 [ 3.71876209e+02 -3.30393770e+02  6.46238752e+02]
 [-1.11436014e-01 -1.81170645e-03  1.00000000e+00]]",5,"[[ 1.67243806e-03  1.85272171e-03 -2.66893667e+00]
 [ 7.92891632e-04 -1.44099458e-03  2.10661526e-01]
 [-1.46447194e-03 -5.43672971e-04  2.65061926e+00]]","[[ 9.55146807e+02  8.91943135e+02  8.90859081e+02]
 [ 6.21338768e+02 -1.35193646e+02  6.36377299e+02]
 [ 6.55164178e-01  4.65070400e-01  1.00000000e+00]]",15
2,235439.55533499998,"[[ 8.77149580e-04  1.41676332e-03 -1.71509766e+00]
 [ 1.22517664e-03 -1.07952124e-03 -4.23918471e-01]
 [ 1.62356130e-04  2.42927799e-04  6.94991246e-01]]","[[ 2.41279079e+02  5.22343098e+02  9.14037513e+02]
 [ 3.43056357e+02 -3.31036726e+02  6.44673689e+02]
 [-1.76277131e-01 -6.31314541e-03  1.00000000e+00]]",6,"[[ 1.63469712e-03  1.78213491e-03 -2.59021159e+00]
 [ 8.49603757e-04 -1.38789999e-03  1.24572416e-01]
 [-1.30736518e-03 -3.45233091e-04  2.38510448e+00]]","[[ 8.63696097e+02  8.87241821e+02  8.91629613e+02]
 [ 5.78723383e+02 -1.35496672e+02  6.35567614e+02]
 [ 5.57191802e-01  4.66717972e-01  1.00000000e+00]]",15
3,235439.61074,"[[ 8.80761396e-04  1.43335288e-03 -1.72605333e+00]
 [ 1.17976258e-03 -1.11471580e-03 -3.58856988e-01]
 [ 9.64982788e-05  1.49369135e-04  8.15827611e-01]]","[[ 3.20191954e+02  5.33964413e+02  9.12307011e+02]
 [ 3.73056896e+02 -3.31153009e+02  6.43615782e+02]
 [-1.06175811e-01 -2.52824018e-03  1.00000000e+00]]",5,"[[ 1.67005544e-03  1.84811403e-03 -2.65890955e+00]
 [ 7.89395428e-04 -1.44529438e-03  2.13819921e-01]
 [-1.46709796e-03 -5.45870906e-04  2.65233291e+00]]","[[ 9.59735020e+02  8.90972309e+02  8.90288309e+02]
 [ 6.21656051e+02 -1.36513003e+02  6.34202594e+02]
 [ 6.58804646e-01  4.64732455e-01  1.00000000e+00]]",15
4,235439.66464899998,"[[ 8.82659509e-04  1.43328506e-03 -1.72579401e+00]
 [ 1.17918944e-03 -1.11577570e-03 -3.58894783e-01]
 [ 9.79993419e-05  1.50553231e-04  8.13901400e-01]]","[[ 3.19293430e+02  5.33231938e+02  9.12160674e+02]
 [ 3.71935904e+02 -3.31789241e+02  6.42347252e+02]
 [-1.07244806e-01 -2.83134633e-03  1.00000000e+00]]",5,"[[ 1.66868267e-03  1.84383967e-03 -2.65298923e+00]
 [ 7.88466591e-04 -1.44495206e-03  2.12928082e-01]
 [-1.46461682e-03 -5.40958636e-04  2.64639961e+00]]","[[ 9.59576127e+02  8.91178194e+02  8.90261720e+02]
 [ 6.20562183e+02 -1.37229575e+02  6.33148831e+02]
 [ 6.57916437e-01  4.65159925e-01  1.00000000e+00]]",15
5,235439.71607599998,"[[ 8.86036213e-04  1.42911453e-03 -1.72412239e+00]
 [ 1.17458626e-03 -1.11541252e-03 -3.56771758e-01]
 [ 9.87894535e-05  1.52425060e-04  8.12198888e-01]]","[[ 3.19303808e+02  5.33772218e+02  9.12281105e+02]
 [ 3.70931675e+02 -3.33705054e+02  6.40822188e+02]
 [-1.08450200e-01 -2.29753187e-03  1.00000000e+00]]",5,"[[ 1.66932460e-03  1.83423902e-03 -2.64555087e+00]
 [ 7.84008975e-04 -1.44180184e-03  2.12851874e-01]
 [-1.46390245e-03 -5.32893412e-04  2.64034457e+00]]","[[ 9.60605213e+02  8.92931091e+02  8.90515551e+02]
 [ 6.19431256e+02 -1.39084087e+02  6.31864956e+02]
 [ 6.57612336e-01  4.67002312e-01  1.00000000e+00]]",15
6,235439.769772,"[[ 8.86940932e-04  1.42664740e-03 -1.72300381e+00]
 [ 1.17321596e-03 -1.11616826e-03 -3.54898786e-01]
 [ 9.91956042e-05  1.53359871e-04  8.11269205e-01]]","[[ 3.19507703e+02  5.33698601e+02  9.12054801e+02]
 [ 3.70530935e+02 -3.34290132e+02  6.40708468e+02]
 [-1.09110928e-01 -2.06326524e-03  1.00000000e+00]]",5,"[[ 1.66926770e-03  1.83060378e-03 -2.64278285e+00]
 [ 7.81054176e-04 -1.44215180e-03  2.15760375e-01]
 [-1.46274976e-03 -5.29660042e-04  2.63697239e+00]]","[[ 9.61298420e+02  8.93237359e+02  8.90330805e+02]
 [ 6.19008659e+02 -1.39709031e+02  6.31803786e+02]
 [ 6.57573508e-01  4.67424098e-01  1.00000000e+00]]",15
7,235439.825281,"[[ 8.91408292e-04  1.42484434e-03 -1.72550822e+00]
 [ 1.17046729e-03 -1.11659450e-03 -3.51103547e-01]
 [ 1.01733173e-04  1.59954075e-04  8.04777602e-01]]","[[ 3.16344719e+02  5.34226309e+02  9.11337696e+02]
 [ 3.67126209e+02 -3.35299140e+02  6.40865965e+02]
 [-1.12958021e-01 -8.89778615e-04  1.00000000e+00]]",5,"[[ 1.67516483e-03  1.82896143e-03 -2.64642471e+00]
 [ 7.75872853e-04 -1.44308234e-03  2.21680006e-01]
 [-1.45944290e-03 -5.23442708e-04  2.62939048e+00]]","[[ 9.58802423e+02  8.92441945e+02  8.89773472e+02]
 [ 6.16092153e+02 -1.41369698e+02  6.32002113e+02]
 [ 6.54830978e-01  4.67206806e-01  1.00000000e+00]]",15
8,235439.88174799999,"[[ 8.94981522e-04  1.42550046e-03 -1.72605985e+00]
 [ 1.16972689e-03 -1.12087895e-03 -3.48816546e-01]
 [ 1.00556869e-04  1.55108596e-04  8.09297219e-01]]","[[ 3.19409828e+02  5.32230134e+02  9.10631025e+02]
 [ 3.67605836e+02 -3.36205025e+02  6.39117233e+02]
 [-1.10142078e-01 -1.69419445e-03  1.00000000e+00]]",5,"[[ 1.67290973e-03  1.82321688e-03 -2.63739306e+00]
 [ 7.75295695e-04 -1.44369829e-03  2.20841951e-01]
 [-1.45602654e-03 -5.18811276e-04  2.62201569e+00]]","[[ 9.58762906e+02  8.91212654e+02  8.89322477e+02]
 [ 6.14930292e+02 -1.42680277e+02  6.30554073e+02]
 [ 6.54083425e-01  4.66665833e-01  1.00000000e+00]]",15
9,235439.93700799998,"[[ 8.94875958e-04  1.42454582e-03 -1.72293746e+00]
 [ 1.16802368e-03 -1.12248824e-03 -3.46554240e-01]
 [ 9.59419205e-05  1.47567447e-04  8.18572444e-01]]","[[ 3.25176415e+02  5.32284603e+02  9.09784003e+02]
 [ 3.70770655e+02 -3.36465957e+02  6.37953246e+02]
 [-1.04953116e-01 -1.73104374e-03  1.00000000e+00]]",5,"[[ 1.66767311e-03  1.81850672e-03 -2.62704096e+00]
 [ 7.73148279e-04 -1.44375504e-03  2.21929712e-01]
 [-1.46063594e-03 -5.24003905e-04  2.62799373e+00]]","[[ 9.64391504e+02  8.92166746e+02  8.88699866e+02]
 [ 6.17771586e+02 -1.43033254e+02  6.29626537e+02]
 [ 6.59187119e-01  4.67345419e-01  1.00000000e+00]]",15
10,235439.99263199998,"[[ 8.94072615e-04  1.42517512e-03 -1.72225378e+00]
 [ 1.16760601e-03 -1.12350694e-03 -3.45302865e-01]
 [ 9.45067732e-05  1.45251284e-04  8.21392734e-01]]","[[ 3.27027068e+02  5.32421533e+02  9.09516549e+02]
 [ 3.71625165e+02 -3.36194870e+02  6.37872446e+02]
 [-1.03343141e-01 -1.80754533e-03  1.00000000e+00]]",5,"[[ 1.66602360e-03  1.81921341e-03 -2.62554643e+00]
 [ 7.73228166e-04 -1.44433196e-03  2.22297480e-01]
 [-1.46091661e-03 -5.25888339e-04  2.62908181e+00]]","[[ 9.65225176e+02  8.92251232e+02  8.88484456e+02]
 [ 6.18322594e+02 -1.42778362e+02  6.29563502e+02]
 [ 6.60033527e-01  4.67242658e-01  1.00000000e+00]]",15
