world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,235551.836691,"[[ 8.88671541e-04 -1.14014881e-03  4.93023989e-01]
 [-1.22100319e-03 -2.07273232e-03  2.59081067e-01]
 [-4.85463928e-04 -5.37526632e-04  1.02926443e+00]]","[[ 6.16593327e+02 -2.80912801e+02 -2.24642091e+02]
 [-3.49698338e+02 -3.56829442e+02  2.57326897e+02]
 [ 1.08195373e-01 -3.18847471e-01  1.00000000e+00]]",2,"[[ 2.03657594e-03 -1.13911630e-03  2.64235993e-01]
 [-3.25725127e-03 -3.87671629e-03  1.26633636e+00]
 [ 6.46266319e-06 -2.72587379e-04  1.08055663e+00]]","[[ 3.31203829e+02 -9.98527225e+01  3.60288012e+01]
 [-3.03975990e+02 -1.89471040e+02  2.96380083e+02]
 [-7.86636027e-02 -4.71998396e-02  1.00000000e+00]]",8
1,235551.950958,"[[ 9.27690201e-04 -1.17668526e-03  4.97312207e-01]
 [-1.33233669e-03 -2.23875124e-03  3.16060435e-01]
 [-4.39520417e-04 -5.27840880e-04  1.04901004e+00]]","[[ 5.98594577e+02 -2.66654958e+02 -2.03438767e+02]
 [-3.45364816e+02 -3.26985791e+02  2.62248596e+02]
 [ 7.70220180e-02 -2.76257381e-01  1.00000000e+00]]",3,"[[ 2.13029787e-03 -1.11964418e-03  2.35520009e-01]
 [-3.85845752e-03 -4.52217033e-03  1.55780802e+00]
 [ 5.05190846e-05 -3.17653979e-04  1.09377620e+00]]","[[ 3.19012746e+02 -8.24031484e+01  4.86702859e+01]
 [-3.08090148e+02 -1.66133424e+02  3.02955370e+02]
 [-1.04209886e-01 -4.44423745e-02  1.00000000e+00]]",8
2,235552.011297,"[[ 9.32018492e-04 -1.16425062e-03  4.88969364e-01]
 [-1.32776034e-03 -2.24002952e-03  3.37049147e-01]
 [-4.53804871e-04 -5.28305763e-04  1.05228330e+00]]","[[ 5.99703823e+02 -2.66071540e+02 -1.93443734e+02]
 [-3.42422746e+02 -3.30979171e+02  2.65128677e+02]
 [ 8.67110649e-02 -2.80915571e-01  1.00000000e+00]]",3,"[[ 2.12164854e-03 -1.11899517e-03  2.29863302e-01]
 [-3.78093329e-03 -4.46839127e-03  1.55759125e+00]
 [ 4.33608122e-05 -3.19616631e-04  1.09502919e+00]]","[[ 3.20554449e+02 -8.40089910e+01  5.22067955e+01]
 [-3.06885621e+02 -1.68716063e+02  3.04405042e+02]
 [-1.02266909e-01 -4.59181932e-02  1.00000000e+00]]",8
3,235552.06715,"[[ 9.43015045e-04 -1.16274063e-03  4.83423266e-01]
 [-1.33398926e-03 -2.26348643e-03  3.63628275e-01]
 [-4.51859211e-04 -5.20774927e-04  1.05725811e+00]]","[[ 5.97929698e+02 -2.65239349e+02 -1.82173681e+02]
 [-3.38090719e+02 -3.29784679e+02  2.68013981e+02]
 [ 8.90140934e-02 -2.75802506e-01  1.00000000e+00]]",3,"[[ 2.11670328e-03 -1.11669796e-03  2.22407472e-01]
 [-3.72235126e-03 -4.45038734e-03  1.57044658e+00]
 [ 5.33125740e-05 -3.04641192e-04  1.09016487e+00]]","[[ 3.22108577e+02 -8.46755238e+01  5.62658310e+01]
 [-3.05055182e+02 -1.69088663e+02  3.05817289e+02]
 [-1.00998312e-01 -4.31100864e-02  1.00000000e+00]]",8
4,235552.124446,"[[ 9.49545440e-04 -1.16522863e-03  4.80901946e-01]
 [-1.33346716e-03 -2.26814427e-03  3.75700784e-01]
 [-4.53581175e-04 -5.26095514e-04  1.06173195e+00]]","[[ 5.96225663e+02 -2.65451129e+02 -1.76123441e+02]
 [-3.35906630e+02 -3.30759474e+02  2.69187290e+02]
 [ 8.82687626e-02 -2.77296648e-01  1.00000000e+00]]",3,"[[ 2.11390038e-03 -1.11868685e-03  2.19027015e-01]
 [-3.67989522e-03 -4.42569470e-03  1.57093602e+00]
 [ 4.95957007e-05 -3.10691720e-04  1.09227042e+00]]","[[ 3.22590355e+02 -8.56478398e+01  5.84940079e+01]
 [-3.04135495e+02 -1.70580923e+02  3.06321220e+02]
 [-1.01157619e-01 -4.46320939e-02  1.00000000e+00]]",8
5,235552.185301,"[[ 9.66003494e-04 -1.17205368e-03  4.70813514e-01]
 [-1.33423135e-03 -2.29167922e-03  4.06950987e-01]
 [-4.55737452e-04 -5.33602677e-04  1.07163777e+00]]","[[ 5.92631045e+02 -2.65988997e+02 -1.59358157e+02]
 [-3.29405648e+02 -3.30841304e+02  2.70357051e+02]
 [ 8.80077484e-02 -2.77854106e-01  1.00000000e+00]]",3,"[[ 2.10170247e-03 -1.12700215e-03  2.08775025e-01]
 [-3.58256975e-03 -4.39228933e-03  1.57770586e+00]
 [ 5.24939511e-05 -3.09778918e-04  1.09146869e+00]]","[[ 3.24467194e+02 -8.78307863e+01  6.48946696e+01]
 [-3.00936627e+02 -1.72055842e+02  3.06267661e+02]
 [-1.01016538e-01 -4.46084145e-02  1.00000000e+00]]",8
6,235552.24318999998,"[[ 9.93353754e-04 -1.16477420e-03  4.52150795e-01]
 [-1.33149647e-03 -2.33407044e-03  4.50015523e-01]
 [-4.55891500e-04 -5.37302446e-04  1.08308689e+00]]","[[ 5.90834985e+02 -2.63244089e+02 -1.37276689e+02]
 [-3.19675404e+02 -3.31318406e+02  2.71113904e+02]
 [ 9.01075176e-02 -2.75166227e-01  1.00000000e+00]]",3,"[[ 2.09273918e-03 -1.10813964e-03  1.84636259e-01]
 [-3.44652587e-03 -4.36420458e-03  1.58761444e+00]
 [ 4.52057252e-05 -3.08551123e-04  1.09097894e+00]]","[[ 3.29777008e+02 -8.89402437e+01  7.36164731e+01]
 [-2.95842018e+02 -1.75627093e+02  3.05644095e+02]
 [-9.73347804e-02 -4.59856066e-02  1.00000000e+00]]",8
7,235552.299401,"[[ 1.02485932e-03 -1.15825936e-03  4.29981694e-01]
 [-1.32064860e-03 -2.37926091e-03  4.91626652e-01]
 [-4.55485056e-04 -5.51446233e-04  1.09686723e+00]]","[[ 5.89362778e+02 -2.60415569e+02 -1.14314631e+02]
 [-3.08626171e+02 -3.32652328e+02  2.70082237e+02]
 [ 8.95780240e-02 -2.75379978e-01  1.00000000e+00]]",3,"[[ 2.08725335e-03 -1.09033572e-03  1.57638362e-01]
 [-3.29508732e-03 -4.33970907e-03  1.59166044e+00]
 [ 4.31360915e-05 -3.12887760e-04  1.09142872e+00]]","[[ 3.35035262e+02 -9.01680893e+01  8.31044386e+01]
 [-2.89705321e+02 -1.79536795e+02  3.03666453e+02]
 [-9.62933804e-02 -4.79054343e-02  1.00000000e+00]]",8
8,235552.355538,"[[ 1.03741147e-03 -1.15263758e-03  4.18087115e-01]
 [-1.31333656e-03 -2.40586560e-03  5.10159083e-01]
 [-4.55031071e-04 -5.54579254e-04  1.10172766e+00]]","[[ 5.90493203e+02 -2.58881484e+02 -1.04206206e+02]
 [-3.02967545e+02 -3.32492781e+02  2.68933104e+02]
 [ 9.13776090e-02 -2.74289853e-01  1.00000000e+00]]",3,"[[ 2.08051534e-03 -1.07828847e-03  1.44039763e-01]
 [-3.22760061e-03 -4.34301565e-03  1.59498242e+00]
 [ 4.12637105e-05 -3.09135280e-04  1.08983653e+00]]","[[ 3.38775441e+02 -9.03348377e+01  8.74308587e+01]
 [-2.86303399e+02 -1.80687031e+02  3.02276261e+02]
 [-9.40376008e-02 -4.78321140e-02  1.00000000e+00]]",8
9,235552.410691,"[[ 1.08879426e-03 -1.12143828e-03  3.96979601e-01]
 [-1.27084774e-03 -2.37102412e-03  5.13892222e-01]
 [-3.47270217e-04 -3.85870638e-04  1.07084054e+00]]","[[ 5.84189613e+02 -2.61484441e+02 -9.10840926e+01]
 [-2.95107084e+02 -3.25398186e+02  2.65558764e+02]
 [ 8.31108757e-02 -2.02053767e-01  1.00000000e+00]]",4,"[[ 2.11934310e-03 -1.00640150e-03  1.02156334e-01]
 [-3.06892225e-03 -4.24458543e-03  1.55764256e+00]
 [ 8.80404025e-05 -2.53819705e-04  1.06766144e+00]]","[[ 3.42296993e+02 -8.67709933e+01  9.38409711e+01]
 [-2.82490935e+02 -1.86502063e+02  2.99122715e+02]
 [-9.53839172e-02 -3.71827095e-02  1.00000000e+00]]",8
10,235552.467579,"[[ 1.10279167e-03 -1.11941959e-03  3.84419864e-01]
 [-1.26855441e-03 -2.41070279e-03  5.39916771e-01]
 [-3.60167483e-04 -4.16830562e-04  1.08222675e+00]]","[[ 5.84490724e+02 -2.57745645e+02 -7.90302475e+01]
 [-2.88927129e+02 -3.26568748e+02  2.65553656e+02]
 [ 8.32366184e-02 -2.11559577e-01  1.00000000e+00]]",4,"[[ 2.11312366e-03 -1.00107962e-03  8.94860710e-02]
 [-2.99601671e-03 -4.24136956e-03  1.56258411e+00]
 [ 8.26193822e-05 -2.62580072e-04  1.07018504e+00]]","[[ 3.45161295e+02 -8.75991971e+01  9.90426716e+01]
 [-2.78837205e+02 -1.88436689e+02  2.98453268e+02]
 [-9.50621649e-02 -3.94719852e-02  1.00000000e+00]]",8
11,235552.521755,"[[ 1.11284293e-03 -1.11869354e-03  3.78652196e-01]
 [-1.26552611e-03 -2.42722960e-03  5.52755897e-01]
 [-3.61023541e-04 -4.27340426e-04  1.08722308e+00]]","[[ 5.83630343e+02 -2.56131067e+02 -7.30438439e+01]
 [-2.85739852e+02 -3.27096499e+02  2.65815311e+02]
 [ 8.14884312e-02 -2.13618443e-01  1.00000000e+00]]",4,"[[ 2.11392235e-03 -9.96520234e-04  8.23194162e-02]
 [-2.95923199e-03 -4.24056350e-03  1.56589644e+00]
 [ 7.86624054e-05 -2.73055085e-04  1.07345578e+00]]","[[ 3.46212309e+02 -8.79063977e+01  1.01683107e+02]
 [-2.76986361e+02 -1.89935113e+02  2.98307650e+02]
 [-9.58273541e-02 -4.18720738e-02  1.00000000e+00]]",8
12,235552.584352,"[[ 1.12780479e-03 -1.11240913e-03  3.65892071e-01]
 [-1.25929945e-03 -2.45436009e-03  5.74404639e-01]
 [-3.60818660e-04 -4.31115963e-04  1.09221995e+00]]","[[ 5.83623690e+02 -2.53605202e+02 -6.21406668e+01]
 [-2.80212381e+02 -3.27144602e+02  2.65917927e+02]
 [ 8.21979924e-02 -2.12908351e-01  1.00000000e+00]]",4,"[[ 2.10948615e-03 -9.84063891e-04  6.81852687e-02]
 [-2.89240744e-03 -4.23558704e-03  1.56950557e+00]
 [ 7.76644070e-05 -2.69791383e-04  1.07205741e+00]]","[[ 3.49484292e+02 -8.79855116e+01  1.06583909e+02]
 [-2.73547216e+02 -1.91507634e+02  2.97767810e+02]
 [-9.41583638e-02 -4.18203038e-02  1.00000000e+00]]",8
13,235552.643356,"[[ 1.14091023e-03 -1.10754198e-03  3.55273896e-01]
 [-1.25756743e-03 -2.47956169e-03  5.96071094e-01]
 [-3.62700538e-04 -4.37910655e-04  1.09791901e+00]]","[[ 5.83010052e+02 -2.51177625e+02 -5.22884935e+01]
 [-2.75835247e+02 -3.27229187e+02  2.66913060e+02]
 [ 8.25806504e-02 -2.13494261e-01  1.00000000e+00]]",4,"[[ 2.10497465e-03 -9.74612484e-04  5.66946135e-02]
 [-2.83748280e-03 -4.22682629e-03  1.57440712e+00]
 [ 7.61804370e-05 -2.66152979e-04  1.07084330e+00]]","[[ 3.52165221e+02 -8.81921214e+01  1.11019448e+02]
 [-2.70812859e+02 -1.92901994e+02  2.97951999e+02]
 [-9.23624862e-02 -4.16708271e-02  1.00000000e+00]]",8
14,235552.697079,"[[ 1.14698470e-03 -1.10723395e-03  3.50888167e-01]
 [-1.25696711e-03 -2.49025220e-03  6.04798599e-01]
 [-3.64740940e-04 -4.47709336e-04  1.10206534e+00]]","[[ 5.82303350e+02 -2.50268075e+02 -4.80566556e+01]
 [-2.74165421e+02 -3.27689022e+02  2.67123239e+02]
 [ 8.13413230e-02 -2.15951304e-01  1.00000000e+00]]",4,"[[ 2.10278566e-03 -9.71926437e-04  5.19982095e-02]
 [-2.81427565e-03 -4.22326440e-03  1.57583121e+00]
 [ 7.35244653e-05 -2.69961068e-04  1.07210766e+00]]","[[ 3.53169794e+02 -8.84970843e+01  1.12947865e+02]
 [-2.69722678e+02 -1.93750950e+02  2.97865506e+02]
 [-9.21374284e-02 -4.27182030e-02  1.00000000e+00]]",8
15,235552.750091,"[[ 1.15350922e-03 -1.10127092e-03  3.43894147e-01]
 [-1.25391843e-03 -2.50884965e-03  6.15618995e-01]
 [-3.65507809e-04 -4.48277308e-04  1.10388213e+00]]","[[ 5.83291999e+02 -2.48313891e+02 -4.32328371e+01]
 [-2.71156902e+02 -3.27268261e+02  2.66986684e+02]
 [ 8.30199996e-02 -2.15120432e-01  1.00000000e+00]]",4,"[[ 2.10206785e-03 -9.64220606e-04  4.46610788e-02]
 [-2.78717087e-03 -4.23168348e-03  1.58002030e+00]
 [ 7.07497448e-05 -2.73405249e-04  1.07318490e+00]]","[[ 3.54786115e+02 -8.82845517e+01  1.15214305e+02]
 [-2.67893219e+02 -1.94491891e+02  2.97493503e+02]
 [-9.16379267e-02 -4.37287130e-02  1.00000000e+00]]",8
16,235552.801414,"[[ 1.15842999e-03 -1.09468435e-03  3.38919981e-01]
 [-1.24863864e-03 -2.51748649e-03  6.19024209e-01]
 [-3.66496602e-04 -4.50840586e-04  1.10499946e+00]]","[[ 5.84315866e+02 -2.46737830e+02 -4.09951621e+01]
 [-2.69162205e+02 -3.27857330e+02  2.66222820e+02]
 [ 8.39824238e-02 -2.15601885e-01  1.00000000e+00]]",4,"[[ 2.10325512e-03 -9.53814907e-04  3.84631928e-02]
 [-2.76694665e-03 -4.23493032e-03  1.57867713e+00]
 [ 6.72497730e-05 -2.74684953e-04  1.07370144e+00]]","[[ 3.56253875e+02 -8.77811697e+01  1.16303713e+02]
 [-2.66495927e+02 -1.95359779e+02  2.96786693e+02]
 [-9.04910897e-02 -4.44808269e-02  1.00000000e+00]]",8
17,235552.856134,"[[ 1.15965202e-03 -1.09452428e-03  3.38068762e-01]
 [-1.24656968e-03 -2.52196231e-03  6.21065332e-01]
 [-3.65018706e-04 -4.47051151e-04  1.10428762e+00]]","[[ 5.84594102e+02 -2.46569298e+02 -4.02950832e+01]
 [-2.68097726e+02 -3.27346926e+02  2.66180013e+02]
 [ 8.47011083e-02 -2.14023250e-01  1.00000000e+00]]",4,"[[ 2.10444059e-03 -9.54588151e-04  3.78076661e-02]
 [-2.75861386e-03 -4.23490363e-03  1.57828843e+00]
 [ 7.49755057e-05 -2.64164007e-04  1.06963741e+00]]","[[ 3.56234428e+02 -8.75735781e+01  1.16626411e+02]
 [-2.65823451e+02 -1.94722168e+02  2.96715415e+02]
 [-9.06193477e-02 -4.19513327e-02  1.00000000e+00]]",8
18,235552.908934,"[[ 1.16329367e-03 -1.09158270e-03  3.35696107e-01]
 [-1.24284790e-03 -2.52613999e-03  6.22962754e-01]
 [-3.64473283e-04 -4.47951642e-04  1.10483238e+00]]","[[ 5.84801045e+02 -2.45765573e+02 -3.91123908e+01]
 [-2.66822250e+02 -3.27705215e+02  2.65849679e+02]
 [ 8.47376433e-02 -2.13942929e-01  1.00000000e+00]]",4,"[[ 2.10681775e-03 -9.49237024e-04  3.44004658e-02]
 [-2.74721723e-03 -4.23767592e-03  1.57806739e+00]
 [ 7.10555085e-05 -2.70641906e-04  1.07188947e+00]]","[[ 3.56736361e+02 -8.73948475e+01  1.17216435e+02]
 [-2.64988231e+02 -1.95550985e+02  2.96400292e+02]
 [-9.05550492e-02 -4.35813648e-02  1.00000000e+00]]",8
19,235552.96335499999,"[[ 1.16559125e-03 -1.09109487e-03  3.35746968e-01]
 [-1.24086965e-03 -2.52429421e-03  6.25297639e-01]
 [-3.63177604e-04 -4.48124676e-04  1.10550905e+00]]","[[ 5.84334473e+02 -2.45742360e+02 -3.84677178e+01]
 [-2.66444315e+02 -3.28314994e+02  2.66621482e+02]
 [ 8.39585359e-02 -2.13814777e-01  1.00000000e+00]]",4,"[[ 2.10803845e-03 -9.46714926e-04  3.34633618e-02]
 [-2.73856050e-03 -4.23025663e-03  1.57791467e+00]
 [ 6.88433123e-05 -2.74218572e-04  1.07334109e+00]]","[[ 3.56885369e+02 -8.74853197e+01  1.17485286e+02]
 [-2.64812406e+02 -1.96377521e+02  2.96949859e+02]
 [-9.05449830e-02 -4.45595391e-02  1.00000000e+00]]",8
20,235553.020227,"[[ 1.17005435e-03 -1.09314004e-03  3.34261543e-01]
 [-1.24001388e-03 -2.53540242e-03  6.33287780e-01]
 [-3.64195772e-04 -4.51297292e-04  1.10757161e+00]]","[[ 5.83595402e+02 -2.45225129e+02 -3.59122800e+01]
 [-2.64402038e+02 -3.28004049e+02  2.67341981e+02]
 [ 8.41652611e-02 -2.14286184e-01  1.00000000e+00]]",4,"[[ 2.10932669e-03 -9.48820985e-04  3.19011219e-02]
 [-2.72268039e-03 -4.22931597e-03  1.58059782e+00]
 [ 7.13824268e-05 -2.70617574e-04  1.07200075e+00]]","[[ 3.56916645e+02 -8.76628589e+01  1.18632083e+02]
 [-2.63512806e+02 -1.96353860e+02  2.97353185e+02]
 [-9.02879707e-02 -4.37305828e-02  1.00000000e+00]]",8
21,235553.080815,"[[ 1.17733210e-03 -1.08922931e-03  3.28442044e-01]
 [-1.23469435e-03 -2.54832647e-03  6.38455136e-01]
 [-3.63301629e-04 -4.55235621e-04  1.10940429e+00]]","[[ 5.83756779e+02 -2.43695000e+02 -3.25777947e+01]
 [-2.61864069e+02 -3.28062300e+02  2.66323316e+02]
 [ 8.37115353e-02 -2.14421772e-01  1.00000000e+00]]",4,"[[ 2.11166045e-03 -9.41961957e-04  2.52328236e-02]
 [-2.69787090e-03 -4.23388139e-03  1.57932914e+00]
 [ 7.41999870e-05 -2.68122181e-04  1.07054494e+00]]","[[ 3.57879685e+02 -8.72377253e+01  1.20262832e+02]
 [-2.61751224e+02 -1.96724630e+02  2.96388923e+02]
 [-9.03614348e-02 -4.32239666e-02  1.00000000e+00]]",8
22,235553.135365,"[[ 1.18087074e-03 -1.08169817e-03  3.25049894e-01]
 [-1.22611858e-03 -2.55550111e-03  6.38596201e-01]
 [-3.62088192e-04 -4.55360887e-04  1.10916566e+00]]","[[ 5.85561327e+02 -2.42119206e+02 -3.22046055e+01]
 [-2.59838565e+02 -3.28608608e+02  2.65342427e+02]
 [ 8.44819906e-02 -2.13948215e-01  1.00000000e+00]]",4,"[[ 2.11563789e-03 -9.30356032e-04  2.00954080e-02]
 [-2.68061263e-03 -4.24238654e-03  1.57717263e+00]
 [ 7.28498326e-05 -2.71072023e-04  1.07135680e+00]]","[[ 3.59009725e+02 -8.64305470e+01  1.20502755e+02]
 [-2.60416512e+02 -1.97496226e+02  2.95624033e+02]
 [-9.03017830e-02 -4.40929210e-02  1.00000000e+00]]",8
23,235553.194415,"[[ 1.17972766e-03 -1.07864919e-03  3.25002167e-01]
 [-1.22181668e-03 -2.55883324e-03  6.36273807e-01]
 [-3.62845075e-04 -4.54322738e-04  1.10808178e+00]]","[[ 5.87165190e+02 -2.41564009e+02 -3.35075513e+01]
 [-2.58957285e+02 -3.28632498e+02  2.64657298e+02]
 [ 8.60945612e-02 -2.13842996e-01  1.00000000e+00]]",4,"[[ 2.11815948e-03 -9.27874880e-04  1.98901517e-02]
 [-2.67848054e-03 -4.24975942e-03  1.57559569e+00]
 [ 7.62276287e-05 -2.66518446e-04  1.06952836e+00]]","[[ 3.59129987e+02 -8.59311030e+01  1.19912226e+02]
 [-2.59843686e+02 -1.97085639e+02  2.95172739e+02]
 [-9.03470790e-02 -4.29877654e-02  1.00000000e+00]]",8
24,235553.256324,"[[ 1.17750880e-03 -1.07380828e-03  3.25449137e-01]
 [-1.21086209e-03 -2.55457186e-03  6.23376597e-01]
 [-3.60629233e-04 -4.49420526e-04  1.10411922e+00]]","[[ 5.89655907e+02 -2.41245361e+02 -3.76012786e+01]
 [-2.58138344e+02 -3.29013352e+02  2.61846836e+02]
 [ 8.75217869e-02 -2.12717502e-01  1.00000000e+00]]",4,"[[ 2.12340391e-03 -9.19782836e-04  1.88821316e-02]
 [-2.68174689e-03 -4.26646568e-03  1.56815320e+00]
 [ 7.62121727e-05 -2.65475124e-04  1.06885636e+00]]","[[ 3.59527474e+02 -8.48601736e+01  1.18149746e+02]
 [-2.59057820e+02 -1.96786741e+02  2.93288539e+02]
 [-8.99782048e-02 -4.28257788e-02  1.00000000e+00]]",8
25,235553.317164,"[[ 1.17631448e-03 -1.07206921e-03  3.25228876e-01]
 [-1.20079491e-03 -2.54917242e-03  6.09822628e-01]
 [-3.59062236e-04 -4.49448600e-04  1.10149237e+00]]","[[ 5.91187940e+02 -2.41416508e+02 -4.08991852e+01]
 [-2.57515516e+02 -3.29559215e+02  2.58489444e+02]
 [ 8.76386240e-02 -2.13168503e-01  1.00000000e+00]]",4,"[[ 2.12860300e-03 -9.16310090e-04  1.79635522e-02]
 [-2.68525690e-03 -4.28213213e-03  1.55956193e+00]
 [ 7.60559826e-05 -2.69873154e-04  1.06963644e+00]]","[[ 3.59331798e+02 -8.42531081e+01  1.16808908e+02]
 [-2.58378984e+02 -1.96576182e+02  2.90953191e+02]
 [-9.07400689e-02 -4.36061073e-02  1.00000000e+00]]",8
26,235553.37885399998,"[[ 1.18028628e-03 -1.07228765e-03  3.20264984e-01]
 [-1.19574103e-03 -2.54791488e-03  6.04368819e-01]
 [-3.58184762e-04 -4.53962156e-04  1.10199758e+00]]","[[ 5.90620488e+02 -2.41585951e+02 -3.91543922e+01]
 [-2.56729583e+02 -3.29969471e+02  2.55576564e+02]
 [ 8.62122979e-02 -2.14452430e-01  1.00000000e+00]]",4,"[[ 2.12806546e-03 -9.14609973e-04  1.33001560e-02]
 [-2.67365606e-03 -4.28332773e-03  1.55135190e+00]
 [ 7.72570994e-05 -2.68068611e-04  1.06827622e+00]]","[[ 3.59836417e+02 -8.42079636e+01  1.17806894e+02]
 [-2.57431960e+02 -1.96559278e+02  2.88648653e+02]
 [-9.06220166e-02 -4.32338645e-02  1.00000000e+00]]",8
27,235553.43570099998,"[[ 1.18381590e-03 -1.06905432e-03  3.15104357e-01]
 [-1.18933529e-03 -2.54910182e-03  6.01188248e-01]
 [-3.55941524e-04 -4.55046976e-04  1.10194405e+00]]","[[ 5.91121723e+02 -2.41226179e+02 -3.74272057e+01]
 [-2.55667874e+02 -3.30290102e+02  2.53305592e+02]
 [ 8.53617516e-02 -2.14312085e-01  1.00000000e+00]]",4,"[[ 2.12576858e-03 -9.07232899e-04  7.75287068e-03]
 [-2.65782556e-03 -4.28698148e-03  1.54527333e+00]
 [ 7.71402689e-05 -2.65009696e-04  1.06685022e+00]]","[[ 3.61325162e+02 -8.38071620e+01  1.18764248e+02]
 [-2.56386907e+02 -1.96737284e+02  2.86826215e+02]
 [-8.98136723e-02 -4.28104899e-02  1.00000000e+00]]",8
