device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp,gaze_vizualisation_x,gaze_vizualisation_y
2997244164,951443704923,"(0.7428044676780701, 0.7682955861091614)","(89.26054382324219, 61.8865852355957, 14.479000091552734)",1,4.34844970703125,1,"(-84.51970672607422, -61.99742889404297, 767.6322631835938)","(0.6524023413658142, 0.6316487789154053, 0.7495115995407104)",1,"(0.7496930956840515, 0.7707340121269226)","(91.7929458618164, 61.412776947021484, 14.306539535522461)",1,4.1199951171875,1,"(-27.78434944152832, -72.49688720703125, 772.73486328125)","(0.5470831394195557, 0.6576937437057495, 0.7532507181167603)",1,1702369364133,0.75,0.77
2997255267,951443716026,"(0.7412976622581482, 0.7632911205291748)","(88.70661163330078, 62.859046936035156, 14.832925796508789)",1,4.354278564453125,1,"(-84.51500701904297, -61.99843215942383, 767.7158813476562)","(0.6523765325546265, 0.6316348910331726, 0.749676525592804)",1,"(0.7491337656974792, 0.7715455293655396)","(91.58732604980469, 61.25510025024414, 14.249134063720703)",1,4.130279541015625,1,"(-27.77435874938965, -72.4986343383789, 772.81787109375)","(0.547059178352356, 0.6576792597770691, 0.7534155249595642)",1,1702369364144,0.75,0.77
2997266370,951443727133,"(0.7436761260032654, 0.7655729651451111)","(89.58100128173828, 62.415645599365234, 14.671526908874512)",1,4.3607330322265625,1,"(-84.52300262451172, -61.988529205322266, 767.7722778320312)","(0.6523795127868652, 0.6315990686416626, 0.7497883439064026)",1,"(0.7502061724662781, 0.7736697196960449)","(91.9815673828125, 60.84233856201172, 14.098907470703125)",1,4.1371002197265625,1,"(-27.77737045288086, -72.49095916748047, 772.874755859375)","(0.5470607280731201, 0.6576473116874695, 0.7535274624824524)",1,1702369364155,0.75,0.77
2997277473,951443738240,"(0.7431091070175171, 0.7627198100090027)","(89.37259674072266, 62.97002410888672, 14.873311042785645)",1,4.3638458251953125,1,"(-84.50928497314453, -61.978782653808594, 767.711669921875)","(0.6523664593696594, 0.6315872669219971, 0.7496637105941772)",1,"(0.74960857629776, 0.7748249173164368)","(91.76190185546875, 60.617828369140625, 14.017213821411133)",1,4.1463165283203125,1,"(-27.765092849731445, -72.48057556152344, 772.8132934570312)","(0.5470421314239502, 0.6576362252235413, 0.7534023523330688)",1,1702369364166,0.75,0.77
2997288577,951443749348,"(0.7413937449455261, 0.7672897577285767)","(88.74198150634766, 62.08201599121094, 14.550103187561035)",1,4.36859130859375,1,"(-84.49102783203125, -61.99347686767578, 767.81494140625)","(0.6523116827011108, 0.6316036581993103, 0.7498668432235718)",1,"(0.7512747049331665, 0.7758917212486267)","(92.37437438964844, 60.410545349121094, 13.941764831542969)",1,4.13848876953125,1,"(-27.74162483215332, -72.49578857421875, 772.9148559570312)","(0.546992301940918, 0.6576507687568665, 0.7536056041717529)",1,1702369364177,0.75,0.77
2997299680,951443760457,"(0.7394136786460876, 0.7639334201812744)","(88.01406860351562, 62.73422622680664, 14.787468910217285)",1,4.38348388671875,1,"(-84.49510192871094, -61.99085998535156, 767.7907104492188)","(0.6523241400718689, 0.631601870059967, 0.7498192191123962)",1,"(0.7513022422790527, 0.778191864490509)","(92.38452911376953, 59.96359634399414, 13.779112815856934)",1,4.151153564453125,1,"(-27.746030807495117, -72.49370574951172, 772.89111328125)","(0.5470020174980164, 0.6576510667800903, 0.7535582184791565)",1,1702369364210,0.75,0.77
2997310783,951443771563,"(0.7410893440246582, 0.7659328579902649)","(88.63003540039062, 62.3457145690918, 14.646081924438477)",1,4.386138916015625,1,"(-84.4884033203125, -62.000858306884766, 767.81396484375)","(0.6523070931434631, 0.6316221356391907, 0.7498654723167419)",1,"(0.7511035799980164, 0.7771947979927063)","(92.31148529052734, 60.15735626220703, 13.849594116210938)",1,4.149688720703125,1,"(-27.73689842224121, -72.50511932373047, 772.9140014648438)","(0.5469838380813599, 0.6576739549636841, 0.7536053657531738)",1,1702369364210,0.75,0.77
2997321886,951443782667,"(0.7407165765762329, 0.7626258730888367)","(88.49303436279297, 62.988285064697266, 14.87997055053711)",1,4.3891754150390625,1,"(-84.48397064208984, -62.03125, 767.9072875976562)","(0.6522802710533142, 0.6316788792610168, 0.7500542998313904)",1,"(0.750178337097168, 0.7762964963912964)","(91.97135925292969, 60.331886291503906, 13.913121223449707)",1,4.1684722900390625,1,"(-27.727741241455078, -72.53652954101562, 773.0072021484375)","(0.5469611883163452, 0.6577298641204834, 0.7537960410118103)",1,1702369364210,0.75,0.77
2997332989,951443793770,"(0.7397499084472656, 0.7652878165245056)","(88.1376724243164, 62.471012115478516, 14.691744804382324)",1,4.3910980224609375,1,"(-84.48907470703125, -62.02214813232422, 767.8876342773438)","(0.6522936224937439, 0.6316601634025574, 0.7500149011611938)",1,"(0.7503004670143127, 0.777682900428772)","(92.01625061035156, 60.06248092651367, 13.815049171447754)",1,4.171417236328125,1,"(-27.735816955566406, -72.52816772460938, 772.98779296875)","(0.5469772219657898, 0.6577135920524597, 0.7537563443183899)",1,1702369364224,0.75,0.77
2997344092,951443804874,"(0.7406399846076965, 0.7643302083015442)","(88.46488189697266, 62.6571159362793, 14.759467124938965)",1,4.3939208984375,1,"(-84.5027084350586, -62.05036926269531, 768.0068359375)","(0.6522948741912842, 0.6317060589790344, 0.7502586841583252)",1,"(0.7488706707954407, 0.7746263146400452)","(91.4906005859375, 60.65644073486328, 14.03124713897705)",1,4.185638427734375,1,"(-27.74317741394043, -72.56067657470703, 773.1083374023438)","(0.5469831824302673, 0.6577655076980591, 0.7540029287338257)",1,1702369364232,0.74,0.77
