device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp,gaze_vizualisation_x,gaze_vizualisation_y
19192332899,885670380184,"(0.4979005753993988, 1.0560029745101929)","(-0.7706661224365234, 5.980787754058838, -5.869080543518066)",1,3.829071044921875,1,"(-65.91073608398438, -62.1424446105957, 790.1123046875)","(0.614412784576416, 0.6281048655509949, 0.7905763983726501)",1,"(0.5019522905349731, 1.0566381216049194)","(0.7188456654548645, 5.857397556304932, -5.913982391357422)",1,3.6566162109375,1,"(-8.54745864868164, -68.1852035522461, 793.3373413085938)","(0.5111580491065979, 0.6432086825370789, 0.7926159501075745)",1,1702303592159,0.5,1.06
19192344002,885670391281,"(0.49538853764533997, 1.0560659170150757)","(-1.6941295862197876, 5.968566417694092, -5.873534679412842)",1,3.856964111328125,1,"(-65.8995590209961, -62.14500427246094, 790.0985107421875)","(0.6143947839736938, 0.628113865852356, 0.7905476093292236)",1,"(0.4989350438117981, 1.0575367212295532)","(-0.39034539461135864, 5.682784080505371, -5.977526664733887)",1,3.665435791015625,1,"(-8.537504196166992, -68.1910171508789, 793.3231811523438)","(0.5111405849456787, 0.6432257294654846, 0.792588472366333)",1,1702303592166,0.5,1.06
19192355105,885670402368,"(0.4958370625972748, 1.0512062311172485)","(-1.5292452573776245, 6.9128899574279785, -5.529820919036865)",1,3.8497772216796875,1,"(-65.90152740478516, -62.139984130859375, 790.1067504882812)","(0.6143970489501953, 0.6281002163887024, 0.7905634641647339)",1,"(0.4985164701938629, 1.0560340881347656)","(-0.5442323684692383, 5.9747443199157715, -5.871239185333252)",1,3.67523193359375,1,"(-8.539180755615234, -68.1869125366211, 793.33154296875)","(0.5111433267593384, 0.6432141661643982, 0.7926045060157776)",1,1702303592177,0.5,1.05
19192366208,885670413453,"(0.49290674924850464, 1.0449680089950562)","(-2.6064703464508057, 8.125027656555176, -5.088630199432373)",1,3.83343505859375,1,"(-65.90287780761719, -62.138099670410156, 790.12109375)","(0.6143972873687744, 0.6280930042266846, 0.7905918955802917)",1,"(0.4995347559452057, 1.052303433418274)","(-0.16988670825958252, 6.6996660232543945, -5.607371807098389)",1,3.6781463623046875,1,"(-8.541056632995605, -68.18754577636719, 793.3461303710938)","(0.5111464262008667, 0.643212616443634, 0.7926337718963623)",1,1702303592188,0.5,1.05
19192377311,885670424537,"(0.4963371455669403, 1.0460319519042969)","(-1.3453941345214844, 7.918283939361572, -5.163879871368408)",1,3.816741943359375,1,"(-65.90377807617188, -62.14022445678711, 790.0736083984375)","(0.6144060492515564, 0.628106951713562, 0.7904981970787048)",1,"(0.5008307695388794, 1.0474332571029663)","(0.3065550923347473, 7.646021842956543, -5.2629289627075195)",1,3.6673583984375,1,"(-8.544306755065918, -68.19107055664062, 793.2990112304688)","(0.5111532807350159, 0.643230676651001, 0.7925405502319336)",1,1702303592226,0.5,1.05
19192388415,885670435621,"(0.4970943331718445, 1.0533504486083984)","(-1.0670362710952759, 6.496211528778076, -5.6815009117126465)",1,3.8199462890625,1,"(-65.92277526855469, -62.132789611816406, 790.1082763671875)","(0.6144349575042725, 0.6280822157859802, 0.7905689477920532)",1,"(0.49987679719924927, 1.0497357845306396)","(-0.044167209416627884, 7.198625087738037, -5.425841331481934)",1,3.6710052490234375,1,"(-8.560189247131348, -68.1833724975586, 793.3348999023438)","(0.5111808776855469, 0.6432045698165894, 0.7926110625267029)",1,1702303592226,0.5,1.05
19192399518,885670446719,"(0.4962863624095917, 1.0521316528320312)","(-1.3640536069869995, 6.73306941986084, -5.595284461975098)",1,3.82684326171875,1,"(-65.92880249023438, -62.12251663208008, 790.0391845703125)","(0.614456057548523, 0.6280703544616699, 0.790431022644043)",1,"(0.5001237988471985, 1.0530738830566406)","(0.046650491654872894, 6.549979209899902, -5.6619553565979)",1,3.6700286865234375,1,"(-8.56817626953125, -68.1744613647461, 793.2665405273438)","(0.511196494102478, 0.6431971192359924, 0.7924734950065613)",1,1702303592226,0.5,1.05
19192410621,885670457820,"(0.4900684654712677, 1.054710865020752)","(-3.649869441986084, 6.231892108917236, -5.7776923179626465)",1,3.848388671875,1,"(-65.94509887695312, -62.131492614746094, 790.0172729492188)","(0.6144888997077942, 0.6280956268310547, 0.7903916239738464)",1,"(0.4961012899875641, 1.054483413696289)","(-1.4320952892303467, 6.276087284088135, -5.761663913726807)",1,3.674224853515625,1,"(-8.582805633544922, -68.18241119384766, 793.2459716796875)","(0.5112232565879822, 0.6432200074195862, 0.7924342155456543)",1,1702303592232,0.49,1.05
19192421724,885670468920,"(0.48833954334259033, 1.0522555112838745)","(-4.285462856292725, 6.708980560302734, -5.604028701782227)",1,3.8740081787109375,1,"(-65.9712142944336, -62.12761688232422, 789.9520874023438)","(0.6145457625389099, 0.6280978918075562, 0.7902657389640808)",1,"(0.49279433488845825, 1.0553886890411377)","(-2.6477997303009033, 6.100184440612793, -5.8256940841674805)",1,3.6817169189453125,1,"(-8.610487937927246, -68.17374420166016, 793.1824340820312)","(0.5112740993499756, 0.6432117223739624, 0.7923067808151245)",1,1702303592244,0.49,1.05
19192432827,885670480021,"(0.49559614062309265, 1.056879997253418)","(-1.6178257465362549, 5.810400009155273, -5.931093215942383)",1,3.8863677978515625,1,"(-65.90826416015625, -62.06865310668945, 789.283203125)","(0.6145328283309937, 0.6280827522277832, 0.7889171242713928)",1,"(0.4970439374446869, 1.0524241924285889)","(-1.0855779647827148, 6.676246166229248, -5.616007328033447)",1,3.689178466796875,1,"(-8.591034889221191, -68.10967254638672, 792.5103149414062)","(0.5112521648406982, 0.6431968808174133, 0.7909561991691589)",1,1702303592257,0.5,1.05
19192443930,885670491121,"(0.5228855609893799, 1.053025722503662)","(8.414259910583496, 6.559358596801758, -5.658483028411865)",1,3.86993408203125,1,"(-65.85308837890625, -62.22118377685547, 790.7156982421875)","(0.6142190098762512, 0.6281822919845581, 0.7917782068252563)",1,"(0.5352223515510559, 1.0634480714797974)","(12.949517250061035, 4.534128189086914, -6.395674228668213)",1,3.670623779296875,1,"(-8.450407981872559, -68.26632690429688, 793.9353637695312)","(0.5109730958938599, 0.6432819962501526, 0.7938194870948792)",1,1702303592266,0.53,1.06
19192455033,885670502233,"(0.6584317684173584, 1.0493701696395874)","(58.243560791015625, 7.269680976867676, -5.400000095367432)",1,3.8904876708984375,1,"(-65.6112060546875, -62.399906158447266, 792.6663818359375)","(0.6134937405586243, 0.6282515525817871, 0.7956421971321106)",1,"(0.6700496077537537, 1.0762369632720947)","(62.5145378112793, 2.049004554748535, -7.300139427185059)",1,3.676177978515625,1,"(-8.100529670715332, -68.45468139648438, 795.8638305664062)","(0.5103113651275635, 0.6433437466621399, 0.7976869940757751)",1,1702303592277,0.66,1.06
19192466136,885670513357,"(0.6833783388137817, 1.0486605167388916)","(67.41439819335938, 7.407577037811279, -5.349820137023926)",1,3.898773193359375,1,"(-65.40084838867188, -62.48350524902344, 793.46044921875)","(0.6129990816116333, 0.6283079981803894, 0.7971987128257751)",1,"(0.6998332142829895, 1.0790855884552002)","(73.46356964111328, 1.4955042600631714, -7.501593112945557)",1,3.6735992431640625,1,"(-7.846289157867432, -68.54387664794922, 796.640869140625)","(0.5098435878753662, 0.6434027552604675, 0.7992454767227173)",1,1702303592288,0.69,1.06
